,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$730.4,"$1,379",$640.6,-,$182.1,"$2,932.1",$567.7,"$1,345.9","$2,442.5",$189.9,"$5,238.9","$8,171","$2,188.6","$1,980.3",$572.9,"$4,108.6","$6,297.2",$181.4,"$7,608.8","$-1,527.3",-,"$1,873.8","$8,171"
2020-09-30,$704.6,"$1,249.1",$584,-,$148.1,"$2,685.8",$574.4,$953.5,"$2,129.6",$162.9,"$4,578.9","$7,264.7","$1,810.8","$1,974.7",$573.7,"$4,107.1","$5,917.9",$181.4,"$7,139.8","$-1,614.2",-,"$1,346.8","$7,264.7"
2020-06-30,$909.8,"$1,202.1",$674.8,-,$155.8,"$2,942.5",$564.5,$900.1,"$2,121.7",$127.1,"$4,387","$7,329.5","$2,242.1","$1,974.4",$571.9,"$3,998.3","$6,240.4",$181.4,"$6,877.2","$-1,569.9",-,"$1,089.1","$7,329.5"
2020-03-31,$641.8,"$1,301.1",$629,-,$186.3,"$2,758.2",$560.8,$716.3,"$1,795.3",$147.5,"$3,907.7","$6,665.9","$1,762","$1,970.2",$543.5,"$3,966","$5,728",$181.4,"$6,795.8","$-1,625.8",-,$937.9,"$6,665.9"
2019-12-31,$926.2,"$1,298.1",$625.3,-,$157.9,"$3,007.5",$574,$860.7,"$1,837.6",$128.5,"$4,100.4","$7,107.9","$2,067.5","$1,953",$565.2,"$4,003.9","$6,071.4",$181.4,"$6,782","$-1,584.3",-,"$1,036.5","$7,107.9"
2019-09-30,"$1,018.4","$1,178.7",$575.7,-,$212.9,"$2,985.7",$571.9,$793.9,"$1,265.2",$132.2,"$3,127.3","$6,113","$1,936.8","$1,956.4",$583.7,"$3,772","$5,708.8",$181.4,"$6,440.2","$-1,488",-,$404.2,"$6,113"
2019-06-30,$913.4,"$1,222.6",$656.3,-,$153.5,"$2,945.8",$556.5,"$1,057.9","$1,282.2",$118.3,"$3,213","$6,158.8","$1,952.5","$1,941.1",$524.7,"$3,049.8","$5,002.3",$181.4,"$6,431.6",$-930.2,-,"$1,156.5","$6,158.8"
2019-03-31,$902.2,"$1,244.4",$665.4,-,$164.8,"$2,976.8",$557.8,"$1,111.9","$1,294.1",$113.6,"$3,277.4","$6,254.2","$1,871.9","$1,932.4",$526.6,"$3,046","$4,917.9",$181.4,"$6,398",$-940.3,-,"$1,336.3","$6,254.2"
2018-12-31,$753.5,"$1,188.7",$627.2,-,$168.5,"$2,737.9",$559.7,"$1,060","$1,272.3",$109.1,"$3,197.5","$5,935.4","$2,265.5","$1,235.4",$567.1,"$2,395.6","$4,661.1",$181.4,"$6,167.6",$-976.9,-,"$1,274.3","$5,935.4"
2018-09-30,$909.7,"$1,190.1",$581.6,-,$149.3,"$2,830.7",$576.8,"$1,288","$1,290.7",$96.2,"$3,431.3","$6,262","$2,236.9","$1,225.2",$577.3,"$2,407.6","$4,644.5",$181.4,"$6,198.1",$-941.9,-,"$1,617.5","$6,262"
2018-06-30,"$1,488.7","$1,149.3",$570.3,-,$167.5,"$3,375.8",$537.3,-,"$1,301",$326.8,"$2,461.8","$5,837.6","$1,753.6","$1,227.1",$568.2,"$2,639.8","$4,393.4",$181.4,"$5,851.5","$-1,140.5",-,"$1,444.2","$5,837.6"
2018-03-31,"$2,047.3","$1,163.1",$570.4,-,$160.1,"$3,940.9",$557.2,-,"$1,335.2",$347.8,"$2,572.7","$6,513.6","$1,877.8","$1,229.8",$585.2,"$2,688.6","$4,566.4",$181.4,"$5,880.9","$-1,081.5",-,"$1,947.2","$6,513.6"
2017-12-31,"$2,647.5","$1,149.9",$570.8,-,$165.7,"$4,533.9",$565.8,-,"$1,316.3",$407.9,"$2,624.8","$7,158.7","$2,286.6","$1,239.3",$596,"$2,715.9","$5,002.5",$181.4,"$5,759.7","$-1,175.7",-,"$2,156.2","$7,158.7"
2017-09-30,"$2,535.5","$1,135.5",$558.7,-,$191,"$4,420.7",$583.9,$325.7,"$1,315.7",$72.1,"$2,741","$7,161.7","$2,145.8","$1,243.4",$216.4,"$2,352.3","$4,498.1",$181.4,"$6,103.4","$-1,179.2",-,"$2,663.6","$7,161.7"
2017-06-30,"$2,614.6","$1,111.9",$585.5,-,$144.5,"$4,456.5",$568.8,-,"$1,301.6",$248.1,"$2,759","$7,215.5","$2,196.2","$1,243.8",$196.1,"$2,841.3","$5,037.5",$181.4,"$5,898.7","$-1,463.7",-,"$2,178","$7,215.5"
2017-03-31,"$2,533.5","$1,082.6",$543.2,-,$158.1,"$4,317.4",$567.2,-,"$1,302.5",$243.9,"$2,747.6","$7,065","$2,025.4","$1,240",$199.2,"$2,841.8","$4,867.2",$181.4,"$5,877.1","$-1,508",-,"$2,197.8","$7,065"
2016-12-31,"$2,482.6","$1,036.5",$541.7,-,$426.4,"$4,487.2",$562.6,-,"$1,298.4",$128.8,"$2,607.1","$7,094.3","$2,203.9","$1,240.9",$195.5,"$2,840.7","$5,044.6",$181.4,"$5,785.6","$-1,588.9",-,"$2,049.7","$7,094.3"
2016-09-30,"$2,429.2","$1,079",$526.6,-,$150.2,"$4,185",$578.3,-,"$1,329.2",$374.8,"$2,916.2","$7,101.2","$1,975.9","$1,516.3",$188.7,"$3,135.2","$5,111.1",$181.4,"$5,668.4","$-1,538.8",-,"$1,990.1","$7,101.2"
2016-06-30,"$2,432.7","$1,022.5",$556.3,-,$142.4,"$4,153.9",$567,-,"$1,229.5",$392.6,"$2,701.8","$6,855.7","$1,699.3","$1,521.8",$408.9,"$3,035.1","$4,734.4",$181.4,"$5,482.8","$-1,328.3",-,"$2,121.3","$6,855.7"
2016-03-31,"$2,309.9","$1,028",$569.7,-,$155.4,"$4,063",$571.6,-,"$1,241.5",$153.9,"$2,476.6","$6,539.6","$1,504.9","$1,513.2",$198.6,"$2,819.1","$4,324",$181.4,"$5,480.1","$-1,325.7",-,"$2,215.6","$6,539.6"
