,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,$95.44,$162.483,$30.386,-,$43.527,$331.836,$186.825,-,"$1,009.598",$25.669,"$1,474.23","$1,806.066",$469.139,$154.375,$93.797,$404.211,$873.35,$327.749,$528.959,$-23.153,-,$932.716,"$1,806.066"
2020-06-30,$134.829,$152.582,$34.064,-,$41.626,$363.101,$191.141,-,$993.028,$24.54,"$1,473.281","$1,836.382",$478.173,$242.5,$93.551,$495.379,$973.552,$327.759,$475.594,$-29.163,-,$862.83,"$1,836.382"
2020-03-31,$92.582,$145.375,$21.527,-,$45.346,$304.83,$194.854,-,$990.605,$21.663,"$1,466.649","$1,771.479",$417.868,$307.3,$91.531,$553.24,$971.108,$327.767,$426.45,$-38.711,-,$800.371,"$1,771.479"
2019-12-31,$94.276,$145.033,$19.476,-,$51.002,$309.787,$195.533,-,$959.631,$24.161,"$1,434.589","$1,744.376",$410.035,$279,$94.013,$518.591,$928.626,$491.146,$256.3,$-21.109,-,$815.75,"$1,744.376"
2019-09-30,$104.362,$155.886,$17.5,-,$46.44,$324.188,$197.549,-,$968.254,$21.249,"$1,440.605","$1,764.793",$410.88,$313.5,$91.842,$547.016,$957.896,$327.442,$419.993,$-26.746,-,$806.897,"$1,764.793"
2019-06-30,$98.466,$152.294,$17.579,-,$51.506,$319.845,$201.196,-,$960.598,$21.07,"$1,409.932","$1,729.777",$414.341,$335.375,$98.424,$563.172,$977.513,$327.486,$410.326,$-68.508,-,$752.264,"$1,729.777"
2019-03-31,$116.607,$123.851,$16.572,-,$32.909,$289.939,$136.806,-,$609.915,$20.625,$982.133,"$1,272.072",$352.712,-,$78.461,$200.236,$552.948,$327.53,$380.398,$-68.736,-,$719.124,"$1,272.072"
2018-12-31,$115.485,$122.47,$15.788,-,$32.278,$286.021,$136.885,-,$611.739,$19.063,$808.103,"$1,094.124",$299.029,-,$83.187,$83.187,$382.216,$327.308,$370.292,$-71.078,-,$711.908,"$1,094.124"
2018-09-30,$118.652,$142.759,$16.093,-,$25.576,$303.08,$136.857,-,$616.394,$20.975,$826.493,"$1,129.573",$309.381,-,$85.376,$85.434,$394.815,$218.212,$489.501,$-54.637,-,$734.758,"$1,129.573"
2018-06-30,$87.885,$134.031,$16.098,-,$50.458,$288.472,$137.654,-,$605.53,$20.488,$816.71,"$1,105.182",$319.231,-,$90.101,$90.14,$409.371,$218.217,$453.408,$-54.026,-,$695.811,"$1,105.182"
