,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$340.231,$74.088,-,$23.875,$34.796,$472.99,"$2,677.326",-,"$3,156.15",$477.992,"$8,685.027","$9,158.018",$614.801,"$11,071.8",$186.246,"$13,367.6","$13,982.4",$1.098,"$-6,604.028",$-807.582,-,"$-4,824.382","$9,158.018"
2020-09-30,$333.446,$68.042,-,$29.994,$27.109,$458.591,"$2,668.004",-,"$3,063.498",$504.554,"$8,576.091","$9,034.682",$551.248,"$10,692.71",$181.012,"$12,969.83","$13,521.08",$1.114,"$-6,177.879",$-873.612,-,"$-4,486.398","$9,034.682"
2020-06-30,$475.024,$91.295,-,$38.89,$18.877,$624.086,"$2,658.889",-,"$3,174.567",$557.75,"$8,766.453","$9,390.539",$552.659,"$10,555.57",$459.353,"$13,142.87","$13,695.53",$1.119,"$-5,972.657",$-867.877,-,"$-4,304.992","$9,390.539"
2020-03-31,$227.149,$107.2,-,$41.886,$18.823,$395.058,"$2,697.778",-,"$3,294.369",$551.934,"$8,964.443","$9,359.502","$1,019.552","$10,050.74",$438.048,"$12,657.18","$13,676.73",$1.116,"$-5,943.386",$-846.846,-,"$-4,317.23","$9,359.502"
2019-12-31,$138.552,$132.125,-,$37.281,$26.313,$334.271,"$2,794.602",-,"$3,626.773",$432.078,"$9,425.67","$9,759.941","$1,048.293","$9,812.335",$270.868,"$12,378.66","$13,426.95",$1.118,"$-5,560.695",$-568.765,-,"$-3,667.007","$9,759.941"
2019-09-30,$156.28,$122.725,-,$21.946,$28.303,$329.254,"$2,763.055",-,"$3,261.885",$397.011,"$8,871.884","$9,201.138",$510.152,"$9,821.502",$241.269,"$12,251.36","$12,761.51",$1.126,"$-5,387.091",$-620.778,-,"$-3,560.374","$9,201.138"
2019-06-30,$124.426,$117.476,-,$48.252,$25.575,$315.729,"$2,761.58",-,"$3,238.031",$451.474,"$8,953.687","$9,269.415","$1,428.138","$8,749.45",$195.649,"$11,180.62","$12,608.76",$1.131,"$-5,193.942",$-554.92,-,"$-3,339.346","$9,269.415"
2019-03-31,$141.496,$113.017,-,$22.574,$23.482,$300.569,"$2,761.325",-,"$3,258.952",$439.609,"$9,012.19","$9,312.759","$1,404.654","$8,780.606",$147.477,"$11,210.89","$12,615.54",$1.132,"$-5,131.347",$-531.761,-,"$-3,302.781","$9,312.759"
2018-12-31,$175.908,$111.035,-,$63.126,$23.785,$373.854,"$2,786.355",-,"$3,331.465",$722.033,"$6,839.854","$7,213.707","$1,206.279","$8,996.825",$387.426,"$9,384.251","$10,590.53",$1.124,"$-5,136.368",$-511.905,-,"$-3,376.823","$7,213.707"
2018-09-30,$160.921,$89.302,-,$59.641,$17.799,$327.663,"$2,787.714",-,"$3,387.955",$710.491,"$6,886.16","$7,213.823",$265.512,"$9,710.145",$383.249,"$10,093.39","$10,358.91",$1.142,"$-4,851.501",$-528.517,-,"$-3,145.083","$7,213.823"
