,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$17,674.76",-,-,-,-,"$65,614.31",$175.818,"$49,306.82",$204.12,-,"$49,686.76","$115,511","$102,002.4",$843.628,"$3,971.974","$4,815.602","$107,077.5",$0.052,"$5,671.749",$622.517,-,"$8,433.491","$115,511"
2020-09-30,"$15,687.78",-,-,-,-,"$55,905.69",$173.477,"$40,433.91",$183.203,-,"$40,790.59","$96,916.77","$84,792.09",$843.43,"$3,067.221","$3,910.651","$88,949.39",$0.052,"$5,283.433",$620.394,-,"$7,967.38","$96,916.77"
2020-06-30,"$14,202.11",-,-,-,-,"$52,580.49",$169.313,"$32,581.31",$184.549,-,"$32,935.18","$85,730.98","$74,556.69",$843.22,"$2,623.407","$3,466.627","$78,262.67",$0.052,"$4,841.72",$614.735,-,"$7,468.313","$85,730.98"
2020-03-31,"$9,561.448",-,-,-,-,"$47,039.63",$154.78,"$27,422.95",$185.895,-,"$27,763.62","$75,009.64","$65,050.12",$348.076,"$2,200.953","$2,549.029","$67,826.42",$0.052,"$4,612.785",$592.534,-,"$7,183.221","$75,009.64"
2019-12-31,"$6,781.783",-,-,-,-,"$41,386.73",$161.876,"$29,071.69",$187.24,-,"$29,420.81","$71,004.91","$61,775.24",$347.987,"$2,041.752","$2,389.739","$64,383.82",$0.052,"$4,575.601",$84.445,-,"$6,621.08","$71,004.91"
2019-09-30,"$6,946.196",-,-,-,-,"$39,291.85",$146.713,"$28,424.03",$190.111,-,"$28,760.85","$68,231.23","$59,561.77",$697.227,"$1,731.222","$2,428.449","$62,182.77",$0.052,"$4,312.745",$136.153,-,"$6,048.469","$68,231.23"
2019-06-30,"$9,020.925",-,-,-,-,"$39,393.69",$141.888,"$23,888.83",$192.981,-,"$24,223.7","$63,773.74","$55,634.79",$696.97,"$1,540.476","$2,237.446","$58,067.56",$0.052,"$4,051.194",$81.232,-,"$5,706.175","$63,773.74"
2019-03-31,"$7,066.883",-,-,-,-,"$36,878.08",$139.003,"$22,785.33",$193.219,-,"$23,117.55","$60,160.29","$52,341.65",$696.715,"$1,432.928","$2,129.643","$54,676.46",$0.052,"$3,963.965",$-15.374,-,"$5,483.823","$60,160.29"
2018-12-31,"$3,571.539",-,-,-,-,"$32,580.18",$129.213,"$24,218.59",-,-,"$24,347.8","$56,927.98","$49,960.31",$696.465,"$1,006.359","$1,702.824","$51,663.14",$0.053,"$3,791.838",$-54.12,-,"$5,264.843","$56,927.98"
2018-09-30,"$3,819.141",-,-,-,-,"$32,134.26",$121.89,"$25,883.58",-,-,"$26,005.47","$58,139.73","$51,227.36",$696.217,"$1,146.109","$1,842.326","$53,069.69",$0.053,"$3,672.696",$-108.41,-,"$5,070.045","$58,139.73"
2018-06-30,"$2,712.101",-,-,-,-,"$29,406.01",$117.603,"$26,344.13",-,-,"$26,461.74","$55,867.75","$49,304.54",$695.972,"$1,062.391","$1,758.363","$51,062.9",$0.053,"$3,397.879",$-86.865,-,"$4,804.841","$55,867.75"
2018-03-31,"$2,619.384",-,-,-,-,"$27,919.56",$127.054,"$25,454.18",-,-,"$25,581.23","$53,500.79","$47,038.67",$695.731,"$1,206.66","$1,902.391","$48,941.06",$0.053,"$3,160.081",$-71.686,-,"$4,559.724","$53,500.79"
2017-12-31,"$2,923.075",-,-,-,-,"$26,650.61",$128.682,"$24,435.17",-,-,"$24,563.85","$51,214.47","$45,287.8",$695.492,$911.755,"$1,607.247","$46,895.05",$0.053,"$2,866.837",$-1.472,-,"$4,319.415","$51,214.47"
2017-09-30,"$3,555.571",-,-,-,-,"$26,345.65",$122.826,"$24,285.81",-,-,"$24,408.64","$50,754.29","$44,816.87",$749.618,$990.498,"$1,740.116","$46,556.99",$0.053,"$2,749.627",$15.634,-,"$4,197.298","$50,754.29"
2017-06-30,"$3,854.244",-,-,-,-,"$25,638.34",$121.947,"$22,640.09",-,-,"$22,762.04","$48,400.38","$42,465.76",$749.429,"$1,145.154","$1,894.583","$44,360.34",$0.053,"$2,601.007",$14.89,-,"$4,040.035","$48,400.38"
2017-03-31,"$3,795.679",-,-,-,-,"$24,655.78",$122.304,"$21,635.25",-,-,"$21,757.56","$46,413.34","$41,084.86",$795.465,$629.555,"$1,425.02","$42,509.88",$0.052,"$2,477.814",$17.958,-,"$3,903.456","$46,413.34"
2016-12-31,"$2,545.75",-,-,-,-,"$22,893.02",$120.683,"$21,669.96",-,-,"$21,790.64","$44,683.66","$39,492.54",$795.704,$618.383,"$1,414.087","$40,906.62",$0.052,"$2,376.331",$23.43,-,"$3,777.037","$44,683.66"
2016-09-30,"$2,521.319",-,-,-,-,"$22,076.2",$115.014,"$21,082.82",-,-,"$21,197.84","$43,274.04","$38,191.84",$795.971,$562.912,"$1,358.883","$39,550.72",$0.052,"$2,276.865",$96.579,-,"$3,723.317","$43,274.04"
2016-06-30,"$1,854.457",-,-,-,-,"$21,099.05",$110.485,"$21,923.11",-,-,"$22,033.6","$43,132.65","$38,099.79",$796.329,$602.746,"$1,399.075","$39,498.86",$0.052,"$2,165.784",$129.921,-,"$3,633.793","$43,132.65"
2016-03-31,"$1,868.512",-,-,-,-,"$19,921.52",$108.57,"$23,543.81",-,-,"$23,652.38","$43,573.9","$38,759.72",$796.57,$506.571,"$1,303.141","$40,062.86",$0.052,"$2,072.82",$115.39,-,"$3,511.04","$43,573.9"
2015-12-31,"$1,503.257",-,-,-,-,"$18,737.42",$102.625,"$25,846.66",-,-,"$25,949.28","$44,686.7","$39,917.68",$796.702,$639.094,"$1,435.796","$41,353.47",$0.052,"$1,993.646",$15.404,-,"$3,333.231","$44,686.7"
2015-09-30,"$1,674.145",-,-,-,-,"$17,371.59",$94.652,"$24,264.74",-,-,"$24,359.39","$41,730.98","$37,053.18",$797.211,$566.37,"$1,363.581","$38,416.75",$0.051,"$1,906.135",$97.064,-,"$3,314.228","$41,730.98"
2015-06-30,"$2,625.55",-,-,-,-,"$17,270.68",$88.284,"$22,877.16",-,-,"$22,965.44","$40,236.12","$35,629.5",$802.454,$614.69,"$1,417.144","$37,046.64",$0.051,"$1,824.626",$63.917,-,"$3,189.472","$40,236.12"
2015-03-31,"$1,308.003",-,-,-,-,"$16,342.67",$82.724,"$23,270.59",-,-,"$23,353.32","$39,695.99","$33,929.34",$802.917,$686.501,"$1,489.418","$35,418.76",$0.051,"$1,738.483",$92.668,-,"$4,277.231","$39,695.99"
2014-12-31,"$1,796.062",-,-,-,-,"$16,568.19",$79.845,"$22,689.84",-,-,"$22,769.68","$39,337.87","$34,351.28",$451.362,$483.493,$934.855,"$35,286.14",$0.051,"$1,649.967",$42.704,-,"$4,051.734","$39,337.87"
2014-09-30,"$1,872.537",-,-,-,-,"$14,267.62",$74.375,"$21,699.01",-,-,"$21,773.39","$36,041.01","$31,129.77",$453.764,$517.462,$971.226,"$32,100.99",$0.051,"$1,595.825",$18.744,-,"$3,940.016","$36,041.01"
2014-06-30,"$2,649.831",-,-,-,-,"$14,343.61",$71.465,"$18,893.95",-,-,"$18,965.41","$33,309.02","$28,357.46",$454.462,$559.073,"$1,013.535","$29,370.99",$0.051,"$1,532.83",$50.276,-,"$3,938.024","$33,309.02"
2014-03-31,"$3,862.464",-,-,-,-,"$15,031.36",$66.123,"$14,613.55",-,-,"$14,679.68","$29,711.04","$25,481.71",$454.77,$407.573,$862.343,"$26,344.06",$0.046,"$1,482.033",$-30.39,-,"$3,366.981","$29,711.04"
2013-12-31,"$1,538.779",-,-,-,-,"$12,767.39",$67.485,"$13,582.32",-,-,"$13,649.8","$26,417.19","$22,478.06",$455.216,$404.586,$859.802,"$23,337.86",$0.046,"$1,390.732",$-48.764,-,"$3,079.328","$26,417.19"
2013-09-30,"$1,942.744",-,-,-,-,"$12,040.42",$65.385,"$11,635.05",-,-,"$11,700.44","$23,740.86","$20,002.57",$455.744,$358.905,$814.649,"$20,817.22",$0.046,"$1,331.975",$5.443,-,"$2,923.644","$23,740.86"
2013-06-30,$873.251,-,-,-,-,"$10,789.49",$65.644,"$11,298.77",-,-,"$11,364.41","$22,153.9","$18,695.47",$455.938,$330.394,$786.332,"$19,481.81",$0.045,"$1,264.354",$-9.771,-,"$2,672.095","$22,153.9"
2013-03-31,"$1,519.249",-,-,-,-,"$10,606.34",$65.713,"$12,123.95",-,-,"$12,189.66","$22,796","$19,317.37",$457.194,$359.38,$816.574,"$20,133.94",$0.045,"$1,215.77",$95.615,-,"$2,662.058","$22,796"
2012-12-31,"$1,008.983",-,-,-,-,"$10,172.14",$66.545,"$12,527.44",-,-,"$12,593.99","$22,766.12","$19,342.56",$457.762,$360.566,$818.328,"$20,160.89",$0.045,"$1,174.878",$108.553,-,"$2,605.233","$22,766.12"
2012-09-30,$906.68,-,-,-,-,"$9,297.119",$68.27,"$12,211.54",-,-,"$12,279.81","$21,576.93","$18,233.24",$458.314,$330.038,$788.352,"$19,021.59",$0.045,"$1,124.415",$122.01,-,"$2,555.346","$21,576.93"
2012-06-30,"$1,411.725",-,-,-,-,"$9,471.735",$64.773,"$11,753.26",-,-,"$11,818.04","$21,289.77","$18,074.69",$458.232,$312.523,$770.755,"$18,845.45",$0.044,"$1,082.126",$104.077,-,"$2,444.325","$21,289.77"
2012-03-31,$850.624,-,-,-,-,"$8,209.535",$59.32,"$12,549.48",-,-,"$12,608.8","$20,818.34","$17,566.26",$601.835,$307.537,$909.372,"$18,475.63",$0.044,"$1,034.523",$89.309,-,"$2,342.703","$20,818.34"
2011-12-31,"$1,114.948",-,-,-,-,"$8,371.937",$56.471,"$11,540.49",-,-,"$11,596.96","$19,968.89","$16,709.54",$603.648,$405.321,"$1,008.969","$17,718.51",$0.044,$999.733,$85.399,-,"$2,250.389","$19,968.89"
2011-09-30,"$2,041.972",-,-,-,-,"$8,550.556",$53.458,"$10,591.35",-,-,"$10,644.81","$19,195.36","$16,139.22",$609.557,$254.256,$863.813,"$17,003.04",$0.043,$964.159,$99.453,-,"$2,192.328","$19,195.36"
2011-06-30,"$2,565.219",-,-,-,-,"$8,861.185",$49.452,"$10,456.1",-,-,"$10,505.55","$19,366.73","$16,278.47",$609.596,$462.614,"$1,072.21","$17,350.68",$0.043,$926.588,$47.377,-,"$2,016.051","$19,366.73"
2011-03-31,"$2,350.06",-,-,-,-,"$8,273.213",$46.161,"$10,298.89",-,-,"$10,345.05","$18,618.27","$15,365.73","$1,204.733",$200.768,"$1,405.501","$16,771.23",$0.043,$860.838,$9.24,-,"$1,847.031","$18,618.27"
2010-12-31,"$3,076.432",-,-,-,-,"$8,843.729",$44.545,"$8,639.487",-,-,"$8,684.032","$17,527.76","$14,374.19","$1,209.26",$196.037,"$1,405.297","$15,779.48",$0.042,$827.831,$24.143,-,"$1,748.278","$17,527.76"
2010-09-30,"$3,778.369",-,-,-,-,"$8,958.887",$41.917,"$6,659.265",-,-,"$6,701.182","$15,660.07","$12,474.68","$1,225.81",$263.283,"$1,489.093","$13,963.77",$0.042,$810.379,$47.6,-,"$1,696.296","$15,660.07"
2010-06-30,"$4,190.343",-,-,-,-,"$8,911.291",$38.123,"$5,954.572",-,-,"$5,992.695","$14,903.99","$12,185.15",$869.81,$222.073,"$1,091.883","$13,277.03",$0.042,$772.592,$59.948,-,"$1,626.955","$14,903.99"
2010-03-31,"$4,691.703",-,-,-,-,"$9,151.199",$34.966,"$4,939.084",-,-,"$4,974.05","$14,125.25","$11,553.19",$859.713,$163.187,"$1,022.9","$12,576.09",$0.042,$751.472,$23.456,-,"$1,549.16","$14,125.25"
