,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,011.613","$1,236.734",-,-,-,"$2,248.347","$23,158.26",-,-,"$7,785.158","$32,025.59","$34,786.85","$1,311.925","$26,723.36","$2,577.83","$29,487.08","$31,314.5",$0.034,"$-6,102.314",$-188.675,-,"$3,472.346","$34,786.85"
2020-09-30,"$1,082.313","$1,452.295",-,-,-,"$2,534.608","$23,381.91",-,-,"$4,091.015","$28,611.96","$31,661.57","$1,299.062","$25,139.68","$2,501.968","$27,828.84","$29,645.36",$0.032,"$-5,953.166",$-180.468,-,"$2,016.216","$31,661.57"
2020-06-30,"$3,306.1","$1,457.695",-,-,-,"$4,763.795","$23,582.28",-,-,"$4,029.966","$28,745.31","$34,026.17","$1,216.831","$27,268.88","$2,498.209","$29,954.48","$31,690.73",$0.032,"$-5,703.183",$-155.126,-,"$2,335.439","$34,026.17"
2020-03-31,"$3,724.853",$793.49,-,-,-,"$4,518.343","$23,812.66",-,-,"$4,042.985","$29,083.6","$34,121.11","$1,253.757","$27,553.41","$2,069.419","$29,835.02","$31,610.16",$0.032,"$-5,583.485",$-119.301,-,"$2,510.953","$34,121.11"
2019-12-31,$669.373,$832.151,-,-,-,"$1,501.524","$23,898.72",-,-,"$4,102.702","$29,215.45","$31,231.63","$1,390.682","$24,163.23","$2,030.598","$26,412.89","$28,320.38",$0.032,"$-5,379.952",$-118.604,-,"$2,911.25","$31,231.63"
2019-09-30,"$3,647.23",$775.617,-,-,-,"$4,422.847","$23,882.23",-,-,"$3,735.667","$29,421.38","$33,844.23","$1,324.11","$26,643.88","$2,569.198","$29,439.96","$30,764.07",$0.032,"$-5,223.093",$-121.596,-,"$3,080.152","$33,844.23"
2019-06-30,$479.776,$736.362,-,-,-,"$1,216.138","$24,014.63",-,-,"$3,860.147","$29,516.78","$30,732.91","$1,227.799","$23,324.68","$2,585.44","$26,141.44","$27,369.24",$0.032,"$-5,122.281",$-128.743,-,"$3,363.672","$30,732.91"
2019-03-31,$436.802,$733.159,-,-,-,"$1,169.961","$24,073.9",-,-,"$3,873.944","$29,671.81","$30,841.78","$1,157.477","$23,185.96","$2,572.51","$25,984.36","$27,141.83",$0.032,"$-4,979.489",$-120.962,-,"$3,699.942","$30,841.78"
2018-12-31,$514.335,$763.815,-,-,-,"$1,278.15","$24,208.13",-,-,"$3,989.902","$29,408.07","$30,686.22","$1,316.861","$23,305.54","$2,036.708","$25,572.41","$26,889.26",$0.032,"$-4,893.069",$-126.017,-,"$3,796.956","$30,686.22"
2018-09-30,$695.718,$722.73,-,-,-,"$1,418.448","$24,304.89",-,-,"$4,058.343","$29,661.25","$31,079.69","$1,268.099","$23,678.26","$2,037.892","$25,914.09","$27,182.2",$0.032,"$-4,896.754",$-118.593,-,"$3,897.501","$31,079.69"
2018-06-30,$714.247,$681.551,-,-,-,"$1,395.798","$24,074.64",-,-,"$4,074.988","$29,447.34","$30,843.14","$1,230.775","$23,505","$2,030.734","$25,733.74","$26,964.51",$0.032,"$-4,833.826",$-115.285,-,"$3,878.628","$30,843.14"
2018-03-31,$367.207,$686.158,-,-,-,"$1,053.365","$24,308.98",-,-,"$4,280.875","$29,964.5","$31,017.86","$1,180.851","$23,647.62","$1,954.37","$25,803.67","$26,984.52",$0.032,"$-4,774.442",$-102.747,-,"$4,033.336","$31,017.86"
2017-12-31,"$1,482.309",$742.672,-,-,-,"$2,224.981","$24,457.52",-,-,"$4,201.159","$30,032.66","$32,257.64","$1,269.19","$24,632.46","$1,926.741","$26,749.68","$28,018.87",$0.032,"$-4,782.173",$-110.453,-,"$4,238.764","$32,257.64"
2017-09-30,$508.405,$686.617,-,-,-,"$1,195.022","$24,259.38",-,-,"$4,239.17","$29,837.39","$31,032.41","$1,290.382","$23,410.36","$1,902.333","$25,499.42","$26,789.8",$0.032,"$-4,776.512",$-111.039,-,"$4,242.606","$31,032.41"
2017-06-30,$488.614,$640.08,-,-,-,"$1,128.694","$24,317.05",-,-,"$4,151.595","$29,837.27","$30,965.97","$1,205.267","$23,422.69","$1,862.476","$25,469.54","$26,674.81",$0.032,"$-4,731.402",$-103.872,-,"$4,291.159","$30,965.97"
2017-03-31,$513.4,$621.6,-,-,-,"$1,135","$24,229.74",-,-,"$4,196.687","$29,811.09","$30,946.09","$1,081.185","$23,149.05","$1,820.003","$25,135.9","$26,217.09",$0.032,"$-4,559.037",$-100.843,-,"$4,729.005","$30,946.09"
2016-12-31,$560.059,$664.619,-,-,-,"$1,224.678","$24,360.34",-,-,"$4,164.977","$29,878.9","$31,103.58","$1,214.022","$22,977.1","$1,814.778","$24,929.64","$26,143.67",$0.032,"$-4,459.387",$-114.126,-,"$4,959.912","$31,103.58"
2016-09-30,$814.747,$626.423,-,-,-,"$1,441.17","$24,531.36",-,-,"$4,336.649","$30,227.68","$31,668.85","$1,240.713","$23,078.52","$1,863.457","$25,101.32","$26,342.04",$0.032,"$-4,349.705",$-115.832,-,"$5,326.813","$31,668.85"
2016-06-30,$884.281,$600.817,-,-,-,"$1,485.098","$23,988.13",-,-,"$4,569.572","$29,894.69","$31,379.78","$1,209.518","$22,923.94","$1,771.511","$24,852.89","$26,062.41",$0.032,"$-4,341.316",$-119.915,-,"$5,317.377","$31,379.78"
2016-03-31,$805.076,$573.255,-,-,-,"$1,378.331","$24,083.17",-,-,"$4,469.384","$30,020.17","$31,398.5","$1,167.101","$22,975.82","$1,737.505","$24,868.86","$26,035.96",$0.031,"$-4,288.65",$-117.717,-,"$5,362.541","$31,398.5"
2015-12-31,$701.134,$624.605,-,-,-,"$1,325.739","$23,547.74",-,-,"$4,424.937","$29,239.44","$30,565.18","$1,323.801","$22,416.68","$1,582.793","$24,025.01","$25,348.81",$0.031,"$-4,266.93",$-252.686,-,"$5,216.369","$30,565.18"
2015-09-30,$856.861,$564.344,-,-,-,"$1,421.205","$23,543.73",-,-,"$4,489.117","$29,427.03","$30,848.23","$1,307.707","$22,629.05","$1,558.626","$24,213.22","$25,520.92",$0.031,"$-4,159.156",$-248.369,-,"$5,327.306","$30,848.23"
2015-06-30,$565.657,$537.172,-,-,-,"$1,102.829","$23,489.67",-,-,"$4,364.012","$29,187.63","$30,290.46","$1,215.444","$22,070.78","$1,592.624","$23,688.94","$24,904.38",$0.031,"$-4,097.329",$-246.575,-,"$5,386.076","$30,290.46"
2015-03-31,$833.732,$523.734,-,-,-,"$1,357.466","$23,391.31",-,-,"$3,881.881","$29,124.99","$30,482.45","$1,122.444","$21,694.05","$1,668.428","$23,388.02","$24,510.46",$0.031,"$-4,112.139",$-151.831,-,"$5,971.99","$30,482.45"
2014-12-31,$612.282,$580.197,-,-,-,"$1,192.479","$22,367.79",-,-,"$4,165.277","$28,339.85","$29,532.33","$1,259.681","$20,852.99","$1,442.614","$22,321.14","$23,580.82",$0.031,"$-4,208.183",$-61.041,-,"$5,951.505","$29,532.33"
2014-09-30,$817.998,$516.857,-,-,-,"$1,334.855","$22,293.8",-,-,"$4,327.165","$28,337.31","$29,672.16","$1,150.9","$21,202.36","$1,426.711","$22,654.61","$23,805.51",$0.031,"$-4,200.226",$-125.414,-,"$5,866.657","$29,672.16"
2014-06-30,"$1,665.817",$487.839,-,-,-,"$2,153.656","$22,382.86",-,-,"$4,526.018","$28,432.76","$30,586.41","$1,147.425","$21,901.06","$1,396.784","$23,323.38","$24,470.8",$0.031,"$-4,049.079",$-61.736,-,"$6,115.608","$30,586.41"
2014-03-31,"$1,013.368",$530.479,-,-,-,"$1,543.847","$25,288.47",-,-,"$4,358.294","$31,211.75","$32,755.6","$1,259.452","$23,186.61","$1,337.644","$24,631.87","$25,891.32",$0.031,"$-3,273.092",$-67.579,-,"$6,864.281","$32,755.6"
2013-12-31,"$1,691.006",$520.361,-,-,-,"$2,211.367","$22,243.85",-,-,"$4,444.26","$31,113.21","$33,324.57","$1,223.102","$22,669.92","$1,300.649","$25,278.84","$26,501.94",$0.031,"$-3,218.686",$-75.795,-,"$6,822.632","$33,324.57"
2013-09-30,"$1,099.321",$529.893,-,-,-,"$1,629.214","$24,960.6",-,-,"$3,963.13","$30,482.2","$32,111.41","$1,328.089","$22,729.65","$1,069.381","$23,978.83","$25,306.92",$0.031,"$-3,218.89",$-76.702,-,"$6,804.493","$32,111.41"
2013-06-30,"$1,095.829",$491.388,-,-,-,"$1,587.217","$25,091.16",-,-,"$3,862.342","$30,427.92","$32,015.14","$1,273.211","$22,687.62","$1,068.039","$23,935.68","$25,208.89",$0.031,"$-3,174.266",$-102.327,-,"$6,806.247","$32,015.14"
2013-03-31,$829.966,$454.11,-,-,-,"$1,284.076","$25,088.92",-,-,"$3,993.039","$30,602.05","$31,886.12","$1,231.298","$22,572.62","$1,071.52","$23,831.54","$25,062.84",$0.031,"$-3,164.876",$-82.734,-,"$6,823.279","$31,886.12"
2012-12-31,"$1,184.518",$521.301,-,-,-,"$1,705.819","$25,184.13",-,-,"$4,125.92","$30,880.79","$32,586.61","$1,374.172","$23,113.01","$1,028.332","$24,319.35","$25,693.52",$0.031,"$-3,083.19",$-90.9,-,"$6,893.089","$32,586.61"
2012-09-30,$452.712,$456.397,-,-,-,$909.109,"$25,265.66",-,-,"$3,958.779","$31,068.87","$31,977.98","$1,204.438","$22,569.63","$1,028.858","$23,952.5","$25,156.94",$0.031,"$-3,057.328",$-64.776,-,"$6,821.041","$31,977.98"
2012-06-30,$638.499,$423.917,-,-,-,"$1,062.416","$25,236.01",-,-,"$3,942.662","$30,924.17","$31,986.58","$1,168.636","$22,466.56",$957.311,"$23,687.35","$24,855.98",$0.031,"$-2,974.231",$-81.656,-,"$7,130.599","$31,986.58"
2012-03-31,$880.549,$417.085,-,-,-,"$1,297.634","$25,335.73",-,-,"$3,985.3","$31,119.83","$32,417.46","$1,127.794","$22,800.56",$933.188,"$23,996.14","$25,123.93",$0.031,"$-2,885.666",$-23.72,-,"$7,293.534","$32,417.46"
2011-12-31,$798.65,$486.731,-,-,-,"$1,936.381","$21,268.92",-,-,"$1,378.084","$24,280.54","$26,216.93","$1,091.712","$18,446.44",$866.54,"$19,580.92","$20,672.64",$0.03,"$-3,251.74",$-94.263,-,"$5,544.288","$26,216.93"
2011-09-30,$575.817,$413.922,-,-,-,"$1,640.739","$20,521.6",-,-,"$1,461.694","$23,934.47","$25,575.21","$1,151.19","$17,902.96",$837.689,"$18,912.01","$20,063.2",$0.03,"$-3,220.052",$-102.004,-,"$5,512.01","$25,575.21"
2011-06-30,$789.713,$381.895,-,-,-,"$1,822.608","$19,398.44",-,-,"$1,345.912","$22,711.41","$24,534.02","$1,049.313","$17,013.89",$811.554,"$17,915.61","$18,964.92",$0.03,"$-3,202.852",$45.853,-,"$5,569.101","$24,534.02"
2011-03-31,$636.05,$372.65,-,-,-,"$1,659.7","$19,651.37",-,-,"$1,379.112","$22,909.57","$24,569.27","$1,014.413","$17,171.72",$732.854,"$17,994.79","$19,009.21",$0.03,"$-3,173.873",$20.478,-,"$5,560.067","$24,569.27"
2010-12-31,$796.718,$426.736,-,-,-,"$1,874.454","$19,797.43",-,-,"$1,390.105","$22,982.98","$24,857.43",$993.738,"$17,473.76",$670.71,"$18,229.94","$19,223.68",$0.03,"$-3,114.571",$6.53,-,"$5,633.752","$24,857.43"
2010-09-30,"$1,011.574",$383.168,-,-,-,"$2,045.742","$19,964.25",-,-,"$1,412.207","$22,742.55","$24,788.29",$984.24,"$17,485.47",$625.032,"$18,196.19","$19,180.43",$0.03,"$-3,099.689",$-25.851,-,"$5,607.862","$24,788.29"
2010-06-30,"$2,293.242",$343.588,-,-,-,"$3,298.33","$18,053.56",-,-,"$1,404.367","$20,626.29","$23,924.62",$920.778,"$17,071.02",$524.318,"$17,678.34","$18,599.12",$0.03,"$-3,154.723",$-69.134,-,"$5,325.501","$23,924.62"
2010-03-31,"$3,326.642",$355.469,-,-,-,"$4,314.111","$18,085.14",-,-,"$1,418.987","$20,663.16","$24,977.28",$952.526,"$17,883.19",$651.941,"$18,883.22","$19,835.75",$0.029,"$-3,119.32",$-27.517,-,"$5,141.527","$24,977.28"
2009-12-31,"$3,957.718",$402.729,-,-,-,"$4,992.447","$18,331.65",-,-,"$1,468.577","$20,955.82","$25,948.27",$987.53,"$18,630.3",$617.099,"$19,777.78","$20,765.3",$0.029,"$-2,955.671",$-3.088,-,"$5,182.962","$25,948.27"
2009-09-30,"$3,745.693",$352.638,-,-,-,"$4,734.332","$18,568",-,-,"$1,507.483","$21,242.27","$25,976.6","$1,050.269","$18,669.12",$625.803,"$19,825.36","$20,875.63",$0.029,"$-2,872.685",$-15.158,-,"$5,100.973","$25,976.6"
2009-06-30,"$2,628.431",$343.365,-,-,-,"$3,557.796","$18,723.22",-,-,"$1,552.303","$21,452.52","$25,010.32",$984.851,"$17,936.4",$592.089,"$19,099.5","$20,084.35",$0.029,"$-2,793.217",$-52.116,-,"$4,925.971","$25,010.32"
2009-03-31,$898.328,$364.095,-,-,-,"$1,798.423","$18,876.31",-,-,"$1,573.35","$21,489.06","$23,287.49",$981.905,"$17,385.05",$589.875,"$18,631.04","$19,612.95",$0.046,"$-2,602.752",$-218.479,-,"$3,674.54","$23,287.49"
2008-12-31,$773.544,$414.856,-,-,-,"$1,709.1","$19,021.43",-,-,"$1,663.886","$21,713.65","$23,422.75","$1,086.248","$18,042.53",$535.881,"$19,234.53","$20,320.78",$0.024,"$-2,491.929",$-165.066,-,"$3,101.967","$23,422.75"
2008-09-30,$646.116,$368.727,-,-,-,"$1,545.543","$19,059.18",-,-,"$1,696.726","$22,218.73","$23,764.28","$1,151.176","$17,879.27",$540.838,"$19,300.01","$20,451.18",$0.024,"$-2,384.363",$9.571,-,"$3,313.091","$23,764.28"
