,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$9,740","$20,215",-,"$1,822","$20,231","$52,008","$127,315","$1,780","$267,782","$52,162","$449,039","$525,761","$63,438","$153,775","$28,358","$283,083","$346,521","$7,621","$37,457","$4,330",-,"$179,240","$525,761"
2020-09-30,"$9,758","$19,379",-,"$1,420","$19,414","$49,971","$128,722","$2,325","$283,183","$49,806","$464,036","$538,553","$59,565","$152,980","$30,520","$283,932","$343,497","$7,621","$55,094",$649,-,"$195,056","$538,553"
2020-06-30,"$16,941","$19,127",-,"$1,439","$19,048","$56,555","$128,945","$2,302","$284,623","$50,781","$466,651","$547,898","$69,469","$153,388","$32,804","$284,976","$354,445","$7,621","$56,045",$129,-,"$193,453","$547,898"
2020-03-31,"$9,955","$19,908",-,"$1,600","$21,241","$52,704","$128,921","$3,606","$285,124","$50,991","$468,642","$545,354","$69,704","$147,202","$34,600","$280,201","$349,905","$7,621","$58,534",$-385,-,"$195,449","$545,354"
2019-12-31,"$12,130","$22,636",-,"$1,631","$18,364","$54,761","$130,128","$3,695","$288,513","$50,533","$472,869","$551,669","$68,911","$151,309","$29,421","$280,824","$349,735","$7,621","$57,936","$5,470",-,"$201,934","$551,669"
2019-09-30,"$6,588","$22,921",-,"$1,493","$19,693","$50,695","$131,316","$4,137","$288,047","$50,124","$473,624","$548,796","$68,126","$153,568","$29,848","$286,343","$354,469","$7,621","$59,347","$2,137",-,"$194,327","$548,796"
2019-06-30,"$8,423","$22,381",-,"$1,441","$14,973","$47,218","$132,074","$4,133","$291,159","$49,680","$477,046","$546,914","$66,376","$157,790","$28,176","$286,457","$352,833","$7,621","$59,389","$3,289",-,"$194,081","$546,914"
2019-03-31,"$6,516","$23,863",-,"$1,518","$14,575","$46,472","$132,051","$6,230","$292,385","$51,011","$481,677","$548,384","$64,652","$163,942","$27,715","$288,781","$353,433","$7,621","$59,424","$4,345",-,"$194,951","$548,384"
2018-12-31,"$5,204","$26,472",-,"$2,047","$17,704","$51,427","$131,473","$6,245","$293,128","$49,591","$480,437","$531,864","$64,420","$166,250","$30,233","$273,560","$337,980","$7,621","$58,753","$4,249",-,"$193,884","$531,864"
2018-09-30,"$8,657","$26,312",-,"$1,860","$16,278","$53,107","$130,348","$6,128","$295,614","$49,673","$481,763","$534,870","$65,420","$168,513","$26,490","$284,479","$349,899","$7,621","$57,624","$5,383",-,"$184,971","$534,870"
2018-06-30,"$13,523","$25,492",-,"$1,966","$14,305","$55,286","$129,556","$8,007","$294,649","$47,193","$479,405","$534,691","$68,593","$168,495","$25,017","$281,968","$350,561","$7,621","$56,555","$5,716",-,"$184,130","$534,691"
2018-03-31,"$48,872","$16,290",-,"$1,335","$12,008","$78,505","$125,124","$2,623","$219,117","$20,974","$367,838","$446,343","$70,580","$133,724","$19,117","$228,687","$299,267","$6,495","$55,067","$7,386",-,"$147,076","$446,343"
2017-12-31,"$50,498","$16,522",-,"$1,369","$10,757","$79,146","$125,222","$1,560","$219,725","$18,444","$364,951","$444,097","$81,389","$125,972","$19,747","$220,701","$302,090","$6,495","$50,500","$7,017",-,"$142,007","$444,097"
2017-09-30,"$48,499","$15,876",-,"$1,258","$10,724","$76,357","$126,462","$1,627","$221,087","$18,332","$367,508","$443,865","$47,693","$154,728","$19,723","$270,063","$317,756","$6,495","$36,074","$5,580",-,"$126,109","$443,865"
2017-06-30,"$25,617","$14,997",-,"$1,371","$11,562","$53,547","$126,184","$1,615","$221,804","$17,645","$367,248","$420,795","$48,012","$132,824","$20,753","$246,925","$294,937","$6,495","$36,067","$5,389",-,"$125,858","$420,795"
2017-03-31,"$14,884","$15,078",-,"$1,418","$14,347","$45,727","$125,292","$1,551","$221,871","$17,462","$366,176","$411,903","$50,690","$120,568","$21,160","$236,232","$286,922","$6,495","$35,175","$5,160",-,"$124,981","$411,903"
2016-12-31,"$5,788","$16,794",-,"$1,555","$14,232","$38,369","$124,899","$1,674","$222,067","$16,812","$365,452","$403,821","$50,576","$113,681","$21,748","$229,135","$279,711","$6,495","$34,734","$4,961",-,"$124,110","$403,821"
2016-09-30,"$5,895","$16,855",-,"$1,333","$13,291","$37,374","$123,922","$1,679","$223,473","$16,527","$365,601","$402,975","$47,102","$117,239","$20,899","$231,270","$278,372","$6,495","$35,319","$4,850",-,"$124,603","$402,975"
2016-06-30,"$7,208","$15,830",-,"$1,197","$11,770","$36,005","$123,537","$1,677","$224,716","$15,873","$365,803","$401,808","$46,465","$117,308","$21,425","$230,972","$277,437","$6,495","$34,950","$4,814",-,"$124,371","$401,808"
2016-03-31,"$10,008","$16,070",-,"$1,378","$10,545","$38,001","$123,454","$1,594","$225,086","$15,503","$365,637","$403,638","$44,528","$122,104","$20,998","$234,705","$279,233","$6,495","$34,506","$5,180",-,"$124,405","$403,638"
2015-12-31,"$5,121","$16,532",-,"$1,072","$13,267","$35,992","$124,450","$1,606","$225,278","$15,346","$366,680","$402,672","$47,816","$118,515","$22,258","$231,216","$279,032","$6,495","$33,671","$5,334",-,"$123,640","$402,672"
2015-09-30,"$6,202","$16,329",-,"$1,166","$11,254","$34,951","$122,836","$1,744","$226,873","$13,585","$365,038","$399,989","$47,938","$119,395","$20,427","$229,262","$277,200","$6,495","$32,627","$5,294",-,"$122,789","$399,989"
2015-06-30,"$20,956","$13,821",-,$834,"$6,421","$43,163","$114,348",$288,"$158,227","$10,463","$283,326","$326,489","$40,527","$105,067","$18,240","$198,461","$238,988","$6,495","$29,086","$7,039",-,"$87,501","$326,489"
2015-03-31,"$4,444","$13,592",-,$930,"$6,906","$27,410","$113,198",$266,"$157,324","$9,830","$280,618","$308,028","$37,651","$88,272","$19,908","$183,273","$220,924","$6,495","$28,490","$7,341",-,"$87,104","$308,028"
2014-12-31,"$8,603","$14,527",-,$831,"$9,645","$33,606","$112,898",$250,"$136,655","$13,425","$263,228","$296,834","$37,282","$75,778","$17,989","$169,282","$206,564","$6,495","$31,081","$8,061",-,"$90,270","$296,834"
2014-09-30,"$2,458","$13,445",-,$869,"$8,033","$25,835","$115,134",$166,"$137,167","$9,637","$262,104","$287,939","$39,979","$70,516","$17,014","$154,841","$194,820","$6,495","$34,165","$7,926",-,"$93,119","$287,939"
2014-06-30,"$11,305","$13,001",-,$928,"$6,698","$33,112","$114,360",$159,"$136,129","$9,706","$260,354","$293,466","$43,788","$73,570","$16,578","$157,053","$200,841","$6,495","$33,554","$7,851",-,"$92,625","$293,466"
2014-03-31,"$3,611","$13,120",-,"$1,000","$5,187","$24,089","$112,809","$3,613","$135,819","$9,010","$261,251","$285,340","$39,830","$71,575","$16,089","$154,141","$193,971","$6,495","$32,402","$7,666",-,"$91,369","$285,340"
2013-12-31,"$3,339","$12,918",-,$960,"$4,780","$23,196","$110,968","$3,860","$131,485","$8,278","$254,591","$277,787","$34,995","$69,290","$15,766","$151,310","$186,305","$6,495","$31,141","$7,880",-,"$91,482","$277,787"
