,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$10,385","$7,853","$2,527",$624,"$2,496","$23,885","$41,175",-,"$16,415","$85,607","$176,277","$200,162","$21,703","$71,018","$5,412","$113,115","$134,818",-,"$-5,836","$-1,581",-,"$65,344","$200,162"
2020-09-30,"$6,571","$7,415","$1,931",$659,"$2,889","$19,465","$38,567",-,"$16,566","$85,410","$172,978","$192,443","$19,840","$67,508","$3,577","$108,116","$127,956",-,"$-6,586","$-1,621",-,"$64,487","$192,443"
2020-06-30,"$11,076","$6,573","$1,549",$627,"$4,496","$24,321","$38,801",-,"$16,948","$85,196","$162,878","$187,199","$23,191","$72,035","$3,494","$101,012","$124,203",-,"$-7,839","$-1,658",-,"$62,996","$187,199"
2020-03-31,"$1,112","$4,268","$1,225",-,"$2,882","$9,487","$22,149",-,"$2,021","$38,497","$77,739","$87,226","$14,756","$26,452",$959,"$43,493","$58,249",-,"$-7,949","$-1,660",-,"$28,977","$87,226"
2019-12-31,"$1,528","$4,508",$964,$333,"$1,972","$9,305","$21,984",-,"$2,045","$38,356","$77,616","$86,921","$12,506","$28,526",$954,"$45,626","$58,132",-,"$-8,833",$-868,-,"$28,789","$86,921"
2019-09-30,"$1,653","$4,267",$801,-,"$1,737","$8,458","$22,098",-,"$2,074","$38,241","$77,651","$86,109","$12,869","$28,623",$936,"$45,469","$58,338",-,"$-9,584","$-1,070",-,"$27,771","$86,109"
2019-06-30,"$1,105","$4,281",$998,-,"$1,730","$8,114","$21,847",-,"$2,058","$38,137","$76,674","$84,788","$13,173","$28,500",$913,"$44,648","$57,821",-,"$-10,454",$-813,-,"$26,967","$84,788"
2019-03-31,"$1,439","$4,231","$1,261",-,"$1,814","$8,745","$21,464",-,"$2,075","$37,279","$74,328","$83,073","$13,327","$28,405",$896,"$43,565","$56,892",-,"$-11,393",$-521,-,"$26,181","$83,073"
2018-12-31,"$1,203","$4,318","$1,084",-,"$1,676","$8,281","$23,359",-,"$2,099","$37,182","$64,187","$72,468","$10,267","$29,263",$967,"$37,483","$47,750",-,"$-12,954",$-332,-,"$24,718","$72,468"
2018-09-30,$329,"$4,030",$958,-,"$1,969","$7,286","$22,502",-,"$2,130","$37,041","$62,896","$70,182","$8,572","$29,139",$985,"$37,255","$45,827",-,"$-13,594",-,-,"$24,355","$70,182"
2018-06-30,$215,"$3,949",$998,-,"$1,929","$7,091","$22,375",-,"$2,161","$36,843","$62,601","$69,692","$9,281","$29,220",$968,"$37,021","$46,302",-,"$-14,389",-,-,"$23,390","$69,692"
2018-03-31,"$2,527","$3,983","$1,311",-,"$1,788","$9,609","$22,308",-,"$2,192","$36,661","$62,395","$72,004","$12,357","$29,295",$933,"$36,771","$49,128",-,"$-15,179",$5,-,"$22,876","$72,004"
2017-12-31,"$1,219","$4,227","$1,566",-,"$1,903","$8,915","$22,196",-,"$1,900","$36,278","$61,648","$70,563","$11,515","$29,297",$935,"$36,489","$48,004",-,"$-16,074",$8,-,"$22,559","$70,563"
2017-09-30,$739,"$3,894",$999,-,"$1,817","$7,449","$21,570",-,"$1,939","$35,865","$60,474","$67,923","$8,103","$30,348",$967,"$39,543","$47,646",-,"$-18,781",$4,-,"$20,277","$67,923"
2017-06-30,$181,"$3,811","$1,208",-,"$1,580","$6,780","$21,423",-,"$1,979","$35,875","$60,379","$67,159","$8,828","$29,898",$971,"$38,717","$47,545",-,"$-19,331",$3,-,"$19,614","$67,159"
2017-03-31,"$7,501","$3,768","$1,021",-,"$3,609","$15,899","$21,235",-,"$2,021","$27,918","$52,149","$68,048","$15,285","$25,319","$1,004","$33,800","$49,085",-,"$-19,912",$2,-,"$18,963","$68,048"
2016-12-31,"$5,500","$3,866","$1,111",-,"$3,740","$14,217","$20,943",-,"$2,059","$27,688","$51,674","$65,891","$9,022","$30,053","$1,026","$38,633","$47,655",-,"$-20,610",$1,-,"$18,236","$65,891"
2016-09-30,"$5,352","$3,600","$1,039",-,"$3,539","$13,530","$20,574",-,"$2,114","$27,215","$50,742","$64,272","$8,119","$30,054","$1,007","$38,300","$46,419",-,"$-21,000",$1,-,"$17,853","$64,272"
2016-06-30,"$5,538","$3,736","$1,388",-,"$3,618","$14,280","$20,570",-,"$2,169","$26,118","$49,688","$63,968","$8,752","$29,808","$1,038","$37,821","$46,573",-,"$-21,366",$-1,-,"$17,395","$63,968"
2016-03-31,"$6,572","$4,066","$1,443",-,"$1,263","$13,344","$20,625",-,"$2,224","$25,966","$49,719","$63,063","$9,369","$28,745","$1,047","$36,590","$45,959",-,"$-21,591",$-4,-,"$17,104","$63,063"
2015-12-31,"$7,580","$4,202","$1,295",-,"$1,813","$14,890","$20,000",-,"$2,277","$24,399","$47,523","$62,413","$9,528","$28,719","$1,067","$36,328","$45,856",-,"$-22,108",$-1,-,"$16,557","$62,413"
2015-09-30,"$2,633","$5,239","$1,236",-,"$1,890","$12,656","$18,101",-,"$2,345","$23,997","$45,817","$58,473","$8,843","$24,570",$795,"$33,378","$42,221",-,"$-22,405",$-1,-,"$16,252","$58,473"
2015-06-30,"$2,642","$5,382","$1,135",-,"$1,019","$11,657","$16,910",-,"$2,418","$24,592","$45,531","$57,188","$8,264","$24,512",$642,"$32,871","$41,135",-,"$-22,543",$1,-,"$16,053","$57,188"
2015-03-31,"$3,032","$5,277","$1,230",-,"$1,063","$11,635","$16,483",-,"$2,488","$24,369","$44,923","$56,558","$8,649","$24,384",$654,"$32,259","$40,908",-,"$-22,904",$1,-,"$15,650","$56,558"
2014-12-31,"$5,315","$5,003","$1,085",-,"$1,593","$13,984","$16,245",-,"$2,553","$22,243","$42,669","$56,653","$8,776","$24,394",$616,"$32,214","$40,990",-,"$-22,841",$1,-,"$15,663","$56,653"
2014-09-30,"$5,787","$4,515",$674,-,"$1,369","$13,295","$15,798",-,"$2,639","$23,383","$41,820","$55,115","$8,605","$24,394",$558,"$31,985","$40,590",-,"$-22,942",$1,-,"$14,525","$55,115"
2014-06-30,"$3,080","$4,026",$791,-,"$1,179","$9,896","$15,537",-,"$2,723","$23,508","$41,768","$51,664","$7,131","$22,471",$505,"$29,970","$37,101",-,"$-22,848",-,-,"$14,563","$51,664"
2014-03-31,"$5,471","$3,620",$676,-,"$2,267","$12,957","$15,427",-,"$2,806","$18,979","$37,212","$50,169","$6,110","$22,435",$671,"$29,903","$36,013",-,"$-23,239",-,-,"$14,156","$50,169"
2013-12-31,"$5,891","$3,660",$586,-,"$1,252","$12,228","$15,349",-,"$2,887","$18,414","$37,725","$49,953","$5,808","$22,441",$701,"$29,900","$35,708",-,"$-23,088",$3,-,"$14,245","$49,953"
2013-09-30,"$2,365","$3,389",$761,-,$676,"$7,964","$15,370",$91,"$2,980","$19,362","$37,803","$45,767","$5,514","$20,449",$632,"$27,838","$33,352",-,"$-23,068",$2,-,"$12,415","$45,767"
2013-06-30,"$2,362","$3,033",$819,-,$598,"$7,313","$15,185",$87,"$3,073","$19,076","$37,421","$44,734","$5,398","$19,955",$636,"$26,977","$32,375",-,"$-23,032",$2,-,"$12,359","$44,734"
2013-03-31,"$6,176.698",$87.81,$254.871,$97.361,$70.238,"$6,772.704","$4,177.5",$1.679,"$2,564.495",$146.168,"$6,889.842","$13,662.55","$3,189.125","$5,807.17",$90.516,"$7,081.48","$10,270.61",$0.037,"$1,572.986",$-7.571,-,"$3,391.941","$13,662.55"
2012-12-31,$394,"$3,360",$457,-,$675,"$5,541","$12,807",-,$79,"$15,195","$28,081","$33,622","$5,592","$16,116",$297,"$21,915","$27,507",-,"$-23,123",$41,-,"$6,115","$33,622"
2012-09-30,"$2,565.282",$95.263,$312.632,$80.04,$52.349,"$3,184.822","$4,197.399",$1.679,"$2,562.315",$125.694,"$6,887.087","$10,071.91",$784.65,"$4,731.174",$91.496,"$5,964.812","$6,749.462",$0.036,"$1,521.925",$-4.625,-,"$3,322.447","$10,071.91"
2012-06-30,"$2,348.554",$87.86,$259.011,$88.087,$22.709,"$2,895.8","$4,069.34",$6.319,"$2,561.904",$196.269,"$6,833.833","$9,729.632",$741.878,"$4,726.434",$91.128,"$5,871.464","$6,613.342",$0.036,"$1,329.257",$-8.586,-,"$3,116.29","$9,729.632"
2012-03-31,"$2,216.149",$80.973,$252.158,$70.644,$35.434,"$2,767.35","$4,007.177",$6.319,"$2,541.657",$186.704,"$6,741.857","$9,509.207",$778.033,"$4,726.077",$90.792,"$5,773.398","$6,551.431",$0.036,"$1,180.422",$-9.549,-,"$2,957.776","$9,509.207"
2011-12-31,"$2,243.254",$78.023,$239.648,$55.712,$44.772,"$2,743.593","$4,017.999",$6.319,"$2,539.041",$175.979,"$6,739.338","$9,482.931",$816.723,"$4,711.021",$90.453,"$5,738.608","$6,555.331",$0.036,"$1,159.418",$-9.295,-,"$2,927.6","$9,482.931"
2011-09-30,"$2,140.742",$65.048,$147.002,$66.763,$42.795,"$2,549.818","$4,009.265",$6.319,"$2,538.6",$175.599,"$6,729.783","$9,279.601",$779.338,"$4,710.992",$92.673,"$5,674.793","$6,454.131",$0.036,"$1,068.148",$-12.947,-,"$2,825.47","$9,279.601"
2011-06-30,"$2,155.948",$62.506,$140.048,$64.982,$49.887,"$2,568.302","$3,856.869",$8.035,"$2,538.36",$129.461,"$6,532.725","$9,101.027",$725.673,"$4,714.512",$80.744,"$5,625.636","$6,351.309",$0.036,$998.822,$-7.582,-,"$2,749.718","$9,101.027"
