,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,651.8",$436.3,$631.9,$67.8,$89.4,"$2,877.2",$730.2,-,"$2,693.4",$113.6,"$5,273.2","$8,150.4","$1,533.1","$1,589.3",$365.4,"$3,726.6","$5,259.7",$2.8,$-450,$-50.4,-,"$2,890.7","$8,150.4"
2020-09-30,"$1,522.4",$366.4,$811.2,$70.9,$74.6,"$2,845.5",$753,-,"$2,685",$100,"$5,287.9","$8,133.4","$1,819","$1,588.6",$368.1,"$3,784.3","$5,603.3",$2.8,$-761,$-76.5,-,"$2,530.1","$8,133.4"
2020-06-30,"$1,434.4",$239.3,$736.9,$57.5,$85,"$2,553.1",$775.2,-,"$2,680.5",$102.5,"$5,371.1","$7,924.2","$1,742.1","$1,587.9",$362.9,"$3,905.7","$5,647.8",$2.8,$-992.7,$-92.2,-,"$2,276.4","$7,924.2"
2020-03-31,$898.2,$225.5,$852.9,$60.2,$95.1,"$2,131.9",$818.7,-,"$2,679.6",$106,"$5,611.1","$7,743","$1,138.9","$1,587.2",$361.9,"$4,051","$5,189.9",$2.8,$-699,$-96.7,-,"$2,553.1","$7,743"
2019-12-31,"$1,166.7",$406.8,$748.3,$65.2,$124.4,"$2,511.4",$886.3,-,"$3,161.1",$108.7,"$6,188.7","$8,700.1","$1,252.3","$1,598",$395.7,"$4,125.4","$5,377.7",$2.8,$71.3,$-85,-,"$3,322.4","$8,700.1"
2019-09-30,$788.4,$365.7,$880.2,$65.2,$104.4,"$2,203.9",$889.3,-,"$3,163.1",$108,"$6,246.2","$8,450.1","$1,212","$1,597.3",$391.6,"$4,151.2","$5,363.2",$2.8,$-134.3,$-96,-,"$3,086.9","$8,450.1"
2019-06-30,"$1,233.8",$353.9,$778.3,$99.8,$91,"$2,556.8",$938.8,$0.1,"$3,228.1",$134.1,"$4,320.5","$6,877.3",$918,"$1,601.9",$609.9,"$2,445.9","$3,363.9",$2.9,$291.6,$-83.2,-,"$3,513.4","$6,877.3"
2019-03-31,"$1,337.3",$326.6,$811.1,$87.9,$99.5,"$2,662.4",$921.6,$0.1,"$3,220.9",$138.9,"$4,307.5","$6,969.9",$996.6,"$1,601.5",$595.3,"$2,442.1","$3,438.7",$2.9,$340.2,$-90.5,-,"$3,531.2","$6,969.9"
2018-12-31,"$1,495.2",$418.6,$732.4,$86.9,$95.4,"$2,828.5",$896,$0.1,"$3,225.3",$137.6,"$4,290.8","$7,119.3","$1,081.1","$1,601",$705.7,"$2,549.8","$3,630.9",$2.9,$320.7,$-91.5,-,"$3,488.4","$7,119.3"
2018-09-30,"$1,063.2",$375.9,$820.9,$109.1,$98.4,"$2,467.5",$888.3,-,"$3,213.5",$111.2,"$4,235.8","$6,703.3",$899.4,"$1,600.5",$668.3,"$2,494.3","$3,393.7",$2.9,$163.7,$-88.1,-,"$3,309.6","$6,703.3"
2018-06-30,"$1,250",$339.9,$673.8,$82.6,$86.3,"$2,432.6",$885.4,-,"$3,217.2",$118.8,"$4,245.7","$6,678.3",$938.2,"$1,599.9",$689.4,"$2,495.5","$3,433.7",$2.9,$119,$-82.8,-,"$3,244.6","$6,678.3"
2018-03-31,"$1,038.3",$391.9,$714.3,$143.8,-,"$2,288.3",$889.4,$0.1,"$3,253.8",$124.4,"$4,299.7","$6,588",$860.1,"$1,599.5",$750.3,"$2,589.9","$3,450",$2.9,$4.5,$-46.4,-,"$3,138","$6,588"
2017-12-31,"$2,091.8",$393.4,$666.2,$130.9,-,"$3,282.3",$877,$27.3,"$3,147.7",$120.7,"$4,198.9","$7,481.2","$1,731.4","$1,887.5",$739.5,"$2,800.4","$4,531.8",$2.8,$-38.8,$-72.3,-,"$2,949.4","$7,481.2"
2017-09-30,"$1,670.9",$367.7,$852.8,$130.9,-,"$3,022.3",$860.8,$70,"$3,163.3",$133.9,"$4,432.1","$7,454.4","$1,734.9","$1,888.2",$891.3,"$2,779.5","$4,514.4",$2.8,$-5.9,$-81.3,-,"$2,940","$7,454.4"
2017-06-30,"$3,083.6",$309.5,$469.7,$58.6,$31.9,"$3,953.3",$691.4,$75.1,$821.3,$120,"$1,878.3","$5,831.6",$753.8,"$1,579.5",$433.1,"$2,075.9","$2,829.7",$2.8,$107.7,$-86.9,-,"$3,001.9","$5,831.6"
2017-03-31,"$1,891.9",$261.4,$478.7,$137.6,-,"$2,769.6",$661.2,$104.4,$824,$125.4,"$1,891.4","$4,661",$636.3,$591.8,$541,"$1,132.8","$1,769.1",$2.8,$51.1,$-93.8,-,"$2,891.9","$4,661"
2016-12-31,"$1,835.9",$315.1,$464.9,$149.8,-,"$2,765.7",$641.2,$110.1,$811.9,$121.5,"$1,913","$4,678.7",$715.2,$591.6,$560.8,"$1,152.4","$1,867.6",$2.8,$23.7,$-115.7,-,"$2,811.1","$4,678.7"
2016-09-30,"$1,533.2",$245.1,$546.8,$66.1,$114,"$2,505.2",$774.6,$74.4,$851,$130.6,"$2,079.4","$4,584.6",$697.2,$591.4,$567.5,"$1,158.9","$1,856.1",$2.8,$-81.3,$-67.6,-,"$2,728.5","$4,584.6"
2016-06-30,"$1,319.4",$258.8,$459.2,$58,$77.5,"$2,172.9",$919.5,$558.6,$849.2,$143.7,"$2,719.8","$4,892.7",$826.7,$861.2,$521.9,"$1,383.1","$2,209.8",$2.8,$-104.1,$-72.9,-,"$2,682.9","$4,892.7"
2016-03-31,"$1,282.4",$263.2,$464.1,$76.8,$85.9,"$2,265.1",$823.2,$567.9,$803.2,$217.1,"$2,411.4","$4,676.5",$731.5,$868.5,$451.1,"$1,319.6","$2,051.1",$2.8,$-91.7,$-92.1,-,"$2,625.4","$4,676.5"
2015-12-31,"$1,337.1",$303.6,$438.5,$85.8,$53,"$2,301.6",$784.4,$515.1,$787.8,$214.8,"$2,302.1","$4,603.7",$704,$872,$460.4,"$1,332.4","$2,036.4",$2.8,$-110.4,$-108.3,-,"$2,567.3","$4,603.7"
2015-09-30,"$1,276.2",$246.9,$574.7,$85.2,$89.2,"$2,351.6",$727.4,$480.4,$790.3,$204.7,"$2,202.8","$4,554.4",$751,$875.6,$454.3,"$1,329.9","$2,080.9",$2.8,$-186.8,$-103.1,-,"$2,473.5","$4,554.4"
2015-06-30,"$1,525.8",$219.5,$485.1,$73.1,$104.6,"$2,506.5",$732.6,$406,$794.1,$111.9,"$2,160.4","$4,666.9",$834.7,$879.1,$463.2,"$1,342.3","$2,177",$2.8,$-189.6,$-77.7,-,"$2,489.9","$4,666.9"
2015-03-31,"$2,021.2",$196.9,$456.9,-,$129,"$2,898",$668.4,$399.7,$315.6,$231,"$1,614.7","$4,512.7",$691,$889.2,$392.2,"$1,281.4","$1,972.4",$2.8,$-107.9,$-74.3,-,"$2,540.3","$4,512.7"
2014-12-31,"$1,064.9",$228.5,$447.2,-,$107.6,"$1,947.4",$684,$464.6,$315.5,$205.7,"$1,669.8","$3,617.2",$715.4,-,$383.8,$383.8,"$1,099.2",$2.8,$-102.9,$-70.3,-,"$2,518","$3,617.2"
2014-09-30,$907.5,$209,$597.4,-,$136,"$1,938.8",$701.2,$467.7,$339.4,$223.9,"$1,732.2","$3,671",$817.5,-,$413.4,$413.4,"$1,230.9",$2.8,$-193.3,$-35.6,-,"$2,440.1","$3,671"
2014-06-30,$868.6,$198.6,$526.2,$45.5,$103.7,"$1,855.2",$713.9,$484.5,$371.2,$126.7,"$1,807.9","$3,663.1",$813.1,-,$429.4,$429.4,"$1,242.5",$2.7,$-219.5,$-8.7,-,"$2,420.6","$3,663.1"
2014-03-31,$774.904,$197.744,$583.743,-,$159.613,"$1,790.089",$742.021,$479.295,$363.417,$205.8,"$1,790.533","$3,580.622",$787.946,-,$403.397,$403.397,"$1,191.343",$2.742,$-202.148,$-16.303,-,"$2,389.279","$3,580.622"
2013-12-31,$798.835,$228.631,$553.026,-,$207.184,"$1,787.676",$748.336,$456.169,$357.853,$132.079,"$1,756.141","$3,543.817",$702.895,-,$410.195,$410.195,"$1,113.09",$2.776,$-125.16,$-24.227,-,"$2,430.727","$3,543.817"
2013-09-30,$854.745,$177.975,$637.214,$46.227,$46.757,"$1,872.065",$720.891,$316.642,$372.876,$204.916,"$1,615.325","$3,487.39",$707.428,$0.485,$400.906,$401.391,"$1,108.819",$2.804,$-153.758,$-6.765,-,"$2,378.571","$3,487.39"
2013-06-30,"$1,134.891",$175.477,$524.706,$37.956,$86.799,"$2,070.947",$694.771,$197.34,$354.827,$129.167,"$1,460.95","$3,531.897",$722.51,$0.485,$399.744,$400.229,"$1,122.739",$2.819,$-101.884,$-12.246,-,"$2,409.158","$3,531.897"
2013-03-31,$928.495,$177.139,$515.915,-,$272.642,"$1,894.191",$686.597,$103.655,$359.68,$227.997,"$1,377.929","$3,272.12",$614.513,$0.485,$413.157,$413.642,"$1,028.155",$2.809,$-228.23,$10.126,-,"$2,243.965","$3,272.12"
2012-12-31,$858.657,$223.041,$493.659,-,$273.01,"$1,848.367",$701.273,$99.732,$386.699,$243.358,"$1,431.062","$3,279.429",$768.936,$0.485,$427.676,$428.161,"$1,197.097",$2.806,$-382.891,$37.234,-,"$2,082.332","$3,279.429"
2012-09-30,$760.755,$178.307,$598.128,-,$231.397,"$1,768.587",$687.475,-,$416.455,$278.861,"$1,382.791","$3,151.378",$730.903,$0.985,$425.397,$426.382,"$1,157.285",$2.836,$-426.176,$58.684,-,"$1,994.093","$3,151.378"
2012-06-30,$917.215,$174.462,$504.49,$39.365,$73.577,"$1,804.528",$644.449,$6,$385.823,$168.298,"$1,299.793","$3,104.321",$718.16,$0.985,$392.245,$393.23,"$1,111.39",$2.851,$-387.45,$50.475,-,"$1,992.931","$3,104.321"
2012-03-31,$929.67,$169.467,$475.364,-,$185.047,"$1,759.548",$602.685,-,$364.691,$257.946,"$1,225.322","$2,984.87",$623.233,$22.607,$400.128,$422.735,"$1,045.968",$2.874,$-384.139,$44.057,-,"$1,938.902","$2,984.87"
2011-12-31,"$1,085.595",$212.041,$429.031,-,$169.339,"$1,896.006",$595.829,-,$351.988,$257.062,"$1,204.879","$3,100.885",$810.996,$23.165,$397.998,$421.163,"$1,232.159",$2.875,$-372.435,$66.038,-,"$1,868.726","$3,100.885"
2011-09-30,$847.975,$153.061,$519.586,-,$168.526,"$1,689.148",$586.914,-,$351.978,$250.038,"$1,188.93","$2,878.078",$631.373,$23.264,$406.938,$430.202,"$1,061.575",$2.914,$-354.971,$61.73,-,"$1,816.503","$2,878.078"
2011-06-30,$702.038,$142.898,$421.831,$38.203,$53.516,"$1,452.388",$582.348,-,$340.792,$155.931,"$1,182.728","$2,635.116",$593.017,$23.36,$406.17,$429.53,"$1,022.547",$2.886,$-445.654,$54.911,-,"$1,612.569","$2,635.116"
2011-03-31,$886.159,$131.731,$391.442,-,$153.07,"$1,562.402",$552.842,-,$319.035,$287.586,"$1,159.463","$2,721.865",$550.029,$23.454,$405.724,$429.178,$979.207,$2.933,$-202.383,$42.547,-,"$1,742.658","$2,721.865"
2010-12-31,$939.832,$180.583,$367.41,-,$134.799,"$1,622.624",$541.471,-,$330.032,$300.544,"$1,172.047","$2,794.671",$593.274,$23.55,$439.389,$462.939,"$1,056.213",$2.958,$-151.76,$41.097,-,"$1,738.458","$2,794.671"
2010-09-30,$711.963,$133.173,$458.92,-,$121.194,"$1,425.25",$546.246,-,$321.671,$316.663,"$1,184.58","$2,609.83",$569.651,$24.064,$433.442,$457.506,"$1,027.157",$2.957,$-22.935,$35.287,-,"$1,582.673","$2,609.83"
2010-06-30,$696.398,$109.068,$363.285,$30.375,$26.16,"$1,302.641",$548.474,-,$315.649,$143.886,"$1,164.474","$2,467.115",$529.036,$24.159,$408.627,$432.786,$961.822,$2.969,$-30.053,$29.395,-,"$1,505.293","$2,467.115"
2010-03-31,$907.656,$118.147,$306.673,-,$100.738,"$1,510.084",$544.365,$6,$291.029,$290.509,"$1,131.903","$2,641.987",$551.24,$24.245,$403.109,$427.354,$978.594,$3.042,$269.083,$17.087,-,"$1,663.393","$2,641.987"
2009-12-31,"$1,103.177",$178.849,$269.2,-,$98.936,"$1,716.392",$564.483,$6,$293.911,$288.344,"$1,152.738","$2,869.13",$578.461,$24.339,$400.764,$425.103,"$1,003.564",$3.14,$534.203,$13.922,-,"$1,865.566","$2,869.13"
2009-09-30,$994.68,$105.12,$337.545,-,$173.128,"$1,610.473",$582.23,$6,$309.019,$125.616,"$1,184.143","$2,794.616",$532.161,$24.429,$397.045,$421.474,$953.635,$3.186,$616.896,$13.525,-,"$1,840.981","$2,794.616"
2009-06-30,$800.362,$108.707,$326.148,$48.342,$63.374,"$1,396.409",$592.982,$6,$293.175,$116.678,"$1,167.927","$2,564.336",$459.652,$25.072,$383.57,$408.642,$868.294,$3.18,$499.951,$3.851,-,"$1,696.042","$2,564.336"
2009-03-31,$551.267,$127.148,$357.67,-,$195.23,"$1,231.315",$587.108,$6,$282.729,$98.592,"$1,084.686","$2,316.001",$418.273,$24.986,$300.219,$355.814,$774.087,$3.175,$376.931,$-5.739,-,"$1,541.914","$2,316.001"
2008-12-31,$424.153,$192.024,$383.081,-,$221.579,"$1,220.837",$600.437,$6,$399.618,-,"$1,117.124","$2,337.961",$519.309,$25.076,$292.029,$352.641,$871.95,$3.21,$312.035,$0.292,-,"$1,466.011","$2,337.961"
2008-09-30,$409.51,$156.478,$401.797,-,$243.313,"$1,211.098",$464.885,$8,$262.479,$164.45,$899.814,"$2,110.912",$460.94,$2.245,$296.691,$298.936,$759.876,$3.269,$198.447,$19.434,-,"$1,351.036","$2,110.912"
2008-06-30,$698.905,$106.738,$318.49,$65.569,$99.447,"$1,359.218",$464.226,$8,$258.906,$75.657,$888.135,"$2,247.353",$450.941,$2.58,$278.086,$306.037,$756.978,$3.367,$353.122,$18.845,-,"$1,490.375","$2,247.353"
2008-03-31,$616.202,$148.074,$319.655,$49.3,$137.722,"$1,270.953",$420.943,-,$275.566,$188.778,$885.287,"$2,156.24",$364.594,$2.58,$330.613,$333.193,$697.787,$3.412,$332.376,$33.941,-,"$1,458.453","$2,156.24"
2007-12-31,$891.261,$142.095,$300.73,-,$146.462,"$1,480.548",$407.622,-,$244.849,$177.703,$830.174,"$2,310.722",$427.005,$2.58,$275.569,$301.864,$728.869,$3.523,$497.299,$9.983,-,"$1,581.853","$2,310.722"
2007-09-30,"$1,235.356",$148.942,$363.049,-,$138.55,"$1,885.897",$400.807,-,$240.478,$151.849,$793.134,"$2,679.031",$402.124,$2.58,$245.464,$271.074,$673.198,$3.725,$920.533,$0.838,-,"$2,005.833","$2,679.031"
2007-06-30,"$1,185.816",$107.814,$291.192,$16.14,$70.929,"$1,740.196",$368.461,-,$225.659,$29.15,$709.316,"$2,449.512",$407.996,$2.865,$91.849,$131.162,$539.158,$3.725,$940.757,$-12.792,-,"$1,910.354","$2,449.512"
2007-03-31,$936.174,$124.858,$249.818,-,$155.414,"$1,466.264",$344.659,-,$234.848,$97.424,$676.931,"$2,143.195",$338.264,$2.865,$96.62,$99.485,$437.749,$3.711,$780.145,$-7.012,-,"$1,705.446","$2,143.195"
