,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,341.756",-,"$1,783.27",$133.659,-,"$3,258.685","$1,248.96",-,$55.52,$30.484,"$3,790.431","$7,049.116","$1,743.798","$1,017.42",$143.154,"$3,381.478","$5,125.276",$1.401,"$4,187.135",$-3.243,-,"$1,923.84","$7,049.116"
2020-09-30,"$1,111.986",$7.838,"$1,915.04",$136.098,-,"$3,170.962","$1,178.625",-,$124.492,$28.941,"$3,689.835","$6,860.797","$2,132.663",$562.212,$118.283,"$2,852.268","$4,984.931",$1.398,"$4,097.863",$-5.867,-,"$1,875.866","$6,860.797"
2020-06-30,"$1,206.366",-,"$1,688.508",$135.238,-,"$3,030.112","$1,148.225",-,$124.492,$26.757,"$3,580.963","$6,611.075","$2,157.054",$568.144,$102.213,"$2,758.291","$4,915.345",$1.396,"$3,953.795",$-6.335,-,"$1,695.73","$6,611.075"
2020-03-31,$461.473,-,"$1,905.913",$112.853,-,"$2,480.239","$1,143.189",-,$124.492,$25.888,"$3,522.166","$6,002.405","$1,494.125","$1,020.231",$80.645,"$3,154.557","$4,648.682",$1.391,"$3,655.761",$-5.051,-,"$1,353.723","$6,002.405"
2019-12-31,$84.241,-,"$1,602.781",$100.865,-,"$1,787.887","$1,163.956",-,$124.492,$24.131,"$3,501.381","$5,289.268","$1,247.6",$396.869,$76.361,"$2,474.545","$3,722.145",$1.389,"$3,612.833",$0.199,-,"$1,567.123","$5,289.268"
2019-09-30,$82.64,$5.6,"$1,812.772",$104.486,-,"$2,005.498","$1,143.071",-,$124.492,$22.997,"$3,423.798","$5,429.296","$1,251.723",$643.059,$74.441,"$2,685.751","$3,937.474",$1.388,"$3,510.107",$0.073,-,"$1,491.822","$5,429.296"
2019-06-30,$104.018,$5.589,"$1,733.15",$95.051,-,"$1,937.808","$1,135.31",-,$124.492,$23.67,"$3,374.911","$5,312.719","$1,271.386",$493.684,$70.748,"$2,496.391","$3,767.777",$1.386,"$3,429.492",$0.882,-,"$1,544.942","$5,312.719"
2019-03-31,$102.215,$4.846,"$1,881.332",$90.692,-,"$2,079.085","$1,120.869",-,$124.492,$25.805,"$3,358.116","$5,437.201","$1,311.934",$634.031,$69.262,"$2,639.691","$3,951.625",$1.38,"$3,252.387",$3.067,-,"$1,485.576","$5,437.201"
2018-12-31,$86.299,$4.111,"$1,589.542",$114.447,-,"$1,794.399","$1,134.464",-,$124.492,$25.3,"$1,290.863","$3,085.262",$938.107,$410.37,$67.927,$585.335,"$1,523.442",$1.375,"$3,213.895",$3.814,-,"$1,561.82","$3,085.262"
2018-09-30,$71.302,$23.655,"$1,737.273",$109.478,-,"$1,941.708","$1,112.049",-,$124.492,$29.2,"$1,279.226","$3,220.934",$974.541,$577.195,$65.414,$751.096,"$1,725.637",$1.372,"$3,114.972",$5.969,-,"$1,495.297","$3,220.934"
2018-06-30,$69.954,$5.115,"$1,632.28",$103.379,-,"$1,810.728","$1,081.543",-,$124.492,$29.902,"$1,256.678","$3,067.406",$941.486,$547.049,$65.002,$719.878,"$1,661.364",$1.366,"$3,035.97",$5.742,-,"$1,406.042","$3,067.406"
2018-03-31,$132.398,$4.815,"$1,760.065",$86.815,-,"$1,984.093","$1,050.399",-,$124.492,$30.218,"$1,223.694","$3,207.787","$1,013.935",$711.282,$62.783,$880.607,"$1,894.542",$1.364,"$2,866.467",$5.19,-,"$1,313.245","$3,207.787"
2017-12-31,$109.148,$4.76,"$1,453.208",$88.252,-,"$1,655.368","$1,044.503",-,$124.492,$25.912,"$1,213.401","$2,868.769",$849.214,$433.686,$61.29,$600.882,"$1,450.096",$1.363,"$2,828.625",$3.358,-,"$1,418.673","$2,868.769"
2017-09-30,$70.046,$4.776,"$1,591.555",$75.618,-,"$1,741.995",$996.837,-,$124.492,$24.435,"$1,186.356","$2,928.351",$872.194,$520.737,$59.402,$684.756,"$1,556.95",$1.362,"$2,753.335",$1.557,-,"$1,371.401","$2,928.351"
2017-06-30,$67.793,$4.066,"$1,468.254",$90.409,-,"$1,630.522",$982.358,-,$125.717,$24.015,"$1,185.05","$2,815.572",$806.488,$467.536,$56.457,$626.518,"$1,433.006",$1.361,"$2,695.554",$1.521,-,"$1,382.566","$2,815.572"
2017-03-31,$72.701,$7.339,"$1,657.761",$86.459,-,"$1,824.26",$957.037,-,$125.717,$22.559,"$1,152.142","$2,976.402",$817.084,$624.444,$54.375,$779.82,"$1,596.904",$1.361,"$2,569.497",$1.673,-,"$1,379.498","$2,976.402"
2016-12-31,$53.916,$3.68,"$1,369.656",$90.557,-,"$1,517.809",$962.308,-,$125.717,$23.89,"$1,157.133","$2,674.942",$777.194,$289.769,$54.683,$444.53,"$1,221.724",$1.36,"$2,540.449",$1.392,-,"$1,453.218","$2,674.942"
2016-09-30,$55.507,$16.335,"$1,489.934",$67.98,-,"$1,629.756",$923.165,-,$10.258,$19.362,"$1,005.977","$2,635.733",$712.26,$310.027,$57.025,$458.733,"$1,170.993",$1.359,"$2,448.309",$-1.111,-,"$1,464.74","$2,635.733"
2016-06-30,$151.112,$3.311,"$1,366.499",$67.613,-,"$1,588.535",$901.962,-,$10.258,$19.199,$990.231,"$2,578.766",$724.435,$207.706,$55.379,$352.402,"$1,076.837",$1.358,"$2,390.909",$-1.362,-,"$1,501.929","$2,578.766"
2016-03-31,$74.501,-,"$1,470.691",$80.858,-,"$1,626.05",$855.501,-,$10.258,$16.921,$938.478,"$2,564.528",$813.397,$260.402,$51.066,$398.428,"$1,211.825",$1.354,"$2,266.555",-,-,"$1,352.703","$2,564.528"
2015-12-31,$63.813,$3.763,"$1,284.375",$87.51,-,"$1,439.461",$847.576,-,$10.258,$18.337,$931.365,"$2,370.826",$671.284,$166.992,$54.463,$306.248,$977.532,$1.352,"$2,225.601",-,-,"$1,393.294","$2,370.826"
