,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$6,568","$1,414","$1,955",$302,-,"$10,239","$3,269",$49,"$4,514",$569,"$9,112","$19,351","$2,390","$6,248","$1,305","$7,774","$10,164","$1,741","$42,051",$-360,-,"$9,187","$19,351"
2020-09-30,"$5,518","$1,392","$2,072",$277,-,"$9,259","$3,190",$47,"$4,551",$501,"$8,948","$18,207","$2,185","$6,247","$1,278","$7,697","$9,882","$1,741","$41,305",$-335,-,"$8,325","$18,207"
2020-06-30,"$4,960","$1,176","$2,136",$216,-,"$8,488","$3,201",$36,"$4,602",$518,"$8,957","$17,445","$2,163","$6,245","$1,234","$7,638","$9,801","$1,741","$40,780",$-334,-,"$7,644","$17,445"
2020-03-31,"$4,742","$1,316","$2,003",$249,-,"$8,310","$3,233",$34,"$4,652",$493,"$8,973","$17,283","$2,381","$5,499","$1,510","$7,168","$9,549","$1,741","$40,227",$-328,-,"$7,734","$17,283"
2019-12-31,"$5,387","$1,074","$2,001",$299,-,"$8,761","$3,303",$300,"$4,702",$468,"$9,257","$18,018","$2,123","$5,303","$1,514","$6,988","$9,111","$1,741","$39,898",$-347,-,"$8,907","$18,018"
2019-09-30,"$5,067","$1,342","$2,040",$264,-,"$8,713","$3,318",$298,"$4,752",$471,"$9,279","$17,992","$2,007","$5,302","$1,526","$7,000","$9,007","$1,741","$39,674",$-443,-,"$8,985","$17,992"
2019-06-30,"$4,218","$1,419","$2,079",$240,-,"$7,956","$3,365",$300,"$4,831",$479,"$9,428","$17,384","$2,646","$4,558","$1,524","$6,252","$8,898","$1,741","$38,974",$-457,-,"$8,486","$17,384"
2019-03-31,"$4,086","$1,440","$2,131",$294,-,"$7,951","$3,318",$281,"$4,911",$498,"$9,492","$17,443","$2,159","$5,057","$1,545","$6,765","$8,924","$1,741","$38,396",$-465,-,"$8,519","$17,443"
2018-12-31,"$4,233","$1,207","$2,217",$440,-,"$8,097","$3,183",$251,"$4,990",$140,"$9,040","$17,137","$2,474","$4,319","$1,190","$5,669","$8,143","$1,741","$37,906",$-473,-,"$8,994","$17,137"
2018-09-30,"$5,113","$1,585","$2,116",$654,-,"$9,468","$3,051",$278,"$5,069",$150,"$9,105","$18,573","$2,382","$4,318","$1,228","$5,675","$8,057","$1,741","$37,378",$-354,-,"$10,516","$18,573"
