,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$197,"$12,258",-,-,-,"$12,455",$498,"$53,294.9",$353,"$1,752.3","$58,170.8","$70,625.8","$53,521.6","$3,345.7","$2,471.4","$6,233.2","$59,754.8",$30.7,"$11,269.6",$374.2,-,"$10,871","$70,625.8"
2020-09-30,$103.8,"$6,473.8",-,-,-,"$6,577.6",$508.8,"$59,040.4",$350.6,$847.4,"$63,038.4","$69,616","$52,676.8","$3,378.6","$2,062.8","$6,047","$58,723.8",$30.7,"$11,192.3",$477.6,-,"$10,892.2","$69,616"
2020-06-30,$165.6,"$6,411.7",-,-,-,"$6,577.3",$518.1,"$58,690.3",$348.9,$859.8,"$62,727.9","$69,305.2","$52,604","$3,393.1","$2,233.2","$6,139.8","$58,743.8",$30.6,"$11,019.2",$327.2,-,"$10,561.4","$69,305.2"
2020-03-31,$337.2,"$6,305.8",-,-,-,"$6,643",$540.7,"$54,537.5",$348.8,$885.3,"$58,692.9","$65,335.9","$49,880","$2,914.3","$2,375.9","$5,652.8","$55,532.8",$30.6,"$10,812",$-217.1,-,"$9,803.1","$65,335.9"
2019-12-31,$84.1,"$6,383.6",-,-,-,"$6,467.7",$534.1,"$56,451.9",$351.7,$884,"$60,545.7","$67,013.4","$51,888.9","$2,926.9","$1,880.5","$5,159.5","$57,048.4",$30.6,"$10,728.7",$37.3,-,"$9,965","$67,013.4"
2019-09-30,$77,"$6,483",-,-,-,"$6,560",$568.3,"$56,281.2",$348.6,$890,"$60,395.7","$66,955.7","$52,177.8","$3,037.6","$1,820.6","$5,146.3","$57,324.1",$30.6,"$10,491.5",$-153.2,-,"$9,631.6","$66,955.7"
2019-06-30,$60.8,"$6,469.2",-,-,-,"$6,530",$556.1,"$55,197.6",$350.1,$908,"$59,313.7","$65,843.7","$50,935","$3,341.2","$1,827.2","$5,455.6","$56,390.6",$30.6,"$10,308.9",$-242.5,-,"$9,453.1","$65,843.7"
2019-03-31,$62.1,"$6,429.9",-,-,-,"$6,492",$548.2,"$53,295.8",$351,$906.3,"$57,429.7","$63,921.7","$49,843.9","$2,958.7","$1,790.3","$5,017.3","$54,861.2",$30.5,"$10,083.1",$-502.3,-,"$9,060.5","$63,921.7"
2018-12-31,$94,"$6,277.9",-,-,-,"$6,371.9",$546.9,"$51,398.2",$350.3,$789,"$55,503.7","$61,875.6","$48,495.7","$2,971.3","$1,762.8","$4,758.1","$53,253.8",$30.5,"$9,863.1",$-814.2,-,"$8,621.8","$61,875.6"
2018-09-30,$214.2,"$6,396",-,-,-,"$6,610.2",$521,"$51,628.9",$346,$709.4,"$55,639.6","$62,249.8","$48,746.2","$2,983.5","$2,001.9","$4,985.4","$53,731.6",$30.5,"$9,670.8",$-868.5,-,"$8,518.2","$62,249.8"
2018-06-30,$99.5,"$6,446.7",-,-,-,"$6,546.2",$510.8,"$52,015.7",$346.5,$702.8,"$55,820.4","$62,366.6","$47,856.9","$2,997.7","$1,980.1","$5,063.3","$52,920.2",$30.5,"$10,012.4",$-276.2,-,"$9,446.4","$62,366.6"
2018-03-31,$308.9,"$6,552.2",-,-,-,"$6,861.1",$508.4,"$52,439.1",$348.9,$641.4,"$56,151.2","$63,012.3","$48,560","$2,721.9","$2,040.7","$4,952.8","$53,512.8",$30.5,"$9,777.8",$-82.4,-,"$9,499.5","$63,012.3"
2017-12-31,$77.4,"$6,544.9",-,-,-,"$6,622.3",$504.8,"$53,734.1",$338.6,$628.7,"$57,390.8","$64,013.1","$49,374.8","$2,738.4","$2,123.1","$5,063.4","$54,438.2",$30.5,"$9,542.2",$127.5,-,"$9,574.9","$64,013.1"
2017-09-30,$70.1,"$6,591.4",-,-,-,"$6,661.5",$489.9,"$53,528.9",$338.2,$631.9,"$57,144.2","$63,805.7","$49,232.8","$2,754.1","$2,097.7","$5,124.3","$54,357.1",$30.4,"$9,327.2",$124.3,-,"$9,448.6","$63,805.7"
2017-06-30,$117,"$6,479.7",-,-,-,"$6,596.7",$497.1,"$53,200.3",$337.1,$626.5,"$56,784.9","$63,381.6","$48,773","$2,968.4","$2,072.8","$5,292","$54,065",$30.4,"$9,126.7",$104.9,-,"$9,316.6","$63,381.6"
2017-03-31,$107,"$6,538.2",-,-,-,"$6,645.2",$501.2,"$52,309.5",$335.7,$619.9,"$55,879.49","$62,524.7","$48,107.7","$2,984.6","$2,071.2","$5,309.6","$53,417.3",$30.4,"$8,927.4",$0.4,-,"$9,107.4","$62,524.7"
2016-12-31,$100.4,"$6,469.7",-,-,-,"$6,570.1",$500.6,"$51,824.2",$335.1,$617.3,"$55,371.4","$61,941.5","$47,741.3","$2,999.4","$2,081.9","$5,232.2","$52,973.5",$30.4,"$8,744",$-51,-,"$8,968","$61,941.5"
