,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$3,313","$6,109","$6,038",$384,-,"$15,844","$30,389",-,-,-,"$35,930","$51,774","$9,283","$13,954","$3,620","$22,849","$32,132",$7,"$28,953","$-1,254",-,"$19,642","$51,774"
2020-09-30,"$4,047","$5,601","$5,357",$417,-,"$15,422","$30,729",-,-,-,"$36,310","$51,732","$8,122","$14,577","$3,720","$23,594","$31,716",$7,"$29,712","$-1,571",-,"$20,016","$51,732"
2020-06-30,"$2,319","$4,152","$5,420",$871,-,"$12,762","$30,653",-,-,-,"$36,337","$49,099","$7,300","$12,090","$3,770","$21,165","$28,465",$7,"$30,575","$-1,799",-,"$20,634","$49,099"
2020-03-31,"$1,515","$5,392","$3,675",$883,-,"$11,465","$30,526",-,-,-,"$36,282","$47,747","$8,732","$10,574","$3,847","$19,330","$28,062",$7,"$29,722","$-1,937",-,"$19,685","$47,747"
2019-12-31,"$2,583","$8,988","$7,013",$385,-,"$18,969","$29,264",-,-,-,"$34,895","$53,864","$13,160","$9,178","$3,887","$18,168","$31,328",$7,"$31,974","$-1,351",-,"$22,536","$53,864"
2019-09-30,"$2,137","$7,994","$6,376",$526,-,"$17,033","$28,890",-,-,-,"$34,196","$51,229","$12,130","$9,170","$3,421","$17,511","$29,641",$7,"$31,283","$-1,529",-,"$21,588","$51,229"
2019-06-30,"$2,033","$9,050","$6,281",$447,-,"$17,811","$28,784",-,-,-,"$34,211","$52,022","$12,548","$9,167","$3,571","$17,637","$30,185",$7,"$31,046","$-1,350",-,"$21,837","$52,022"
2019-03-31,"$2,777","$8,289","$6,554",$860,-,"$18,480","$28,408",-,-,-,"$33,615","$52,095","$12,913","$9,006","$3,530","$17,403","$30,316",$7,"$30,810","$-1,352",-,"$21,779","$52,095"
2018-12-31,"$2,982","$7,345","$6,532",$816,-,"$17,675","$28,848",-,-,-,"$32,480","$50,155","$10,724","$8,871","$2,867","$16,700","$27,424",$7,"$31,044","$-1,507",-,"$22,731","$50,155"
2018-09-30,"$3,551","$8,249","$7,501",$590,-,"$19,891","$28,428",-,-,-,"$32,003","$51,894","$12,482","$8,877","$2,850","$16,452","$28,934",$7,"$30,430","$-1,235",-,"$22,960","$51,894"
2018-06-30,"$4,451","$7,535","$6,420",$542,-,"$18,948","$28,180",-,-,-,"$31,730","$50,678","$11,341","$8,876","$2,897","$16,533","$27,874",$7,"$29,915","$-1,262",-,"$22,804","$50,678"
2018-03-31,"$4,658","$6,814","$6,555",$233,-,"$18,260","$27,731",-,-,-,"$31,116","$49,376","$10,752","$8,086","$2,902","$15,699","$26,451",$7,"$29,415",$-983,-,"$22,925","$49,376"
2017-12-31,"$5,850","$6,922","$6,384",$156,-,"$19,312","$27,480",-,-,-,"$30,846","$50,158","$11,071","$8,750","$2,729","$16,187","$27,258",$7,"$29,200",$-940,-,"$22,900","$50,158"
2017-09-30,"$5,176","$5,959","$6,137",$170,-,"$17,442","$27,274",-,-,-,"$30,546","$47,988","$9,130","$8,364","$1,908","$17,634","$26,764",$7,"$27,135",$-893,-,"$21,224","$47,988"
2017-06-30,"$5,207","$4,573","$5,674",$277,-,"$15,731","$27,054",-,-,-,"$30,243","$45,974","$7,683","$8,366","$1,906","$17,526","$25,209",$7,"$26,603","$-1,123",-,"$20,765","$45,974"
