,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,$559.3,"$1,433.5","$1,779.7",-,$163.7,"$3,936.2","$1,603.7",-,"$12,255.7",$648.8,"$14,508.2","$18,444.4","$3,228.6","$3,799.9","$1,094.3","$5,163.4","$8,392",$2,"$3,524.2",$-482.2,-,"$10,052.4","$18,444.4"
2020-06-30,$587.9,"$1,410.3","$1,799.5",-,$172,"$3,969.7","$1,612.4",-,"$12,245.3",$638,"$14,495.7","$18,465.4","$3,483.2","$3,768.7","$1,070.7","$5,101.6","$8,584.8",$2,"$3,419",$-537.8,-,"$9,880.6","$18,465.4"
2020-03-31,$615.9,"$1,672","$1,785.7",-,$167.5,"$4,241.1","$1,623",-,"$12,283.7",$625.3,"$14,532","$18,773.1","$2,981.6","$4,655.1","$1,078.1","$5,993.8","$8,975.4",$2,"$3,355.6",$-560.6,-,"$9,797.7","$18,773.1"
2019-12-31,$604.2,"$1,663.9","$1,773.1",-,$150.9,"$4,192.1","$1,655.8",-,"$12,464.6",$631.7,"$14,752.1","$18,944.2","$3,258","$4,333.6","$1,100.7","$5,692.6","$8,950.6",$2,"$3,267",$-382.6,-,"$9,993.6","$18,944.2"
2019-09-30,$587.4,"$1,673.3","$1,957.3",-,$192.4,"$4,410.4","$1,622.7",-,"$12,310.2",$557.6,"$14,490.5","$18,900.9","$3,198.9","$4,633.5","$1,173.9","$5,972.6","$9,171.5",$2,"$3,154.8",$-468.6,-,"$9,729.4","$18,900.9"
2019-06-30,$461.371,"$1,707.409","$1,881.791",-,$178.569,"$4,229.14","$1,646.097",-,"$12,515.03",$552.329,"$14,713.45","$18,942.59","$3,211.315","$4,528.768","$1,101.867","$5,896.121","$9,107.436",$1.981,"$3,087.468",$-289.18,-,"$9,835.157","$18,942.59"
2019-03-31,$512.87,"$1,726.824","$1,947.22",-,$194.223,"$4,381.137","$1,634.966",-,"$12,506.49",$555.308,"$14,696.77","$19,077.9","$3,254.435","$4,641.286","$1,129.089","$6,043.024","$9,297.459",$1.981,"$3,005.809",$-309,-,"$9,780.446","$19,077.9"
2018-12-31,"$2,342.3","$1,146.8",$844.9,-,$115.6,"$4,449.6",$563.8,-,"$3,526.4",$109.4,"$4,199.6","$8,649.2","$1,646.6","$3,792.8",$47,"$4,133.5","$5,780.1",$1.3,"$3,022",$-256.6,-,"$2,869.1","$8,649.2"
2018-09-30,"$2,135.381","$1,240.521",$866.205,-,$111.441,"$4,353.548",$557.423,-,"$3,569.978",$72.277,"$4,199.678","$8,553.226","$1,530.293","$3,818.061",$45.661,"$4,112.581","$5,642.874",$1.323,"$2,999.139",$-205.733,-,"$2,910.352","$8,553.226"
2018-06-30,$245.574,"$1,213.234",$863.793,-,$124.286,"$2,446.887",$555.834,-,"$3,602.991",$71.894,"$4,230.719","$6,677.606","$1,606.468","$1,857.806",$84.351,"$2,196.51","$3,802.978",$1.323,"$2,922.986",$-156.201,-,"$2,874.628","$6,677.606"
2018-03-31,$249.886,"$1,268.697",$829.276,-,$117.955,"$2,465.814",$573.401,-,"$3,760.546",$76.02,"$4,409.967","$6,875.781","$1,648.048","$1,871.076",$80.092,"$2,239.504","$3,887.552",$1.323,"$2,850.135",$34.016,-,"$2,988.229","$6,875.781"
2017-12-31,$233.401,"$1,166.787",$742.634,-,$122.291,"$2,265.113",$573.972,-,"$3,664.535",$76.36,"$4,314.867","$6,579.98","$1,573.33","$1,823.303",$75.179,"$2,178.118","$3,751.448",$1.323,"$2,773.3",$-44.992,-,"$2,828.532","$6,579.98"
2017-09-30,$228.08,"$1,144.339",$764.781,-,$139.925,"$2,277.125",$550.367,-,"$3,525.145",$97.013,"$4,172.525","$6,449.65","$1,465.44","$1,824.156",$32.946,"$2,247.841","$3,713.281",$1.323,"$2,735.876",$-91.93,-,"$2,736.369","$6,449.65"
2017-06-30,$328.522,"$1,128.991",$746.236,-,$141.06,"$2,344.809",$547.842,-,"$3,472.973",$73.116,"$4,093.931","$6,438.74","$1,482.099","$1,934.604",$37.359,"$2,372.27","$3,854.369",$1.323,"$2,679.995",$-184.55,-,"$2,584.371","$6,438.74"
2017-03-31,$280.179,"$1,051.542",$703.881,-,$130.631,"$2,166.233",$524.059,-,"$3,277.615",$62.992,"$3,864.666","$6,030.899","$1,471.407","$1,782.624",$39.752,"$2,190.724","$3,662.131",$1.323,"$2,617.575",$-331.652,-,"$2,368.768","$6,030.899"
2016-12-31,$398.484,$942.508,$658.51,-,$868.129,"$2,867.631",$518.376,-,"$3,132.625",$62.386,"$3,713.387","$6,581.018","$1,446.639","$1,762.967",$38.31,"$2,157.554","$3,604.193",$1.323,"$2,553.258",$-379.605,-,"$2,976.825","$6,581.018"
2016-09-30,$250.382,$624.226,$495.998,-,$248.785,"$1,695.132",$357.97,-,"$1,334.316",$40.739,"$1,733.025","$3,428.157",$624.935,$819.77,$40.452,"$1,072.731","$1,697.666",$1.323,"$2,524.354",$-286.055,-,"$1,730.491","$3,428.157"
