,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,021.043",$973.097,-,-,-,"$3,437.512","$27,565.71",-,$68.321,$946.234,"$28,580.26","$32,483.64","$1,041.594","$13,798.72",-,"$14,142.21","$15,602.07",$418.691,"$-5,016.123",$-148.504,-,"$16,881.57","$32,483.64"
2020-09-30,"$2,155.333","$1,147.25",-,-,-,"$3,717.289","$27,452.54",-,$68.321,$822.586,"$28,343.45","$32,541.6","$1,041.368","$13,781.23",-,"$14,111.29","$15,580.5",$418.361,"$-4,925.021",$-126.469,$0.004,"$16,961.1","$32,541.6"
2020-06-30,"$1,826.243","$1,325.973",-,-,-,"$3,377.087","$28,427.72",-,$68.321,$786.921,"$29,282.96","$33,162.65","$1,015.906","$14,435.65",-,"$14,762.79","$16,226.13",$418.343,"$-4,996.097",$-116.856,$0.004,"$16,936.53","$33,162.65"
2020-03-31,$393.066,"$1,384.026",-,-,-,"$1,998.32","$29,630.67",-,$68.321,$702.497,"$30,401.49","$32,923.03",$997.603,"$13,965.07",-,"$14,394.43","$15,856.69",$418.226,"$-4,920.497",$-96.213,$0.012,"$17,066.34","$32,923.03"
2019-12-31,$385.766,"$1,223.97",-,-,-,"$1,880.118","$30,312.46",-,$68.321,$583.423,"$30,964.2","$33,380.75","$1,009.482","$14,915.07",-,"$15,390.95","$16,874.12",$411.005,"$-4,869.568",$-112.157,-,"$16,506.63","$33,380.75"
2019-09-30,$330.735,"$1,202.67",-,-,-,"$1,894.935","$28,807.16",-,$68.321,$556.854,"$29,432.33","$31,863.96","$1,025.704","$13,687.64",-,"$14,157.98","$15,638.23",$406.498,"$-4,740.602",$-117.676,$0.012,"$16,225.73","$31,863.96"
2019-06-30,$359.718,"$1,136.358",-,-,-,"$1,865.07","$30,145.58",-,$68.321,$519.387,"$30,733.28","$33,148.7","$1,076.061","$15,150.8",-,"$15,634.04","$17,179.13",$406.014,"$-4,977.228",$-100.622,$0.188,"$15,969.57","$33,148.7"
2019-03-31,$407.439,"$1,084.403",-,-,-,"$1,842.927","$27,739.39",-,$68.321,$484.265,"$28,291.98","$30,637.34","$1,000.825","$12,711.5",-,"$13,162.04","$14,589.5",$404.509,"$-4,761.313",$-144.618,$0.268,"$16,047.83","$30,637.34"
2018-12-31,$316.129,"$1,053.939",-,-,-,"$1,700.407","$28,090.43",-,$68.321,$482.914,"$28,641.66","$30,342.07","$1,034.283","$13,226.48",-,"$13,650.52","$14,755.47",$384.465,"$-4,697.022",$-129.769,$0.294,"$15,586.6","$30,342.07"
2018-09-30,$281.285,"$1,038.252",-,-,-,"$1,660.361","$28,097.24",-,$68.321,$423.192,"$28,588.76","$30,249.12","$1,074.994","$13,504.06",-,"$13,904.92","$14,979.92",$376.353,"$-4,469.924",$-138.491,$0.489,"$15,269.2","$30,249.12"
2018-06-30,$272.383,"$1,089.287",-,-,-,"$1,742.765","$25,357.87",-,$68.321,$450.027,"$25,876.22","$27,618.98",$984.779,"$11,435.56",-,"$11,833.72","$12,818.5",$372.801,"$-4,210.127",$-132.631,$0.659,"$14,800.49","$27,618.98"
2018-03-31,$264.119,"$1,032.67",-,-,-,"$1,664.611","$25,573.3",-,$68.321,$440.424,"$26,082.05","$27,746.66",$948.618,"$11,349.84",-,"$11,738.71","$12,687.33",$372.729,"$-4,041.188",$-91.253,$0.67,"$15,059.33","$27,746.66"
2017-12-31,$309.303,$950.159,-,-,-,"$1,686.961","$25,743.58",-,$68.321,$445.585,"$26,257.48","$27,944.45",$911.863,"$11,731.94",-,"$12,107.13","$13,018.99",$372.449,"$-4,155.132",$-111.465,$0.67,"$14,925.45","$27,944.45"
2017-09-30,$295.311,"$1,019.248",-,-,-,"$1,806.003","$25,898.55",-,$68.321,$407.507,"$26,374.38","$28,180.38","$1,027.375","$11,521.59",-,"$11,908.34","$12,935.72",$371.012,"$-3,721.919",$-141.24,$1.127,"$15,244.66","$28,180.38"
2017-06-30,$487.641,"$1,003.399",-,-,-,"$2,005.708","$25,476.27",-,$68.321,$425.489,"$25,970.08","$27,975.79",$893.441,"$11,379.95",-,"$11,768.82","$12,662.26",$369.525,"$-3,474.634",$-163.624,$1.173,"$15,313.52","$27,975.79"
2017-03-31,$423.137,"$1,056.323",-,-,-,"$2,047.344","$25,235.5",-,$68.321,$416.11,"$25,719.93","$27,767.28",$817.411,"$11,454.18",-,"$11,839.6","$12,657.02",$365.187,"$-3,344.183",$-177.2,$1.464,"$15,110.26","$27,767.28"
2016-12-31,$607.22,"$1,168.876",-,-,-,"$2,392.161","$25,947.56",-,$68.321,$457.138,"$26,473.02","$28,865.18",$827.034,"$12,358.25",-,"$12,756.68","$13,583.71",$363.071,"$-3,341.406",$-169.531,$3.059,"$15,281.47","$28,865.18"
2016-09-30,$511.754,"$1,268.737",-,-,-,"$2,410.511","$26,898.13",-,$68.321,$479.382,"$27,445.83","$29,856.34",$767.683,"$13,430.89",-,"$13,824.42","$14,592.1",$362.703,"$-3,362.312",$-151.184,$3.02,"$15,264.24","$29,856.34"
2016-06-30,$525.025,"$1,137.661",-,-,-,"$2,310.363","$26,042.75",-,$68.321,$543.068,"$26,654.14","$28,964.5",$728.08,"$12,973.73",-,"$13,367.85","$14,095.93",$357.95,"$-3,389.003",$-159.638,$3.917,"$14,868.57","$28,964.5"
2016-03-31,$418.125,"$1,118.153",-,-,-,"$2,261.569","$26,213.33",-,$68.321,$545.07,"$26,826.72","$29,088.29",$665.645,"$13,063.2",-,"$13,422.85","$14,088.5",$356.953,"$-3,277.085",$-109.053,$4.062,"$14,999.79","$29,088.29"
2015-12-31,$422.69,"$1,101.868",-,-,-,"$2,344.05","$26,069.19",-,$68.321,$542.281,"$26,679.79","$29,023.85",$697.191,"$12,967.69",-,"$13,150.77","$13,847.96",$354.811,"$-3,120.284",$-88.243,$4.098,"$15,175.88","$29,023.85"
2015-09-30,$366.8,"$1,048.909",-,-,-,"$2,168.621","$24,596.88",-,$68.321,$558.354,"$25,287.74","$27,456.37",$686.651,"$11,467.77",-,"$11,632.54","$12,319.19",$353.023,"$-2,961.051",$-94.359,$3.997,"$15,137.17","$27,456.37"
2015-06-30,$290.648,$948.352,-,-,-,"$1,999.543","$24,704.27",-,$68.321,$569.621,"$25,407.94","$27,407.48",$650.437,"$11,552.37",-,"$11,711.77","$12,362.2",$351.651,"$-2,852.444",$-81.67,$4.238,"$15,045.28","$27,407.48"
2015-03-31,$287.45,$949.031,-,-,-,"$1,981.748","$23,800.48",-,$68.321,$715.468,"$24,647.65","$26,629.39",$604.149,"$11,014.79",-,"$11,107.3","$11,711.45",$350.434,"$-2,875.671",$-107.496,$4.449,"$14,917.95","$26,629.39"
2014-12-31,$553.423,$745.832,-,-,-,"$1,679.424","$22,471.03",-,$68.321,$744.151,"$23,283.5","$24,962.92",$626.825,"$10,776.64",-,"$10,863.05","$11,489.87",$328.835,"$-2,793.901",$-77.009,$5.507,"$13,473.05","$24,962.92"
2014-09-30,"$1,116.845",$668.988,-,-,-,"$2,104.054","$21,641.05",-,$68.321,$656.213,"$22,437.67","$24,541.72",$677.042,"$10,282.84",-,"$10,359.26","$11,036.3",$327.433,"$-2,721.801",$-52.704,$6.223,"$13,505.42","$24,541.72"
2014-06-30,$272.493,$574.727,-,-,-,"$1,214.406","$21,545.13",-,$68.321,$680.558,"$22,359.48","$23,573.89",$678.4,"$10,345.2",-,"$10,380.6","$11,059",$308.355,"$-2,611.685",$-18.642,$6.159,"$12,514.89","$23,573.89"
2014-03-31,$253.725,$534.684,-,-,-,"$1,139.81","$21,265.9",-,$68.321,$668.171,"$22,071.23","$23,211.04",$612.671,"$10,941.47",-,"$10,975.65","$11,588.32",$291.091,"$-2,451.764",$-25.419,$6.241,"$11,622.73","$23,211.04"
2013-12-31,$231.601,$553.31,-,-,-,"$1,117.057","$21,348.07",-,$68.321,$479.629,"$21,966.9","$23,083.96",$640.573,"$10,652.01",-,"$10,687.05","$11,327.63",$289.461,"$-2,270.985",$-24.531,$6.02,"$11,756.33","$23,083.96"
