,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,924","$3,109","$2,187",-,$795,"$9,015","$3,199",-,"$4,690",$240,"$11,335","$20,350","$8,330","$5,059",$732,"$7,311","$15,641",$113,"$8,639","$-2,811",-,"$4,709","$20,350"
2020-09-30,"$3,528","$2,716","$2,216",-,$847,"$9,307","$3,136",-,"$4,653",$213,"$11,052","$20,359","$9,105","$4,965",$643,"$6,976","$16,081",$113,"$8,223","$-2,754",-,"$4,278","$20,359"
2020-06-30,"$2,546","$1,998","$2,129",-,$906,"$7,579","$3,132",-,"$4,611",$277,"$11,097","$18,676","$7,725","$4,886",$635,"$7,026","$14,751",$112,"$7,902","$-2,731",-,"$3,925","$18,676"
2020-03-31,"$2,837","$1,931","$2,543",-,$851,"$8,162","$3,156",-,"$4,609",$450,"$11,233","$19,395","$8,576","$4,662",$641,"$6,839","$15,415",$112,"$7,947","$-2,715",-,"$3,980","$19,395"
2019-12-31,"$1,952","$2,198","$2,438",-,$810,"$7,398","$3,301",-,"$4,665",$358,"$11,483","$18,881","$8,369","$4,140",$612,"$6,394","$14,763",$112,"$7,870","$-2,618",-,"$4,118","$18,881"
2019-09-30,$993,"$2,588","$2,883",$911,-,"$7,375","$3,203",-,"$4,637",$414,"$11,031","$18,406","$8,500","$4,105",$395,"$5,957","$14,457",$112,"$7,659","$-2,603",-,"$3,949","$18,406"
2019-06-30,"$1,178","$2,387","$3,008",$961,$969,"$8,503","$3,318",-,"$4,710",$389,"$11,352","$19,855","$10,094","$4,155",$379,"$6,094","$16,188",$112,"$7,380","$-2,657",-,"$3,667","$19,855"
2019-03-31,"$1,163","$2,222","$2,960",$960,$931,"$8,236","$3,358",-,"$4,735",$366,"$11,450","$19,686","$9,878","$4,137",$385,"$6,089","$15,967",$112,"$7,391","$-2,602",-,"$3,719","$19,686"
2018-12-31,"$1,498","$2,210","$2,533",$839,$818,"$7,898","$3,414",-,"$4,747",$299,"$10,449","$18,347","$9,678","$4,046",$463,"$5,464","$15,142",$112,"$6,933","$-2,695",-,"$3,205","$18,347"
2018-09-30,"$1,032","$2,881","$2,873",$862,$813,"$8,461","$3,396",-,"$4,803",$330,"$10,632","$19,093","$9,674","$4,768",$485,"$6,111","$15,785",$112,"$6,837","$-2,590",-,"$3,308","$19,093"
2018-06-30,"$1,057","$2,464","$3,032",$946,$884,"$8,383","$3,427",-,"$4,853",$335,"$10,687","$19,070","$9,145","$4,781",$533,"$6,581","$15,726",$112,"$6,701","$-2,506",-,"$3,344","$19,070"
2018-03-31,"$1,041","$2,657","$3,346","$1,047",-,"$8,091","$3,970",-,"$5,761",$347,"$12,248","$20,339","$8,943","$4,190",$642,"$6,176","$15,119",$112,"$7,440","$-2,344",-,"$5,220","$20,339"
2017-12-31,"$1,196","$2,665","$2,988","$1,081",-,"$7,930","$4,033",-,"$5,709",$353,"$12,108","$20,038","$8,505","$4,392",$632,"$6,405","$14,910",$112,"$7,352","$-2,331",-,"$5,128","$20,038"
2017-09-30,"$1,087","$3,102","$3,345",-,"$1,115","$8,649","$3,865",-,"$5,697",$305,"$12,189","$20,838","$9,636","$3,669",$485,"$5,515","$15,151",$112,"$7,697","$-2,316",-,"$5,687","$20,838"
2017-06-30,"$1,041","$2,974","$3,230",$984,-,"$8,229","$3,811",-,"$5,655",$297,"$11,977","$20,206","$9,056","$3,631",$463,"$5,470","$14,526",$111,"$7,501","$-2,328",-,"$5,680","$20,206"
2017-03-31,$951,"$2,735","$3,076",-,$942,"$7,704","$3,792",-,"$5,518",$334,"$11,776","$19,480","$7,972","$3,890",$455,"$5,733","$13,705",$111,"$7,394","$-2,319",-,"$5,775","$19,480"
2016-12-31,"$1,085","$2,711","$2,623",-,$920,"$7,339","$3,810",-,"$5,508",$342,"$11,814","$19,153","$7,662","$3,876",$479,"$5,763","$13,425",$111,"$7,314","$-2,400",-,"$5,728","$19,153"
2016-09-30,"$1,025","$2,982","$3,208",-,$974,"$8,587","$3,768",-,"$5,649",$333,"$11,603","$20,190","$8,701","$3,718",$506,"$5,522","$14,223",$111,"$7,209","$-2,176",-,"$5,967","$20,190"
2016-06-30,$959,"$2,797","$3,204",$992,-,"$8,373","$3,742",-,"$5,653",$357,"$11,595","$19,968","$8,526","$3,712",$571,"$5,609","$14,135",$111,"$7,047","$-2,221",-,"$5,833","$19,968"
2016-03-31,$699,"$2,695","$3,096",-,$952,"$7,894","$3,800",-,"$5,751",$380,"$11,778","$19,672","$8,687","$3,251",$681,"$5,289","$13,976",$111,"$6,803","$-2,177",-,"$5,696","$19,672"
2015-12-31,$772,"$2,530","$2,619",-,$953,"$6,874","$3,774",-,"$5,684",$377,"$12,136","$19,010","$7,744","$3,470",$707,"$5,592","$13,336",$111,"$6,722","$-2,332",-,"$5,674","$19,010"
2015-09-30,$698,"$2,914","$2,943",-,$983,"$7,879","$3,684",-,"$5,744",$399,"$11,744","$19,623","$8,211","$3,502",$740,"$5,623","$13,834",$110,"$6,611","$-2,211",-,"$5,789","$19,623"
2015-06-30,$691,"$2,702","$3,086",-,"$1,044","$7,873","$3,813",-,"$5,499",$444,"$11,640","$19,513","$7,796","$3,750",$627,"$5,869","$13,665",$110,"$6,446","$-2,012",-,"$5,848","$19,513"
2015-03-31,$704,"$2,518","$3,002",-,"$1,149","$7,714","$3,779",-,"$5,434",$390,"$11,494","$19,208","$7,390","$3,977",$596,"$6,074","$13,464",$110,"$6,340","$-2,048",-,"$5,744","$19,208"
2014-12-31,"$1,026","$2,768","$2,740",-,"$1,147","$8,098","$3,981",-,"$5,610",$413,"$11,904","$20,002","$8,403","$3,544",$690,"$5,803","$14,206",$110,"$6,209","$-1,840",-,"$5,796","$20,002"
2014-09-30,$987,"$2,213","$2,720",-,$725,"$6,959","$2,986",-,"$3,403",$602,"$8,749","$15,708","$6,402","$2,450",$327,"$3,995","$10,397",$110,"$6,186","$-1,451",-,"$5,311","$15,708"
2014-06-30,$945,"$2,222","$2,812",$731,-,"$7,045","$3,069",-,"$3,415",$321,"$8,563","$15,608","$6,118","$2,461",$342,"$4,139","$10,257",$110,"$6,015","$-1,258",-,"$5,351","$15,608"
2014-03-31,"$1,672","$2,080","$2,666",$744,-,"$7,583","$3,054",-,"$3,419",$295,"$8,457","$16,040","$6,454","$2,662",$353,"$4,373","$10,827",$109,"$5,896","$-1,256",-,"$5,213","$16,040"
2013-12-31,"$1,380","$2,005","$2,408",-,$680,"$7,022","$3,041",-,"$3,426",$291,"$8,522","$15,544","$6,794","$1,846",$482,"$3,716","$10,510",$109,"$5,784","$-1,298",-,"$5,034","$15,544"
2013-09-30,$826,"$2,226","$2,667",$787,-,"$7,003","$2,936",-,"$3,431",$316,"$8,657","$15,660","$6,679","$1,834",$472,"$4,195","$10,874",$109,"$5,653","$-1,580",-,"$4,786","$15,660"
2013-06-30,$670,"$2,216","$2,505",-,$756,"$6,608","$2,907",-,"$3,432",$320,"$8,666","$15,274","$6,231","$1,936",$491,"$4,385","$10,616",$109,"$5,507","$-1,650",-,"$4,658","$15,274"
2013-03-31,$750,"$2,080","$2,569",$768,-,"$6,715","$2,961",-,"$3,439",$279,"$8,616","$15,331","$5,801","$2,441",$492,"$4,944","$10,745",$108,"$5,360","$-1,563",-,"$4,586","$15,331"
2012-12-31,"$1,168","$2,038","$2,354",$709,-,"$6,827","$3,034",-,"$3,449",$254,"$8,569","$15,396","$6,510","$1,944",$517,"$4,519","$11,029",$108,"$5,147","$-1,531",-,"$4,367","$15,396"
2012-09-30,$518,"$2,266","$2,598",-,$714,"$6,604","$2,947",-,"$3,460",$245,"$8,368","$14,972","$6,360","$1,920",$534,"$4,171","$10,531",$107,"$5,083","$-1,318",-,"$4,441","$14,972"
2012-06-30,$426,"$2,125","$2,583",$676,-,"$6,277","$2,955",-,"$3,465",$232,"$8,330","$14,607","$6,060","$1,922",$520,"$4,229","$10,289",$107,"$5,049","$-1,376",-,"$4,318","$14,607"
2012-03-31,$583,"$2,143","$2,608",$660,-,"$6,277","$3,097",-,"$3,479",$285,"$8,738","$15,015","$6,509","$1,628",$561,"$4,048","$10,557",$107,"$4,975","$-1,131",-,"$4,458","$15,015"
2011-12-31,"$1,109","$2,105","$2,354",-,$606,"$6,422","$3,102",-,"$3,484",$280,"$8,759","$15,181","$6,297","$2,129",$558,"$4,604","$10,901",$106,"$4,922","$-1,226",-,"$4,280","$15,181"
2011-09-30,$511,"$2,261","$2,864",-,$599,"$6,460","$3,081",-,"$3,491",$268,"$8,543","$15,003","$6,243","$2,133",$600,"$4,423","$10,666",$106,"$4,755",$-990,-,"$4,337","$15,003"
2011-06-30,$845,"$2,455","$3,071",-,$662,"$7,215","$3,213",-,"$3,509",$344,"$8,699","$15,914","$6,869","$2,143",$626,"$4,546","$11,415",$106,"$4,617",$-687,-,"$4,499","$15,914"
2011-03-31,"$1,026","$2,347","$2,938",-,$671,"$7,201","$3,174",-,"$3,518",$323,"$8,408","$15,609","$5,937","$2,193",$790,"$5,100","$11,037",$106,"$4,816",$-803,-,"$4,572","$15,609"
2010-12-31,"$1,368","$2,278","$2,792",-,$673,"$7,315","$3,134",-,"$3,520",$310,"$8,269","$15,584","$6,149","$2,195",$791,"$5,115","$11,264",$106,"$4,680",$-893,-,"$4,320","$15,584"
2010-09-30,$901,"$2,552","$3,084",-,$697,"$7,458","$3,077",-,"$3,533","$1,531","$8,141","$15,599","$6,321","$2,197",$744,"$5,149","$11,470",$106,"$4,542",$-944,-,"$4,129","$15,599"
2010-06-30,$850,"$2,382","$2,676",-,$700,"$6,861","$2,970",-,"$3,506","$1,395","$7,871","$14,732","$5,905","$2,195",$625,"$5,036","$10,941",$106,"$4,496","$-1,224",-,"$3,791","$14,732"
2010-03-31,"$1,191","$2,440","$2,437",-,$641,"$7,040","$3,079",-,"$3,517","$1,442","$8,038","$15,078","$5,886","$2,498",$648,"$5,401","$11,287",$105,"$4,324",$-980,-,"$3,791","$15,078"
2009-12-31,"$1,380","$2,500","$2,197",-,$653,"$7,025","$3,117",-,"$3,525",$323,"$8,069","$15,094","$5,941","$2,502",$641,"$5,393","$11,334",$105,"$4,193",$-868,-,"$3,760","$15,094"
2009-09-30,$725,"$2,742","$2,418",-,$649,"$6,922","$3,066",-,"$3,530","$1,339","$7,935","$14,857","$5,757","$2,503",$636,"$5,408","$11,165",$104,"$4,130",$-845,-,"$3,692","$14,857"
2009-06-30,$247,"$2,326","$2,472",-,$562,"$6,039","$3,021",-,"$3,537","$1,142","$7,700","$13,739","$5,032","$2,487",$569,"$5,242","$10,274",$104,"$4,076",$-995,-,"$3,465","$13,739"
2009-03-31,$193,"$1,936","$2,573",-,$555,"$5,820","$2,913",-,"$3,536",$933,"$7,382","$13,202","$5,401","$1,956",$550,"$4,740","$10,141",$104,"$4,029","$-1,323",-,"$3,061","$13,202"
2008-12-31,$146,"$2,103","$2,591",$110,$514,"$6,044","$2,985",-,"$3,549",$954,"$7,488","$13,532","$5,563","$2,002",$567,"$4,896","$10,459",$104,"$3,993","$-1,259",-,"$3,073","$13,532"
