,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,"$2,571.447","$4,738.248",-,-,-,"$7,309.695",$410.228,"$18,407.4",$169.652,"$1,354.658","$20,902.67","$28,212.37","$17,920.67","$3,072.813","$1,179.211","$4,252.024","$22,172.7",$70.535,"$8,057.556",$-170.886,-,"$6,039.672","$28,212.37"
2020-06-30,"$2,430.826","$4,714.832",-,-,-,"$7,145.658",$414.335,"$17,667.06",$169.652,"$1,378.63","$20,177.63","$27,323.29","$17,416.62","$2,924.647","$1,125.71","$4,061.278","$21,477.9",$70.535,"$7,927.28",$-249.35,-,"$5,845.391","$27,323.29"
2020-03-31,$965.012,"$4,386.706",-,-,-,"$5,351.718",$422.012,"$18,180.14",$169.652,"$1,340.714","$20,738.21","$26,089.93","$16,901.88","$2,631.068","$1,019.436","$3,650.504","$20,552.38",$70.535,"$7,877.371",$-589.521,-,"$5,537.544","$26,089.93"
2019-12-31,"$1,023.71","$4,554.412",-,-,-,"$5,578.122",$422.091,"$18,612.46",$169.652,"$1,353.742","$21,084.02","$26,662.14","$16,600.07","$2,626.279","$1,281.031","$3,943.732","$20,543.8",$70.535,"$7,932.372",$-257.299,-,"$6,118.342","$26,662.14"
2019-09-30,$812.55,"$4,297.88",-,-,-,"$5,110.43",$416.966,"$18,738.18",$169.652,"$1,255.889","$21,108.08","$26,218.51","$16,424.81","$2,342.778","$1,336.197","$3,694.254","$20,119.07",$70.535,"$7,971.019",$-322.1,-,"$6,099.443","$26,218.51"
2019-06-30,"$1,258.174","$4,476.647",-,-,-,"$5,734.821",$398.885,"$18,387.51",$173.037,"$1,272.746","$20,753.08","$26,487.9","$16,388.73","$2,781.665","$1,258.995","$4,079.097","$20,467.82",$70.535,"$7,826.015",$-260.796,-,"$6,020.078","$26,487.9"
2019-03-31,$937.428,"$4,228.48",-,-,-,"$5,165.908",$406.841,"$18,112.17",$173.037,"$1,211.714","$20,419.36","$25,585.26","$15,852.09","$2,782.697","$1,104.434","$3,930.374","$19,782.46",$70.535,"$7,721.039",$-364.983,-,"$5,802.796","$25,585.26"
2018-12-31,$817.602,"$4,087.281",-,-,-,"$4,904.883",$416.372,"$17,867.57",$173.037,"$1,000.996","$19,991.09","$24,895.98","$15,583.36","$2,789.519","$1,043.304","$3,832.823","$19,416.18",$70.535,"$7,558.619",$-510.47,-,"$5,479.798","$24,895.98"
2018-09-30,$819.366,"$3,923.771",-,-,-,"$4,743.137",$424.754,"$17,990.21",$171.095,"$1,013.36","$20,112.51","$24,855.65","$15,558.31","$2,697.802","$1,120.5","$3,818.302","$19,376.62",$47.024,"$7,505.706",$-474.938,-,"$5,479.033","$24,855.65"
2018-06-30,$911.202,"$3,863.02",-,-,-,"$4,774.222",$427.619,"$17,744.4",$178.975,$981.425,"$19,846.92","$24,621.14","$15,430.71","$2,699.172","$1,025.637","$3,724.809","$19,155.52",$47.024,"$7,423.162",$-395.842,-,"$5,465.628","$24,621.14"
2018-03-31,$956.603,"$3,741.057",-,-,-,"$4,697.66",$424.751,"$17,798.37",$178.945,$974.525,"$19,890.17","$24,587.83","$15,437.64","$2,679.565",$881.708,"$3,658.008","$19,095.65",$47.024,"$7,322.201",$-258.982,-,"$5,492.18","$24,587.83"
2017-12-31,$950.471,"$3,746.324",-,-,-,"$4,696.795",$422.96,"$17,587.11",$178.945,$906.563,"$19,603.12","$24,299.92","$15,207.05","$2,497.27","$1,046.345","$3,641.706","$18,848.75",$47.024,"$6,956.882",$68.541,-,"$5,451.163","$24,299.92"
2017-09-30,$773.997,"$3,855.879",-,-,-,"$4,629.876",$399.924,"$17,701.23",$173.422,$897.536,"$19,706.2","$24,336.08","$15,292.51","$2,488",$968.306,"$3,572.914","$18,865.43",$47.024,"$6,880.062",$153.759,-,"$5,470.649","$24,336.08"
2017-06-30,$788.354,"$3,678.331",-,-,-,"$4,466.685",$424.984,"$17,501.69",$144.913,$915.261,"$19,526.8","$23,993.49","$14,971.43","$2,487.039","$1,114.182","$3,696.108","$18,667.54",$47.024,"$6,735.066",$133.302,-,"$5,325.949","$23,993.49"
2017-03-31,$608.393,"$3,435.799",-,-,-,"$4,044.192",$356.908,"$17,503.02",$144.513,$953.867,"$19,503.22","$23,547.41","$14,845.26","$2,487.271",$826.387,"$3,483.617","$18,328.87",$47.024,"$6,703.675",$69.491,-,"$5,218.541","$23,547.41"
