,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2021-01-31,$911.3,$31.6,$-694.5,$-662.9,$-100.2,-,-,$427.9,$409.2,$657.6,$-23.5,-,$-201.4,-,-,-,$-2.3,$-227.2,-,-,-,$-151.1,$-151.1,-,$-51.7,$-202.8,$235.2,$106.9,-
2020-10-31,$132.2,$32.2,$108.5,$140.7,$-49.9,-,-,$42.1,$88.2,$361.1,$-20.9,-,$-44.8,$2,-,$2,$-1.2,$-64.9,-,-,-,$-136,$-136,-,$-65.4,$-201.4,$97.2,$97.4,-
2020-07-31,$98.2,$30,$110.2,$140.2,$-132.8,-,-,$-133.4,$-147.2,$91.2,$-26.8,$-1.2,-,$5,-,$5,$-10.8,$-33.8,-,-,-,$-5.3,$-5.3,-,$-7.1,$-12.4,$50.1,$95.9,-
2020-04-30,$66.5,$30,$134.4,$164.4,$295.5,-,-,$-48.6,$96.4,$327.3,$-19.9,$-3.6,-,$-11,-,$-11,$-43.5,$-78,$-450,-,$-450,$-145.2,$-145.2,-,$-35,$-630.2,$-385,$98.2,-
2020-01-31,$131.8,$30.9,$44.7,$75.6,$-131.3,-,-,$608.8,$490.8,$698.2,$-14,-,-,-,-,-,$-0.6,$-14.6,$348.9,-,$348.9,$-178.7,$-178.7,-,$-37,$133.2,$818.5,$105,-
2019-10-31,$66.7,$31.6,$121.2,$152.8,$-173,-,-,$180.7,$56.9,$276.4,$-9.7,-,-,-,-,-,$-0.5,$-10.2,$-100,-,$-100,$-85.2,$-85.2,-,$-48.7,$-233.9,$32.3,$94,-
2019-07-31,$40.2,$32.1,$80.3,$112.4,$-80.4,-,-,$112.1,$66.7,$219.3,$-14.8,-,-,$22.7,-,$22.7,$-11.2,$-3.3,$-125,-,$-125,$-43.3,$-43.3,-,$-5.4,$-173.7,$40.7,$88.2,-
2019-04-30,$-24.2,$32.7,$115.1,$147.8,$206.2,-,-,$73.6,$97.6,$221.2,$-14.7,-,-,$-15.2,-,$-15.2,$0.7,$-29.2,$-125,-,$-125,$-41.6,$-41.6,-,$-25.8,$-192.4,$-2.8,$75.2,-
2019-01-31,$64.7,$25.4,$35.3,$60.7,$-154.8,-,-,$270,$186.1,$311.5,$-17.6,-,"$-1,006.1",$271.9,-,$271.9,$1.7,$-750.1,$500,-,$500,$-31.4,$-31.4,-,$-24.8,$443.8,$10.3,$74,-
2018-10-31,$-23.7,$23.5,$95,$118.5,$-74.8,-,-,$-6.7,$-55.6,$39.2,$-12.7,-,-,$84.4,-,$84.4,$8.3,$80,-,-,-,$-66.9,$-66.9,-,$-67.7,$-134.6,$-19.7,$64.2,-
