,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$-16,$897,"$-5,678","$-4,781","$1,889",-,-,"$2,355","$3,603","$-1,194",-,-,$54,"$3,282","$-2,309",$973,"$-2,008",$-981,"$1,943",-,"$1,943",-,-,"$-1,110",$943,"$1,776",$-377,-,"$-1,103"
2020-09-30,$299,$663,$-213,$450,$521,-,-,$-302,$158,$907,-,-,-,"$2,702","$-2,712",$-10,"$-2,308","$-2,318",$731,-,$731,-,-,$544,$-133,"$1,142",$-245,-,$551
2020-06-30,"$-7,766",$682,"$10,951","$11,633","$1,676",-,-,"$-1,630","$-2,528","$1,339",-,-,"$2,119","$-9,076","$4,925","$-4,151",$-238,"$-2,270","$1,744",-,"$1,744",-,-,$-283,$19,"$1,480",$533,-,$-275
2020-03-31,"$1,654","$1,878","$-2,389",$-511,"$-2,193",-,-,$194,"$-1,157",$-14,-,-,-,$700,"$-9,789","$-9,089","$8,456",$-633,"$1,731",-,"$1,731",$-500,$-500,$-283,$-288,$660,$32,-,$-276
2019-12-31,$869,"$1,173","$-6,425","$-5,252","$1,896",-,-,"$1,314","$3,365","$-1,018",-,-,-,"$4,364","$-4,560",$-196,$-486,$-682,"$1,343",-,"$1,343",-,-,"$-1,121","$1,081","$1,303",$-483,-,"$-1,114"
2019-09-30,$973,"$1,176",$-870,$306,"$1,070",-,-,"$-2,100",$-796,$483,-,-,$2,"$5,163","$-6,456","$-1,293",$645,$-646,$565,-,$565,-,-,$549,$-377,$737,$585,-,$557
2019-06-30,"$1,390","$1,358",$-37,"$1,321",$-132,-,-,"$-3,231","$-3,007",$-296,-,-,-,"$-10,104","$4,576","$-5,528","$3,360","$-2,168","$2,107",-,"$2,107",-,-,$-286,$633,"$2,454",$6,-,$-279
2019-03-31,$937,"$1,299",$379,"$1,678","$-2,180",-,-,"$-1,578","$-3,591",$-976,-,-,-,"$4,862","$-9,010","$-4,148","$2,169","$-1,979","$2,294",-,"$2,294",-,$485,$-278,$263,"$2,764",$-179,-,$-278
2018-12-31,$-560,"$1,549","$-6,076","$-4,527","$-1,313",-,-,"$6,268","$4,731",$-356,-,-,$-665,$550,$-848,$-298,"$1,657",$694,"$1,279",-,"$1,279",$-745,$-745,$-280,$-338,$-84,$235,-,$-280
2018-09-30,"$-1,259","$1,029",$734,"$1,763",$311,-,-,$-174,$-202,$302,-,-,"$-5,052","$30,366","$-23,179","$7,187","$-1,582",$553,"$1,017",-,"$1,017",$-348,$-348,$-283,$-476,$-90,$743,-,$-283
2018-06-30,$931,"$1,402",$57,"$1,459",$-94,-,-,"$-2,011","$-1,792",$598,-,-,$4,"$-23,598","$21,061","$-2,537","$3,035",$502,$779,-,$779,$-348,$-348,$-286,"$-1,208","$-1,063",$9,-,$-286
2018-03-31,$949,"$1,382",$164,"$1,546","$-1,306",-,-,"$-2,377","$-3,433",$-938,-,-,$6,"$-2,039","$-1,394","$-3,433","$1,455","$-1,972","$4,621",-,"$4,621",$-298,$-298,$-289,"$-1,548","$2,486",$-366,-,$-289
2017-12-31,"$-6,672","$1,068",$-56,"$1,012","$1,945",-,-,"$-2,730","$6,704","$1,044",-,-,$187,$783,"$-3,609","$-2,826","$2,205",$-434,$326,-,$326,-,-,$-288,$-609,$-571,$32,-,$-288
2017-09-30,"$-1,713",$804,$932,"$1,736",$132,-,-,"$1,196",$151,$174,-,-,$67,"$30,366","$-26,466","$3,900","$-4,217",$-250,$-159,-,$-159,$-275,$-275,$-287,$622,$-99,$-105,-,$-287
2017-06-30,"$1,118",$990,$-95,$895,$-111,-,-,$-825,$-713,"$1,300",-,-,$514,"$-27,212","$21,661","$-5,551","$5,263",$226,"$1,745",-,"$1,745","$-2,415","$-2,415",$-290,$-19,$-979,$670,-,$-290
2017-03-31,"$1,211","$1,012",$-175,$837,"$-12,426",-,-,$-404,"$-12,384","$-10,336",-,-,$24,"$1,953","$11,003","$12,956","$1,519","$14,499",$-131,-,$-131,"$-3,585","$-3,585",$-307,$-25,"$-4,048",$33,-,$-307
2016-12-31,"$-2,506","$1,276","$3,846","$5,122",$-381,-,-,$784,$-867,"$1,749",-,-,"$2,809",$-880,$47,$-833,$951,"$2,927","$-1,414",-,"$-1,414","$-2,954","$-2,954",$-321,$-847,"$-5,536","$-1,000",-,$-321
2016-09-30,$436,$544,"$-3,554","$-3,010",$715,-,-,"$2,829","$3,756","$1,182",-,-,-,"$31,664","$-30,277","$1,387",$-798,$589,$824,-,$824,"$-2,258","$-2,258",$-338,$665,"$-1,107",$714,-,$-338
2016-06-30,"$1,924",$623,$934,"$1,557",$105,-,-,"$-2,906","$-1,942","$1,539",-,-,-,"$-30,640","$24,145","$-6,495","$5,846",$-649,"$2,556",-,"$2,556","$-2,762","$-2,762",$-350,$-87,$-643,$285,-,$-350
2016-03-31,$-203,"$1,647",$-6,"$1,641","$-1,707",-,-,$-590,"$-2,406",$-968,-,-,-,$931,"$-1,974","$-1,043","$1,428",$385,"$3,965",-,"$3,965","$-3,486","$-3,486",$-363,$337,$453,$-130,-,$-363
2015-12-31,"$-1,849","$1,127",$395,"$1,522",$448,-,-,"$1,710",$970,$643,-,-,-,"$41,306","$-39,757","$1,549",$233,"$1,782",$-49,-,$-49,"$-3,218","$-3,218",$-341,"$1,243","$-2,365",$60,-,$-341
2015-09-30,$-197,$621,"$2,164","$2,785","$1,793",-,-,"$-2,637",$-847,"$1,741",-,-,-,"$-6,614","$10,463","$3,849","$-2,455","$1,394",$132,-,$132,"$-3,730","$-3,730",$-352,$452,"$-3,498",$-368,-,$-352
2015-06-30,"$1,791","$1,655","$-1,812",$-157,$58,-,-,"$-2,165","$-1,529",$105,-,-,-,"$-27,288","$22,734","$-4,554","$9,526","$4,972","$-1,483",-,"$-1,483","$-2,345","$-2,345",$-165,$-969,"$-4,962",$114,-,$-165
2015-03-31,"$2,477","$1,226",$-594,$632,$-844,-,-,"$-3,038","$-2,721",$388,-,-,-,$-186,$-146,$-332,$646,$314,$872,-,$872,"$-1,398","$-1,398",$-170,$92,$-604,$65,-,$-170
2014-12-31,$675,"$1,076",$605,"$1,681","$2,715",-,-,"$-4,320","$-1,706",$650,-,-,-,"$42,343","$-32,261","$10,082",$-665,"$9,417","$-3,295",-,"$-3,295","$-1,499","$-1,499",$-173,"$-5,220","$-10,187",$-175,-,$-173
2014-09-30,"$2,201","$1,029","$2,408","$3,437","$1,574",-,-,"$-5,182","$-2,922","$2,716",-,-,-,"$-9,419","$9,477",$58,"$1,147","$1,205","$-2,381",-,"$-2,381","$-1,554","$-1,554",$-178,$314,"$-3,799",$106,-,$-178
2014-06-30,"$3,036","$1,222","$-4,450","$-3,228",$-896,-,-,$811,"$1,070",$878,-,-,"$2,348","$-24,366","$21,256","$-3,110",$641,$-121,$-840,-,$-840,$-982,$-982,$-179,$488,"$-1,513",$-663,-,$-179
2014-03-31,"$1,612","$1,121","$-1,215",$-94,$-701,-,-,$-504,$-755,$763,-,-,-,"$5,132","$-1,640","$3,492",$291,"$3,783","$-1,238",-,"$-1,238",$-867,$-867,$-182,"$-2,002","$-4,289",$249,-,$-182
2013-12-31,"$1,973","$1,155",$-165,$990,"$2,554",-,-,"$-3,369","$-1,046","$1,917",-,-,-,"$53,207","$-54,635","$-1,428","$2,009",$581,$-654,-,$-654,$-405,$-405,$-147,"$-1,080","$-2,286",$183,-,$-147
2013-09-30,"$2,130","$1,058",$745,"$1,803",$728,-,-,"$-1,248","$-1,659","$2,274",-,-,-,"$-14,659","$14,539",$-120,$567,$447,"$-1,565",-,"$-1,565",$-192,$-192,$-147,$-513,"$-2,417",$296,-,$-147
2013-06-30,"$2,758","$1,297","$-1,874",$-577,"$1,385",-,-,"$-2,063",$-358,"$1,823",-,-,-,"$-31,957","$31,892",$-65,"$2,172","$2,107","$-3,152",-,"$-3,152",-,-,-,$-185,"$-3,337",$535,-,-
2013-03-31,"$2,231","$1,203","$-1,140",$63,"$-2,493",-,-,$-563,"$-2,443",$-149,-,-,-,"$6,385","$-4,165","$2,220","$1,744","$3,964","$-4,138",-,"$-4,138",-,-,-,$420,"$-3,718",$76,-,-
2012-12-31,"$-3,949","$3,330","$3,095","$6,425","$1,791",-,-,"$-1,227","$-1,639",$837,-,-,-,"$42,914","$-55,115","$-12,201","$9,655","$-2,546","$-1,178",-,"$-1,178",-,-,-,"$2,468","$1,290",$-457,-,-
2012-09-30,"$1,861","$1,461",$-648,$813,"$1,144",-,-,"$-3,273","$-1,467","$1,207",-,-,-,"$-6,634","$13,191","$6,557","$1,730","$8,287",$-507,-,$-507,"$-8,000","$-8,000",-,$-626,"$-9,133",$376,-,-
2012-06-30,"$2,339","$1,343",$-790,$553,"$1,260",-,-,"$-1,897","$-1,354","$1,538",-,-,-,"$-30,211","$29,571",$-640,"$1,530",$890,"$-1,310",-,"$-1,310","$-2,000","$-2,000",-,$821,"$-2,489",$-83,-,-
2012-03-31,"$3,449","$1,215","$-3,364","$-2,149","$-1,110",-,-,"$-1,099","$-1,206",$94,-,-,-,"$3,636",$366,"$4,002","$5,979","$9,981","$-8,820",-,"$-8,820","$-3,000","$-3,000",-,"$1,588","$-10,232",$-159,-,-
2011-12-31,"$21,602","$1,802","$-2,069",$-267,"$4,297",-,-,"$-5,861","$-20,215","$1,120",-,-,-,"$5,047","$-6,587","$-1,540","$1,842",$302,"$-27,841",-,"$-27,841",$-70,$-70,-,"$26,429","$-1,482",$-68,-,-
