,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$2,624",$186,$-890,$-704,$18,-,$-721,$-283,$-601,"$1,319",$-73,-,-,$515,"$1,231","$1,746","$-3,871","$-2,198","$1,189",-,"$1,189",$9,$9,$-194,$-118,$886,$7,-,$-168
2020-09-30,"$1,153",$182,$-362,$-180,$-57,-,"$1,088",$166,$323,"$1,296",$-69,-,-,$962,"$-1,178",$-216,-,$-285,-,-,-,$-914,$-914,$-195,$-79,"$-1,188",$-177,-,$-169
2020-06-30,"$1,250",$163,$-432,$-269,$-25,-,$475,$189,$868,"$1,849",$-101,-,$1,$476,"$-1,365",$-889,$-37,"$-1,026",-,-,-,$-363,$-363,$-199,$-52,$-614,$209,-,$-172
2020-03-31,$549,$155,$911,"$1,066",$50,-,$-926,$260,$-588,"$1,027",$-65,-,-,"$-1,953","$2,049",$96,$37,$68,-,-,-,$-406,$-694,$-188,$-213,"$-1,095",-,-,$-159
2019-12-31,"$1,773",$171,$-752,$-581,$246,-,$-549,$112,$42,"$1,234",$-140,-,-,"$1,443",$-150,"$1,293",$-725,$428,-,-,-,$-777,"$-1,617",$-205,$-89,"$-1,911",$-249,-,$-163
2019-09-30,$931,$159,$197,$356,$-251,-,$417,$285,$546,"$1,833",$-120,-,-,"$-1,296",$-677,"$-1,973",-,"$-2,093",$-1,-,$-1,$-550,$572,$-197,$-126,$248,$-12,-,$-166
2019-06-30,$851,$160,$10,$170,$-114,-,$740,$-155,$327,"$1,348",$-93,-,-,$405,"$-1,144",$-739,$-47,$-879,$175,-,$175,$-283,$-283,$-196,$-117,$-421,$48,-,$-166
2019-03-31,"$1,292",$157,$-486,$-329,$140,-,$-315,$-377,$-249,$714,$-80,-,$-18,$-552,$340,$-212,$47,$-263,-,-,-,$-5,$-5,$-189,$-205,$-399,$52,-,$-158
2018-12-31,$-542,$135,"$1,557","$1,692",$-527,-,$509,$427,$207,"$1,357",$-82,-,$-548,$665,"$1,277","$1,942",$-575,$737,$1,-,$1,"$-1,234","$-1,619",$-196,$-241,"$-2,055",$39,-,$-159
2018-09-30,$979,$128,$-53,$75,$-331,-,$686,$259,$674,"$1,728",$-67,-,-,$-153,$-932,"$-1,085",$7,"$-1,145",-,-,-,$-186,$-186,$-199,$-227,$-612,$-29,-,$-160
2018-06-30,$717,$126,$181,$307,$-124,-,$757,$234,$440,"$1,464",$-66,-,$-5,"$1,021","$-1,002",$19,$-8,$-60,$-401,-,$-401,$-550,$-551,$-192,$-221,"$-1,365",$39,-,$-163
2018-03-31,"$1,006",$122,$308,$430,$-70,-,$-568,$-361,$-810,$626,$-62,-,$-5,"$-1,533",$376,"$-1,157",$-27,"$-1,251",$498,-,$498,$-260,$298,$-161,$-177,$458,$-167,-,$-132
2017-12-31,"$1,614",$250,$-181,$69,$942,-,"$-1,036",$-318,$-583,"$1,100",$-83,-,-,$353,$-408,$-55,$-2,$-140,-,-,-,$-644,$-644,$-163,$-226,"$-1,033",$-73,-,$-134
2017-09-30,$666,$120,$70,$190,"$-1,239",-,"$1,539",$549,"$1,010","$1,866",$-70,-,-,$115,"$-1,037",$-922,$-135,"$-1,127",-,-,-,$-167,$-167,$-163,$-201,$-531,$208,-,$-134
2017-06-30,$579,$119,$82,$201,$-37,-,$327,$-253,$-289,$491,$-72,-,-,$570,$-278,$292,$117,$337,-,-,-,$-352,$-352,$-164,$-272,$-788,$40,-,$-135
2017-03-31,$695,$119,$37,$156,$-8,-,$-65,$-205,$6,$857,$-74,-,"$-1,356","$1,572",$-412,"$1,160",$-10,$-280,-,-,-,$-197,$-197,$-151,$-223,$-571,$6,-,$-122
2016-12-31,$840,$97,$165,$262,$350,-,$-525,$-63,$149,"$1,251",$-123,-,-,"$-2,540",$786,"$-1,754",$9,"$-1,868","$1,235",-,"$1,235",$-142,$-142,$-151,$-278,$664,$47,-,$-122
2016-09-30,$520,$97,$149,$246,$-509,-,$879,$42,$618,"$1,384",$-70,-,-,$763,"$-1,506",$-743,$-21,$-834,-,-,-,$-199,$-199,$-153,$-255,$-607,$-57,-,$-124
2016-06-30,$271,$97,$160,$257,$-118,-,$385,$-1,$116,$644,$-68,-,-,$688,$-520,$168,$-20,$80,-,-,-,$-406,$-406,$-154,$-249,$-809,$-85,-,$-125
2016-03-31,$246,$91,$337,$428,$-29,-,$254,$-159,$40,$714,$-52,-,-,"$-1,357","$1,524",$167,$-19,$96,$-16,-,$-16,$-426,$-426,$-144,$-188,$-774,$36,-,$-115
2015-12-31,$489,$96,$432,$528,$111,-,$-151,$12,$-87,$930,$-84,-,-,$962,"$-1,195",$-233,$-36,$-353,-,-,-,$-583,$-583,$-147,$-257,$-987,$-410,-,$-118
2015-09-30,$650,$96,$159,$255,$-121,-,$492,$-116,$478,"$1,383",$-86,-,-,$-186,$313,$127,-,$41,$-11,-,$-11,$-780,$-780,$-151,$-382,"$-1,324",$100,-,$-122
2015-06-30,$355,$92,$76,$168,$-212,-,$772,$-4,$214,$737,$-74,-,-,$-328,$401,$73,$-18,$-19,$-9,-,$-9,$-369,$-369,$-154,$-297,$-829,$-111,-,$-125
