,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$7,222","$7,618",$-401,"$7,217","$-4,561",$329,"$13,249",$333,"$16,479","$30,431","$-13,194",-,$-380,-,"$-3,463","$-3,463",-,"$-17,037","$-1,960",$144,"$-1,816",-,-,-,-,"$-1,816","$12,175","$2,562",-
2020-09-30,"$6,331","$6,523","$1,532","$8,055","$-2,016","$-3,898","$3,658",$78,"$-2,490","$11,964","$-9,808",-,"$-1,735",-,"$-4,333","$-4,333",-,"$-15,876","$-4,067",$-38,"$-4,105",-,-,-,-,"$-4,105","$-7,640","$2,288",-
2020-06-30,"$5,243","$5,748","$2,297","$8,045","$-2,854",$-672,"$8,617",$247,"$7,036","$20,605","$-6,614",-,$-119,-,"$-11,071","$-11,071",-,"$-17,804","$6,895",$513,"$7,408",-,-,-,-,"$7,408","$10,337","$2,601",-
2020-03-31,"$2,535","$5,362","$2,644","$8,006","$1,262","$1,392","$-8,044",$607,"$-7,544","$3,064","$-5,428",-,$-91,-,"$-3,375","$-3,375",-,"$-8,894","$-2,591",-,"$-2,591",-,-,-,-,"$-2,591","$-8,905","$1,757",-
2019-12-31,"$3,268","$6,170","$1,529","$7,699","$-3,905","$-1,516","$10,683",$486,"$8,642","$19,659","$-3,940",-,$-777,-,"$1,181","$1,181",-,"$-3,536","$-3,437",$-134,"$-3,571",-,-,-,-,"$-3,571","$12,856","$1,840",-
2019-09-30,"$2,134","$5,563","$2,259","$7,822","$-1,182",$-381,$226,$-53,"$-2,111","$7,892","$-3,385",-,$-399,-,"$-1,289","$-1,289",-,"$-5,073","$-2,034",$74,"$-1,960",-,-,-,-,"$-1,960",$589,"$1,779",-
2019-06-30,"$2,625","$5,202","$2,069","$7,271","$-2,193","$-2,100","$3,668",$390,$-859,"$9,117","$-2,643",-,$-116,-,"$-4,790","$-4,790",-,"$-7,549","$-2,102",$-56,"$-2,158",-,-,-,-,"$-2,158",$-542,"$1,971",-
2019-03-31,"$3,561","$4,854","$1,554","$6,408",$-401,$719,"$-6,384",$888,"$-8,110","$1,846","$-2,721",-,"$-1,169",-,"$-4,233","$-4,233",-,"$-8,123","$-2,377",-,"$-2,377",-,-,-,-,"$-2,377","$-8,666","$1,274",-
2018-12-31,"$3,027","$4,262","$1,787","$6,049","$-1,395","$-1,350","$6,881",$528,"$7,329","$16,477","$-3,120",-,$-331,-,$-121,$-121,-,"$-3,572","$-1,834",$73,"$-1,761",-,-,-,-,"$-1,761","$11,141","$1,417",-
2018-09-30,"$2,883","$3,778","$1,712","$5,490","$-2,884","$-1,094","$3,895",-,$154,"$8,588","$-2,527",-,$-976,-,"$-2,069","$-2,069",-,"$-5,572","$-2,369",-,"$-2,369",-,-,-,-,"$-2,369",$496,"$1,350",-
2018-06-30,"$2,534","$3,630","$1,440","$5,070","$-1,365","$-1,090","$2,703",$-283,$-240,"$7,449","$-2,949",-,$-866,-,"$1,123","$1,123",-,"$-2,692","$-1,392",-,"$-1,392",-,-,-,-,"$-1,392","$2,920","$1,469",-
2018-03-31,"$1,629","$3,671","$1,139","$4,810","$1,029","$2,220","$-10,216",$906,"$-8,286","$-1,791","$-2,727",-,$-13,-,"$2,207","$2,207",-,$-533,"$-2,164",-,"$-2,164",-,-,-,-,"$-2,164","$-4,240","$1,182",-
2017-12-31,"$1,857","$3,498",$867,"$4,365","$-2,764","$-2,255","$8,903",$135,"$6,080","$12,358","$-3,036",-,$-81,-,"$1,136","$1,136",-,"$-1,981","$-2,571",-,"$-2,571",-,-,-,-,"$-2,571","$7,896","$1,179",-
