,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$215.632,$28.713,$34.693,$63.406,$-222.503,-,-,$21.764,$-105.157,$173.767,$-11.175,-,$-472.134,-,-,-,$-0.354,$-483.663,$375,-,$375,$2.603,$2.603,-,$-5.16,$372.443,$67.931,$42.359,-
2020-09-30,$75.627,$25.961,$31.369,$57.33,$-17.26,-,-,$-35.369,$-38.613,$94.539,$-7.228,-,-,-,-,-,$-3.796,$-11.024,-,-,-,$11.083,$11.083,-,$-1.378,$9.705,$100.195,$38.185,-
2020-06-30,$96.564,$25.795,$26.444,$52.239,$-38.386,-,-,$-8.954,$-17.757,$131.592,$-9.98,-,$-97.846,-,-,-,$-2.141,$-109.967,-,-,-,$6.158,$6.158,-,$-2.971,$3.187,$26.798,$34.13,-
2020-03-31,$46.064,$25.777,$28.615,$54.392,$117.83,-,-,$25.679,$45.403,$147.412,$-6.987,-,$-2.348,-,-,-,$-0.264,$-9.599,$-75,-,$-75,$-151.313,$-151.313,-,$-62.425,$-288.738,$-154.346,$30.941,-
2019-12-31,$165.852,$22.847,$30.485,$53.332,$-141.793,-,-,$-17.112,$-79.951,$139.451,$-19.159,-,$-492.209,-,-,-,$11.268,$-500.1,$500,-,$500,$5.46,$5.46,-,$-6.015,$499.445,$139.41,$31.406,-
2019-09-30,$89.463,$19.64,$25.428,$45.068,$-9.661,-,-,$-4.085,$-15.187,$120.368,$-8.835,-,$-9.664,-,-,-,$-3.672,$-22.171,-,-,-,$7.853,$7.853,-,$-2.331,$5.522,$101.229,$31.862,-
2019-06-30,$109.75,$18.59,$25.891,$44.481,$-46.932,-,-,$-28.859,$-66.135,$88.539,$-10.046,-,$-41,-,-,-,$-8.548,$-59.594,-,-,-,$-3.856,$-3.856,-,$-2.611,$-6.467,$24.064,$29.122,-
2019-03-31,$86.23,$17.898,$22.803,$40.701,$43.983,-,-,$27.622,$23.554,$151.578,$-6.9,-,$-244.323,-,-,-,$-0.46,$-251.683,-,-,-,$-34.48,$-34.48,-,$-34.611,$-69.091,$-169.748,$23.8,-
2018-12-31,$153.163,$11.914,$19.147,$31.061,$-106.811,-,-,$0.871,$-51.11,$131.485,$-8.685,-,-,-,-,-,$-1.933,$-10.618,-,-,-,$-73.393,$-73.393,-,$-1.999,$-75.392,$47.959,$24.459,-
2018-09-30,$89.336,$13.603,$7.655,$21.258,$4.832,-,-,$-21.636,$-1.535,$109.961,$-6.326,-,-,-,-,-,$-0.034,$-6.36,-,-,-,$-64.16,$-64.16,-,$-1.914,$-66.074,$33.286,$22.983,-
2018-06-30,$92.596,$17.125,$12.358,$29.483,$5.017,-,-,$-9.563,$-11.823,$111.121,$-3.818,-,$-283.026,-,-,-,$-1.173,$-288.017,-,-,-,$13.843,$13.843,-,$-5.647,$8.196,$-189.599,$20.635,-
