,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$120,$19.3,$1.2,$20.5,-,-,-,$91.2,$91.2,$231.7,$-20.1,-,-,$19.5,-,$19.5,-,$-0.6,$-0.7,-,$-0.7,-,-,$-42.2,$7,$-35.9,$195.2,$1.2,$-42.2
2020-09-30,$105.4,$20.7,$1.1,$21.8,-,-,-,$23.9,$23.9,$151.1,$-11.9,-,-,$0.1,-,$0.1,-,$-11.8,$-167.2,-,$-167.2,-,-,$-38.7,$1.8,$-204.1,$-64.8,$1.1,$-38.7
2020-06-30,$67.8,$19.9,$1.4,$21.3,-,-,-,$36.1,$36.1,$125.2,$-12,-,-,$9.8,-,$9.8,-,$-2.2,$-61.4,-,$-61.4,$1.2,$1.2,$-38.8,$2.6,$-96.4,$26.6,$1.4,$-38.8
2020-03-31,$51.7,$20.1,$9,$29.1,-,-,-,$-26.7,$-26.7,$54.1,$-12.8,-,-,$39.2,-,$39.2,-,$26.4,$58.5,-,$58.5,$-57.9,$-57.9,$-39,-,$-38.4,$42.1,$9,$-39
2019-12-31,$91.3,$20.2,$1,$21.2,-,-,-,$63.7,$63.7,$176.2,$-14.1,-,-,$123.8,-,$123.8,-,$109.7,$-35.3,-,$-35.3,$-57.7,$-57.7,$-39.2,$0.9,$-131.3,$154.6,$1,$-39.2
2019-09-30,$87.3,$19.7,$1.5,$21.2,-,-,-,$27.8,$27.8,$136.3,$-13.8,-,-,$-10,-,$-10,-,$-23.8,$-39.4,-,$-39.4,$-97.4,$-97.4,$-36,$-1.9,$-174.7,$-62.2,$1.5,$-36
2019-06-30,$102.1,$18.2,$2.1,$20.3,-,-,-,$-0.3,$-0.3,$122.1,$-15.6,-,$-107,$-7.2,-,$-7.2,-,$-129.8,$74.3,-,$74.3,$-85.4,$-85.4,$-36.9,$-0.5,$-48.5,$-56.2,$2.1,$-36.9
2019-03-31,$89.3,$20.2,$8.7,$28.9,-,-,-,$-96.6,$-96.6,$21.6,$-20.9,-,-,$98.7,-,$98.7,-,$77.8,$63,-,$63,$-47.2,$-47.2,$-37.1,-,$-21.3,$78.1,$8.7,$-37.1
2018-12-31,$126.3,$18.7,$0.4,$19.1,-,-,-,$14.3,$14.3,$159.7,$-26.7,-,-,$-0.4,-,$-0.4,-,$-27.1,$28.1,-,$28.1,$-96.6,$-96.6,$-37.6,$0.2,$-105.9,$26.7,$0.4,$-37.6
2018-09-30,$104.6,$17.8,$1.8,$19.6,-,-,-,$-8.2,$-8.2,$116,$-19,-,-,$-0.7,-,$-0.7,-,$-19.7,$-217.1,$162.3,$-54.8,$-36.2,$-36.2,$-30.7,$-1.6,$-123.3,$-27,$1.8,$-30.7
2018-06-30,$114.5,$17.5,$1.4,$18.9,-,-,-,$-3.4,$-3.4,$130,$-22.2,-,-,$21.4,-,$21.4,-,$-0.8,$117.3,$-162.3,$-45,$-35.3,$-35.3,$-30.8,-,$-111.1,$18.1,$1.4,$-30.8
2018-03-31,$98.8,$17.9,$6.5,$24.4,-,-,-,$-80,$-80,$43.2,$-17.3,-,-,$52.2,-,$52.2,-,$34.9,$-117.3,-,$-117.3,$-34.5,$-34.5,$-31,-,$-182.8,$-104.7,$6.5,$-31
2017-12-31,$22.7,$18.2,$83.2,$101.4,-,-,-,$52.1,$52.1,$176.2,$-27.8,-,-,$-18.8,-,$-18.8,-,$-46.6,$-39.3,-,$-39.3,$-35.8,$-35.8,$-24.1,$-5.7,$-104.9,$24.7,$1.4,$-24.1
2017-09-30,$93.7,$17.6,$1.3,$18.9,-,-,-,$-35.6,$-35.6,$77,$-30.1,-,$-43.1,$-2.1,-,$-2.1,-,$-75.3,$74.5,-,$74.5,$-37.1,$-37.1,$-24.2,$0.4,$13.6,$15.3,$1.3,$-24.2
2017-06-30,$92.4,$17.4,$1.3,$18.7,-,-,-,$-26.4,$-26.4,$84.7,$-19.5,-,-,$1.2,-,$1.2,-,$-18.3,$5.6,-,$5.6,$-36.1,$-36.1,$-24.2,$1.5,$-53.2,$13.2,$1.3,$-24.2
2017-03-31,$87.7,$16.9,$5.9,$22.8,-,-,-,$-122,$-122,$-11.5,$-16.8,-,-,$-1.1,-,$-1.1,-,$-17.9,$45.7,-,$45.7,$-30.1,$-30.1,$-24.4,$1.2,$-7.6,$-37,$5.9,$-24.4
2016-12-31,$82.7,$16.4,$1.3,$17.7,-,-,-,$82.6,$82.6,$183,$-22,-,$-0.3,$-31.4,-,$-31.4,-,$-53.7,$-12.4,-,$-12.4,$-40.5,$-40.5,$-21,$5.7,$-68.2,$61.1,$1.3,$-21
2016-09-30,$83.2,$16.6,$1.2,$17.8,-,-,-,$7.5,$7.5,$108.5,$-21,-,$-90.5,$-31.4,-,$-31.4,-,$-142.9,$54.4,-,$54.4,$-17.1,$-17.1,$-21,-,$16.3,$-18.1,$1.2,$-21
2016-06-30,$87.1,$15.9,$1.8,$17.7,-,-,-,$23.8,$23.8,$128.6,$-18.3,-,-,$-54.8,-,$-54.8,-,$-73.1,$-5.3,-,$-5.3,$-47.3,$-47.3,$-21,-,$-73.6,$-18.1,$1.8,$-21
2016-03-31,$73.5,$16.2,$5.1,$21.3,-,-,-,$-68.3,$-68.3,$26.5,$-19.4,-,-,$-11.1,-,$-11.1,-,$-30.5,$37.4,-,$37.4,$-30.3,$-30.3,$-21.2,-,$-14.1,$-18.1,$5.1,$-21.2
2015-12-31,$79.8,$15.7,$2,$17.7,-,-,-,$17.1,$17.1,$114.6,$-19.6,-,-,$-5,-,$-5,-,$-24.6,$-11.2,-,$-11.2,$-27.6,$-27.6,$-16.9,$6.4,$-49.3,$40.7,$1,$-16.9
2015-09-30,$73.6,$15.7,$0.5,$16.2,-,-,-,$86.1,$86.1,$175.9,$-22.1,-,-,$-26.8,-,$-26.8,-,$-48.9,$-17.9,-,$-17.9,$-57.4,$-57.4,$-16.9,-,$-92.2,$34.8,$1,$-16.9
2015-06-30,$71.1,$16,$0.8,$16.8,-,-,-,$-26.3,$-26.3,$61.6,$-16.1,-,-,$-13.7,-,$-13.7,-,$-29.8,$-24.7,-,$-24.7,$-22.4,$-22.4,$-16.9,$-3.8,$-67.8,$-36,$1.1,$-16.9
2015-03-31,$58.4,$15.6,$5.6,$21.2,-,-,-,$-80,$-80,$-0.4,$-14.9,-,-,$-67.9,-,$-67.9,-,$-82.8,$81.9,-,$81.9,$-20.7,$-20.7,$-17.1,$3.8,$47.9,$-35.3,$5.7,$-17.1
2014-12-31,$53.2,$15.4,$19.1,$34.5,-,-,-,$12.5,$12.5,$100.2,$-20.1,-,-,$-100.5,-,$-100.5,-,$-120.6,$-30.1,-,$-30.1,$-17.2,$-17.2,$-13.4,-,$-60.7,$-81.1,$10.8,$-13.4
2014-09-30,$50.6,$14.8,$6,$20.8,-,-,-,$2.6,$2.6,$74,$-15.2,-,-,$-19.5,-,$-19.5,-,$-34.7,$5.8,-,$5.8,$-24.7,$-24.7,$-13.6,-,$-32.5,$6.8,-,$-13.6
2014-06-30,$57.3,$14.8,$6,$20.8,-,-,-,$-0.1,$-0.1,$78,$-25.5,-,-,$0.2,-,$0.2,-,$-25.3,$22.3,-,$22.3,$-37.5,$-37.5,$-13.6,-,$-28.8,$23.9,-,$-13.6
2014-03-31,$46.7,$14.8,$6.5,$21.3,-,-,-,$-56.2,$-56.2,$11.8,$-25.3,-,-,$-0.1,-,$-0.1,-,$-25.4,$36.2,-,$36.2,$-19.7,$-19.7,$-13.8,-,$2.7,$-10.9,-,$-13.8
2013-12-31,$42.4,$17.5,$16.7,$34.2,-,-,-,$15,$15,$91.6,$-32,-,-,$157.3,$-158.4,$-1.1,-,$-33.1,$-35,-,$-35,$-5.9,$-5.9,$-11,-,$-51.9,$6.6,$10.5,$-11
2013-09-30,$46.2,$14.2,$6.5,$20.7,-,-,-,$16.1,$16.1,$83,$-27.5,-,-,$-162.2,$158.4,$-3.8,-,$-31.3,$17.9,-,$17.9,$-50.5,$-50.5,$-11.1,-,$-43.7,$8,-,$-11.1
2013-06-30,$42.1,$13.9,$6.7,$20.6,-,-,-,$9,$9,$71.7,$-19.8,-,$-0.4,$130.1,$-83,$47.1,-,$26.9,$-18.9,-,$-18.9,$-9.4,$-9.4,$-11.1,-,$-39.4,$59.2,-,$-11.1
2013-03-31,$39,$14.1,$6.1,$20.2,-,-,-,$-25.9,$-25.9,$33.3,$-18.4,-,$-3.6,$-31.7,$83,$51.3,-,$29.3,$-15.5,-,$-15.5,$2.3,$2.3,$-9.4,-,$-22.6,$40,-,$-9.4
2012-12-31,$39.3,$14.2,$7,$21.2,-,-,-,$9.6,$9.6,$70.1,$-25.4,-,$-13.5,$6.6,-,$6.6,-,$-32.3,$-35.7,-,$-35.7,$-5.6,$-5.6,$-9.2,-,$-50.5,$-12.7,-,$-9.2
2012-09-30,$36.9,$13.9,$3,$16.9,-,-,-,$16.3,$16.3,$70.1,$-14.2,-,-,$-22.5,-,$-22.5,-,$-36.7,$-6,-,$-6,$1.8,$1.8,$-9.2,-,$-13.4,$20,-,$-9.2
2012-06-30,$35,$13.1,$-4,$9.1,-,-,-,$-37,$-37,$7.1,$-17.2,-,-,$-49.5,-,$-49.5,-,$-66.7,$-34,-,$-34,$2.3,$2.3,$-7.5,$-8.8,$-48,$-107.6,-,$-7.5
2012-03-31,$47.5,$13.4,$-42.4,$-29,-,-,-,$-22,$-22,$-3.5,$-13.1,-,-,$62,-,$62,-,$48.9,$-143.1,-,$-143.1,-,-,$-7.3,$8.8,$-141.6,$-96.2,-,$-7.3
2011-12-31,$32.1,$13.8,$1.9,$15.7,-,-,-,$80.3,$80.3,$128.1,$-16.8,-,$-3,-,-,-,$-127.6,$-147.4,$65.9,-,$65.9,$-16.4,$-16.4,$-7.4,-,$42.1,$22.8,-,$-7.4
2011-09-30,$182.3,$11.4,$-194.2,$-182.8,-,-,-,$18.3,$18.3,$17.8,$-12.4,-,$-418.1,-,-,-,$729.5,$299,$21.7,-,$21.7,$1.3,$1.3,$-7.4,-,$15.6,$332.4,-,$-7.4
2011-06-30,$50.3,$11,$-3.9,$7.1,-,-,-,$-92.4,$-92.4,$-35,$-11.9,-,-,-,-,-,$1.4,$-10.5,$35.4,-,$35.4,$0.6,$0.6,$-6.5,-,$29.5,$-16,-,$-6.5
2011-03-31,$41,$10.8,$-16.7,$-5.9,-,-,-,$-87.3,$-87.3,$-52.2,$-12.4,-,-,-,-,-,$-3.1,$-15.5,$77.2,-,$77.2,$2.2,$2.2,$-6.4,-,$73,$5.3,-,$-6.4
2010-12-31,$32.1,$11.5,$15,$26.5,-,-,-,$-2.7,$-2.7,$55.9,$-16.3,-,$-6.2,-,-,-,$0.5,$-22,$-17.2,-,$-17.2,$-4.5,$-4.5,$-6.4,$4,$-24.1,$9.8,-,$-6.4
