,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$-8,439",$578,"$7,414","$7,992",$784,"$-1,349","$-2,060",$-872,"$-3,562","$-4,009",$-244,-,-,-,"$-1,267","$-1,267",$-32,"$-1,543","$-2,206","$4,886","$2,680",$5,$5,-,$-4,"$2,681","$-2,812",$85,-
2020-09-30,$-466,$565,$79,$644,$-18,"$-2,912",$-122,"$-1,888","$-4,997","$-4,819",$-83,-,-,-,"$-4,060","$-4,060",$6,"$-4,137",$-527,$60,$-467,$4,$4,-,$-5,$-468,"$-9,428",$50,-
2020-06-30,"$-2,395",$547,"$1,003","$1,550",$197,"$-3,768","$-2,151","$1,192","$-4,435","$-5,280",$-310,-,-,-,"$-11,997","$-11,997",-,"$-12,307","$-2,411","$24,869","$22,458",$6,$6,-,$-2,"$22,462","$4,953",$60,-
2020-03-31,$-641,$556,$124,$680,$-54,"$-2,973","$-1,030","$1,191","$-4,341","$-4,302",$-370,-,-,-,$-17,$-17,$8,$-379,"$-5,854","$17,433","$11,579",$21,$21,"$-1,158",$-162,"$10,280","$5,468",$55,"$-1,158"
2019-12-31,"$-1,010",$628,$139,$767,$288,"$-2,826",$-26,$-212,"$-1,977","$-2,220",$-447,$-107,$501,-,$573,$573,$-3,$517,"$-3,193","$5,768","$2,575",$7,$7,"$-1,157",$-22,"$1,403",$-278,$52,"$-1,157"
2019-09-30,"$1,167",$576,$141,$717,$-273,"$-4,332",$-376,$205,"$-4,308","$-2,424",$-462,-,-,-,$-734,$-734,$2,"$-1,194","$-2,556","$7,951","$5,395",$4,$4,"$-1,156",$-3,"$4,240",$596,$56,"$-1,156"
2019-06-30,"$-2,942",$546,$-28,$518,$382,"$-2,508",$378,"$-1,259","$1,834",$-590,$-200,$-20,$-216,-,$353,$353,$-3,$-86,"$-2,048","$6,433","$4,385",$-305,$-305,"$-1,156",$-5,"$2,919","$2,331",$57,"$-1,156"
2019-03-31,"$2,149",$521,$296,$817,$206,"$-2,725","$1,624","$1,520",$-178,"$2,788",$-391,-,$-276,-,$-91,$-91,$-9,$-767,"$-4,374","$5,237",$863,"$-2,299","$-2,299","$-1,161",$-226,"$-2,823",$-977,$47,"$-1,161"
2018-12-31,"$3,424",$583,$172,$755,$-805,$741,"$-1,179",$-288,"$-1,232","$2,947",$-492,$-13,"$-2,980",-,"$1,067","$1,067",$-6,"$-2,424","$-3,154","$3,852",$698,$-574,$-574,$-970,$-10,$-856,$-397,$52,$-970
2018-09-30,"$2,363",$523,$47,$570,$-52,$-581,$499,$469,"$1,626","$4,559",$-381,-,$-250,-,$-267,$-267,$-4,$-902,"$-1,321","$1,048",$-273,"$-2,441","$-2,441",$-979,$4,"$-3,689",$-87,$52,$-979
