,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$2,418",$160,$-617,$-457,$370,-,$-418,-,$93,"$2,544",-,-,-,$353,$-478,$-125,$-667,$-792,"$-1,301",-,"$-1,301",$-122,$-122,$-353,$-72,"$-1,848",$-37,-,$-353
2020-09-30,"$1,194",$160,$156,$316,$-104,-,"$2,990",-,"$2,789","$3,544",-,-,"$1,550",$-607,"$-4,482","$-5,089",$-496,"$-4,035",$988,-,$988,$3,$3,$-357,$30,$664,$164,-,$-357
2020-06-30,$-331,$177,$-319,$-142,$-826,-,"$3,550",-,"$2,617","$1,985",-,-,-,$-379,"$-1,256","$-1,635",$-49,"$-1,684",$952,-,$952,$-888,$-888,$-339,$22,$-253,$51,-,$-339
2020-03-31,$252,$160,$945,"$1,105",$110,-,$61,-,$280,"$1,712",-,-,"$-1,550",$552,$263,$815,$-275,"$-1,010",$-952,-,$-952,$629,$629,$-339,$17,$-645,$12,-,$-339
2019-12-31,"$1,173",$177,$136,$313,$513,-,$-866,-,$-443,"$1,429",-,-,$-29,"$-1,319","$-1,031","$-2,350",$35,"$-2,344","$1,535",-,"$1,535",$-278,$-278,$-340,$56,$973,$57,-,$-340
2019-09-30,"$1,091",$161,$110,$271,$333,-,$668,-,"$1,068","$2,205",-,-,-,$965,"$-2,489","$-1,524",$250,"$-1,274",$-4,-,$-4,$-402,$-402,$-343,$56,$-693,$221,-,$-343
2019-06-30,"$1,150",$168,$166,$334,$-459,-,$810,-,$101,"$1,386",-,-,-,$-724,$-152,$-876,$-738,"$-1,614","$1,257",-,"$1,257",$-750,$-750,$-335,$27,$199,$-25,-,$-335
2019-03-31,"$1,040",$194,$21,$215,$181,-,$-112,-,$335,"$1,322",-,-,-,$-39,$-505,$-544,$-129,$-673,$-470,-,$-470,$104,$104,$-336,$72,$-630,$53,-,$-336
2018-12-31,$355,$224,$657,$881,$-853,-,$769,-,$-105,"$1,583",-,-,-,$452,$-970,$-518,$-290,$-808,$4,-,$4,$-283,$-283,$-336,$48,$-567,$183,-,$-336
2018-09-30,"$1,231",$226,$98,$324,$-342,-,"$1,089",-,$705,"$1,700",-,-,-,$-337,$-470,$-807,$-60,$-867,$-100,-,$-100,$-359,$-359,$-340,$24,$-775,$56,-,$-340
2018-06-30,"$1,294",$241,$-87,$154,$-918,-,"$1,423",-,$641,"$1,646",-,-,-,$-330,$307,$-23,$-356,$-379,"$-1,603",-,"$-1,603",$-258,$-258,$-331,$-24,"$-2,216","$-1,012",-,$-331
2018-03-31,"$1,082",$240,-,$240,$-33,-,$-725,-,$-670,$551,-,-,-,$731,"$-1,428",$-697,$-184,$-881,"$1,879",-,"$1,879",$-29,$-29,$-330,$47,"$1,567","$1,262",-,$-330
