,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$508,$403,$96,$499,$25,-,$-36,$-88,$-22,$985,$-386,-,$-21,-,-,-,$2,$-405,$-25,$-20,$-45,$-1,$84,$-659,-,$-620,$-40,$30,$-574
2020-09-30,$162,$407,$133,$540,$-16,-,-,$34,$-41,$661,$-377,-,$-70,-,-,-,$1,$-446,"$-2,517",$595,"$-1,922",$-1,$-86,$-460,-,"$-2,468","$-2,252",$33,$-517
2020-06-30,$201,$404,$44,$448,$55,-,$-21,$10,$107,$756,$-414,-,$-3,-,-,-,$-5,$-422,"$3,706","$-1,270","$2,436",$-1,$-1,$-530,$-38,"$1,867","$2,201",$38,$-501
2020-03-31,$185,$400,$42,$442,$102,-,$-20,$-6,$26,$653,$-447,-,$-13,-,-,-,$-8,$-468,$-26,$590,$564,$-73,$-73,$-541,-,$-50,$134,$37,$-513
2019-12-31,$208,$397,$26,$423,$70,-,$-18,$66,$177,$808,$-520,-,$-2,-,-,-,$-10,$-532,$-28,$290,$262,-,$85,$-610,-,$-263,$13,$26,$-497
2019-09-30,$243,$388,$32,$420,$-77,-,$31,$102,-,$663,$-539,-,$-2,-,-,-,$2,$-539,$877,$-595,$282,$-1,$-86,$-414,$-10,$-228,$-104,$29,$-471
2019-06-30,$216,$393,$41,$434,$-46,-,$11,$41,$65,$715,$-518,-,$-3,-,-,-,-,$-521,$-12,$340,$328,$-1,$-1,$-496,$-4,$-173,$21,$33,$-467
2019-03-31,$193,$395,$39,$434,$-43,-,$-5,$-26,$-115,$512,$-480,-,$-10,-,-,-,$1,$-489,$959,$-430,$529,$-42,$-42,$-505,$-10,$-28,$-5,$29,$-477
2018-12-31,$164,$391,$32,$423,$-31,-,$6,$116,$138,$725,$-498,-,$-16,-,-,-,$2,$-512,$-30,$270,$240,$-841,-,$-495,$2,$-253,$-40,$24,$-467
2018-09-30,$164,$386,$75,$461,$-15,-,$28,$79,$39,$664,$-478,-,$-8,-,-,-,$-17,$-503,$-57,$490,$433,-,-,$-464,$-13,$-44,$117,$32,$-436
2018-06-30,$180,$381,$32,$413,$-54,-,$8,$62,$66,$659,$-393,-,$-4,-,-,-,$3,$-394,$-15,$215,$200,$-3,$-3,$-465,$-5,$-273,$-9,$24,$-436
2018-03-31,$114,$376,$100,$476,$-5,-,$-5,$-100,$-138,$452,$-370,-,$-14,-,-,-,-,$-384,$393,$-880,$-487,$810,$810,$-471,$-15,$-163,$-95,$23,$-443
2017-12-31,$20,$362,$48,$410,$-8,-,$-6,$170,$189,$619,$-365,-,"$-7,147",-,-,-,$1,"$-7,511",$-28,$980,$952,-,-,$-457,$-2,$493,"$-6,399",$25,$-427
2017-09-30,$115,$299,$27,$326,$-12,-,$-11,$73,$41,$482,$-289,-,$-9,-,-,-,$2,$-296,"$1,717",$-350,"$1,367","$3,757","$5,365",$-386,$-16,"$6,330","$6,516",$22,$-386
2017-06-30,$112,$298,$27,$325,$-2,-,$13,$17,$52,$489,$-301,-,$-607,-,-,-,$-4,$-912,$316,$15,$331,$441,$441,$-348,$-4,$420,$-2,$23,$-348
2017-03-31,$119,$291,$24,$315,$93,-,$-30,$-42,$8,$442,$-262,-,"$-1,497",-,-,-,$-4,"$-1,763",$969,$335,"$1,304",-,-,$-348,$-7,$949,$-372,$22,$-348
2016-12-31,$124.737,$276.982,$37.882,$314.864,$-97.231,-,$23.469,$103.715,$42.684,$482.285,$-259.822,-,$-11.838,-,-,-,$-17.757,$-289.417,$-26.459,$-410,$-436.459,"$1,001.961","$1,001.961",$-353.381,$-0.569,$211.552,$404.591,$18.598,$-342.372
2016-09-30,$98.365,$284.124,$41.435,$325.559,$-46.545,-,$-5.754,$27.604,$-37.39,$386.534,$-221.181,-,$-51.23,-,-,-,$9.762,$-262.649,$165.453,$-25,$140.453,$-0.299,$-0.299,$-309.779,$0.262,$-169.363,$-46.119,$20.267,$-298.782
