,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2021-02-28,"$-1,973",$594,$143,$737,$6,$-1,$-128,$-312,$-268,"$-1,503","$-1,765",-,-,"$-1,840",-,"$-1,840",$17,"$-3,589","$4,312",-,"$4,312",$997,$997,-,$-93,"$5,216",$138,$40,-
2020-11-30,"$-2,222",$543,$517,"$1,060",$100,$6,$-68,$-382,$-486,"$-1,652","$-1,658",-,-,-,-,-,$-130,"$-1,788","$2,827",$-289,"$2,538","$2,471","$2,471",-,$-59,"$4,951","$1,500",$53,-
2020-08-31,"$-2,859",$551,"$1,256","$1,807",$227,$13,"$-1,149",$-714,"$-1,795","$-2,845",$-196,-,-,-,-,-,-,$-196,"$4,281",$-192,"$4,089",$220,$220,-,$-35,"$4,274","$1,295",$14,-
2020-05-31,"$-4,374",$571,"$2,106","$2,677",$-223,$73,$904,"$-1,660","$-1,023","$-2,720",$-332,-,-,-,-,-,$237,$-95,"$5,600","$2,554","$8,154",$556,$556,$-345,$-30,"$8,336","$5,528",$18,$-345
2020-02-29,$-781,$576,"$1,003","$1,579",$21,$-15,$148,$-156,$118,$916,"$-1,100",-,-,-,-,-,$-61,"$-1,161",$691,$779,"$1,470",$-10,$-10,$-344,$-26,"$1,089",$838,$20,$-344
2019-11-30,$423,$553,$22,$575,$-13,$57,$59,$-56,$64,"$1,061","$-1,970",-,-,-,-,-,$10,"$-1,960",$773,$-5,$768,$-131,$-131,$-346,$-33,$257,$-639,$8,$-346
2019-08-31,"$1,780",$548,$57,$605,$-51,$17,$-93,"$-1,025","$-1,137","$1,245",$-418,-,-,-,-,-,$19,$-399,$-134,$-243,$-377,$-154,$-154,$-347,$-8,$-886,$-46,$11,$-347
2019-05-31,$451,$543,$4,$547,-,$-2,$3,"$1,010","$1,054","$2,053",$-886,-,-,-,-,-,$27,$-859,$40,$-276,$-236,$-40,$-40,$-346,$-16,$-638,$551,$7,$-346
2019-02-28,$336,$516,$32,$548,$-50,$7,$65,$204,$231,"$1,116","$-2,129",-,-,-,-,-,$70,"$-2,059","$1,344",$-81,"$1,263",$-274,$-274,$-348,$-29,$612,$-331,$20,$-348
2018-11-30,$493,$507,$34,$541,$3,$-48,$70,$-12,$79,"$1,113",$-858,-,-,-,-,-,$-38,$-897,$639,$235,$874,$-260,$-260,$-352,$-14,$247,$454,$16,$-352
