,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$692,$139,$44,$183,$76,$-37,-,$-3,$88,$963,$-161,-,$-1,$48,-,$48,$3,$-111,$-292,$497,$205,$-664,$-664,$-492,-,$-951,$-101,$22,$-492
2020-09-30,$745,$134,$45,$179,$-59,$-38,-,$14,$38,$962,$-90,-,-,$-61,-,$-61,-,$-151,$-287,-,$-287,$-63,$-63,$-378,$-99,$-827,$-8,$53,$-378
2020-06-30,$675,$133,$-37,$96,$332,$-205,-,$1,$255,"$1,026",$-77,-,$-1,$20,-,$20,-,$-58,$-470,-,$-470,$48,$48,$-411,-,$-833,$143,$16,$-411
2020-03-31,$748,$133,$-113,$20,$-211,$29,-,$-38,-,$768,$-82,-,$-351,$-26,-,$-26,-,$-459,$-12,-,$-12,$77,$77,$-373,-,$-308,$-29,$16,$-373
2019-12-31,$682,$133,$-38,$95,$84,$-8,-,$29,$193,$970,$-109,-,-,$85,-,$85,-,$-24,$-670,$294,$-376,$-170,$-170,$-474,-,"$-1,020",$-65,$17,$-474
2019-09-30,$627,$130,$54,$184,$113,$-6,-,$34,$103,$914,$-80,-,"$-1,711",$-72,-,$-72,-,"$-1,863","$1,561",-,"$1,561",$-137,$-137,$-370,-,"$1,054",$85,$49,$-370
2019-06-30,$618,$128,$33,$161,$-33,$-31,-,$-13,$-135,$644,$-75,-,-,$-39,-,$-39,-,$-114,$-39,-,$-39,$-69,$-69,$-404,-,$-512,$20,$17,$-404
2019-03-31,$600,$128,$-27,$101,$-145,$-32,-,$37,$-96,$605,$-71,-,-,$-27,-,$-27,-,$-98,$302,-,$302,$-328,$-328,$-366,-,$-392,$117,$17,$-366
2018-12-31,$643,$126,$-26,$100,$117,$-22,-,$19,$119,$862,$-115,-,-,$118,-,$118,$1,$4,$-783,$546,$-237,$-272,$-272,$-469,-,$-978,$-115,$12,$-469
2018-09-30,$562,$127,$133,$260,$4,$-6,-,$-32,$75,$897,$-105,-,$-1,$-54,-,$-54,$-1,$-161,$-255,-,$-255,$-101,$-101,$-366,-,$-722,$8,$50,$-366
