,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$3,437","$3,252","$-1,448","$1,804","$-1,002",-,-,$524,$-199,"$5,042","$-3,215","$-1,143",$200,-,$-267,$-267,$351,"$-4,074","$-1,701",-,"$-1,701",$-105,$-105,"$-1,054",$-62,"$-2,922","$-1,969",$271,"$-1,054"
2020-09-30,"$2,031","$3,320",$530,"$3,850",$82,-,-,"$-1,069",$-653,"$5,228","$-2,797",$-552,$62,-,$-74,$-74,$-134,"$-3,495","$-1,332",-,"$-1,332",$-160,$-160,"$-1,058",$484,"$-2,066",$-239,$301,"$-1,058"
2020-06-30,"$3,009","$3,264",$92,"$3,356",$702,-,-,"$1,728","$2,278","$8,643","$-2,413",$-601,"$2,021",-,$-402,$-402,$18,"$-1,377","$1,058",-,"$1,058",$-36,$-36,"$-1,051","$-1,870","$-1,899","$5,367",$323,"$-1,051"
2020-03-31,"$2,224","$3,264","$1,196","$4,460",$198,-,-,$-331,$-860,"$5,824","$-2,252",$-618,$-177,-,$-69,$-69,$15,"$-3,101","$1,842",-,"$1,842",$-233,$-233,$-977,$-258,$374,"$3,020",$298,$-977
2019-12-31,"$3,200","$3,177",$579,"$3,756",$-417,-,-,"$-1,106",$-721,"$6,235","$-3,467",$-789,$489,-,$-202,$-202,$40,"$-3,929",$584,-,$584,$-72,$-72,$-957,$90,$-355,"$1,987",$231,$-957
2019-09-30,"$3,288","$3,180",$602,"$3,782",$65,-,-,"$-1,610","$-1,879","$5,191","$-2,797",$-608,$-9,-,$-92,$-92,$8,"$-3,498",$-491,$-487,$-978,$-82,$-82,$-955,$-79,"$-2,094",$-417,$257,$-955
2019-06-30,"$3,203","$3,276",$705,"$3,981",$-154,-,-,$251,$-144,"$7,040","$-2,493",$-531,$47,-,"$-1,166","$-1,166",$-45,"$-4,188","$-1,931",$487,"$-1,444",$-103,$-103,$-954,$94,"$-2,407",$422,$288,$-954
2019-03-31,"$3,632","$3,320",$95,"$3,415",$449,-,-,$309,$184,"$7,231","$-2,312",$-547,$-11,-,$-439,$-439,$83,"$-3,226","$-1,862","$-1,288","$-3,150",$-247,$-247,$-869,$-59,"$-4,325",$-312,$245,$-869
2018-12-31,"$2,582","$3,197",$165,"$3,362",$-577,-,-,$732,$-154,"$5,790","$-3,241",$-560,"$-37,990",-,$-544,$-544,$71,"$-42,264","$30,538","$-2,530","$28,008","$-1,038","$-1,038",$-865,$-99,"$26,006","$-10,713",$219,$-865
2018-09-30,"$2,896","$2,477",$564,"$3,041",$-165,-,-,$164,$33,"$5,970","$-2,550",$-445,$-113,-,$-713,$-713,$537,"$-3,284","$5,513","$2,886","$8,399","$-1,284","$-1,284",$-871,$-150,"$6,094","$8,780",$197,$-871
2018-06-30,"$3,208","$2,403",$738,"$3,141",$-145,-,-,"$1,178",$714,"$7,063","$-2,369",$-511,$114,-,$139,$139,$-387,"$-3,014","$-2,846",$925,"$-1,921","$-1,269","$-1,269",$-878,$-316,"$-4,384",$-335,$211,$-878
2018-03-31,"$3,176","$2,599",$589,"$3,188",$85,-,-,"$-1,175",$-890,"$5,474","$-2,074",$-419,$-89,-,$-139,$-139,$429,"$-2,292","$2,778",$-902,"$1,876","$-1,729","$-1,729",$-738,$15,$-576,"$2,606",$199,$-738
2017-12-31,"$15,051","$2,609","$-11,146","$-8,537",$-992,-,-,$-311,"$-1,110","$5,404","$-2,828",$-469,$47,-,$-348,$-348,$-12,"$-3,610","$-1,337",$902,$-435,"$-1,223","$-1,223",$-736,$-57,"$-2,451",$-657,$157,$-736
2017-09-30,"$2,674","$2,104",$452,"$2,556",$46,-,-,$-295,$-122,"$5,108","$-2,527",$-365,$-31,-,$-176,$-176,$583,"$-2,516","$2,443","$-1,112","$1,331","$-1,736","$-1,736",$-743,$-38,"$-1,186","$1,406",$203,$-743
2017-06-30,"$2,542","$2,507",$450,"$2,957",$-445,-,-,$23,$-375,"$5,124","$-2,476",$-386,$-182,-,$-757,$-757,$147,"$-3,654","$1,555",$198,"$1,753","$-1,480","$-1,480",$-747,"$-2,320","$-2,794","$-1,324",$218,$-747
