,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2021-01-31,$245,$78,$60,$138,$65,$95,-,$-11,$69,$431,$-61,-,$6,-,-,-,$7,$-48,-,$-53,$-53,-,-,$-107,-,$-160,$224,$18,$-107
2020-10-31,$309,$76,$43,$119,$-189,$-38,-,$8,$-247,$180,$-71,-,$-1,-,-,-,-,$-72,-,$-123,$-123,-,-,$-108,$-14,$-245,$-137,$16,$-108
2020-07-31,$86,$87,$103,$190,$91,$-138,-,$1,$7,$271,$-87,-,$10,-,$30,$30,$1,$-46,-,$-497,$-497,-,-,$-426,$314,$-609,$-383,$14,$-426
2020-04-30,$168,$79,$120,$199,$-9,$45,-,$-15,$122,$462,$-45,-,$-5,-,-,-,-,$-50,"$1,000",$-125,$875,$19,$19,$213,$-333,$774,"$1,184",$14,$213
2020-01-31,"$1,208",$81,$-938,$-857,$62,$110,-,$5,$136,$481,$-71,-,"$2,167",-,-,-,$3,"$2,099",$-100,$-731,$-831,$3,$3,$-106,"$-1,765","$-2,699",$-118,$19,$-106
2019-10-31,$166,$81,$122,$203,$-174,$-37,-,$6,$-173,$182,$-96,-,$365,-,-,-,-,$269,$-399,$61,$-338,$1,$1,$-107,$-9,$-453,$-3,$14,$-107
2019-07-31,$-8,$97,$156,$253,$52,$-120,-,$18,$15,$250,$-139,-,$514,-,-,-,-,$375,$-402,$-143,$-545,-,-,$-423,$318,$-650,$-27,$13,$-423
2019-04-30,$84,$108,$139,$247,$87,$34,-,$-17,$-6,$302,$-72,-,$50,-,-,-,$3,$-19,$-300,$129,$-171,-,-,$212,$-319,$-278,$3,$14,$212
2019-01-31,$-59,$119,$300,$419,$73,$155,-,$8,$276,$615,$-62,-,$-42,-,-,-,$1,$-103,-,$-408,$-408,-,-,$-105,$-2,$-515,$-2,$17,$-105
2018-10-31,$194,$122,$61,$183,$-223,$-33,-,$-10,$-136,$231,$-111,-,$1,-,-,-,$10,$-100,-,$-35,$-35,-,-,$-107,$-6,$-148,$-21,$14,$-107
2018-07-31,$94,$133,$14,$147,$74,$-134,-,$111,$51,$281,$-184,-,$2,-,-,-,$-7,$-189,$4,$44,$48,-,-,$-105,$-1,$-58,$26,$13,$-105
2018-04-30,$-393,$142,$580,$722,$95,$-34,-,$-59,$38,$364,$-91,-,"$-6,091",-,-,-,$-1,"$-6,183","$6,173",$-145,"$6,028",-,-,$-105,$-96,"$5,827",$4,$16,$-105
2018-01-31,$285,$79,$-23,$56,$54,$189,-,$-41,$160,$472,$-74,-,$-682,-,-,-,$-6,$-762,$-16,$439,$423,-,-,$-105,$-1,$317,$33,$18,$-105
2017-10-31,$275,$82,$14,$96,$-167,$-105,-,$16,$-172,$188,$-58,-,-,-,-,-,$-5,$-63,-,$-60,$-60,$-86,$-86,$-111,$-22,$-279,$-156,$14,$-111
2017-07-31,$318,$84,$-112,$-28,$27,$-98,-,$-7,$-10,$277,$-143,-,-,-,-,-,$-16,$-159,$-203,$311,$108,$-132,$-132,$-106,$2,$-128,$6,$12,$-106
2017-04-30,$176,$80,$23,$103,$96,$27,-,$-11,$96,$344,$-76,-,-,-,-,-,$-1,$-77,$-15,$-68,$-83,$-71,$-71,$-107,$-1,$-262,$4,$16,$-107
2017-01-31,$101,$77,$209,$286,$123,$144,-,$-3,$68,$446,$-71,-,-,-,-,-,$-9,$-80,$-34,$-84,$-118,$-120,$-120,$-107,-,$-345,$19,$18,$-107
2016-10-31,$292,$77,$19,$96,$-218,$-27,-,$-6,$-155,$221,$-48,-,-,-,-,-,$-4,$-52,$-27,$86,$59,$-112,$-112,$-100,$-20,$-173,$-6,$14,$-100
2016-07-31,$-81,$80,$313,$393,$19,$-113,-,$2,$-18,$280,$-116,-,-,-,-,-,$-4,$-120,$215,$-337,$-122,$-25,$-25,$-96,-,$-243,$-87,$14,$-96
2016-04-30,$185,$76,$97,$173,$135,$39,-,$9,$127,$457,$-71,-,-,-,-,-,$-24,$-95,-,$-173,$-173,$-32,$-32,$-97,$-1,$-303,$77,$16,$-97
2016-01-31,$265,$78,$29,$107,$54,$189,-,$5,$147,$510,$-80,-,-,-,-,-,$9,$-71,-,$-241,$-241,$-53,$-53,$-97,-,$-391,$43,$21,$-97
2015-10-31,$194,$74,$134,$208,$-184,$-56,-,$-7,$-149,$244,$-69,-,-,-,-,-,$1,$-68,-,$-11,$-11,$-31,$-31,$-100,$-20,$-162,$10,$13,$-100
2015-07-31,$17,$80,$142,$222,$-7,$-127,-,$-6,-,$235,$-132,-,$-232,-,-,-,$1,$-363,-,$324,$324,$-52,$-52,$-97,$-14,$161,$23,$11,$-97
2015-04-30,$179,$74,$62,$136,$144,$36,-,$14,$100,$387,$-98,-,-,-,-,-,$1,$-97,$300,$-404,$-104,$-58,$-58,$-98,$-3,$-263,$29,$15,$-98
2015-01-31,$222,$74,$38,$112,$50,$168,-,$3,$73,$396,$-79,-,-,-,-,-,-,$-79,-,$-181,$-181,$-58,$-58,$-98,-,$-337,$-38,$18,$-98
2014-10-31,$248,$75,$18,$93,$-175,$-95,-,$-6,$-144,$188,$-56,-,-,-,-,-,$-8,$-64,-,$52,$52,$-67,$-67,$-101,$5,$-111,$7,$13,$-101
2014-07-31,$183,$83,$28,$111,$17,$-184,-,$1,$-149,$136,$-146,-,-,-,-,-,$1,$-145,$-2,$111,$109,$4,$4,$-98,$2,$17,$10,$11,$-98
2014-04-30,$183,$74,$79,$153,$122,$39,-,$-9,$84,$400,$-72,-,$-14,-,-,-,-,$-86,-,$-299,$-299,$7,$7,$-98,$1,$-389,$-71,$9,$-98
2014-01-31,$318,$74,$-124,$-50,$9,$175,-,$4,$69,$325,$-55,-,$534,-,-,-,$-1,$478,-,$-645,$-645,$-71,$-71,$-98,-,$-814,$-80,$16,$-98
2013-10-31,$171,$74,$89,$163,$-186,$-110,-,$-65,$-284,$38,$-52,-,$-329,-,-,-,-,$-381,-,$341,$341,$2,$2,$-97,$15,$261,$-28,$21,$-97
2013-07-31,$-160,$89,$329,$418,$-8,$-94,-,-,$-89,$155,$-130,-,$-248,-,-,-,$-2,$-380,-,$212,$212,$-9,$-9,$-1,$4,$206,$-52,$31,$-1
2013-04-30,$179,$99,$93,$192,$118,$-6,-,$-6,$19,$365,$-94,-,$9,-,-,-,$-4,$-89,-,$-183,$-183,$-48,$-48,-,$5,$-226,$43,$31,-
2013-01-31,$187,$121,$63,$184,$100,$79,-,$14,$55,$418,$-69,-,-,-,-,-,$-2,$-71,-,$-15,$-15,$-16,$-16,$-274,$4,$-301,$49,$26,$-274
2012-10-31,$243,$98,$81,$179,$-258,$-125,-,$-90,$-330,$81,$-38,-,"$-1,567",-,-,-,$-9,"$-1,614","$1,250",$411,"$1,661",$3,$3,$-92,$-14,"$1,558",$26,$25,$-92
2012-07-31,$125,$73,$19,$92,$5,$-48,-,$-6,$72,$282,$-150,-,-,-,-,-,$-7,$-157,-,$45,$45,$-122,$-122,$-92,$4,$-165,$-48,$17,$-92
