,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$760,$347,$61,$408,$71,-,$-14,$-29,$-31,"$1,135",$-412,-,-,$1,-,$1,$-45,$-456,-,-,-,$-203,$-203,$-198,$-47,$-448,$231,-,$-198
2020-09-30,$736,$348,$52,$400,$-108,-,$79,$82,$-187,$944,$-402,-,-,$202,-,$202,$10,$-190,$-18,-,$-18,$-48,$-48,$-199,$18,$-247,$507,-,$-199
2020-06-30,$499,$344,$22,$366,$147,-,$-99,$7,$166,"$1,006",$-410,-,-,$285,-,$285,$-22,$-147,$-227,-,$-227,$-39,$-39,$-199,$2,$-463,$396,-,$-199
2020-03-31,$770,$344,$10,$354,$-27,-,$14,$-160,$54,"$1,178",$-346,-,-,$510,-,$510,$-20,$144,$500,-,$500,$-577,$-577,$-201,$-7,$-285,"$1,037",-,$-201
2019-12-31,$771,$344,$65,$409,$84,-,$-54,$3,$-79,"$1,113",$-430,-,-,$45,-,$45,$12,$-373,$-500,-,$-500,$-606,$-606,$-186,$-11,"$-1,303",$-563,-,$-186
2019-09-30,$856,$338,$24,$362,$22,-,$113,$112,$272,"$1,470",$-350,-,-,$-158,-,$-158,$35,$-473,$982,-,$982,"$-1,111","$-1,111",$-189,$-11,$-329,$668,-,$-189
2019-06-30,$870,$337,$9,$346,$-5,-,$-35,$7,$-94,"$1,094",$-318,-,-,$-54,-,$-54,$-14,$-386,-,-,-,$-860,$-860,$-193,$10,"$-1,043",$-335,-,$-193
2019-03-31,$834,$330,$24,$354,$-56,-,$74,$-150,$18,"$1,173",$-305,-,-,$-563,-,$-563,$-2,$-870,"$1,000",-,"$1,000",$-796,$-796,$-195,$18,$27,$330,-,$-195
2018-12-31,$843,$345,$177,$522,$51,-,$-36,$82,$-26,"$1,235",$-443,-,-,$365,-,$365,$-19,$-97,"$1,000",-,"$1,000","$-1,755","$-1,755",$-181,$-7,$-943,$195,-,$-181
2018-09-30,$894,$334,$-28,$306,$-50,-,$129,$73,$195,"$1,397",$-301,-,-,$-531,-,$-531,-,$-832,$-19,-,$-19,"$-1,016","$-1,016",$-186,$-1,"$-1,222",$-657,-,$-186
2018-06-30,$877,$329,$-24,$305,$3,-,$-53,$83,$-118,"$1,043",$-366,-,-,$-73,-,$-73,-,$-439,-,-,-,"$-1,064","$-1,064",$-190,$-10,"$-1,264",$-660,-,$-190
2018-03-31,$695,$323,$-15,$308,$-50,-,$64,$-184,$-43,$966,$-316,-,-,$8,-,$8,$-8,$-316,"$2,000",-,"$2,000",$-836,$-836,$-194,$-41,$929,"$1,579",-,$-194
2017-12-31,"$4,140",$337,"$-3,589","$-3,252",$8,-,$-61,$-7,$-220,$611,$-519,-,-,$99,-,$99,$4,$-416,$-1,-,$-1,$-207,$-207,$-178,$1,$-385,$-190,-,$-178
2017-09-30,$459,$331,$12,$343,$25,-,$96,$124,$471,"$1,295",$-485,-,-,$365,-,$365,$8,$-112,$-19,-,$-19,"$-1,006","$-1,006",$-180,$-7,"$-1,212",$-29,-,$-180
2017-06-30,$510,$327,$40,$367,$-73,-,$-85,$11,$-355,$523,$-511,-,-,$-183,-,$-183,$13,$-681,$537,-,$537,$-499,$-499,$-184,$-6,$-152,$-310,-,$-184
2017-03-31,$362,$320,$205,$525,$-30,-,$91,$-84,$139,"$1,043",$-428,-,-,$130,-,$130,$12,$-286,-,-,-,$-258,$-258,$-166,$-6,$-430,$327,-,$-166
2016-12-31,$458,$348,$-335,$13,$16,-,$-54,$41,$51,$553,$-613,-,-,$-264,-,$-264,$-28,$-905,$800,-,$800,$-278,$-278,$-167,$-3,$352,-,-,$-167
2016-09-30,$455,$321,$147,$468,$2,-,$94,$-47,$-3,$896,$-524,-,-,$110,-,$110,$2,$-412,$-19,-,$-19,$-263,$-263,$-169,$4,$-447,$37,-,$-169
2016-06-30,$445,$319,$85,$404,$9,-,$-50,$60,$-13,$838,$-641,-,-,$115,-,$115,$4,$-522,-,-,-,$-266,$-266,$-171,$-44,$-481,$-165,-,$-171
2016-03-31,$356,$313,$80,$393,$57,-,$50,$-132,$34,$754,$-425,-,-,$435,-,$435,$31,$41,-,-,-,$-249,$-249,$-173,$-270,$-692,$103,-,$-173
2015-12-31,$466,$312,$264,$576,$23,-,$-82,$32,$-199,$858,$-552,-,-,$-384,-,$-384,$-5,$-941,$599,-,$599,$-258,$-258,$-174,$3,$170,$87,-,$-174
2015-09-30,$507,$302,$48,$350,$25,-,$71,$-37,$91,$930,$-622,-,-,$255,-,$255,$-10,$-377,$-18,-,$-18,$-262,$-262,$-176,$6,$-450,$103,-,$-176
2015-06-30,$553,$299,$8,$307,$82,-,$-92,$55,$-7,$892,$-643,-,-,$-420,-,$-420,$-11,"$-1,074",$390,-,$390,$-157,$-157,$-178,$4,$59,$-123,-,$-178
2015-03-31,$442,$295,$6,$301,$19,-,$24,$-252,$-79,$690,$-598,-,-,$35,-,$35,$63,$-500,-,-,-,$-127,$-127,$-158,$-13,$-298,$-108,-,$-158
2014-12-31,$491,$290,$202,$492,$-3,-,$-19,$115,$25,"$1,041",$-887,-,-,$309,-,$309,$15,$-563,$-1,-,$-1,$-129,$-129,$-159,$1,$-288,$190,-,$-159
2014-09-30,$509,$291,$3,$294,$-56,-,$70,$32,$74,$857,$-581,-,-,$-354,-,$-354,$-35,$-970,$312,-,$312,$-131,$-131,$-159,$-3,$19,$-94,-,$-159
