,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$-656,"$4,486",$-494,"$3,992","$2,423",$284,-,$467,"$-1,098","$2,238","$-2,067",-,-,-,-,-,"$1,377",$-690,"$-1,477","$1,257",$-220,$14,$14,"$-2,479",-,"$-2,685","$-1,054",-,"$-2,479"
2020-09-30,$-209,"$4,017",$-841,"$3,176",-,-,-,$570,$570,"$3,537","$-1,630",-,-,$36,-,$36,$-233,"$-1,827","$3,866","$-3,177",$689,$5,$5,"$-2,390",-,"$-1,696",$12,-,"$-2,390"
2020-06-30,"$-8,277","$6,717",$801,"$7,518",-,-,-,$839,$839,$80,"$-2,092",-,-,$-1,-,$-1,$803,"$-1,290","$7,239","$-5,596","$1,643",$23,$23,"$-2,399",-,$-733,"$-1,911",-,"$-2,399"
2020-03-31,"$3,581","$4,288","$-1,373","$2,915",-,-,-,"$-1,774","$-1,774","$4,722","$-3,133",-,-,-,-,-,$-25,"$-3,158","$-2,809","$8,167","$5,358","$-1,573","$-1,573","$-2,407",-,"$1,378","$2,779",-,"$-2,407"
2019-12-31,"$-6,667","$16,429","$-4,294","$12,135","$1,852",$7,-,"$-1,628",$189,"$5,657","$-4,210",-,-,-,-,-,"$1,588","$-2,622","$-1,157","$-4,794","$-5,951","$-1,090","$-1,090","$-2,230",-,"$-9,271","$-5,909",-,"$-2,230"
2019-09-30,"$2,580","$4,361",$-515,"$3,846",-,-,-,"$1,391","$1,391","$7,817","$-3,369",-,-,-,-,-,$-199,"$-3,568",$-5,"$2,162","$2,157","$-1,005","$-1,005","$-2,245",-,"$-1,093","$3,129",-,"$-2,245"
2019-06-30,"$4,290","$4,334","$-1,056","$3,278",-,-,-,"$1,215","$1,215","$8,783","$-3,584",-,-,-,-,-,$344,"$-3,240","$-1,357","$-1,125","$-2,482",$-825,$-825,"$-2,252",-,"$-5,559",$-4,-,"$-2,252"
2019-03-31,"$2,642","$4,094",$-459,"$3,635",-,-,-,"$-1,220","$-1,220","$5,057","$-2,953",-,-,$952,-,$952,$-27,"$-2,028","$-2,506",$936,"$-1,570",$-15,$-15,"$-2,250",-,"$-3,835",$-786,-,"$-2,250"
2018-12-31,"$3,723","$5,252","$-1,079","$4,173","$2,178",$325,-,$252,"$1,255","$9,151","$-3,991",-,-,$-950,-,$-950,$309,"$-4,632","$-1,513",$-178,"$-1,691",$-941,$-941,"$-2,124",-,"$-4,756",$-260,-,"$-2,124"
2018-09-30,"$4,056","$5,380",$-554,"$4,826",$-362,$326,-,$405,$687,"$9,569","$-3,578",-,-,$-2,-,$-2,"$1,353","$-2,227",$58,"$-2,502","$-2,444",$-671,$-671,"$-2,161",-,"$-5,276","$2,043",-,"$-2,161"
