,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$690,$658,$-449,$209,$-529,$10,$221,$-244,$-482,$417,"$-1,682",-,"$3,621",-,$66,$66,$-61,"$1,944",$567,"$-1,933","$-1,366",$-695,$-695,$-511,$-100,"$-2,672",$-311,-,$-511
2020-09-30,$131,$681,$684,"$1,365",$-105,$22,$5,$56,$178,"$1,674","$-1,423",-,$-58,"$1,710","$-1,793",$-83,$38,"$-1,526",$986,"$1,942","$2,928","$-2,374","$-2,374",$-785,$-101,$-332,$-184,-,$-785
2020-06-30,"$-1,132",$738,"$2,269","$3,007",$151,$-64,$-27,$-353,$-372,"$1,503","$-1,453",-,$-179,"$-1,710","$1,647",$-63,$2,"$-1,693","$2,127","$-1,579",$548,$70,$70,$-789,$-164,$-335,$-525,-,$-789
2020-03-31,$-239,$759,"$1,233","$1,992",$245,$71,$-164,$-38,$-120,"$1,633","$-1,462",-,$-8,-,$-204,$-204,$33,"$-1,641",$18,"$1,779","$1,797",$78,$78,$-788,$-81,"$1,006",$998,-,$-788
2019-12-31,"$1,010",$742,$-117,$625,$-425,$16,$221,$3,$-140,"$1,495","$-1,784",-,$-158,-,$407,$407,$73,"$-1,462","$1,555","$-4,509","$-2,954","$2,791","$3,582",$-759,$-73,$-204,$-171,-,$-759
2019-09-30,$985,$763,$-147,$616,$-138,$-92,-,$-116,$-205,"$1,396","$-1,084",-,$-31,$888,"$-1,152",$-264,$52,"$-1,327","$-3,717","$2,873",$-844,"$1,477","$1,477",$-755,$-67,$-189,$-120,-,$-755
2019-06-30,$58,$738,$467,"$1,205",$339,$-67,$-162,$-296,$-121,"$1,142","$-1,110",-,$-123,$-888,$849,$-39,$-9,"$-1,281",$-963,$135,$-828,"$1,660","$1,660",$-736,$-24,$72,$-67,-,$-736
2019-03-31,$-677,$734,"$1,534","$2,268",$153,$53,$-284,$-13,$-420,"$1,171","$-1,002",-,$360,-,$97,$97,$-7,$-552,"$-1,730","$1,905",$175,$247,$247,$-733,$-72,$-383,$236,-,$-733
2018-12-31,$662,$574,$-194,$380,$-239,$8,$234,$15,$20,"$1,062","$-1,143",-,$-43,-,"$2,169","$2,169",$28,"$1,011",$-566,"$-2,601","$-3,167","$1,724","$1,724",$-550,$-76,"$-2,069",$4,-,$-550
2018-09-30,$883,$600,$-189,$411,$-29,$-68,$-16,$29,$-8,"$1,286","$-1,065",-,$-57,$890,$-899,$-9,$-2,"$-1,133","$1,686","$-1,260",$426,$75,$75,$-546,$-75,$-120,$33,-,$-546
2018-06-30,$478,$534,$253,$787,$111,$-73,$-94,$-29,$-72,"$1,193",$-943,-,$-44,$-890,$875,$-15,$-51,"$-1,053",$-137,$532,$395,$81,$81,$-545,$-51,$-120,$20,-,$-545
2018-03-31,$526,$572,$315,$887,$47,$104,$-57,$-172,$-181,"$1,232","$-1,103",-,$-7,-,$-121,$-121,$48,"$-1,183",$-230,$365,$135,$581,$581,$-544,$-72,$100,$149,-,$-544
2017-12-31,"$1,333",$553,$-566,$-13,$-350,$49,$69,$-261,$-490,$830,"$-1,382",$-5,$-62,-,$61,$61,$314,"$-1,074",$357,$238,$595,$87,$87,$-496,$-58,$128,$-116,-,$-496
2017-09-30,$696,$561,$162,$723,$-60,$-55,$53,$-179,$-107,"$1,312","$-1,374",$5,$-63,-,$-113,$-113,$-2,"$-1,547",$-289,$-23,$-312,"$1,077","$1,077",$-486,$-67,$212,$-23,-,$-486
2017-06-30,$417,$540,$176,$716,$171,$-40,$-71,$-139,$-133,"$1,000","$-1,313",-,$-186,-,$-113,$-113,$-8,"$-1,620",$691,$206,$897,$77,$77,$-475,$-95,$404,$-216,-,$-475
2017-03-31,$674,$548,$182,$730,$136,$61,$-140,$-82,$-44,"$1,360","$-1,435",-,$-94,-,$-176,$-176,$4,"$-1,701","$1,549",$-528,"$1,021",$79,$79,$-474,$-67,$559,$218,-,$-474
2016-12-31,$491,$524,$223,$747,$-305,$11,$186,$-363,$-473,$765,"$-1,549",-,$-28,"$-1,504","$1,404",$-100,$15,"$-1,662","$1,551","$-1,141",$410,$555,"$1,045",$-440,$-72,$943,$46,-,$-440
2016-09-30,$728,$472,$150,$622,$-63,$-7,$3,$-74,$18,"$1,368","$-1,386",-,"$-4,383",-,$-61,$-61,$526,"$-5,304","$3,131",$559,"$3,690",$621,$621,$-438,$-63,"$3,810",$-126,-,$-438
2016-06-30,$462,$429,$72,$501,$42,$-47,$-55,$-81,$-163,$826,"$-1,653",-,$-10,-,$-71,$-71,$-466,"$-2,200",$676,$-91,$585,"$1,383","$1,383",$-432,$-3,"$1,533",$159,-,$-432
