,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$-150,"$-4,081","$5,552","$1,471",$-58,$-43,$563,$693,$769,"$2,090","$7,408",-,"$6,160",-,"$-5,811","$-5,811",$207,"$-2,640","$-2,694",$-260,"$-2,954",$-75,$-75,"$2,113",$-309,$506,$-44,-,"$2,113"
2020-09-30,"$1,234","$1,430",$568,"$1,998",$-223,$99,$75,$113,$177,"$3,409","$-2,305",-,"$-2,342","$-3,755","$5,975","$2,220",$-66,"$-2,493",$857,"$-1,364",$-507,$18,$18,$-722,$254,$-957,$-41,-,$-722
2020-06-30,$-892,"$1,350","$1,460","$2,810",$-185,$36,$19,$-145,$-115,"$1,803","$-2,271",-,"$-2,426","$2,408",$-87,"$2,321",$-73,"$-2,449",$175,$55,$230,$17,$17,$-684,$26,$-411,"$-1,057",-,$-684
2020-03-31,$890,"$1,301",$194,"$1,495",$466,$-92,$-657,$-661,$-831,"$1,554","$-2,832",-,"$-1,392","$1,347",$-77,"$1,270",$-68,"$-3,022","$1,662","$1,569","$3,231",$40,$40,$-707,$29,"$2,593","$1,125",-,$-707
2019-12-31,$607,"$1,345",$502,"$1,847",$16,$-119,$374,$196,$118,"$2,572","$-3,038",-,$-243,-,$191,$191,$-234,"$-3,324",$221,$639,$860,$343,$342,$-678,$219,$743,$-9,-,$-678
2019-09-30,"$1,323","$1,348",$-212,"$1,136",$-242,$107,$162,$-86,$122,"$2,581","$-2,619",-,$-789,"$-2,302","$2,990",$688,$-125,"$-2,845",$927,"$-1,343",$-416,$14,"$1,004",$-678,$455,$365,$101,-,$-678
2019-06-30,$748,"$1,245",$189,"$1,434",$-84,$-79,$-64,$-189,$-365,"$1,817","$-2,929",-,"$-1,456","$1,451",$-68,"$1,383",$-73,"$-3,075",$931,$732,"$1,663",$14,$13,$-663,$176,"$1,189",$-69,-,$-663
2019-03-31,$893,"$1,238",$-91,"$1,147",$388,$-31,$-636,$-415,$-801,"$1,239","$-2,536",-,$-860,$851,$-94,$757,$-74,"$-2,713","$1,536",$-408,"$1,128",$13,$987,$-649,$-33,"$1,433",$-41,-,$-649
2018-12-31,$454,"$1,249",$-72,"$1,177",$-57,$52,$90,$-98,$-112,"$1,519","$-2,637",-,$-999,"$-2,718","$3,629",$911,$-65,"$-2,790",$561,$497,"$1,058","$1,004","$1,004",$-636,$-13,"$1,413",$142,-,$-636
2018-09-30,"$1,066","$1,197",$783,"$1,980",$-261,$34,$531,"$-1,165",$-681,"$2,365","$-2,377",-,$-855,$852,$-158,$694,$-87,"$-2,625","$1,295",$-457,$838,$14,$14,$-636,$66,$282,$22,-,$-636
