,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$1,103",$481,"$-2,175","$-1,694",-,-,-,$404,$404,$-187,$-147,-,"$4,942",-,-,-,$-61,"$4,734","$-1,657","$-2,045","$-3,702",$1,$1,-,$-7,"$-3,708",$840,$6,-
2020-09-30,$-246,$529,$189,$718,-,-,-,-,-,$472,$-113,-,-,-,-,-,$-60,$-173,$-634,"$-2,109","$-2,743",-,-,-,$-6,"$-2,749","$-2,430",$20,-
2020-06-30,$-199,$496,$209,$705,-,-,-,$-387,$-387,$119,$-137,-,$-10,-,-,-,$86,$-61,$-336,"$2,181","$1,845",-,-,$-53,$-6,"$1,786","$1,830",$16,$-53
2020-03-31,"$-3,501","$4,381",$-50,"$4,331",$269,-,-,$-61,$-554,$288,$-149,-,-,$38,-,$38,$96,$-15,$-229,"$1,246","$1,017",-,-,$-53,$-2,$962,"$1,119",$11,$-53
2019-12-31,$90,$536,$226,$762,-,-,-,$-375,$-375,$477,$-85,-,$-76,-,-,-,$86,$-75,$-735,$104,$-631,$-85,$-85,$-54,$-15,$-785,$-320,$9,$-54
2019-09-30,"$-2,115","$3,359",$169,"$3,528",-,-,-,$238,$238,"$1,651",$-131,-,$-10,-,-,-,$-84,$-225,$-221,$13,$-208,$-147,$-147,$-56,$4,$-407,"$1,012",$30,$-56
2019-06-30,$168,$474,$167,$641,-,-,-,$-875,$-875,$-66,$-147,-,"$-1,911",$-75,-,$-75,$311,"$-1,822","$1,479",-,"$1,479",$-493,$-493,$-51,$-48,$887,"$-1,031",$18,$-51
2019-03-31,$271,$499,$304,$803,$-947,-,-,$631,$-475,$748,$-82,-,$-33,-,-,-,$224,$109,$-240,$-93,$-333,$-84,$-84,$-51,$-12,$-480,$424,$17,$-51
2018-12-31,$466,$512,$-79,$433,-,-,-,$-713,$-713,$186,$82,-,$-289,-,-,-,$215,$8,$345,-,$345,$-802,$-802,$-54,$14,$-497,$-305,$16,$-54
2018-09-30,$259,$493,$-26,$467,-,-,-,$-246,$-246,$480,$-92,-,-,-,-,-,$224,$132,$-221,-,$-221,$-106,$-106,$-54,$-5,$-386,$201,$19,$-54
2018-06-30,$266,$509,$-28,$481,-,-,-,$-378,$-378,$369,$-109,-,$-108,-,-,-,$37,$-180,"$-1,054",-,"$-1,054",$-305,$-305,$-51,"$1,110",$-300,$-150,$22,$-51
2018-03-31,$565,$623,"$-1,007",$-384,$-464,-,-,$671,$414,$557,$-74,-,$-46,-,-,-,$69,$-51,$-242,$-402,$-644,$-35,$-35,$-51,$-24,$-754,$-227,$17,$-51
2017-12-31,$779,$483,$66,$549,-,-,-,$-828,$-828,$500,$-114,-,$-41,-,-,-,$429,$274,$-465,$1,$-464,$15,$15,$-51,$-15,$-515,$254,$18,$-51
2017-09-30,$265,$541,$156,$697,-,-,-,$29,$29,$991,$-82,-,$-152,-,-,-,$-144,$-378,$-139,$-278,$-417,$15,$15,$-52,$1,$-453,$180,$18,$-52
2017-06-30,$173,$363,$-79,$284,-,-,-,$62,$62,$519,$-107,-,$974,-,-,-,$7,$874,$-151,$58,$-93,$11,$11,$-20,$-66,$-168,"$1,254",$40,$-20
2017-03-31,$-138,$172,$14,$186,$-25,-,-,$-269,$-272,$-186,$-32,-,$3,-,-,-,$289,$260,$-29,$-16,$-45,$7,$7,$-19,$78,$21,$154,$19,$-19
2016-12-31,$37,$164,$-34,$130,-,-,-,$396,$396,$563,$-85,-,-,-,-,-,$-19,$-104,$-44,$-244,$-288,$5,$5,$-20,$-1,$-304,$57,$21,$-20
2016-09-30,$21,$170,$101,$271,-,-,-,$-100,$-100,$192,$-123,-,$-11,-,-,-,$-38,$-172,$26,$29,$55,$6,$6,$-20,$-19,$22,$54,$21,$-20
2016-06-30,$-20,$169,$24,$193,-,-,-,$-123,$-123,$50,$-89,-,$-423,-,-,-,$-37,$-549,$-107,$467,$360,$36,$36,$-19,$-23,$354,$-178,$14,$-19
2016-03-31,$-133,$159,$202,$361,$129,-,-,$13,$-157,$60,$-114,-,$-289,$1,-,$1,$-48,$-450,$-472,$381,$-91,$-35,$-35,$-21,$-102,$-249,$-652,$17,$-21
2015-12-31,$52,$198,$22,$220,-,-,-,$-14,$-14,$258,$-127,-,$-26,$-71,-,$-71,$-25,$-249,$-8,$183,$175,$117,$117,$-345,$73,$20,$12,$21,$-345
2015-09-30,$177,$203,$21,$224,-,-,-,$-279,$-279,$122,$-156,-,$-236,-,-,-,$-5,$-397,$-392,$372,$-20,$21,$21,$-32,$-9,$-40,$-381,$19,$-32
2015-06-30,$167,$207,$-50,$157,-,-,-,$38,$38,$362,$-82,-,$34,-,-,-,$-36,$-84,$-69,$3,$-66,$-94,$-94,$-32,$-24,$-216,$101,$-12,$-32
2015-03-31,$23,$215,$-95,$120,$237,-,-,$280,$171,$330,$-96,-,$-14,-,-,-,$-27,$-137,$-49,-,$-49,$-279,$-279,$-33,$-38,$-399,$-295,$14,$-33
2014-12-31,$-313,$238,$471,$709,-,-,-,$257,$257,$653,$-94,-,-,-,-,-,$-7,$-101,$-54,-,$-54,$67,$67,$-32,$-4,$-23,$470,$19,$-32
2014-09-30,$156,$252,$27,$279,-,-,-,$-218,$-218,$217,$-130,-,$-53,-,-,-,$-1,$-184,$-55,$-15,$-70,$-374,$-374,$-34,$3,$-475,$-517,$16,$-34
2014-06-30,$151,$272,$4,$276,-,-,-,$-154,$-154,$273,$-105,-,$5,-,-,-,$-14,$-114,$-84,$-17,$-101,$-60,$-60,$-29,$9,$-181,$-3,$19,$-29
2014-03-31,$273,$265,$68,$333,$168,-,-,$253,-,$565,$-175,-,$3,-,-,-,$-17,$-189,$-68,$31,$-37,$-43,$-43,$-30,$-113,$-223,$159,$20,$-30
2013-12-31,$276,$251,$-74,$177,-,-,-,$76,$76,$529,$-137,-,$-150,-,-,-,$-14,$-301,$-304,$408,$104,$-98,$-98,$-29,$-21,$-44,$189,$20,$-29
2013-09-30,$242,$247,$-52,$195,$-34,-,-,$-133,$-167,$270,$-127,-,$149,-,-,-,$3,$25,$-60,-,$-60,$-55,$-55,$-30,$3,$-142,$166,$16,$-30
