,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$101.649,$119.147,$-19.145,$100.002,-,-,-,$1.497,$-51.98,$149.671,$6.141,-,-,$12.105,-,$12.105,$-133.158,$-114.912,$-329.152,-,$-329.152,$-46.393,$-46.393,$-143.223,$-1.025,$-519.793,$-485.034,$3.234,$-143.223
2020-09-30,$78.842,$129.67,$-25.631,$104.039,-,-,-,$3.916,$44.446,$227.327,$-20.103,-,-,$24.669,-,$24.669,$-18.751,$-14.185,$295.195,-,$295.195,$-26.681,$-26.681,$-143.415,$-25.641,$99.458,$312.6,$0.88,$-143.415
2020-06-30,$90.076,$132.817,$-23.966,$108.851,-,-,-,$-9.5,$-39.743,$159.184,$164.29,-,-,$3.878,-,$3.878,$-10.334,$157.834,$-175.021,-,$-175.021,$-19.62,$-19.62,$-144.093,$-4.156,$-342.89,$-25.872,$2.638,$-144.093
2020-03-31,$328.765,$131.462,$-227.215,$-95.753,-,-,-,$1.106,$33.914,$266.926,$-519.43,-,-,$-10.566,-,$-10.566,$84.359,$-445.637,$690.577,-,$690.577,$-162.052,$-162.052,$-136.357,$-12.204,$379.964,$201.253,$1.405,$-136.357
2019-12-31,$135.182,$113.325,$-13.036,$100.289,-,-,-,$11.411,$-23.319,$212.152,$-92.472,-,-,$86.561,-,$86.561,$182.473,$176.562,$-238.342,-,$-238.342,$1.035,$1.035,$-136.62,$-25.419,$-399.346,$-10.632,$0.262,$-136.62
2019-09-30,$105.7,$116.733,$-1.741,$114.992,-,-,-,$4.607,$56.402,$277.094,$-141.933,-,-,$4.384,-,$4.384,$-235.237,$-372.786,$170.31,-,$170.31,$100.31,$100.31,$-134.599,$-3.574,$132.447,$36.755,$1.427,$-134.599
2019-06-30,$98.061,$115.104,$4.885,$119.989,-,-,-,$-2.567,$-43.976,$174.074,$-90.902,-,-,$1.694,-,$1.694,$-23.011,$-112.219,$4.447,-,$4.447,$1.982,$1.982,$-135.025,$-2.414,$-131.01,$-69.155,$3.253,$-135.025
2019-03-31,$125.505,$115.786,$-35.151,$80.635,-,-,-,$-4.276,$49.619,$255.759,$-115.522,-,-,$8.434,-,$8.434,$-112.16,$-219.248,$137.259,-,$137.259,$-50.31,$-50.31,$-129.503,$-21.226,$-63.78,$-27.269,$2.068,$-129.503
2018-12-31,$124.44,$115.28,$-42.354,$72.926,-,-,-,$3.665,$-51.949,$145.417,$113.31,-,-,$0.198,-,$0.198,$-37.577,$75.931,$-68.081,-,$-68.081,$-44.433,$-44.433,$-129.785,$-2.28,$-244.579,$-23.231,$-0.074,$-129.785
2018-09-30,$86.11,$115.766,$0.957,$116.723,-,-,-,$2.153,$54.783,$257.616,$-101,-,-,$2.391,-,$2.391,$21.793,$-76.816,$-54.158,-,$-54.158,$0.757,$0.757,$-129.927,$-0.422,$-183.75,$-2.95,$1.303,$-129.927
2018-06-30,$106.41,$114.33,$-14.137,$100.193,-,-,-,$-2.128,$-51.44,$155.163,$54.426,-,-,$-5.162,-,$-5.162,$-9.283,$39.981,$-24.411,-,$-24.411,$0.356,$0.356,$-131.991,$-0.6,$-156.646,$38.498,$3.816,$-131.991
2018-03-31,$96.639,$114.284,$8.655,$122.939,-,-,-,$-3.371,$48.78,$268.358,$-71.916,-,-,$-3.858,-,$-3.858,$-23.215,$-98.989,$36.025,-,$36.025,$-2.619,$-2.619,$-121.529,$-3.294,$-91.417,$77.952,$2.09,$-121.529
2017-12-31,$109.662,$113.181,$-11.812,$101.369,-,-,-,$-0.729,$-64.991,$146.04,$-94.326,-,-,$-0.121,-,$-0.121,$11.799,$-82.648,$75.271,-,$75.271,$11.234,$11.234,$-121.662,$-30.382,$-65.539,$-2.147,$4.392,$-121.662
2017-09-30,$85.035,$112.778,$0.613,$113.391,-,-,-,$-1.34,$52.617,$251.043,$-90.285,-,-,$-27.442,-,$-27.442,$-103.926,$-221.653,$-44.778,-,$-44.778,$1.85,$1.85,$-121.526,$-1.539,$-165.993,$-136.603,$1.533,$-121.526
2017-06-30,$75.795,$113.234,$3.793,$117.027,-,-,-,$2.047,$-43.604,$149.218,$-59.748,-,-,$-8.813,-,$-8.813,$-15.179,$-83.74,$67.115,-,$67.115,$96.877,$96.877,$-123.707,$-6.139,$34.146,$99.624,$2.108,$-123.707
2017-03-31,$187.551,$108.621,$-112.196,$-3.575,-,-,-,$-3.152,$39.33,$223.306,$-110.269,-,-,$3.964,-,$3.964,$-73.594,$-179.899,$-6.787,-,$-6.787,$5.729,$5.729,$-110.282,$-2.117,$-113.457,$-70.05,$1.253,$-110.282
2016-12-31,$204.517,$104.593,$-126.314,$-21.721,-,-,-,$1.158,$-46.501,$136.295,$-62.299,-,-,$15.75,-,$15.75,$-101.707,$-148.256,$7.121,-,$7.121,$0.024,$0.024,$-110.34,$-3.081,$-106.276,$-118.237,$5.375,$-110.34
2016-09-30,$70.162,$103.319,$12.205,$115.524,-,-,-,$4.269,$44.458,$230.144,$-66.139,-,-,$1.102,-,$1.102,$-18.646,$-83.683,$-27.302,-,$-27.302,$6.015,$6.015,$-111.76,$-0.762,$-133.809,$12.652,$1.238,$-111.76
2016-06-30,$76.824,$102.169,$0.541,$102.71,-,-,-,$-4.363,$-29.791,$149.743,$-57.172,-,-,$-8.874,-,$-8.874,$-34.327,$-100.373,$271.451,-,$271.451,$6.383,$-67.367,$-114.034,$-5.069,$84.981,$134.351,$1.708,$-114.034
2016-03-31,$86.907,$102.156,$-24.823,$77.333,-,-,-,$1.17,$36.37,$200.61,$-114.796,-,-,$3.701,-,$3.701,$30.336,$-80.759,$-4.008,-,$-4.008,$5.098,$5.098,$-100.334,$-2.126,$-101.37,$18.481,$1.49,$-100.334
2015-12-31,$85.762,$108.803,$-21.48,$87.323,-,-,-,$2.53,$-42.825,$130.26,$-10.234,-,-,$1.341,-,$1.341,$-56.342,$-65.235,$5.316,-,$5.316,$28.669,$28.669,$-100.523,$-4.472,$-71.01,$-5.985,$0.55,$-100.523
2015-09-30,$47.182,$109.134,$8.105,$117.239,-,-,-,$4.883,$36.439,$200.86,$-71.756,-,-,$-1.452,-,$-1.452,$-11.959,$-85.167,$-49.531,-,$-49.531,$38.998,$38.998,$-99.737,$0.003,$-110.267,$5.426,$2.054,$-99.737
2015-06-30,$50.542,$106.215,$-6.288,$99.927,-,-,-,$-9.153,$-25.97,$124.499,$-178.285,-,-,$1.251,$-11.072,$-9.821,$-100.192,$-288.298,$-27.013,-,$-27.013,$100.805,$100.805,$-100.815,$-0.334,$-27.357,$-188.958,$2.087,$-100.815
2015-03-31,$64.753,$97.521,$-25.36,$72.161,-,-,-,$3.894,$25.635,$162.549,$-250.966,-,-,$-6.533,$11.072,$4.539,$-40.429,$-286.856,$219.732,-,$219.732,$190.205,$190.205,$-87.237,$-6.61,$316.09,$193.59,$1.37,$-87.237
2014-12-31,$44.805,$94.247,$8.825,$103.072,-,-,-,$7.029,$-12.726,$135.151,$2.994,-,-,$-2.522,$-13.9,$-16.422,$18.607,$5.179,$-130.096,-,$-130.096,$86.428,$86.428,$-87.422,$-1.507,$-132.597,$7.733,$3.744,$-87.422
2014-09-30,$58.581,$95.555,$-26.88,$68.675,-,-,-,$7.226,$41.915,$169.171,$-363.635,-,-,$-0.092,-,$-0.092,$-52.471,$-416.198,$165.648,-,$165.648,$172.153,$172.153,$-88.146,$-2.697,$246.958,$-0.069,$1.371,$-88.146
2014-06-30,$4.646,$95.433,$2.638,$98.071,-,-,-,$0.211,$-5.621,$97.096,$-146.177,-,-,$-2.825,$13.9,$11.075,$-540.445,$-675.547,$322.639,-,$322.639,$125.065,$125.065,$-2.114,$-9.464,$436.126,$-1.972,$2.392,$-2.114
2014-03-31,$26.406,$51.36,$-3.882,$47.478,-,-,-,$2.879,$18.01,$91.894,$-52.599,-,-,$-6.324,-,$-6.324,$-1.667,$-60.59,$-78.805,-,$-78.805,$158.772,$158.772,$-100.357,$-9.487,$-29.877,$1.427,$1.233,$-100.357
2013-12-31,$36.902,$51.225,$-7.132,$44.093,-,-,-,$17.924,$-1.095,$79.9,$-144.175,-,-,$1.342,-,$1.342,$-1.876,$-144.709,$113.195,-,$113.195,$15.046,$15.046,$-50.902,$-3.548,$73.791,$8.982,$1.371,$-50.902
2013-09-30,$75.875,$49.622,$-51.967,$-2.345,-,-,-,$-20.558,$0.966,$74.496,$-44.327,-,-,$0.055,-,$0.055,$16.966,$-27.306,$-4.434,-,$-4.434,$0.566,$0.566,$-50.845,$-3.185,$-57.898,$-10.708,$1.011,$-50.845
2013-06-30,$29.575,$49.634,$-2.285,$47.349,-,-,-,$-1.154,$-12.03,$64.894,$-32.245,-,-,$-7.461,-,$-7.461,$-136.238,$-175.944,$153.972,-,$153.972,$2.823,$2.823,$-52.262,$-4.11,$100.423,$-10.627,$0.994,$-52.262
2013-03-31,$29.703,$47.853,$-2.529,$45.324,-,-,-,$2.222,$10.665,$85.692,$-184.496,-,-,$13.794,-,$13.794,$64.965,$-105.737,$-44.572,-,$-44.572,$124.272,$124.272,$-45.147,$-2.27,$32.283,$12.238,$1.132,$-45.147
2012-12-31,$49.64,$46.202,$-29.316,$16.886,-,-,-,$-4.555,$-18.362,$48.164,$-277.346,-,-,$55.381,-,$55.381,$-72.107,$-294.072,$223.54,-,$223.54,$89.336,$89.336,$-44.622,$-5.683,$262.571,$16.663,$1.261,$-44.622
2012-09-30,$20.221,$44.221,$3.537,$47.758,-,-,-,$0.93,$21.964,$89.943,$-110.498,-,-,$-38.12,-,$-38.12,$-53.27,$-201.888,$59.569,-,$59.569,$98.683,$98.683,$-43.754,$-4.742,$109.756,$-2.189,$0.955,$-43.754
2012-06-30,$42.488,$42.971,$-17.171,$25.8,-,-,-,$-1.579,$-11.056,$57.232,$-58.35,-,-,$-25.203,-,$-25.203,$-188.574,$-272.127,$110.017,-,$110.017,$139.821,$139.821,$-44.256,$-0.299,$205.283,$-9.612,$0.939,$-44.256
2012-03-31,$27.241,$41.977,$-9.022,$32.955,-,-,-,$-2.646,$11.964,$72.16,$-40.988,-,-,$-4.09,-,$-4.09,$1.027,$-44.051,$-18.59,-,$-18.59,$32.523,$32.523,$-40.309,$-0.878,$-27.254,$0.855,$0.986,$-40.309
2011-12-31,$17.868,$40.877,$0.775,$41.652,-,-,-,$0.942,$-13.643,$45.877,$-48.43,-,-,$5.001,-,$5.001,$-123.842,$-167.271,$99.242,-,$99.242,$67.195,$67.195,$-39.5,$-1.674,$125.263,$3.869,$1.309,$-39.5
2011-09-30,$11.088,$39.632,$3.774,$43.406,-,-,-,$-1.057,$11.849,$66.343,$-34.809,-,-,$-1.243,-,$-1.243,$-72.341,$-108.393,$-3.919,-,$-3.919,$89.147,$88.929,$-38.927,$-3.822,$42.261,$0.211,$0.562,$-38.927
2011-06-30,$16.053,$38.503,$-4.296,$34.207,-,-,-,$0.766,$-3.216,$47.044,$-46.98,-,-,$1.199,-,$1.199,$-20.152,$-65.933,$-128.419,-,$-128.419,$134.778,$102.405,$-39.135,$-4.836,$-69.985,$-88.874,$0.629,$-39.135
2011-03-31,$12.507,$38.453,$-2.671,$35.782,-,-,-,$-0.263,$9.018,$57.307,$-78.732,-,-,$19.993,-,$19.993,$-25.447,$-84.186,$112.645,-,$112.645,$39.797,$39.797,$-38.023,$-3.61,$110.809,$83.93,$0.427,$-38.023
2010-12-31,$8.628,$36.427,$0.43,$36.857,-,-,-,$-3.523,$-18.239,$27.246,$-344.059,-,$96.596,$4.47,-,$4.47,$-16.357,$-259.35,$198.783,-,$198.783,$136.471,$136.471,$-36.78,$-67.285,$231.189,$-0.915,$0.891,$-36.78
2010-09-30,$10.426,$28.357,$1.247,$29.604,-,-,-,$2.795,$18.84,$58.87,$-69.751,-,$-89.839,$-0.048,-,$-0.048,$31.276,$-128.362,$80.286,-,$80.286,$54.534,$54.534,$-38.471,$-20.556,$75.793,$6.301,$0.621,$-38.471
2010-06-30,$31.728,$61.235,$-6.891,$54.344,-,-,-,$0.369,$3.342,$36.439,$-38.056,-,$-6.757,$23.658,-,$23.658,$-24.506,$-45.661,$6.93,-,$6.93,$46.812,$46.812,$-37.809,$-20.656,$-4.723,$-13.945,$1.739,$-37.809
