,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$476,$208,$-35,$173,$219,$371,$76,$-228,$278,$943,$-98,-,-,$-320,-,$-320,$106,$-312,$-243,-,$-243,$-104,$-104,$-291,$-1,$-639,$9,-,$-291
2020-09-30,$447,$206,$4,$210,-,-,-,$262,$262,$921,$-89,-,$-5,$-125,-,$-125,$28,$-191,$-139,-,$-139,$-150,$-150,$-292,$-4,$-585,$137,-,$-292
2020-06-30,$54,$198,$98,$296,-,-,-,$341,$341,$757,$-90,-,$6,$-26,-,$-26,$-90,$-200,$-200,-,$-200,$3,$3,$-301,$-6,$-504,$53,-,$-301
2020-03-31,$438,$199,$-57,$142,-,-,-,$-246,$-246,$323,$-112,-,"$1,207",$30,-,$30,$-25,"$1,100",$79,-,$79,"$-1,286","$-1,286",$-291,$-32,"$-1,530",$-131,-,$-291
2019-12-31,$453,$216,$104,$320,$172,$-60,$147,$-85,$167,$937,$-146,-,$-939,$62,-,$62,$-11,"$-1,034",$250,-,$250,$-25,$-25,$-294,$-2,$-71,$-179,-,$-294
2019-09-30,$602,$226,$-43,$183,-,-,-,$287,$287,"$1,083",$-143,-,$-34,$89,-,$89,$-34,$-122,-,-,-,$-523,$-523,$-298,$-3,$-824,$137,-,$-298
2019-06-30,$636,$221,$48,$269,-,-,-,$-13,$-13,$880,$-149,-,$-243,$-237,-,$-237,$-13,$-642,$448,-,$448,$-255,$-255,$-307,$-14,$-128,$109,-,$-307
2019-03-31,$522,$221,$28,$249,-,-,-,$-198,$-198,$551,$-149,-,-,$16,-,$16,$65,$-68,$27,-,$27,$-160,$-160,$-302,$-36,$-471,$20,-,$-302
2018-12-31,$632,$223,$133,$356,$-152,$-242,$23,$-56,$-403,$820,$-154,-,-,$26,-,$26,$-14,$-142,$242,-,$242,$-670,$-670,$-285,-,$-713,$-44,-,$-285
2018-09-30,$416,$223,$-75,$148,-,-,-,$544,$544,"$1,000",$-131,-,-,$45,-,$45,$-133,$-219,$-420,-,$-420,$7,$7,$-286,$-1,$-700,$71,-,$-286
2018-06-30,$611,$227,$-65,$162,-,-,-,$-23,$-23,$499,$-149,-,-,$253,-,$253,$-4,$100,$-132,-,$-132,$-298,$-298,$-294,$-1,$-725,$-61,-,$-294
2018-03-31,$487,$230,$26,$256,-,-,-,$-459,$-459,$339,$-131,-,-,$31,-,$31,$-37,$-137,$146,-,$146,$-281,$-281,$-284,$-24,$-443,$-244,-,$-284
2017-12-31,$634,$229,$13,$242,$-231,$-202,$388,$-49,$-39,$879,$-169,-,$7,$323,-,$323,$57,$218,"$-1,001",-,"$-1,001",$-54,$-54,$-265,$-7,"$-1,327",$-230,-,$-265
2017-09-30,"$1,401",$232,$-862,$-630,-,-,-,$229,$229,$750,$-105,-,$600,$-312,-,$-312,$-32,$151,$158,-,$158,$-314,$-314,$-266,$-4,$-426,$479,-,$-266
2017-06-30,$517,$228,$-20,$208,-,-,-,$-215,$-215,$574,$-130,-,-,$-216,-,$-216,$-11,$-357,$349,-,$349,$-199,$-199,$-274,$-2,$-126,$90,-,$-274
2017-03-31,$434,$225,$8,$233,-,-,-,$-166,$-166,$463,$-116,-,-,$-93,-,$-93,$-20,$-229,$-60,-,$-60,$-217,$-217,$-263,$-23,$-563,$-321,-,$-263
2016-12-31,$502,$229,$76,$305,$-170,$34,-,$141,$55,$638,$-151,-,$-1,$-11,-,$-11,$5,$-158,$11,-,$11,$-149,$-149,$-257,-,$-395,$49,-,$-257
2016-09-30,$522,$233,$22,$255,-,-,-,$50,$50,$799,$-100,-,-,$-67,-,$-67,-,$-167,$56,-,$56,$-249,$-249,$-259,$-9,$-461,$171,-,$-259
2016-06-30,$492,$234,$-11,$223,-,-,-,$40,$40,$745,$-135,-,-,$91,-,$91,$-1,$-45,$-266,-,$-266,$-175,$-175,$-265,$1,$-705,$-10,-,$-265
