,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$-2,791","$1,725","$1,318","$3,043",$961,$350,"$2,951",$25,"$4,287","$4,539","$-1,531",-,-,-,"$-4,230","$-4,230",$16,"$-5,745","$1,702",$524,"$2,226",-,-,-,$58,"$2,284","$1,463",$29,-
2020-09-30,"$2,390","$1,520",$107,"$1,627","$1,088",$-268,"$6,343",$-92,"$7,071","$11,088","$-1,256",-,"$27,113",-,"$5,821","$5,821","$-30,333","$1,345","$-17,274","$-2,026","$-19,300",-,-,-,$-60,"$-19,360","$-6,709",$63,-
2020-06-30,"$1,118","$2,070","$-3,697","$-1,627","$11,033","$1,243","$-2,679",$27,"$9,624","$9,115","$-1,175",-,"$-27,113",-,"$-5,574","$-5,574","$22,761","$-11,101","$7,215",$-167,"$7,048",-,-,-,$-111,"$6,937","$5,021",$69,-
2020-03-31,"$-1,993","$2,142","$1,604","$3,746","$-1,041","$-1,177",$194,$-202,"$-2,226",$-473,"$-1,780",-,"$1,340",-,"$-3,246","$-3,246",$572,"$-3,114","$13,743",$-622,"$13,121",-,-,$-596,$-71,"$12,454","$8,419",$38,$-596
2019-12-31,"$-1,672","$2,071","$1,417","$3,488","$-1,031","$1,996",$34,$85,"$1,084","$2,900","$-2,274",-,-,-,$-708,$-708,"$-2,368","$-5,350",$249,$-290,$-41,-,-,$-595,$-53,$-689,"$-2,940",$-10,$-595
2019-09-30,$423,"$2,018",$818,"$2,836","$2,016",$-610,$297,$-230,"$1,473","$4,732","$-1,805",-,"$26,202",-,$-705,$-705,"$-28,239","$-4,547",$392,"$-1,165",$-773,$-237,$-237,$-598,$-24,"$-1,632","$-1,625",$69,$-598
2019-06-30,$150,"$2,259",$289,"$2,548","$1,803",$-97,"$1,985",$74,"$3,765","$6,463","$-1,920",-,"$-26,202",-,$352,$352,"$25,280","$-2,490","$-1,668",$-349,"$-2,017",-,-,$-599,$-65,"$-2,681","$1,287",$84,$-599
2019-03-31,"$1,183","$2,142",$296,"$2,438","$-2,050","$-1,083","$2,944",$112,$-77,"$3,544","$-1,633",-,-,-,$518,$518,$-219,"$-1,334","$2,134",$420,"$2,554",-,-,$-597,$-84,"$1,873","$4,112",$85,$-597
2018-12-31,$-112,"$2,109","$1,047","$3,156","$-3,267","$1,532",$-5,$53,"$-1,687","$1,357","$-2,116",-,-,-,$593,$593,"$-2,143","$-3,666","$2,682","$-1,551","$1,131",-,-,$-597,$-8,$526,"$-1,848",$-8,$-597
2018-09-30,"$3,807","$6,304",$544,"$6,848","$-1,380","$-2,360","$6,786",$-36,"$3,010","$5,179","$-1,981",-,-,-,"$1,763","$1,763","$-3,355","$-3,573",$440,$467,$907,$-75,$-75,$-597,$-91,$144,"$1,734",$199,$-597
