,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$103,$961,$61,"$1,022",$-153,-,-,$148,$293,"$1,418",$-291,-,-,-,-,-,$592,$301,$-851,-,$-851,$20,$20,$-218,$-509,"$-1,558",$195,$101,$-218
2020-09-30,$21,$938,$151,"$1,089",$-27,-,-,$260,$301,"$1,411",$-271,-,-,-,-,-,$2,$-269,$-350,-,$-350,$-25,$-25,$-217,$-204,$-796,$377,$57,$-217
2020-06-30,$22,$924,$60,$984,$9,-,-,$153,$224,"$1,230",$-261,-,$-67,-,-,-,$-2,$-330,$-738,-,$-738,$95,$95,$-217,$-14,$-874,$18,$69,$-217
2020-03-31,$18,$922,$-50,$872,$96,-,-,$-392,$-507,$383,$-306,-,$-402,-,-,-,$92,$-616,$567,-,$567,$130,$130,$-216,$-4,$477,$229,$56,$-216
2019-12-31,$-156,$963,$434,"$1,397",$-173,-,-,$-456,$-572,$669,$-284,-,$-3,-,-,-,$-47,$-334,$-748,-,$-748,$-6,$-6,$-215,$-41,"$-1,010",$-619,$264,$-215
2019-09-30,$155,$759,$-40,$719,$-81,-,-,$141,$47,$921,$-259,-,"$-6,623",-,-,-,$-1,"$-6,883",$255,-,$255,$51,$51,$-215,$-15,$76,"$-5,926",$95,$-215
2019-06-30,$155,$374,$81,$455,$80,-,-,$-131,$-84,$526,$-140,-,-,-,-,-,$-1,$-141,"$8,975",-,"$8,975",$24,$24,$-113,$-96,"$8,790","$9,180",$24,$-113
2019-03-31,$149,$372,$15,$387,$13,-,-,$-170,$-242,$294,$-145,-,$43,-,-,-,$-41,$-143,$198,-,$198,$-361,$-361,$-113,$1,$-275,$-127,$19,$-113
2018-12-31,$310,$364,$-31,$333,$-73,-,-,$-68,$62,$705,$-158,-,$-74,-,-,-,$-4,$-236,$-120,-,$-120,$-202,$-202,$-105,$-15,$-442,$71,$18,$-105
2018-09-30,$163,$358,$129,$487,$-38,-,-,$-165,$-185,$465,$-148,-,$9,-,-,-,$-20,$-159,$161,-,$161,$-331,$-331,$-105,$-30,$-305,$-51,$21,$-105
2018-06-30,$218,$358,$17,$375,$145,-,-,$-87,$-124,$469,$-144,-,$49,-,$-49,$-49,$-2,$-146,$-78,-,$-78,$-108,$-108,$-105,$-25,$-316,$-42,$25,$-105
2018-03-31,$190,$357,$-1,$356,$44,-,-,$-35,$-192,$354,$-172,-,-,-,$49,$49,$-4,$-127,$260,-,$260,$-326,$-326,$-106,$-1,$-173,$60,$20,$-106
2017-12-31,$943,$355,$-771,$-416,$-45,-,-,$55,$135,$662,$-165,-,"$1,307",-,-,-,"$-1,308",$-166,$-380,-,$-380,$-67,$-67,$-96,$-4,$-547,$-55,$21,$-96
2017-09-30,$68,$340,$184,$524,$-182,-,-,$-66,$-41,$551,$-151,-,$-846,-,-,-,"$1,307",$310,$-835,-,$-835,$56,$56,$-97,$-67,$-943,$-66,$25,$-97
2017-06-30,$148,$346,$54,$400,$20,-,-,$-133,$-474,$74,$-142,-,$19,-,-,-,$-2,$-125,$203,-,$203,$19,$19,$-97,$-1,$124,$81,$35,$-97
2017-03-31,$135,$344,$-211,$133,$-25,-,-,$67,$186,$454,$-155,-,$827,-,-,-,$-1,$671,"$-1,062",-,"$-1,062",$47,$47,$-95,$-4,"$-1,114",$22,$26,$-95
2016-12-31,$173,$282,$-35,$247,$-80,-,-,$161,$165,$583,$-170,-,-,-,-,-,$1,$-169,$-318,-,$-318,$99,$99,$-86,$-113,$-418,$-18,$36,$-86
2016-09-30,$191,$297,$-17,$280,$4,-,-,$-24,$49,$522,$-153,-,-,-,-,-,$-1,$-154,$-353,-,$-353,$-69,$-69,$-84,$76,$-430,$-64,$33,$-84
2016-06-30,$124,$295,$9,$304,$97,-,-,$-58,$8,$435,$-148,-,-,-,-,-,$-2,$-150,$-181,-,$-181,$34,$34,$-86,$11,$-222,$63,$38,$-86
