,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$146.7,$55.4,$34,$89.4,$-173.3,$-11.2,$41.6,$150.4,$60.4,$296.5,$-32.3,-,$-31,-,$-3.4,$-3.4,$1.7,$-65,-,-,-,$-30.2,$-30.2,-,$-21.8,$-52,$179.5,$48.7,-
2020-09-30,$125.7,$52.6,$54,$106.6,$-47.6,$-13.1,$-13.9,$42.5,$-11.5,$220.8,$-35.1,-,$-6.1,-,$-183.4,$-183.4,-,$-224.6,-,-,-,$2.5,$2.5,-,$-32.8,$-30.3,$-34.1,$49.3,-
2020-06-30,$112.1,$51.2,$43,$94.2,$-25.1,$-24.6,$18.7,$59.9,$40.7,$247,$-30.9,-,-,-,$243.1,$243.1,-,$212.2,-,-,-,$-147.8,$-147.8,-,$-21.1,$-168.9,$290.3,$48.9,-
2020-03-31,$104,$48.3,$56.2,$104.5,$69.6,$6.7,$-9,$40,$110.9,$319.4,$-27.6,-,$-3.1,-,$35.7,$35.7,$-0.4,$4.6,-,-,-,$-882.5,$-882.5,-,$-37.9,$-920.4,$-596.4,$44.8,-
2019-12-31,$118.2,$43.8,$52.3,$96.1,$-157.2,$-23.3,$13.9,$139.5,$-23.9,$190.4,$-47.2,-,$-34.6,-,$-17.8,$-17.8,-,$-99.6,-,-,-,$-19.8,$-19.8,-,$-24,$-43.8,$47,$43.7,-
2019-09-30,$82,$40.8,$58.4,$99.2,$19,$-19.7,$8.4,$37.4,$40,$221.2,$-17.5,-,-,-,$-9.6,$-9.6,-,$-27.1,-,-,-,$-21.2,$-21.2,-,$-19.5,$-40.7,$153.4,$42.4,-
2019-06-30,$72.7,$39.2,$53.2,$92.4,$-22.1,$-2.9,$3.4,$57.7,$30,$195.1,$-17.3,-,-,-,$-319.3,$-319.3,-,$-336.6,-,-,-,$-28.8,$-28.8,-,$-24.5,$-53.3,$-194.8,$45,-
2019-03-31,$58.8,$39.7,$35.3,$75,$63.6,$-2.6,$-18,$39.4,$67.5,$201.3,$-10.2,-,-,-,$-28.8,$-28.8,-,$-39,-,-,-,$-25.8,$-25.8,-,$-32,$-57.8,$104.5,$43,-
2018-12-31,$185.3,$38.7,$-83.7,$-45,$-120,$-14.4,$19.5,$124.2,$39.9,$180.2,$-11.6,-,$-15.7,-,$-100.2,$-100.2,-,$-127.5,-,-,-,$-89.8,$-89.8,-,$-19.8,$-109.6,$-56.9,$42.6,-
2018-09-30,$58.7,$37.1,$41.1,$78.2,$9.1,$-8.2,$4.2,$33.4,$39.8,$176.7,$-18.2,-,-,-,$29.3,$29.3,-,$11.1,-,-,-,$24.9,$24.9,-,$-15.5,$9.4,$197.2,$43.2,-
2018-06-30,$49.3,$36.1,$50.3,$86.4,$-20,$-3.5,$4.5,$23,$6.6,$142.3,$-11.6,-,$-6,-,$24.6,$24.6,-,$7,-,-,-,$10,$10,-,$-22.8,$-12.8,$136.5,$40.6,-
2018-03-31,$41.6,$34.1,$27.2,$61.3,$48.9,$-7.3,$-13.6,$31.3,$36.8,$139.7,$-11.6,-,-,-,$-13.9,$-13.9,-,$-25.5,-,-,-,$-70.4,$-70.4,-,$-19.2,$-89.6,$24.6,$36.5,-
2017-12-31,$-29,$14.7,$93,$107.7,$-89.8,$-8.3,$29.6,$117,$78.8,$157.5,$-13.7,-,-,-,$79,$79,-,$65.3,-,-,-,$-308.4,$-308.4,-,$-9.2,$-317.6,$-94.8,$34.5,-
2017-09-30,$26.7,$14.4,$38.1,$52.5,$13.5,$7.9,$3.4,$50.4,$83.2,$162.4,$-21.7,-,-,-,$-7.2,$-7.2,-,$-28.9,-,-,-,$-70.8,$-70.8,-,$-10,$-80.8,$52.7,$34.3,-
2017-06-30,$23,$14.4,$27.5,$41.9,$-4.5,$13.3,$-11.6,$67.1,$79.9,$144.8,$-86.4,-,-,-,$4.5,$4.5,-,$-81.9,-,-,-,$-20.8,$-20.8,-,$-12.2,$-33,$29.9,$35.1,-
2017-03-31,$10.7,$14.5,$18.2,$32.7,$42.4,$-3.5,$-8.3,$53.1,$86.3,$129.7,$-13.5,-,-,-,$-17.8,$-17.8,-,$-31.3,-,-,-,$29.5,$29.5,-,$-13.7,$15.8,$114.2,$33.3,-
2016-12-31,$25.179,$14.576,$37.017,$51.593,$-70.688,$-18.445,$1.684,$96.746,$24.257,$101.029,$-16.881,-,$-0.013,-,$19.009,$19.009,-,$2.115,-,-,-,$-33.292,$-33.292,-,$-8.388,$-41.68,$61.464,$32.058,-
2016-09-30,$6.291,$14.089,$26.862,$40.951,$10.766,$-16.536,$-1.454,$33.197,$28.897,$76.139,$-5.92,-,$-1.427,-,$0.549,$0.549,-,$-6.798,-,-,-,$-5.68,$-5.68,-,$-12.528,$-18.208,$51.133,$31.093,-
2016-06-30,$-1.388,$12.588,$21.5,$34.088,$-36.898,$-7.492,$11.296,$63.365,$35.241,$67.941,$-14.443,-,$-20.66,-,$-0.11,$-0.11,-,$-35.213,-,-,-,$5.187,$5.187,-,$-9.543,$-4.356,$28.372,$30.347,-
2016-03-31,$2.118,$12.047,$11.821,$23.868,$38.92,$-0.527,$-11.426,$44.892,$74.605,$100.591,$-29.956,-,-,-,$-4.248,$-4.248,-,$-34.204,-,-,-,$-32.215,$-32.215,-,$-9.441,$-41.656,$24.731,$28.902,-
2015-12-31,$-2.534,$11.07,$27.243,$38.313,$-87.387,$-6.661,$7.325,$95.508,$32.779,$68.558,$-8.345,-,-,-,$4.463,$4.463,-,$-3.882,-,-,-,$-56.229,$-56.229,-,$-5.882,$-62.111,$2.565,$28.087,-
