,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$1,053.8",$-53.9,$-754.6,$-808.5,$-65.4,$2.9,$4.7,$93.9,$39.5,$284.8,$10.5,-,$-15.7,-,-,-,$-38.1,$-43.3,"$-1,480.8",-,"$-1,480.8",-,-,$-58.2,"$1,603.1",$64.1,$335.7,$2.4,$-23.7
2020-09-30,$225.8,$115.9,$21.4,$137.3,$-67,$18.7,$36.8,$-1.4,$118.6,$481.7,$-26.7,-,$-13.3,-,-,-,$0.1,$-39.9,-,-,-,-,-,$-40.8,$9,$-31.8,$426.1,$21.4,$-23.6
2020-06-30,$130.3,$119.1,$17,$136.1,$192,$-12.3,$-16.7,$25.2,$212.8,$479.2,$-20.4,-,$-0.8,-,-,-,$0.2,$-21,$367.9,$-759.1,$-391.2,-,-,$-40.9,$-13.1,$-445.2,$22.5,$22.7,$-23.6
2020-03-31,$42.3,$202.9,$15.7,$218.6,$22.8,$-16.6,$-6.7,$30.2,$-69.9,$191,$-33.8,-,$-10.6,-,-,-,$0.2,$-44.2,$123.8,$-382.8,$-259,-,-,$-23.5,$-0.7,$-283.2,$-164.7,$16.1,$-23.5
2019-12-31,$-278.5,$32.4,$572.7,$605.1,$-71.4,$24.1,$60.3,$43.8,$148.8,$475.4,$5.1,-,$-552.1,-,-,-,$-40.3,$-587.3,$500,$-200.7,$299.3,-,-,$-58,$-3.4,$237.9,$144.7,$7,$-23.5
2019-09-30,$207.3,$116.8,$-22.5,$94.3,$-31.2,$23.6,$3.8,$-47.9,$79.4,$381,$-31.1,-,$-150.6,-,-,-,-,$-181.7,-,$-196.8,$-196.8,-,-,$-23.5,$8.9,$-211.4,$-31.6,$16.7,$-23.5
2019-06-30,$175.3,$110.4,$14.5,$124.9,$-152.2,$79.1,$28.9,$-6.8,$-41.4,$258.8,$-24.5,-,"$-3,237.1",-,-,-,-,"$-3,261.6",$-57,$448.5,$391.5,-,-,$-40.6,$14.3,$365.2,"$-2,636.8",$15.9,$-23.4
2019-03-31,$164,$81.9,$7.9,$89.8,$49.9,$-33.3,$-40.6,$-60.4,$-97.6,$156.2,$-24,-,-,-,-,-,-,$-24,"$2,014.9",$443.8,"$2,458.7",-,-,$-40.7,$-6.8,"$2,411.2","$2,550.5",$12.9,$-23.4
2018-12-31,$-188,$2.3,$516.9,$519.2,$35.8,$39.3,$32.4,$12.2,$113.6,$444.8,$6.9,-,$46.6,-,-,-,$894.7,$948.2,"$-1,133.7",$-201.8,"$-1,335.5",-,-,$-40.7,$20.8,"$-1,355.4",$33.3,$3.2,$-23.4
2018-09-30,$214,$62.4,$43.9,$106.3,$-36.2,$-10.6,$-2.9,$11.7,$66.4,$386.7,$-29.1,-,"$-2,815.9",-,-,-,$-5.6,"$-2,850.6","$1,025",$261.6,"$1,286.6",-,$-0.8,$-42.1,$12,"$1,255.7","$-1,223.1",$13,$-24.5
2018-06-30,$250.2,$54.2,$63,$117.2,$-31.8,$-33,$59.1,$-35.6,$-25.5,$341.9,$-21.8,-,$-1.6,-,-,-,$-1.8,$-25.2,$74.2,$-325.9,$-251.7,-,"$1,338.2",$-24.4,$10.9,"$1,073","$1,352.5",$13.4,$-24.4
2018-03-31,$214,$55.9,$51.2,$107.1,$-3.8,$-29.8,$-28.6,$-5.3,$-150.1,$171,$-25.9,-,$-7.7,-,-,-,$-5.4,$-39,$-74.2,-,$-74.2,-,-,$-24.3,$4.3,$-94.2,$53.6,$11,$-24.3
