,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$2,639","$1,287","$-4,897","$-3,610","$1,665","$1,363",$926,$930,"$4,884","$3,634",$-647,$-26,$-89,"$-1,352",$17,"$-1,335","$1,060","$-1,037","$-4,629",$30,"$-4,599",-,-,$-236,$20,"$-4,814","$-2,062",-,$-236
2020-09-30,"$-1,194","$1,802",$471,"$2,273","$-1,475",$472,$514,$-665,"$-1,154","$1,335",$-401,$-27,$-247,-,$127,$127,$-191,$-740,"$-2,442",$-786,"$-3,228",-,-,$-88,$278,"$-3,040","$-2,238",-,$-88
2020-06-30,"$-2,132","$1,598",$-127,"$1,471",$313,$248,"$-1,414",$498,$-355,"$-1,158",$-264,$-38,$365,-,$-114,$-114,$-617,$-667,"$-1,999","$-1,507","$-3,506",-,-,$-235,$-338,"$-4,079","$-5,866",-,$-235
2020-03-31,"$6,233","$1,331","$-6,081","$-4,750",$-503,$-978,$-601,$-667,"$-2,749",$-214,$-296,$-60,"$20,482",-,$-50,$-50,$-990,"$19,086","$-5,778","$-1,905","$-7,683",-,-,$-89,$-147,"$-7,919","$10,697",-,$-89
2019-12-31,$722,"$1,406",$210,"$1,616","$1,857",$532,"$1,415",$108,"$3,912","$6,739",$-716,$-74,"$3,491","$-1,616",$594,"$-1,022","$2,209","$3,889","$-2,355",$465,"$-1,890",-,-,$-238,$84,"$-2,044","$8,665",-,$-238
2019-09-30,"$-9,383","$1,500","$9,069","$10,569","$-1,161",$-162,$431,$-55,$-947,"$1,841",$-345,$-67,"$3,103",-,$146,$146,"$-1,166","$1,668","$-7,321",$249,"$-7,072",-,-,$-87,$-369,"$-7,528","$-4,150",-,$-87
2019-06-30,$104,"$1,327",$-863,$464,"$-1,241",$-786,$613,$529,$-885,$70,$-707,$-72,$451,-,$24,$24,$195,$-108,"$-1,891",$11,"$-1,880",-,-,$-236,$-709,"$-2,826","$-2,941",-,$-236
2019-03-31,"$3,645","$1,362","$-2,860","$-1,498",$545,"$-1,165",$215,"$-1,011","$-1,416",$122,$-327,$-69,"$3,434",-,$353,$353,$99,"$3,490","$-2,815",$-445,"$-3,260",-,-,$-88,$-387,"$-3,735",$-45,-,$-88
2018-12-31,$861,"$1,485",$156,"$1,641",$993,$874,$-109,"$1,661","$3,419","$8,567",$-647,$-71,"$2,948","$2,534",$515,"$3,049","$1,363","$6,644","$-1,823","$-2,442","$-4,265",$6,$6,"$-1,192","$-1,388","$-6,839","$8,185",-,"$-1,192"
2018-09-30,"$-22,860","$1,308","$18,210","$19,518","$-1,355",$68,$496,$-127,$-918,"$-2,914",$-394,$-69,"$3,115",-,$444,$444,"$3,103","$6,199",$501,$150,$651,-,-,"$-1,046","$-3,658","$-4,054",$-925,-,"$-1,046"
2018-06-30,$669,"$1,915",$-621,"$1,294",$-390,$-496,$338,"$-1,240","$-1,788",$-987,$-327,$-83,"$2,349",-,$534,$534,"$3,530","$6,003","$-6,820",$-770,"$-7,590",$2,$2,"$-1,193",$-234,"$-9,014","$-4,491",-,"$-1,193"
2018-03-31,"$-1,113","$1,874","$1,433","$3,307",$752,"$-1,019",$-59,$-464,$-790,$312,"$-1,166",$-97,$41,-,$303,$303,$354,$-566,"$-9,057","$-1,281","$-10,338",$-8,$-8,"$-1,043",$-510,"$-11,899","$-11,945",-,"$-1,043"
2017-12-31,"$-10,872",$766,"$-1,036",$-270,"$-5,250","$2,050",$702,"$2,676",$178,"$3,662",$191,$-36,"$3,955",-,$-379,$-379,"$-1,096","$2,635","$-5,260","$1,168","$-4,092",$70,$70,"$-2,233","$4,093","$-2,161","$3,775",-,"$-2,233"
2017-09-30,"$1,191","$2,027",$758,"$2,785",$-820,"$-1,084",$234,$-40,"$-1,710",$857,$-176,$-145,$-296,-,$131,$131,$921,$435,"$-4,212",$-281,"$-4,493",$112,$112,"$-2,085",$324,"$-6,142","$-4,135",-,"$-2,085"
2017-06-30,"$1,019","$1,669",$-338,"$1,331",-,$173,$-463,$-713,"$-1,003","$2,117",$-469,$-143,"$-1,612",-,$747,$747,"$1,075",$-400,"$3,471",$35,"$3,506","$-1,154","$-1,154","$-2,248",$-7,$97,"$2,219",-,"$-2,248"
2017-03-31,$-187,"$1,732",$-743,$989,"$2,168",$-815,$-304,"$-1,254",$-205,$-82,$-658,$-130,$-97,-,$306,$306,"$3,289","$2,709","$-8,340",$777,"$-7,563","$-1,578","$-1,578","$-2,084",$948,"$-10,278","$-7,518",-,"$-2,084"
2016-12-31,"$2,330","$3,429","$-11,940","$-8,511",$697,"$1,779","$1,277",$-970,"$2,783","$3,033","$-1,069",$-749,"$5,383",-,$-93,$-93,"$4,159","$7,632","$-7,954",$-114,"$-8,068","$-3,460","$-3,460","$-2,195","$-1,847","$-15,571","$-5,883",-,"$-2,195"
2016-09-30,"$1,951","$1,136",$-117,"$1,019","$-1,116",$35,$-181,$-432,"$-1,694",$962,$124,-,"$9,316",-,"$1,439","$1,439","$-1,144","$9,735","$-4,710","$-1,779","$-6,489","$-3,677","$-3,677","$-2,103",$849,"$-11,419",$-867,-,"$-2,103"
2016-06-30,"$2,823","$1,295","$-2,140",$-845,$866,"$-1,138",$-126,$-122,$-520,"$-3,479",$-590,-,"$11,760",-,"$-1,135","$-1,135","$-10,052",$-15,"$-30,690",$-225,"$-30,915","$-7,966","$-7,966","$-2,274",$-200,"$-41,355","$-44,905",-,"$-2,274"
