,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$731.773,$575.77,$92.528,$668.298,-,-,$798.936,$33.81,$832.746,$397.818,$-12.966,-,$-9.198,$156.097,$-323.253,$-167.156,$0.048,$-189.272,-,$-40.91,$-40.91,$-126.462,$-126.462,$-19.689,-,$-187.061,$14.746,-,$-19.689
2020-09-30,-,-,-,-,-,-,-,-,-,$309.314,$-8.645,-,$-5.62,$267.772,$-278.191,$-10.419,$-7.117,$-31.801,$17.5,$-181.51,$-164.01,$-120.107,$-120.107,$-19.962,$-4.953,$-309.032,$-33.93,-,$-19.962
2020-06-30,-,-,-,-,-,-,-,-,-,$425.748,$-10.829,-,$-2.306,$-259.05,$-376.802,$-635.852,$0.005,$-648.982,$297.5,$-24.066,$273.434,$0.717,$0.717,$-19.953,$-0.891,$253.307,$23.661,-,$-19.953
2020-03-31,-,-,-,-,-,-,-,-,-,$343.554,$-9.316,-,$-20.743,$-234.316,$-47.313,$-281.629,$0.013,$-311.675,$-1.875,$139.113,$137.238,$-149.921,$-149.921,$-18.588,-,$-31.271,$14.437,-,$-18.588
2019-12-31,$760.79,$551.726,$65.358,$617.084,-,-,$661.567,$15.9,$677.467,$333.699,$-12.154,-,$-7.069,$39.273,$-260.794,$-221.521,-,$-240.744,$-1.875,$38.996,$37.121,$-99.51,$-99.51,$-18.695,-,$-81.084,$9.258,-,$-18.695
2019-09-30,-,-,-,-,-,-,-,-,-,$343.538,$-8.395,-,$-2.908,$-3.464,$-197.461,$-200.925,$0.017,$-212.211,$-1.875,$-46.173,$-48.048,$-86.397,$-86.397,$-18.841,-,$-153.286,$-22.644,-,$-18.841
2019-06-30,-,-,-,-,-,-,-,-,-,$263.352,$-14.639,-,$-3.862,$60.665,$-92.773,$-32.108,$0.015,$-50.594,$-1.875,$-74.631,$-76.506,$-91.195,$-91.195,$-18.956,-,$-186.657,$21.977,-,$-18.956
2019-03-31,-,-,-,-,-,-,-,-,-,$423.285,$-7.015,-,$-10.054,$-62.471,$-226.222,$-288.693,-,$-305.762,$-1.25,$-51.231,$-52.481,$-99.304,$-99.304,$-17.696,-,$-169.481,$-53.684,-,$-17.696
2018-12-31,$701.466,$516.69,$72.448,$589.138,-,-,$664.997,$17.134,$682.131,$340.358,$-17.793,-,$-4.329,$570.202,$-356.443,$213.759,$1.987,$193.624,$-304.637,$-54.953,$-359.59,$-122.409,$-122.409,$-17.94,$-0.172,$-500.111,$43.587,-,$-17.94
2018-09-30,-,-,-,-,-,-,-,-,-,$320.769,$-8.581,-,$-3.374,$-564.946,$-103.705,$-668.651,-,$-680.606,$548.75,$-86.308,$462.442,$-78.012,$-78.012,$-18.075,$-6.797,$359.558,$-4.791,-,$-18.075
2018-06-30,-,-,-,-,-,-,-,-,-,$234.131,$-6.752,-,$-8.183,$11.479,$-91.908,$-80.429,-,$-95.364,$-21.25,$-19.31,$-40.56,$-88.852,$-88.852,$-18.212,-,$-147.624,$-6.385,-,$-18.212
2018-03-31,-,-,-,-,-,-,-,-,-,$382.389,$-11.966,-,$-7.518,$47.048,$-341.441,$-294.393,-,$-313.877,$-0.625,$10.861,$10.236,$-96.385,$-96.385,$-17.194,-,$-103.343,$-29.948,-,$-17.194
2017-12-31,"$1,454.494",$490.403,$-642.829,$-152.426,-,-,$687.407,$31.784,$719.191,$343.216,$-6.834,-,$-6.038,$-61.587,$-119.419,$-181.006,-,$-193.878,$-0.625,$-6.58,$-7.205,$-91.217,$-91.217,$-17.299,$-1.661,$-117.382,$30.101,-,$-17.299
2017-09-30,-,-,-,-,-,-,-,-,-,$346.786,$-5.371,-,$-4.977,$28.903,$-244.921,$-216.018,-,$-226.366,$-0.625,$-19.512,$-20.137,$-84.771,$-84.771,$-17.439,-,$-122.347,$-9.19,-,$-17.439
2017-06-30,-,-,-,-,-,-,-,-,-,$278.3,$-4.102,-,$-3,$26.603,$-115.343,$-88.74,-,$-95.842,$-0.625,$-44.493,$-45.118,$-84.292,$-84.292,$-17.59,-,$-147,$35.898,-,$-17.59
2017-03-31,-,-,-,-,-,-,-,-,-,$460.756,$-3.978,-,$-5.875,$-48.95,$-351.953,$-400.903,$0.018,$-410.738,-,$40.745,$40.745,$-91.494,$-91.494,$-16.503,-,$-67.252,$-14.409,-,$-16.503
2016-12-31,$549.779,$469.063,$324.593,$793.656,-,-,$645.844,$24.668,$670.512,$426.782,$-15.024,-,$-15.958,$-6.23,$-305.527,$-311.757,$-0.677,$-343.416,-,$-17.845,$-17.845,$-79.152,$-79.152,$-16.673,-,$-113.67,$-28.737,-,$-16.673
2016-09-30,-,-,-,-,-,-,-,-,-,$366.991,$-3.398,-,$-6.866,$-16.518,$-145.525,$-162.043,$0.767,$-171.54,-,$-38.739,$-38.739,$-86.614,$-86.614,$-16.78,-,$-142.133,$55.222,-,$-16.78
2016-06-30,-,-,-,-,-,-,-,-,-,$264.197,$-2.861,-,$-1.335,$95.379,$-303.689,$-208.31,-,$-212.506,$150,$-42.441,$107.559,$-96.363,$-96.363,$-16.954,$-9.638,$-15.396,$36.92,-,$-16.954
