,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$15,227","$3,725","$2,023","$5,748","$-5,445",-,$963,$-531,"$1,702","$22,677","$-22,281","$16,802",$-370,"$3,511","$-4,886","$-1,375",$-57,"$-7,281",$-57,-,$-57,"$-7,566","$-7,566",-,"$-1,647","$-9,270","$6,336","$3,223",-
2020-09-30,"$11,247","$3,478","$1,522","$5,000","$-3,601",-,$420,$47,$756,"$17,003","$11,396","$-16,802",$-13,"$-8,944",$-428,"$-9,372",$-406,"$-15,197","$9,802",-,"$9,802","$-7,899","$-7,899",-,"$-1,357",$546,"$2,387","$3,195",-
2020-06-30,"$6,959","$3,386","$1,321","$4,707",$-80,-,$146,$-133,"$2,327","$13,993","$-5,391",-,$-165,"$-2,485",$-526,"$-3,011",$119,"$-8,448",$-35,-,$-35,"$-5,988","$-5,988",-,"$-1,475","$-7,498","$-1,902","$3,382",-
2020-03-31,"$6,836","$3,108","$4,465","$7,573","$2,602",-,$-835,$-78,"$-2,958","$11,451","$-6,005",-,$-190,"$4,248",$-312,"$3,936",$412,"$-1,847",$-49,-,$-49,"$-6,896","$-6,896",-,"$-1,241","$-8,186","$1,146","$3,191",-
2019-12-31,"$10,671","$3,413","$1,565","$4,978","$-4,365",-,$814,$352,"$-1,222","$14,427","$-23,548","$17,496","$-2,142","$3,695",$-325,"$3,370",$121,"$-4,703",$-47,-,$-47,"$-6,080","$-6,080",-,"$-1,199","$-7,326","$2,466","$2,645",-
2019-09-30,"$7,068","$2,920","$3,793","$6,713",$-1,-,$57,$-670,"$1,685","$15,466","$10,764","$-17,496",$-126,"$-2,153",$-313,"$-2,466",$379,"$-8,945",$-145,-,$-145,"$-5,678","$-5,678",-,"$-1,131","$-6,954",$-555,"$2,624",-
2019-06-30,"$9,947","$2,835",$582,"$3,417","$-1,146",-,$-18,$80,$-737,"$12,627","$-6,126",-,$-148,"$-4,155",$-81,"$-4,236",$55,"$-10,455",$-46,-,$-46,"$-3,440","$-3,440",-,"$-1,260","$-4,746","$-2,561","$2,756",-
2019-03-31,"$6,657","$2,613","$1,637","$4,250","$1,172",-,$-425,$-346,"$1,093","$12,000","$-4,638",-,$-99,$123,$-808,$-685,$34,"$-5,388",$-30,-,$-30,"$-2,978","$-2,978",-,"$-1,175","$-4,183","$2,447","$2,769",-
2018-12-31,"$8,948","$2,580",$964,"$3,544","$-2,887",-,$774,$132,$495,"$12,987","$-7,081",-,$-39,$763,$-548,$215,$29,"$-6,876",$-5,-,$-5,"$-1,700","$-1,700",-,"$-1,041","$-2,746","$3,258","$2,253",-
2018-09-30,"$9,192","$2,355","$1,795","$4,150",$-670,-,$316,$-507,$-132,"$13,210","$-5,282",-,$-18,"$-4,896",$-232,"$-5,128",$20,"$-10,408",$-25,-,$-25,"$-2,200","$-2,200",-,"$-1,253","$-3,478",$-705,"$2,230",-
2018-06-30,"$3,195","$2,114","$1,343","$3,457",$-312,-,$-145,$-350,"$3,480","$10,132","$-5,507",-,$-184,"$1,980",$288,"$2,268",$49,"$-3,374","$-1,344",-,"$-1,344","$-2,052","$-2,052",-,"$-1,541","$-4,937","$1,490","$2,413",-
2018-03-31,"$9,401","$1,986",$-810,"$1,176","$1,700",-,$122,$-111,"$1,065","$11,642","$-7,269",-,"$-1,250",$502,$171,$673,-,"$-7,846","$1,313",-,"$1,313","$-2,173","$-2,173",-,"$-1,158","$-2,018","$1,943","$2,457",-
2017-12-31,"$-3,020","$2,026","$1,935","$3,961","$-3,049",-,$673,$84,"$9,327","$10,268","$-4,388",-,$-14,"$-2,115",$-556,"$-2,671",$99,"$-6,974",$-22,-,$-22,"$-2,101","$-2,101",-,"$-1,055","$-3,178",$134,"$1,847",-
