,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$171.204,$69.758,$-21.999,$47.759,$957.514,$58.462,$89.35,$-749.52,$355.806,$587.338,$-41.685,-,$-5.469,-,-,-,-,$-47.154,$-317.594,-,$-317.594,$-2.862,$-2.862,$-113.983,$-50.118,$-484.557,$90.043,$6.347,$-113.983
2020-09-30,$227.531,$69.097,$12.02,$81.117,-,-,-,$197.816,$197.816,$506.464,$-26.233,-,$-43.669,-,-,-,-,$-69.902,$-380.247,-,$-380.247,$-0.964,$-0.964,$-113.967,$-6.675,$-501.853,$-83.636,$6.42,$-113.967
2020-06-30,$-564.372,$570.265,$202.826,$773.091,-,-,-,$638.117,$638.117,$846.66,$-25.438,-,$360.735,-,-,-,-,$335.297,$-458.4,-,$-458.4,$-0.449,$-0.449,$-114.476,$-7.486,$-580.811,$629.29,$4.405,$-114.476
2020-03-31,$136.535,$70.443,$5.228,$75.671,-,-,-,$-138.322,$-138.322,$74.06,$-42.082,-,$6.609,-,-,-,-,$-35.473,$261.238,-,$261.238,$-96.06,$-96.06,$-110.851,$-0.871,$53.456,$77.477,$5.449,$-110.851
2019-12-31,$8.918,$70.295,$-10.124,$60.171,$-134.163,$-54.765,$82.739,$209.35,$103.161,$154.661,$-87.446,-,$-70.756,-,-,-,-,$-158.202,$-39.808,-,$-39.808,$-5.053,$-5.053,$-110.784,$-0.871,$-156.516,$-174.283,$11.393,$-110.784
2019-09-30,$227.487,$65.667,$-5.585,$60.082,-,-,-,$142.324,$142.324,$429.893,$-72.748,-,$146.856,-,-,-,-,$74.108,$-434.054,-,$-434.054,$-73.176,$-73.176,$-111.382,-,$-618.612,$-111.276,$5.903,$-111.382
2019-06-30,$224.43,$59.324,$2.783,$62.107,-,-,-,$-73.265,$-73.265,$186.235,$-50.406,-,$-225.057,-,-,-,-,$-275.463,$355.374,-,$355.374,$-0.532,$-0.532,$-111.355,-,$243.487,$205.626,$5.397,$-111.355
2019-03-31,$160.25,$61.977,$2.198,$64.175,-,-,-,$-189.732,$-189.732,$61.73,$-42.886,-,$-141.152,-,-,-,-,$-184.038,$257.887,-,$257.887,$-6.839,$-6.839,$-105.369,-,$145.679,$23.378,$6.01,$-105.369
2018-12-31,$186.699,$49.688,$-58.18,$-8.492,$-62.103,$-74.148,$357.097,$-269.505,$-48.659,$131.196,$-120.173,-,$-103.835,-,-,-,-,$-224.008,$243.985,-,$243.985,$-94.432,$-94.432,$-105.673,$-30.663,$13.217,$-25.558,$2.32,$-105.673
2018-09-30,$220.227,$61.082,$5.902,$66.984,-,-,-,$183.24,$183.24,$470.451,$-26.796,-,$-71.443,-,-,-,-,$-98.239,$-257.581,-,$-257.581,$-2.927,$-2.927,$-105.661,-,$-366.169,$3.964,$6.382,$-105.661
