,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$4,506",$498,$-357,$141,-,"$9,118","$-6,850","$9,099","$11,367","$16,014",$295,-,$-5,-,"$-5,297","$-5,297","$-3,916","$-8,923","$-2,918","$2,372",$-546,-,$-11,$-592,"$-3,301","$-4,450","$2,641",$183,$-592
2020-09-30,"$3,367",$468,$435,$903,-,"$-12,869","$-16,555","$60,090","$30,666","$34,936",$-548,-,$-226,-,"$-1,672","$-1,672","$5,442","$2,996","$-7,147","$-1,503","$-8,650",-,$11,$-580,"$-8,111","$-17,330","$20,602",$157,$-580
2020-06-30,$373,$499,"$1,775","$2,274",-,"$8,295",$471,"$-23,060","$-14,294","$-11,647",$-640,-,-,-,"$-6,319","$-6,319","$10,866","$3,907","$-6,633","$-9,523","$-16,156",-,$-11,$-626,"$51,643","$34,850","$27,110",$185,$-626
2020-03-31,"$1,213",$437,"$2,331","$2,768",-,"$6,943","$-7,961","$-55,994","$-57,012","$-53,031","$-2,446",-,-,-,"$-6,325","$-6,325","$-23,565","$-32,336","$12,844","$19,222","$32,066","$-1,928","$-1,929",$-538,"$27,711","$57,310","$-28,057","$1,395",$-538
2019-12-31,"$1,917",$464,$148,$612,-,"$-8,994","$-10,776","$67,072","$47,302","$49,831",$25,-,-,-,$457,$457,"$-3,802","$-3,320","$-12,095",$-468,"$-12,563","$-2,162","$-2,369",$-644,"$8,517","$-7,059","$39,452",$166,$-644
2019-09-30,"$1,877",$473,$448,$921,-,"$-28,896","$3,312","$32,560","$6,976","$9,774","$-1,153",-,$-742,-,"$-15,027","$-15,027","$-2,662","$-19,584","$-2,866","$1,009","$-1,857",$-673,"$-1,173",$-550,"$16,392","$12,812","$3,002",$157,$-550
2019-06-30,"$2,421",$399,$406,$805,-,"$3,359","$-4,220","$6,266","$5,405","$8,631",$-821,-,$-61,-,"$3,250","$3,250","$-1,561",$807,"$-6,724",$-268,"$-6,992","$-1,250",$-751,$-535,"$2,048","$-6,230","$3,208",$192,$-535
2019-03-31,"$2,251",$368,"$1,727","$2,095",-,"$-34,382","$3,991","$-18,323","$-48,714","$-44,368",$138,-,-,-,$-641,$-641,"$-1,636","$-2,139",$-81,"$-2,309","$-2,390","$-1,250","$-1,250",$-375,"$7,859","$3,844","$-42,663","$1,503",$-375
2018-12-31,"$2,538",$377,"$-2,263","$-1,886",-,"$8,568","$-6,627","$11,651","$13,592","$14,244",$-810,-,$-16,-,"$1,540","$1,540","$-2,699","$-1,985","$-2,886","$-4,546","$-7,432","$-1,225","$-1,225",$-521,"$8,595",$-583,"$11,676",$160,$-521
2018-09-30,"$2,524",$317,$180,$497,-,"$-4,805","$2,688","$-6,218","$-8,335","$-5,314","$-1,656",-,$3,-,$34,$34,"$-2,413","$-4,032","$-1,766","$1,892",$126,"$-1,241","$-1,241",$-382,"$-1,703","$-3,200","$-12,546",$166,$-382
