,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$-227,$229,$32,$261,$100,$225,$-1,-,$658,$638,$-131,-,-,-,-,-,$-11,$-142,$-1,-,$-1,$87,$87,$-40,$-81,$-35,$448,-,$-40
2020-09-30,$-19,$230,$106,$336,$215,$154,$-189,-,$-314,$420,$-78,-,-,-,-,-,$15,$-63,-,-,-,-,-,$-40,$5,$-35,$304,-,$-40
2020-06-30,"$-1,681",$251,"$1,794","$2,045","$1,450",$40,$-994,-,$496,$598,$-89,-,-,-,-,-,$-27,$-116,$-2,-,$-2,-,-,$-40,$8,$-34,$426,-,$-40
2020-03-31,"$-1,015",$348,"$1,073","$1,421",$-371,$-79,$250,-,$-200,$225,$-144,-,-,-,-,-,$-21,$-165,$-657,-,$-657,-,-,$-158,$-88,$-903,$-883,-,$-158
2019-12-31,"$-1,654",$372,"$1,735","$2,107",$629,$178,$-312,-,$530,"$1,167",$-293,-,-,-,-,-,$-22,$-315,$-2,-,$-2,$118,$118,$-158,$-103,$-145,$697,-,$-158
2019-09-30,$296,$417,$-30,$387,$401,$-33,$-269,-,$26,$871,$-289,-,-,-,-,-,$-30,$-319,$1,-,$1,-,-,$-158,$15,$-142,$395,-,$-158
2019-06-30,$77,$420,$200,$620,$-55,$-111,$-74,-,$-240,$451,$-364,-,-,-,-,-,$-36,$-400,$-4,-,$-4,-,-,$-157,$-92,$-253,$-204,-,$-157
2019-03-31,$152,$416,$61,$477,$-339,$-236,$60,-,$-515,$-44,$-394,-,-,-,-,-,$-17,$-411,$-8,-,$-8,-,-,$-157,$10,$-155,$-628,-,$-157
2018-12-31,$668,$422,$-267,$155,$245,$-139,$-118,-,$-81,$852,$-491,-,$-21,-,-,-,$-42,$-554,$-9,-,$-9,$195,$195,$-157,$-367,$-338,$-49,-,$-157
2018-09-30,$434,$400,-,$400,$-79,$-236,$106,-,$-209,$777,$-372,-,$-18,-,-,-,$388,$-2,$-436,-,$-436,-,-,$-157,$-158,$-751,$-1,-,$-157
2018-06-30,$508,$390,-,$390,$-107,$-187,$219,$46,$-29,$956,$-491,-,$-148,-,-,-,$-424,"$-1,063",-,-,-,-,-,$-158,$7,$-151,$-274,-,$-158
2018-03-31,$47,$394,$265,$659,$-245,$-119,$276,$-46,$-134,$572,$-454,-,-,-,-,-,$80,$-374,-,-,-,-,-,$-158,$-21,$-179,$-5,-,$-158
2017-12-31,$-825,$393,"$1,119","$1,512",$-286,$20,$142,$-177,$-301,"$1,011",$-392,-,-,$-67,$77,$10,$-38,$-420,$-8,-,$-8,$158,$158,$-157,$-144,$-151,$439,-,$-157
2017-09-30,$361,$394,-,$394,$-449,$-44,$213,$177,$-103,"$1,106",$-307,-,$-628,$23,$-23,-,$-27,$-962,$-10,-,$-10,-,-,$-157,$-202,$-369,$-241,-,$-157
2017-06-30,$28,$386,$262,$648,$-437,$13,$170,$378,$124,$346,$-292,-,-,$44,$-54,$-10,$-6,$-308,$-57,-,$-57,-,-,$-156,$231,$18,$32,-,$-156
2017-03-31,$-32,$383,-,$383,$-178,$-18,$228,$-378,$-346,$5,$-224,-,-,-,-,-,$-13,$-237,"$-1,566",-,"$-1,566",-,-,$-156,$63,"$-1,659","$-1,902",-,$-156
2016-12-31,$-153,$386,$-219,$167,$217,$164,$242,$-525,$98,"$1,059",$-127,-,$-31,-,$4,$4,$-34,$-188,$-22,-,$-22,$186,$186,$-155,$-98,$-89,$720,-,$-155
2016-09-30,$7,$375,$435,$810,$313,$175,$49,-,$537,"$1,041",$-116,-,-,-,-,-,$-13,$-129,$-624,$-13,$-637,-,-,$-156,$74,$-719,$181,-,$-156
2016-06-30,"$-3,205",$396,$-269,$127,$141,$179,$-340,-,$-20,"$-3,632",$-149,-,-,-,-,-,$-36,$-185,"$-2,525",$13,"$-2,512",-,-,$-155,$12,"$-2,655","$-6,485",-,$-155
2016-03-31,"$-2,418",$346,"$1,909","$2,255",$228,$34,$-170,-,$92,$-171,$-184,-,-,-,-,-,$-24,$-208,-,-,-,-,-,$-154,$77,$-77,$-484,-,$-154
2015-12-31,$-26,$402,$165,$567,$72,$176,$-134,$-596,$-482,$885,$-401,-,$-39,-,-,-,$-28,$-468,"$7,440",-,"$7,440",$167,$167,$-154,$-50,"$7,403","$7,828",-,$-154
2015-09-30,$-53,$417,$160,$577,$-144,$94,$88,$290,$328,$26,$-475,-,-,-,-,-,$-14,$-489,-,-,-,-,-,$-154,$75,$-79,$-511,-,$-154
2015-06-30,$53,$456,$192,$648,$777,$15,$-239,$-71,$482,"$1,183",$-490,-,-,-,-,-,$-63,$-553,$-8,-,$-8,-,-,$-153,$20,$-141,$466,-,$-153
