,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$537,$172,$-146,$26,$-354,-,-,$985,$653,"$1,216",$-36,-,-,$88,"$-1,122","$-1,034",$11,"$-1,059",$-76,-,$-76,$6,$6,$-121,$-8,$-199,$-31,-,$-116
2020-09-30,$459,$151,$28,$179,$-63,-,-,$551,$750,"$1,388",$-27,-,-,$400,"$-1,555","$-1,155",$-40,"$-1,222",$-93,-,$-93,$1,$1,$-123,$-37,$-252,$-102,-,$-117
2020-06-30,$468,$155,$-18,$137,$-123,-,-,$365,$364,$969,$-28,-,-,"$-1,312",$745,$-567,$33,$-562,$-681,$500,$-181,$4,$4,$-121,$-2,$-300,$71,-,$-116
2020-03-31,$273,$124,$235,$359,-,-,-,$-387,$-334,$298,$-23,-,-,$568,$237,$805,$-5,$777,$-237,$-500,$-737,$-182,$-182,$-113,$5,"$-1,027",$39,-,$-108
2019-12-31,$548,$143,$-62,$81,$-196,-,-,$508,$414,"$1,043",$-30,-,-,$-17,$-836,$-853,$55,$-828,$-32,-,$-32,$-98,$-98,$-111,$-7,$-248,$-28,-,$-106
2019-09-30,$535,$126,$-78,$48,$58,-,-,$294,$859,"$1,442",$-31,-,-,$-595,$-719,"$-1,314",$-5,"$-1,350",$93,-,$93,$-42,$-42,$-116,$-23,$-88,$7,-,$-111
2019-06-30,$372,$79,$-69,$10,$57,-,-,$125,$343,$725,$-24,-,"$-1,901","$2,027",$-199,"$1,828",$-2,$-99,$-743,$413,$-330,$-38,$-38,$-112,$53,$-427,$179,-,$-107
2019-03-31,$630,$90,$-110,$-20,-,-,-,$-447,$-331,$279,$-20,-,-,$108,$40,$148,$1,$129,$152,$-413,$-261,$-28,$-28,$-115,$-24,$-428,$-17,-,$-109
2018-12-31,$196,$111,$234,$345,$-434,-,-,$923,$460,"$1,001",$-52,-,-,$-767,$-405,"$-1,172",$24,"$-1,200",$25,-,$25,$-26,$308,$-109,-,$224,$19,-,$-109
2018-09-30,$432,$114,$28,$142,$-25,-,-,$-15,$-2,$572,$-11,-,-,$-256,$-288,$-544,-,$-555,$25,-,$25,$5,$5,$-90,$-4,$-64,$-45,-,$-90
2018-06-30,$582,$137,$-162,$-25,$117,-,-,$118,$1,$558,$-20,-,"$1,115","$-1,864",$777,"$-1,087",$27,$35,"$-1,129",$322,$-807,$4,$4,$-90,$-57,$-950,$-81,-,$-90
2018-03-31,$597,$143,$271,$414,$19,-,-,$-440,$-299,$712,$-39,-,-,$-797,$625,$-172,$-31,$-242,$122,$-324,$-202,$1,$1,$-90,$-386,$-677,$48,-,$-90
2017-12-31,"$-3,703",$84,"$3,278","$3,362",$-978,-,-,$998,"$1,003",$662,$-121,-,"$-1,645",$163,"$1,635","$1,798",$11,$43,$-114,$-1,$-115,$-47,$-47,$-83,$-76,$-321,$86,-,$-83
2017-09-30,$234,$122,$40,$162,$18,-,-,$192,$234,$630,$-37,-,-,$872,$-860,$12,$16,$-9,$88,$-1,$87,$-319,$-319,$-85,$-341,$-658,$-7,-,$-85
2017-06-30,$-40,$120,$852,$972,$32,-,-,$-79,$-263,$669,$-51,-,$222,$-120,$-329,$-449,$10,$-268,$-185,$412,$227,$-321,$-321,$-86,$-256,$-436,-,-,$-86
2017-03-31,$378,$107,$131,$238,$-7,-,-,$-640,$-391,$225,$-41,-,-,"$-1,373",$222,"$-1,151",$-16,"$-1,208","$1,615",$-423,"$1,192",$-351,$-351,$-87,$-318,$436,$-227,-,$-87
2016-12-31,$-81,$142,$259,$401,$-77,-,-,$668,$341,$661,$-41,-,-,"$-1,390","$1,610",$220,$-175,$4,$-49,$-3,$-52,$-281,$-281,$-81,$-160,$-574,$-177,-,$-81
2016-09-30,$438,$171,$121,$292,$287,-,-,$-428,$-141,$589,$-46,-,$-175,$137,$679,$816,$9,$604,$-174,$-8,$-182,$-350,$-350,$-83,$-220,$-835,$349,-,$-83
