,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$1,359",$254,$90,$344,$54,$217,$475,$-55,"$1,079","$2,782",$-251,-,$-261,-,$9,$9,$-74,$-577,$-51,$9,$-42,"$-1,335","$-1,335",$-671,$-5,"$-2,053",$239,$50,$-671
2020-09-30,$758,$255,$-129,$126,$-161,$47,$-96,$140,$123,"$1,007",$-239,-,-,-,$345,$345,$-158,$-52,$-15,$-6,$-21,$-98,$-98,$-636,$-14,$-769,$258,$40,$-636
2020-06-30,"$1,081",$250,$-429,$-179,$735,$-168,$-310,$-60,$578,"$1,480",$-227,-,-,-,$-277,$-277,$-204,$-708,"$5,881",$-11,"$5,870",$-31,$-31,$-650,$-2,"$5,187","$6,057",$34,$-650
2020-03-31,"$1,581",$243,$-468,$-225,$41,$-163,$-54,$166,$-417,$939,$-132,-,-,-,$195,$195,$287,$350,$2,$82,$84,"$-1,857","$-1,857",$-635,$-38,"$-2,446","$-1,346",$44,$-635
2019-12-31,"$1,562",$269,$95,$364,$89,$176,$207,$-362,$688,"$2,614",$-333,-,$-50,-,$111,$111,$-139,$-411,"$-2,782",$1,"$-2,781",$-677,$-677,$-644,$-7,"$-4,109","$-1,841",$41,$-644
2019-09-30,"$1,624",$263,$-355,$-92,$-176,$-3,$-81,$171,$-61,"$1,471",$-161,-,-,-,$211,$211,$171,$221,"$2,660",-,"$2,660",$-953,$-953,$-595,$-40,"$1,072","$2,683",$37,$-595
2019-06-30,"$1,541",$295,$-92,$203,$-100,$-52,$21,$-22,$-66,"$1,678",$-163,-,-,-,$319,$319,$110,$266,$-62,-,$-62,"$-1,667","$-1,667",$-597,$-2,"$-2,328",$-400,$34,$-597
2019-03-31,"$1,416",$261,$-26,$235,$198,$-221,$-29,$-217,$-517,"$1,134",$-139,-,-,-,$-430,$-430,$-40,$-609,$7,$-1,$6,$-605,$-605,$-606,$-30,"$-1,235",$-662,$41,$-606
2018-12-31,"$1,721",$254,$-620,$-366,$-367,$-44,$267,$-138,$204,"$1,559",$-295,-,$-484,-,$221,$221,$152,$-406,$-26,$-351,$-377,"$-1,667","$-1,667",$-603,"$1,017","$-1,630",$-516,$44,$-603
2018-09-30,"$2,338",$286,$-970,$-684,$34,$-270,$242,$182,$224,"$1,878",$-182,-,$-51,-,$31,$31,$30,$-172,$-5,$-450,$-455,$-489,$-489,$-553,"$1,581",$84,"$1,721",$41,$-553
