,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$291.33,$77.218,$207.066,$284.284,$220.112,$0.001,$-90.795,$-6.413,$28.777,$604.391,$-148.468,-,-,-,$-40.773,$-40.773,$-0.785,$-190.026,$-351.331,$28.361,$-322.97,$6.421,$6.421,$-162.714,-,$-479.263,$-61.902,$19.687,$-162.714
2020-09-30,$447.258,$75.165,$38.449,$113.614,$-287.443,$42.477,$151.569,$0.943,$-79.653,$481.219,$-106.267,-,-,-,$-20.046,$-20.046,$-5.139,$-131.452,$-1.032,$-152.619,$-153.651,$1.567,$1.567,$-163.739,-,$-315.823,$40.558,$12.407,$-163.739
2020-06-30,$268.042,$71.9,$39.957,$111.857,$164.88,$-166.489,$-19.94,$15.698,$-11.945,$367.954,$-86.588,-,-,-,$-14.919,$-14.919,$2.374,$-99.133,$638.858,$-641.273,$-2.415,$-40.876,$-40.876,$-156.476,-,$-199.767,$70.535,$12.915,$-156.476
2020-03-31,$268.783,$70.624,$35.513,$106.137,$-153.086,$-27.907,$0.636,$-19.733,$-128.827,$246.093,$-99.196,-,-,-,$-11.473,$-11.473,-,$-110.669,$-1.086,$807.29,$806.204,$-152.776,$-152.776,$-157.803,-,$495.625,$601.534,$12.575,$-157.803
2019-12-31,$204.418,$72.703,$147.199,$219.902,$280.709,$153.32,$-67.068,$28.62,$346.166,$770.486,$-53.462,-,$-0.699,-,$-27.572,$-27.572,$-1.106,$-82.839,$983.246,"$-1,248.912",$-265.666,$-75.863,$-75.863,$-157.102,-,$-498.631,$190.626,$12.32,$-157.102
2019-09-30,$325.182,$74.495,$27.643,$102.138,$-295.856,$-1.44,$141.966,$-13.301,$-113.261,$314.059,$-60.329,-,$-401.461,-,$-22.388,$-22.388,$-7.077,$-491.255,$-0.745,$391.89,$391.145,$-117.512,$-117.512,$-157.727,-,$115.906,$-63.327,$15.867,$-157.727
2019-06-30,$313.271,$72.017,$45.375,$117.392,$155.39,$-166.664,$-30.999,$32.759,$-81.295,$349.368,$-83.531,-,-,-,$-11.386,$-11.386,$0.154,$-94.763,$2.731,$-282.193,$-279.462,$70.897,$70.897,$-149.02,-,$-357.585,$-100.002,$13.156,$-149.02
2019-03-31,$303.881,$72.329,$16.844,$89.173,$-99.991,$-6.41,$-2.798,$-10.177,$-63.094,$329.96,$-92.739,-,-,-,$-18.884,$-18.884,-,$-111.623,$-1.765,$-28.99,$-30.755,$-163.927,$-163.927,$-146.463,-,$-341.145,$-122.033,$10.556,$-146.463
2018-12-31,$331.6,$40.524,$149.207,$189.731,$220.778,$99.155,$-98.587,$14.585,$185.801,$707.132,$-84.28,-,$-427.904,-,$-18.471,$-18.471,-,$-530.655,$-0.039,$-247.56,$-247.599,$-17.966,$-17.966,$-147.343,-,$-412.908,$-235.789,$13.618,$-147.343
2018-09-30,$265.413,$103.624,$-15.885,$87.739,$-313.057,$35.189,$160.389,$-17.313,$-63.173,$289.979,$-74.766,-,$171.95,-,$-5.143,$-5.143,-,$92.041,$-304.341,$402.265,$97.924,$33.454,$33.454,$-147.299,$-8.222,$-24.143,$356.435,$12.122,$-147.299
