,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$151.1,$141.3,$-61.6,$79.7,$-8.2,$76,$33.4,$2.4,$181,$411.8,$-15,-,$-0.4,-,-,-,-,$-15.4,$-9.9,-,$-9.9,$-5.6,$-5.6,-,$26.3,$10.8,$437.6,$22.3,-
2020-09-30,$29.9,$162.7,$-6.1,$156.6,$-3,$102.6,$-73.2,$12.7,$0.2,$186.7,$-7.9,-,$-31.9,-,-,-,-,$-39.8,$-9.6,-,$-9.6,$5.8,$5.8,-,$-15.2,$-19,$139.7,$12.8,-
2020-06-30,$-176.6,$144.5,$102.5,$247,$115.6,$15.8,$-79.1,$-53.1,$177,$247.4,$-15.8,-,-,-,-,-,-,$-15.8,$385.1,-,$385.1,$3.6,$3.6,-,$-9.9,$378.8,$617.9,$12.7,-
2020-03-31,$-36.8,$72.3,$7,$79.3,$-4.1,$-23.6,$105.6,$27.1,$25.9,$68.4,$-8.2,-,$41.3,-,-,-,-,$33.1,$-4.6,-,$-4.6,$1.9,$1.9,-,$-39.2,$-41.9,$50.2,$3.5,-
2019-12-31,$25.7,$45.2,$-6.1,$39.1,$7,$44.9,$-18.9,$16.4,$34.2,$99,$-9.2,-,-,-,-,-,-,$-9.2,$-2,-,$-2,$4.1,$4.1,-,$-0.5,$1.6,$99.1,$5.8,-
2019-09-30,$41.3,$43,$-7.1,$35.9,$30.5,$8.8,$10.5,$-2.8,$37,$114.2,$-9.1,-,$-11.5,-,-,-,-,$-20.6,$-2,-,$-2,$5,$5,-,-,$3,$88.9,$-0.2,-
2019-06-30,$45,$44.4,$18.1,$62.5,$11.8,$-1.5,$-9.6,$-30.5,$-46.2,$61.3,$-9.8,-,-,-,-,-,-,$-9.8,$-1.9,-,$-1.9,$5.4,$5.4,-,$-2.3,$1.2,$53.8,$6.1,-
2019-03-31,$47.1,$45.5,$5.6,$51.1,$5.4,$-33.5,$8.8,$-25.6,$-29.4,$68.8,$-14.2,-,$-0.5,-,-,-,-,$-14.7,$-26.9,-,$-26.9,$9.6,$9.6,-,-,$-17.3,$42.5,$7.5,-
2018-12-31,$94.5,$45.8,$-27.8,$18,$2.7,$31.7,$12.4,$-8.3,$33.7,$146.2,$-19.7,-,$-72.7,-,-,-,-,$-92.4,$-75.2,-,$-75.2,$-23.5,$-23.5,-,$-1.5,$-100.2,$-47.8,$-3.3,-
2018-09-30,$72.2,$44.4,$19.3,$63.7,$-32.7,$2.1,$11.9,$-22,$-32.1,$103.8,$-11.2,-,-,-,-,-,-,$-11.2,$-151.9,-,$-151.9,$-6.4,$-6.4,-,-,$-158.3,$-68.8,$0.9,-
2018-06-30,$60.3,$45.2,$6,$51.2,$33.2,$-3.9,$36.9,$1.3,$22.8,$134.3,$-10.7,-,$-18.7,-,-,-,-,$-29.4,$-105.2,-,$-105.2,$-1.1,$-1.1,-,-,$-106.3,$-16,$1.8,-
2018-03-31,$42.4,$45,$7.6,$52.6,$10,$-42.9,$8.4,$-12.3,$-34.8,$60.2,$-7.1,-,$-94.9,-,-,-,-,$-102,$-5.3,-,$-5.3,$-2.9,$-2.9,-,-,$-8.2,$-39.5,$3.4,-
2017-12-31,$143.6,$48.5,$-167.5,$-119,$0.2,$13.7,$0.1,$83,$92,$116.6,$-17.7,-,-,-,-,-,-,$-17.7,$-7.1,-,$-7.1,$-0.7,$-0.7,-,$-1.4,$-9.2,$90.3,$9,-
2017-09-30,$28.1,$43.4,$37,$80.4,$-49.9,$-15,$18,$-15.5,$-44.6,$63.9,$-8.7,-,-,-,$6.2,$6.2,-,$-2.5,$-2.1,-,$-2.1,$-4.5,$-4.5,-,$-2.4,$-9,$57.3,$9.8,-
2017-06-30,$-146.2,$43.8,$156.3,$200.1,$-27.1,$-6,$18.6,$0.2,$-31.3,$22.6,$-5.5,-,$-18.5,-,-,-,-,$-24,$-853.3,-,$-853.3,$897.1,$897.1,-,$-29.7,$14.1,$20.1,$156.2,-
2017-03-31,$-7,$39.7,$-2.6,$37.1,$11.1,$-15.4,$3.2,$-11,$-32.7,$-2.6,$-16.3,-,$-0.3,-,-,-,-,$-16.6,$-6.1,-,$-6.1,$-7.1,$-7.1,-,$-0.1,$-13.3,$-30.2,-,-
2016-12-31,$-4.29,$69.57,$46.8,$116.37,$-18.1,$3.8,$-21.3,$-12.7,$39.06,$58.84,$-22.29,-,$0.02,-,-,-,-,$-22.27,$19.1,-,$-6.39,$9.7,$-1.15,-,$-4.66,$-12.2,$13.58,-,-
2016-09-30,$-13,$42.9,$-31.7,$11.2,$1.5,$13.2,$17,$16.1,$39.6,$37.8,$-20.1,-,$-13.9,-,-,-,-,$-34,$-6.2,-,$-6.2,$-2,$-2,-,$-0.1,$-8.3,$-4.2,-,-
2016-06-30,$-14,$85.5,$-15.1,$70.4,$16.6,$-17,$4.3,$-3.4,$12.6,$69,$-25.8,-,-,-,-,-,-,$-25.8,$-12.9,-,$-12.9,$-7.7,$-7.7,-,$-1.9,$-22.5,$18.1,-,-
2015-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
