,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$582,$-1,$70,$69,$122,$-2,-,$-33,$87,$946,$-18,-,-,"$-2,046",$35,"$-2,011","$1,851",$-178,"$1,106",$-52,"$1,054",$-16,$-16,$-207,"$-1,464",$-633,$135,$26,$-207
2020-09-30,$428,$26,$114,$140,$363,$-88,-,$-28,$247,$622,$-18,-,-,$-112,"$-2,573","$-2,685","$2,904",$201,"$-1,001",$-952,"$-1,953",$1,$1,$-207,"$1,233",$-926,$-103,$24,$-207
2020-06-30,$187,$32,$357,$389,$127,$150,-,$-29,$248,$278,$-15,-,-,"$-9,963","$-2,037","$-12,000","$-3,007","$-15,022",$3,"$-5,067","$-5,064",$1,$1,$-207,"$20,208","$14,938",$194,$26,$-207
2020-03-31,$146,$54,$370,$424,$-597,$245,-,$-29,$-381,$-173,$-12,-,-,"$-2,801","$1,920",$-881,"$-8,829","$-9,722",$991,"$5,958","$6,949",$-112,$-112,$-208,"$3,399","$10,028",$133,$25,$-208
2019-12-31,$469,$58,$105,$163,$185,$-77,-,$-35,$73,$993,$-26,-,-,"$2,079",$874,"$2,953","$-1,873","$1,054","$-1,943",$210,"$-1,733",$-230,$-230,$-209,$221,"$-1,951",$96,$24,$-209
2019-09-30,$416,$62,$205,$267,$440,$41,-,$-29,$452,"$1,183",$-4,-,-,$-908,$-315,"$-1,223","$-1,262","$-2,489",$89,$1,$90,$-246,$-246,$-212,"$1,703","$1,335",$29,$24,$-212
2019-06-30,$425,$63,$65,$128,$-842,$-25,-,$-29,$-896,$170,$-29,-,$-185,$69,$72,$141,"$-1,871","$-1,944",$-2,$-65,$-67,$-177,$258,$-191,"$1,770","$1,770",$-4,$23,$-191
2019-03-31,$407,$58,$187,$245,$355,$-130,-,$-28,$197,$560,$-8,-,-,$50,$-878,$-828,$-703,"$-1,539",$351,$83,$434,$-164,$-164,$-192,$834,$912,$-67,$25,$-192
2018-12-31,$484,$92,$141,$233,$432,$109,-,$-33,$508,"$1,712",$-25,-,-,$-290,$-421,$-711,$-363,"$-1,099",$-249,"$-1,059","$-1,308",$-277,$-277,$-198,"$1,529",$-254,$359,$21,$-198
2018-09-30,$482,$95,$171,$266,$-150,$-125,-,$-28,$-303,$386,$-37,-,$5,$374,$-632,$-258,"$-1,134","$-1,424",$40,$-384,$-344,$-536,$-124,$-190,"$1,231",$573,$-465,$25,$-190
2018-06-30,$482,$92,$-26,$66,$241,$-64,-,$-28,$149,$619,$-17,-,$119,"$-1,002",$352,$-650,$-160,$-708,$139,$557,$696,$-119,$-119,$-141,$-206,$230,$141,$26,$-141
2018-03-31,$418,$103,$114,$217,$-549,$67,-,$-28,$-510,$-211,$-18,-,-,"$2,803",$-306,"$2,497","$-1,730",$749,$-504,$738,$234,$-146,$-146,$-127,$-527,$-566,$-28,$27,$-127
2017-12-31,$197,$106,$254,$360,$257,$-53,-,$-34,$170,$736,$-56,-,$-70,$-454,$-860,"$-1,314",$34,"$-1,406",$-703,$23,$-680,$-202,$-202,$-127,"$1,788",$779,$109,$26,$-127
2017-09-30,$364,$103,$10,$113,$377,$298,-,$-29,$646,"$1,668",$-32,-,-,"$-1,471",$-619,"$-2,090",$21,"$-2,101","$1,874","$-1,716",$158,$-266,$-266,$-117,$619,$394,$-39,$23,$-117
2017-06-30,$412,$98,$161,$259,$-275,$-160,-,$-28,$-463,$-184,$-22,-,$-74,$3,$-49,$-46,$-513,$-655,$943,"$1,319","$2,262",$-86,$-86,$-118,"$-1,167",$891,$52,$24,$-118
2017-03-31,$325,$100,$235,$335,$-220,$-54,-,$-28,$-302,$-405,$-2,-,-,$250,"$1,873","$2,123",$-198,"$1,923",$-10,$-925,$-935,$-85,$-435,$-118,$-158,"$-1,646",$-128,$27,$-118
2016-12-31,$228,$21,$186,$207,$615,$59,-,$-35,$639,$829,$-66,-,-,$441,"$-1,357",$-916,"$-1,031","$-2,013",$-26,$899,$873,$-40,$450,$-111,$-100,"$1,112",$-72,$33,$-111
2016-09-30,$173,$169,$27,$196,$-645,$39,-,$-27,$-633,$136,$-49,-,$-481,"$3,383","$-1,079","$2,304",$-36,"$1,738",$476,"$-2,335","$-1,859",$-71,$448,$-78,$-132,"$-1,621",$253,$30,$-78
2016-06-30,$201,$62,$38,$100,$263,$-200,-,$-24,$39,$351,$-22,-,-,"$-1,163",$57,"$-1,106","$-1,717","$-2,845",$591,$58,$649,$2,$2,$-78,"$1,943","$2,516",$22,$17,$-78
2016-03-31,$188,$62,$161,$223,$-45,$23,-,$-25,$-47,$373,$-8,-,-,"$-2,729",$11,"$-2,718",$-611,"$-3,337",$478,$84,$562,$1,$1,$-68,"$2,336","$2,831",$-133,$19,$-68
2015-12-31,$229,$71,$56,$127,$299,$23,-,$-33,$289,$882,$-35,-,-,$-743,$47,$-696,$145,$-586,$112,$-179,$-67,$3,$3,$-68,$-27,$-159,$137,$11,$-68
2015-09-30,$217,$60,$10,$70,$-56,$-137,-,$-25,$-218,$190,$-22,-,-,"$1,258",$55,"$1,313","$-1,893",$-602,$-137,$112,$-25,$-121,$-121,$-69,$404,$189,$-223,$14,$-69
2015-06-30,$239,$66,$-29,$37,$819,$115,-,$-25,$909,"$1,161",$-14,-,-,$156,"$-1,193","$-1,037",$-366,"$-1,417","$1,738",$-153,"$1,585",$-120,$-120,$-69,$-953,$443,$187,$20,$-69
2015-03-31,$235,$50,$66,$116,$-904,$-39,-,$-25,$-968,"$-1,102",$-3,-,-,$891,$353,"$1,244",$-659,$582,$871,$127,$998,$-188,$-188,$-61,$-376,$373,$-147,$13,$-61
2014-12-31,$254,$61,$52,$113,$52,$215,-,$-33,$234,$855,$-44,-,$-11,"$-1,927","$-1,114","$-3,041","$-1,215","$-4,311",$758,$-655,$103,$-125,$-125,$-62,"$3,542","$3,458",$2,$13,$-62
2014-09-30,$186,$76,$-23,$53,$-309,$-75,-,$-25,$-409,$202,$-23,-,$-103,$871,$336,"$1,207",$-668,$413,$-968,$-81,"$-1,049",$-115,$-115,$-61,$657,$-568,$47,$10,$-61
2014-06-30,$225,$57,$-53,$4,$-42,$-50,-,$-24,$-116,$107,$-19,-,-,$-254,$-198,$-452,$-177,$-648,$514,$-147,$367,$-102,$-102,$-62,$533,$736,$195,$10,$-62
2014-03-31,$242,$52,$11,$63,$213,$-102,-,$-24,$87,$156,$-10,-,-,"$2,668",$69,"$2,737",$-997,"$1,730",$68,$4,$72,$-115,$-115,$-55,"$-1,996","$-2,094",$-208,$11,$-55
2013-12-31,$230,$53,$33,$86,$89,$68,-,$-32,$125,$679,$-40,-,$-216,"$-2,055",$143,"$-1,912",$-731,"$-2,899","$1,555",$-44,"$1,511",$-95,$-95,$-55,$728,"$2,089",$-131,$8,$-55
2013-09-30,$271,$75,$-190,$-115,$-282,$-214,-,$-24,$-520,$-57,$-26,-,$375,$48,$632,$680,$-717,$312,$-502,$-23,$-525,$-190,$-190,$-55,$567,$-203,$52,$8,$-55
2013-06-30,$204,$49,$337,$386,$50,$109,-,$-25,$134,$694,$-22,-,$573,$-502,$-955,"$-1,457",$-543,"$-1,449","$-1,002",$-384,"$-1,386",$-106,$-106,$-55,"$2,377",$830,$75,$9,$-55
2013-03-31,$205,$44,$98,$142,$183,$-96,-,$-25,$62,$231,$-4,-,-,$859,"$-1,215",$-356,$204,$-156,$977,$433,"$1,410",$-57,$-57,$-52,"$-1,339",$-38,$37,$10,$-52
2012-12-31,$203,$73,$99,$172,$65,$18,-,$-110,$-27,$651,$-63,-,$-90,"$-1,732",$-76,"$-1,808","$-1,271","$-3,232",$765,$-238,$527,$-88,$-88,$-52,"$1,805","$2,192",$-389,$11,$-52
2012-09-30,$221,$58,$19,$77,$40,$57,-,-,$97,$275,$-161,-,$866,$8,"$1,678","$1,686","$-1,094","$1,417","$-1,332",$56,"$-1,276",$-80,$-80,$-52,$-27,"$-1,435",$257,$11,$-52
2012-06-30,$241,$56,$16,$72,"$1,031",$-66,-,-,$965,"$1,464",$87,-,-,"$1,389",$53,"$1,442","$-1,602",$-193,"$-1,418",$-92,"$-1,510",$-81,$-81,$-52,$673,$-970,$301,$27,$-52
2012-03-31,$200,$48,$21,$69,$-934,$9,-,-,$-925,"$-1,091",$-26,-,-,$-86,$463,$377,"$1,409","$1,760",$-572,$122,$-450,-,-,$-35,$-462,$-947,$-278,-,$-35
2011-12-31,$200,$-7,$602,$595,$-219,$106,-,$-111,$-224,$-82,$-78,-,-,"$1,247",$608,"$1,855","$-1,417",$360,"$-1,104",$-199,"$-1,303",-,-,$-34,$924,$-413,$-135,$41,$-34
2011-09-30,$218,$65,$-443,$-378,$-92,$40,-,-,$-52,$421,$-27,-,-,$-203,$12,$-191,$-483,$-701,$-401,$68,$-333,-,-,$-34,$622,$255,$-25,-,$-34
2011-06-30,$243,$69,$19,$88,$49,$272,-,-,$321,"$1,042",$-44,-,-,$-858,$955,$97,$619,$672,$-162,$-738,$-900,$-66,$-66,$-35,$-400,"$-1,401",$313,-,$-35
2011-03-31,$271,$74,$40,$114,$61,$-56,-,-,$5,$412,$-30,-,-,"$-2,361","$2,439",$78,"$1,344","$1,392",$498,$-279,$219,$600,"$-1,900",$-61,$200,"$-1,542",$262,-,$-61
2010-12-31,$323,$76,$-53,$23,$178,$170,-,-,$348,$755,$-52,-,-,$527,"$-1,025",$-498,$971,$421,$-585,$-282,$-867,-,-,$-46,$-808,"$-1,721",$-545,-,$-46
2010-09-30,$226,$81,$168,$249,$206,$-141,-,-,$65,$416,$-48,-,-,$113,"$-1,237","$-1,124","$1,427",$255,$741,$-177,$564,-,-,$-46,$-957,$-439,$232,-,$-46
2010-06-30,$74,$85,$291,$376,$-87,$20,-,-,$-67,$710,$-33,-,-,"$2,361","$-2,857",$-496,"$2,027","$1,498",$-698,"$1,282",$584,-,-,$-46,"$-2,774","$-2,236",$-28,-,$-46
2010-03-31,$-39,$88,$341,$429,$10,$175,-,-,$185,$843,$-20,-,-,"$-2,602",$195,"$-2,407","$2,227",$-200,$-318,$291,$-27,-,-,$-46,$-422,$-495,$148,-,$-46
2009-12-31,$-188,$92,$210,$302,$254,$234,-,-,$488,$853,$-98,-,-,"$1,243","$-1,288",$-45,"$2,688","$2,545","$-1,865",$-53,"$-1,918",$-1,$-1,$-45,"$-1,688","$-3,652",$-254,-,$-45
2009-09-30,$-402,$96,$484,$580,$222,$-635,-,-,$-413,$593,$-44,-,-,$501,"$-3,336","$-2,835","$4,199","$1,320",$-222,"$-1,105","$-1,327",-,-,$-46,$-521,"$-1,894",$19,-,$-46
2009-06-30,$-223,$106,$327,$433,$-44,$508,-,-,$464,$942,$-39,-,-,$-570,"$-3,652","$-4,222","$2,193","$-2,068","$-1,021",$-610,"$-1,631",$987,$987,$-47,"$1,899","$1,208",$82,-,$-47
2009-03-31,$-498,$95,$822,$917,$-136,$1,-,-,$-135,$-68,$-32,-,-,"$2,304",$60,"$2,364","$2,480","$4,812",$145,"$-6,184","$-6,039",-,-,$-75,$749,"$-5,365",$-621,-,$-75
2008-12-31,$-527,$109,$-399,$-290,$268,$161,-,-,$429,$-942,$-88,-,-,"$-4,562",$29,"$-4,533",$171,"$-4,450","$-1,187","$2,884","$1,697","$2,500","$2,500",$-42,$555,"$4,710",$-682,-,$-42
2008-09-30,$-25,$103,$58,$161,$679,$34,-,-,$713,$583,$-20,-,-,$174,$10,$184,$-894,$-730,$778,$-922,$-144,$87,$87,$-105,$335,$173,$26,-,$-105
2008-06-30,"$-1,127",$107,$560,$667,$237,$-468,-,-,$-231,$-463,$-40,-,-,$-249,$-112,$-361,$-310,$-711,"$1,105",$-895,$210,"$1,604","$1,604",$-150,$-308,"$1,356",$182,-,$-150
2008-03-31,$219,$110,$-79,$31,$-121,$41,-,$-64,$-144,$262,$-46,-,$-157,$5,$958,$963,"$-1,034",$-274,"$1,885","$-1,610",$275,$3,$3,$-148,$-202,$-72,$-84,-,$-148
