,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$197,$68,$20,$88,$-267,-,-,$55,$-337,$-52,$-61,-,$-45,-,-,-,$5,$-101,$224,-,$224,$-61,$-61,$-48,$-17,$98,$-55,$17,$-48
2020-09-30,$163,$82,$29,$111,$-86,-,-,$23,$318,$592,$-20,-,-,-,-,-,$5,$-15,$-477,-,$-477,$9,$9,$-49,-,$-517,$60,$15,$-49
2020-06-30,$154,$71,$26,$97,$137,-,-,$69,$171,$422,$-46,-,$-968,-,-,-,-,"$-1,014",$774,-,$774,$6,$6,$-48,$-23,$709,$117,$15,$-48
2020-03-31,$115,$61,$45,$106,$89,-,-,$-43,$151,$372,$-44,-,"$-1,642",-,-,-,$1,"$-1,685","$1,248",-,"$1,248",$-24,$-24,$-51,$-12,"$1,161",$-152,$15,$-51
2019-12-31,$181,$60,$-5,$55,$48,-,-,$7,$-67,$169,$-237,-,$178,-,-,-,$5,$-54,$-30,-,$-30,$-17,$-17,$-97,-,$-144,$-29,$14,$-97
2019-09-30,$162,$59,$51,$110,$36,-,-,$-22,$77,$349,$162,-,$-265,-,-,-,$1,$-102,$-2,-,$-2,$-202,$-202,-,-,$-204,$43,$13,-
2019-06-30,$138,$57,$11,$68,$53,-,-,$81,$-20,$186,$-16,-,-,-,-,-,-,$-16,$-17,-,$-17,-,-,$-47,-,$-64,$106,$13,$-47
2019-03-31,$189,$58,$-60,$-2,$-21,-,-,$-25,$101,$288,$66,-,$171,-,-,-,-,$237,$-31,-,$-31,$-212,$-212,$-54,-,$-297,$228,$12,$-54
2018-12-31,$188,$64,$-37,$27,$-60,-,-,$-45,$-111,$104,$-20,-,-,-,-,-,-,$-20,$1,-,$1,$-242,$-242,$-47,$-2,$-290,$-206,$11,$-47
2018-09-30,$147,$64,$17,$81,$-34,-,-,$85,$143,$371,$-25,-,-,-,-,-,$40,$15,$-2,-,$-2,$-74,$-74,$-48,$-10,$-134,$252,$10,$-48
2018-06-30,$145,$66,$15,$81,$120,$63,-,$-83,$45,$271,$-13,-,-,-,-,-,-,$-13,$-27,-,$-27,$-90,$-90,$-51,$-24,$-192,$66,$12,$-51
2018-03-31,$102,$63,$25,$88,$-84,$-63,-,$26,$-168,$22,$-15,-,$-81,-,-,-,-,$-96,$-17,-,$-17,$-18,$-18,$-52,$-4,$-91,$-165,$11,$-52
2017-12-31,$113,$96,$173,$269,$-36,$-30,-,$-68,$-218,$164,$-38,-,-,-,-,-,-,$-38,$-15,-,$-15,$-2,$-2,$-48,-,$-65,$61,$11,$-48
2017-09-30,$79,$92,$18,$110,$24,$-86,-,$49,$78,$267,$-19,-,-,-,-,-,-,$-19,$-125,-,$-125,$2,$2,$-48,$-3,$-174,$74,$12,$-48
2017-06-30,$98,$80,$4,$84,$11,$18,-,$-38,$-16,$166,$-9,-,-,-,-,-,-,$-9,$-47,-,$-47,$-13,$-13,$-52,-,$-112,$45,$10,$-52
2017-03-31,$74,$82,$44,$126,$-190,$22,-,$20,$-271,$-71,$-7,-,-,-,-,-,$2,$-5,$-22,-,$-22,$-5,$-5,$-50,$-1,$-78,$-154,$10,$-50
2016-12-31,$60,$68,$16,$84,$-17,$80,-,$-53,$-23,$121,$-9,-,-,-,-,-,$1,$-8,$-175,-,$-175,$-4,$-4,$-48,-,$-227,$-114,$10,$-48
2016-09-30,$92,$37,$10,$47,$216,$-73,-,$-37,$131,$270,$-13,-,$25,-,-,-,$4,$16,$590,-,$590,$18,$18,"$-1,041",$-30,$-463,$-177,$9,"$-1,041"
2016-06-30,$41,$9,$-6,$3,$-28,$4,-,$10,$28,$72,$-3,-,$23,-,-,-,$-1,$19,$-1,-,$-1,$-6,$-6,$-23,-,$-30,$61,$8,$-23
2016-03-31,$53,$8,$19,$27,$-48,$-11,-,$-2,$-94,$-14,$-1,-,-,-,-,-,-,$-1,$-1,-,$-1,$-7,$-7,$-23,-,$-31,$-47,$8,$-23
2015-12-31,$115,$6,$-98,$-92,$-164,$25,-,$75,$-2,$21,$58,-,$-2,-,-,-,-,$56,$10,-,$10,-,-,$-22,$-8,$-20,$37,$7,$-22
2015-09-30,$49,$11,$110,$121,$82,$-12,-,$-22,$99,$269,$-3,-,$27,-,-,-,-,$24,$-49,$47,$-2,-,-,$-23,$2,$-23,$270,$9,$-23
2015-06-30,$37,$12,$-51,$-39,$46,$19,-,$65,$153,$151,-,-,$-13,-,-,-,$-1,$-14,-,$-18,$-18,$-107,$-107,$-24,-,$-149,$-12,$8,$-24
2015-03-31,$41,$12,$27,$39,$17,$-29,-,$-81,$-122,$-42,$-3,-,-,-,-,-,$1,$-2,-,$-29,$-29,$-5,$-5,$-24,$1,$-57,$-82,$6,$-24
2015-01-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-31,$34,$16,$33,$49,$85,$-13,-,$36,$96,$179,$-4,-,-,-,-,-,-,$-4,-,$-103,$-103,$1,$1,$-24,-,$-126,$60,$10,$-24
2014-07-31,$-438,$502,$41,$543,$-8,$45,-,$-2,$19,$124,$-12,-,-,-,-,-,$80,$68,-,$-1,$-1,$2,$2,$-24,-,$-23,$175,$12,$-24
2014-04-30,$37,$18,$18,$36,$-48,$-36,-,$-2,$-82,$-9,$-10,-,-,-,-,-,-,$-10,-,-,-,$-210,$-210,$-24,$1,$-233,$-247,$11,$-24
2014-01-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-10-31,$-3,$13,$72,$85,$-16,$-21,-,$5,$-32,$50,$-1,-,-,$12,-,$12,$265,$276,-,-,-,$3,$3,$-28,-,$-25,$352,$13,$-28
2013-07-31,$42,$25,$24,$49,$37,-,-,-,$43,$134,$28,-,-,-,-,-,$-1,$27,$38,$-1,$37,$3,$3,$-383,$2,$-341,$-100,$15,$-383
2013-04-30,$81,$26,$-25,$1,$-163,$48,-,$4,$-184,$-102,$7,-,-,-,-,-,$2,$9,-,-,-,$-12,$-12,$-41,-,$-53,$-173,$15,$-41
2013-01-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-31,$112,$17,$-177,$-160,$23,$-98,-,$-2,$54,$6,$2,-,$-478,-,-,-,-,$-476,-,$2,$2,$4,$4,$-41,-,$-35,$-225,$-4,$-41
2012-07-31,$110,$29,$17,$46,$185,$41,-,$-2,$48,$204,$-23,-,-,-,-,-,-,$-23,-,$-551,$-551,$5,$5,$-42,-,$-588,$-411,$22,$-42
2012-04-30,$117,$27,$24,$51,$3,$-16,-,$1,$-529,$-361,$-8,-,-,-,-,-,$1,$-7,-,$-1,$-1,$-15,$-15,$-41,-,$-57,$-425,$24,$-41
2012-01-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011-10-31,$-89,$31,$28,$59,$-46,$5,-,$-18,$447,$417,$-12,-,$-191,-,-,-,$-1,$-204,-,$-1,$-1,$-46,$-46,-,-,$-47,$127,$21,-
2011-07-31,$178,$27,$-67,$-40,$33,$26,-,$-7,$-82,$56,$42,-,$-29,-,-,-,$-2,$11,-,$-1,$-1,$-164,$-164,-,-,$-165,$54,$19,-
2011-04-30,$131,$28,$16,$44,$-81,$7,-,$-11,$-21,$154,$6,-,-,-,-,-,$2,$8,-,$-1,$-1,$-239,$-239,-,$-2,$-242,$-85,$24,-
