,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$66,$161,$25,$186,$-152,-,-,$-35,$-187,$65,$-392,-,-,-,-,-,$120,$-272,$197,$-33,$164,$6,$6,$-96,$-5,$69,$-138,-,$-96
2020-09-30,$248.5,$155.6,$25.1,$180.7,$-118.1,-,$-8.3,$-186.5,$-312.9,$116.3,$-365.7,-,-,-,-,-,$79,$-286.7,$-0.3,$237,$236.7,$6.2,$6.2,$-93.4,$5.2,$154.7,$-15.7,-,$-93.4
2020-06-30,$136.9,$146.8,$25.8,$172.6,$-78.9,$-13.7,$14.5,$-71.9,$-150,$159.5,$-319.8,-,-,-,-,-,$107.1,$-212.7,$396.6,$-85.1,$311.5,$6.4,$6.4,$-94.6,$-19.3,$204,$150.8,-,$-94.6
2020-03-31,$172.6,$151.6,$27.1,$178.7,$-119,$13.7,$-6.2,$-79.6,$-191.1,$160.2,$-288.5,-,-,-,-,-,$108.9,$-179.6,$-0.3,$-66.9,$-67.2,$228.4,$228.4,$-93,$-7.9,$60.3,$40.9,-,$-93
2019-12-31,$113,$143,$-5,$138,$-113,-,-,$13,$-100,$151,$-565,-,-,-,-,-,$139,$-426,$-3,$-12,$-15,$205,$205,$-84,$-13,$93,$-182,-,$-84
2019-09-30,$229.2,$144.2,$32.1,$176.3,$-159.3,-,$33.1,$-47.2,$-173.4,$232.1,$-368.4,-,-,-,-,-,$114.4,$-254,$50.4,$-41.3,$9.1,$124.4,$124.4,$-85.2,$-1.1,$47.2,$25.3,-,$-85.2
2019-06-30,$97.1,$153,$-1.7,$151.3,$-78.1,$-33.1,$9.6,$-51,$-152.6,$95.8,$-300.5,-,-,-,-,-,$58.3,$-242.2,$646.9,$-239.2,$407.7,$6,$6,$-84.1,$-26.8,$302.8,$156.4,-,$-84.1
2019-03-31,$127.7,$126.8,$38.6,$165.4,$-121.6,$33.1,$-42.7,$19.2,$-112,$181.1,$-406.1,-,-,-,-,-,$41.3,$-364.8,$-0.3,$188.5,$188.2,$54.6,$54.6,$-83.7,$16.9,$176,$-7.7,-,$-83.7
2018-12-31,$87.5,$130.6,$80.7,$211.3,$-149.8,-,$47.3,$-48,$-213,$85.8,$-506,-,-,-,-,-,$254.7,$-251.3,$-252.9,$304.4,$51.5,$5.7,$5.7,$-78.7,$-34.9,$-56.4,$-221.9,-,$-78.7
2018-09-30,$208.1,$129,$-5.5,$123.5,$-156.8,-,$-13.2,$-56.3,$-163.8,$167.8,$-394.7,-,-,-,-,-,$96.9,$-297.8,$399.9,$-70.7,$329.2,$91.2,$91.2,$-78.5,$23.9,$365.8,$235.8,-,$-78.5
