,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$-177.716,$-385.533,$-26.147,$-411.68,-,-,-,$-54.489,$-54.489,$-643.885,$289.909,-,-,-,$3.243,$3.243,-,$293.152,$-7.371,$35,$27.629,-,-,$345.749,$20.307,$393.685,$42.952,$-12.532,$342.983
2020-09-30,$62.036,$129.138,$1.654,$130.792,-,-,-,$61.442,$61.442,$254.27,$-93.715,-,-,-,$-1.602,$-1.602,-,$-95.317,$10.854,$-55,$-44.146,-,-,$-115.287,$-7.525,$-166.958,$-8.005,$4.382,$-114.365
2020-06-30,$77.728,$128.581,$-8.838,$119.743,-,-,-,$31.542,$31.542,$229.013,$-107.105,-,-,-,$-0.741,$-0.741,-,$-107.846,$-1.743,$-10,$-11.743,-,-,$-115.27,$-7.607,$-134.62,$-13.453,$2.862,$-114.348
2020-03-31,$37.952,$127.814,$33.331,$161.145,-,-,-,$-38.495,$-38.495,$160.602,$-89.089,-,-,-,$-0.9,$-0.9,-,$-89.989,$-1.74,$30,$28.26,-,-,$-115.192,$-5.175,$-92.107,$-21.494,$5.288,$-114.27
2019-12-31,$155.06,$126.652,$-78.978,$47.674,-,-,-,$-42.852,$-42.852,$159.882,$-6.843,-,-,-,$-0.749,$-0.749,-,$-7.592,$110.302,$-130,$-19.698,-,-,$-110.426,$5.693,$-124.431,$27.859,$2.104,$-109.504
2019-09-30,$81.459,$126.182,$-13.209,$112.973,-,-,-,$58.639,$58.639,$253.071,$-88.236,-,-,-,$-1.619,$-1.619,-,$-89.855,$104.605,$-167,$-62.395,-,-,$-110.403,$-5.42,$-178.218,$-15.002,$3.313,$-109.481
2019-06-30,$64.141,$125.905,$-1.439,$124.466,-,-,-,$25.182,$25.182,$213.789,$-85.426,-,-,-,$-2.516,$-2.516,-,$-87.942,$-301.825,$292,$-9.825,-,-,$-110.356,$-7.369,$-127.55,$-1.703,$3.452,$-109.434
2019-03-31,$65.958,$124.829,$-3.641,$121.188,-,-,-,$-32.468,$-32.468,$154.678,$-52.884,-,-,-,-,-,-,$-52.884,$488.588,$-465,$23.588,-,-,$-110.246,$-7.422,$-94.08,$7.714,$4.785,$-109.324
2018-12-31,$63.517,$121.1,$4.499,$125.599,-,-,-,$-55.88,$-55.88,$133.236,$-77.962,-,-,-,$-0.63,$-0.63,-,$-78.592,$-60.353,$90,$29.647,-,-,$-105.937,$-6.081,$-82.371,$-27.727,$2.567,$-105.015
2018-09-30,$54.704,$123.353,$1.954,$125.307,-,-,-,$57.04,$57.04,$237.051,$-65.646,-,-,-,$-0.75,$-0.75,-,$-66.396,$-302.617,$260,$-42.617,-,-,$-105.913,$-3.528,$-152.058,$18.597,$2.89,$-104.991
2018-06-30,$61.981,$121.76,$0.2,$121.96,-,-,-,$27.36,$27.36,$211.301,$-174.697,-,-,-,-,-,-,$-174.697,$395.032,$-340,$55.032,-,-,$-105.889,$-7.054,$-57.911,$-21.307,$2.963,$-104.967
2018-03-31,$50.82,$119.792,$3.874,$123.666,-,-,-,$-21.782,$-21.782,$152.704,$-45.915,-,-,-,$-0.75,$-0.75,-,$-46.665,$-41.042,$40,$-1.042,-,-,$-105.798,$-5.956,$-112.796,$-6.757,$4.024,$-104.876
2017-12-31,$128.007,$117.818,$-66.181,$51.637,-,-,-,$-76.3,$-76.3,$103.344,$-50.37,-,-,-,$-0.75,$-0.75,-,$-51.12,$-68.504,$80,$11.496,$3.343,$3.343,$-99.775,$-6.525,$-91.461,$-39.237,$2.139,$-98.853
2017-09-30,$118.958,$116.063,$-56.025,$60.038,-,-,-,$57.237,$57.237,$236.233,$5.298,-,-,-,$-0.75,$-0.75,-,$4.548,$-166.889,$90,$-76.889,$0.224,$0.224,$-99.761,$-3.769,$-180.195,$60.586,$2.813,$-98.839
2017-06-30,$50.155,$123.914,$2.278,$126.192,-,-,-,$12.103,$12.103,$188.45,$-98.483,-,-,-,-,-,-,$-98.483,$438.187,$-410,$28.187,$1.1,$1.1,$-99.733,$-10.502,$-80.948,$9.019,$2.6,$-98.811
2017-03-31,$43.416,$126.935,$3.091,$130.026,-,-,-,$-40.669,$-40.669,$132.773,$-149.155,-,-,-,-,-,-,$-149.155,$-18.871,$80,$61.129,$-4.667,$-4.667,$-99.713,$-3.668,$-46.919,$-63.301,$3.018,$-98.791
