,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$1,159",$303,$-276,$27,$318,$290,$307,$-452,$463,"$1,649","$-1,580",-,"$2,495",-,-,-,$-58,$857,$-511,$-115,$-626,$-670,$-670,$-451,$27,"$-1,720",$860,$29,$-451
2020-09-30,"$1,122",$285,$-248,$37,$-587,$-81,$54,$212,$-402,$757,"$1,172",-,$-580,-,-,-,$88,$680,"$2,223","$-2,110",$113,-,-,$-408,$-19,$-314,"$1,159",$34,$-408
2020-06-30,$528,$272,$-104,$168,$938,$-185,$-131,$-44,$578,"$1,274",$-416,-,$-562,-,-,-,$-4,$-982,"$2,136","$-2,368",$-232,-,-,$-410,$6,$-636,$-321,$35,$-410
2020-03-31,$760,$256,$84,$340,$-610,$-48,$206,$-364,$-816,$284,$-29,-,-,-,-,-,$-26,$-55,"$-1,010","$2,477","$1,467",$-720,$-720,$-409,$117,$455,$624,$28,$-409
2019-12-31,$736,$270,$98,$368,$341,$250,$263,$125,$979,"$2,083",$-323,-,$167,-,-,-,$-69,$-225,$-225,"$-1,113","$-1,338",$-337,$-337,$-411,$-15,"$-2,101",$-209,$34,$-411
2019-09-30,"$1,431",$260,$-617,$-357,$-352,$-74,$171,$17,$-238,$836,$-55,-,$-447,-,-,-,$34,$-468,$795,$-321,$474,$-203,$-203,$-375,$57,$-47,$289,$30,$-375
2019-06-30,$857,$259,$-138,$121,$705,$-109,$-291,$-702,$-397,$581,$-200,-,$163,-,-,-,$-7,$-44,$-427,$143,$-284,$-294,$-294,$-376,$114,$-840,$-294,$39,$-376
2019-03-31,$920,$258,$79,$337,$-570,$-36,$-139,$-47,$-792,$465,$-265,-,-,-,-,-,$42,$-223,$-745,"$1,815","$1,070",$-646,$-646,$-380,$157,$201,$442,$32,$-380
2018-12-31,$762,$198,$-56,$142,$487,$227,$379,$66,"$1,159","$2,063",$-23,-,$1,-,-,-,-,$-22,$186,"$-1,816","$-1,630",$-370,$-370,$-379,$57,"$-2,322",$-273,$36,$-379
2018-09-30,"$1,197",$206,$-560,$-354,$-342,$-191,$182,$211,$-140,$703,$-161,-,-,-,-,-,-,$-161,$265,$105,$370,$-473,$-473,$-323,$30,$-396,$127,$25,$-323
2018-06-30,$320,$200,$395,$595,$525,$-202,$-181,$-282,$-140,$775,$-239,-,$-528,-,-,-,-,$-767,"$1,823",$-718,"$1,105",$-650,$-650,$-327,$32,$160,$116,$39,$-327
2018-03-31,"$1,052",$207,$124,$331,$-413,$-38,$-144,$-381,$-976,$407,$-274,-,-,-,-,-,-,$-274,$-22,"$1,016",$994,$-527,$-527,$-330,$92,$229,$369,$28,$-330
2017-12-31,$703,$212,$-23,$189,$363,$218,$431,$-108,$904,"$1,796",$-261,-,$88,-,-,-,-,$-173,$201,"$-1,239","$-1,038",$-388,$-388,$-329,$42,"$-1,713",$-83,$33,$-329
2017-09-30,"$1,006",$209,$-278,$-69,$-540,$-55,$4,$189,$-402,$535,$-189,-,$347,-,-,-,-,$158,$-314,$36,$-278,$-717,$-717,$-288,$11,"$-1,272",$-553,$27,$-288
2017-06-30,$500,$195,$-2,$193,$607,$-86,$13,$-408,$126,$819,$-168,-,$169,-,-,-,-,$1,$-594,$643,$49,$-608,$-608,$-289,$94,$-754,$90,$38,$-289
2017-03-31,$633,$200,$231,$431,$-454,$-95,$-443,$-629,"$-1,621",$-557,$-287,-,-,-,-,-,-,$-287,$-516,"$1,587","$1,071",$-461,$-461,$-292,$60,$378,$-434,$39,$-292
2016-12-31,$69,$208,$551,$759,$296,$183,$552,$-159,$872,"$1,700",$-290,-,$-218,-,-,-,-,$-508,$-120,$208,$88,$-874,$-874,$-293,$47,"$-1,032",$55,$38,$-293
2016-09-30,$548,$207,$-57,$150,$-238,$-58,$176,$223,$103,$801,$-291,-,$275,-,-,-,-,$-16,$268,$-475,$-207,$-415,$-415,$-264,$28,$-858,$-69,$30,$-264
2016-06-30,$471,$201,$10,$211,$377,$14,$-184,$-98,$109,$791,$-189,-,-,-,-,-,-,$-189,$354,$-238,$116,$-125,$-125,$-268,$98,$-179,$417,$42,$-268
2016-03-31,$557,$207,$72,$279,$-404,$-77,$-135,$-674,"$-1,290",$-454,$-316,-,-,-,-,-,-,$-316,$-539,"$2,246","$1,707","$-1,187","$-1,187",$-269,$-44,$207,$-532,$30,$-269
2015-12-31,$-716,$231,"$1,355","$1,586",$912,$265,$163,$106,"$1,446","$2,316",$-309,-,$42,-,-,-,$-544,$-811,$586,"$-1,327",$-741,$-619,$-619,$-272,$19,"$-1,613",$-169,$38,$-272
2015-09-30,"$7,268",$206,"$-7,018","$-6,812",$-725,$-133,$545,$698,$385,$841,$-355,-,"$3,417",-,-,-,$-185,"$2,877",$-309,"$-2,584","$-2,893",$-871,$-871,$-241,$32,"$-3,973",$81,$32,$-241
2015-06-30,$427,$225,$220,$445,$415,$-3,$-366,$-65,$-19,$853,$-349,-,$219,-,-,-,$296,$166,$-478,$826,$348,$-632,$-632,$-246,$48,$-482,$123,$30,$-246
2015-03-31,$312,$232,$363,$595,$-558,$-178,$317,$-770,"$-1,189",$-282,$-441,-,$-81,-,-,-,$939,$417,$-247,"$2,154","$1,907","$-1,500","$-1,500",$-249,$27,$185,$204,$36,$-249
2014-12-31,$507,$262,$-102,$160,$347,$437,$368,$594,"$1,746","$2,413",$-535,-,$-7,-,-,-,-,$-542,"$-1,038",$162,$-876,$-680,$-680,$-251,$31,"$-1,776",$12,$37,$-251
2014-09-30,$902,$264,$-562,$-298,$-233,$-272,$37,$645,$177,$781,$-402,-,-,-,-,-,-,$-402,$-883,$630,$-253,$-300,$-300,$-237,$51,$-739,$-461,$36,$-237
2014-06-30,$642,$271,$51,$322,$375,$-54,$-85,$-255,$-19,$945,$-381,-,-,-,-,-,-,$-381,$-59,$-326,$-385,$-252,$-252,$-238,$72,$-803,$-251,$33,$-238
2014-03-31,$150,$262,$489,$751,$-305,$-299,$67,$-941,"$-1,478",$-577,$-317,-,-,-,-,-,-,$-317,"$1,364",$-68,"$1,296",$-468,$-468,$-238,$40,$630,$-291,$35,$-238
2013-12-31,"$1,773",$269,$738,"$1,007",$592,$386,$823,$631,"$2,432","$5,212",$-451,-,$12,-,-,-,$-29,$-468,"$-2,495",$-991,"$-3,486","$-2,107","$-2,107",$-247,$34,"$-5,806","$-1,070",$30,$-247
2013-09-30,"$1,018",$276,$-459,$-183,$-125,$-165,$140,$95,$-55,$780,$-460,-,-,-,-,-,$27,$-433,$585,"$1,177","$1,762",$-701,$-701,$-232,$18,$847,"$1,216",$30,$-232
2013-06-30,$602,$266,$53,$319,$340,$-177,$76,$-357,$-118,$803,$-333,-,$48,-,-,-,$1,$-284,$-933,$493,$-440,$-92,$-92,$-232,$29,$-735,$-283,$35,$-232
2013-03-31,$542,$266,$3,$269,$-315,$-160,$-246,$-475,"$-1,196",$-385,$-235,-,$-119,-,-,-,$56,$-298,$-746,$-66,$-812,-,-,$-232,$51,$-993,"$-1,716",$33,$-232
2012-12-31,$582,$280,$-630,$-350,$100,$583,$609,$224,"$1,516","$1,748",$-248,-,$200,-,-,-,$-510,$-558,$-151,$12,$-139,-,-,$-516,$31,$-624,$602,$27,$-516
2012-09-30,$659,$356,"$1,132","$1,488",$-401,$-198,$280,$-861,"$-1,180",$967,$-489,-,-,-,-,-,$4,$-485,$-801,$17,$-784,-,-,$-517,$3,"$-1,298",$-770,$42,$-517
2012-06-30,"$1,034",$352,$82,$434,$449,$-32,$-200,$374,$591,"$2,059",$-405,-,-,-,-,-,$5,$-400,"$5,067","$-3,068","$1,999",-,-,$-511,$-279,"$1,209","$2,791",$44,$-511
2012-03-31,$819,$357,$10,$367,$-747,$-482,$-184,$-624,"$-2,037",$-851,$-335,-,-,-,-,-,$91,$-244,"$-1,837","$3,134","$1,297",-,-,$-514,$134,$917,$-122,$49,$-514
2011-12-31,$869,$368,$198,$566,$322,$632,$361,$105,"$1,420","$2,855",$-484,-,-,-,-,-,-,$-484,"$-1,206",$-607,"$-1,813",-,-,$-508,$-11,"$-2,332",$-2,$44,$-508
2011-09-30,$927,$375,$-217,$158,$-365,$-241,$343,$547,$284,"$1,369",$-619,-,-,-,-,-,-,$-619,$7,$-332,$-325,-,-,$-518,$-40,$-883,$-291,$48,$-518
2011-06-30,$976,$370,$34,$404,$392,$-253,$-282,$45,$-98,"$1,282",$-381,-,-,-,-,-,-,$-381,$11,$-577,$-566,-,-,$-510,$321,$-755,$179,$45,$-510
2011-03-31,$802,$372,$-103,$269,$-464,$-694,$-122,$-777,"$-2,057",$-986,$-244,-,-,-,-,-,-,$-244,$7,"$1,054","$1,061",-,-,$-507,$241,$795,$-393,$44,$-507
2010-12-31,$547,$421,$552,$973,$-429,$511,$264,$658,"$1,004","$2,524",$-646,-,$-5,-,-,-,-,$-651,"$-1,627",$421,"$-1,206",$89,$89,$-511,$-72,"$-1,700",$193,$42,$-511
2010-09-30,$760,$340,$436,$776,$-224,$-445,$121,$-543,"$-1,091",$445,$-399,-,$343,-,-,-,$24,$-32,$-487,$25,$-462,$-135,$-135,$-508,-,"$-1,105",$-566,$51,$-508
2010-06-30,$939,$366,$-329,$37,$664,$-262,$-326,$-268,$-192,$784,$-367,-,$-256,-,-,-,$-26,$-649,$-13,$-602,$-615,$46,$46,$-503,$72,"$-1,000","$-1,024",$41,$-503
2010-03-31,"$1,893",$313,"$-1,440","$-1,127",$-176,$-163,$24,$-456,$-771,$-5,$-241,-,"$-5,891",-,-,-,$2,"$-6,130","$9,426",$-708,"$8,718",-,-,$-653,$-72,"$7,993","$1,777",$40,$-653
2009-12-31,$711,$272,$29,$301,$-427,$326,$477,$427,$803,"$1,815",$-531,-,$35,-,-,-,$-43,$-539,$-752,$-907,"$-1,659",$-10,$-10,$-428,$-75,"$-2,172",$-895,$41,$-428
2009-09-30,$826,$227,$98,$325,$37,$-5,$-48,$414,$398,"$1,549",$-275,-,-,-,-,-,$6,$-269,$-202,$502,$300,-,-,$-429,$65,$-64,"$1,265",$39,$-429
2009-06-30,$829,$217,$320,$537,$122,$210,$-129,$-272,$-69,"$1,297",$-267,-,$6,-,-,-,$4,$-257,$-2,$-186,$-188,-,-,$-429,$14,$-603,$547,$44,$-429
2009-03-31,$662,$215,$47,$262,$251,$-232,$-174,$-346,$-501,$423,$-207,-,-,-,-,-,$33,$-174,$-9,$145,$136,-,-,$-426,$-4,$-294,$-60,$40,$-426
2008-12-31,$180,$234,$410,$644,$-412,$663,$245,$292,$788,"$1,612",$-466,-,$59,-,-,-,$11,$-396,$-189,$-78,$-267,-,-,$-427,$40,$-654,$507,$43,$-427
2008-09-30,"$1,365",$245,$-792,$-547,$309,$-142,$-48,$243,$362,"$1,180",$-311,-,$-38,-,-,-,$42,$-307,$-12,$-254,$-266,$-127,$-127,$-410,$25,$-778,$29,$42,$-410
2008-06-30,$747,$259,$219,$478,$160,$-194,$-102,$43,$-93,"$1,132",$-319,-,$-12,-,-,-,$8,$-323,"$1,936","$-2,299",$-363,-,-,$-411,$50,$-724,$103,$43,$-411
2008-03-31,$601,$248,$117,$365,$-96,$-478,$-66,$-109,$-749,$217,$-271,-,$-11,-,-,-,$-12,$-294,"$4,488","$-3,281","$1,207",$-650,$-650,$-415,$-43,$99,$38,$50,$-415
2007-12-31,$719,$224,$5,$229,$-364,$335,$205,$167,$343,"$1,291",$-383,-,"$-7,424",-,-,-,$31,"$-7,776","$2,927","$4,547","$7,474",$-537,$-537,$-424,$11,"$6,524",$69,$136,$-424
2007-09-30,$596,$220,$-2,$218,$86,$-310,$154,$126,$56,$870,$-352,-,-,-,-,-,$5,$-347,"$3,102","$-2,187",$915,$-964,$-964,$-394,$-10,$-453,$79,-,$-394
2007-06-30,$707,$222,$-11,$211,$99,$-74,$-75,$381,$331,"$1,249",$-326,-,$3,-,-,-,$4,$-319,"$-1,000","$2,730","$1,730","$-2,017","$-2,017",$-411,$-76,$-774,$168,-,$-411
2007-03-31,$702,$220,$-50,$170,$-89,$-355,$-136,$-131,$-711,$161,$-180,-,$200,-,-,-,$6,$26,$-6,$410,$404,$-190,$-190,$-409,$19,$-176,$12,-,$-409
2006-12-31,$624,$237,$276,$513,$-238,$377,$253,$-475,$-213,$924,$-482,-,$272,-,-,-,$25,$-185,$-904,$370,$-534,$-311,$-311,$-412,$93,"$-1,164",$-416,$142,$-412
2006-09-30,$748,$221,$-157,$64,$97,$-310,$165,$399,$378,"$1,190",$-237,-,$583,-,-,-,$19,$365,$-5,$-637,$-642,$-310,$-310,$-381,$26,"$-1,307",$253,-,$-381
2006-06-30,$682,$217,$135,$352,$-44,$78,$164,$-83,$92,"$1,126",$-265,-,$3,-,-,-,$59,$-203,-,$7,$7,$-318,$-318,$-384,$-111,$-806,$135,-,$-384
