,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$471.736,$15.094,$-138.066,$-122.972,$81.664,$-9.186,$28.42,$15.432,$66.163,$414.927,$-6.547,$1.136,-,-,$-326.367,$-326.367,$-0.195,$-331.973,$-0.586,-,$-0.586,$7.396,$7.396,-,-,$6.81,$105.683,$17.247,-
2020-09-30,$347.654,$13.822,$22.977,$36.799,$30.258,$25.309,$-2.952,$-2.55,$124.325,$508.778,$-12.656,$-6.601,-,-,$-347.061,$-347.061,$-24.89,$-391.208,$-0.82,-,$-0.82,$21.55,$21.55,-,-,$20.73,$153.404,$20.008,-
2020-06-30,$311.369,$15.511,$16.815,$32.326,$-84.11,$13.144,$-26.1,$-11.148,$-94.369,$249.326,$-17.624,$-6.274,-,-,$-5.194,$-5.194,$-0.19,$-29.282,$-0.947,-,$-0.947,$-6.693,$-6.693,-,-,$-7.64,$219.49,$15.936,-
2020-03-31,$278.835,$16.546,$20.04,$36.586,$-147.484,$1.037,$19.328,$-22.546,$-124.289,$191.132,$-10.902,$-6.811,-,-,$298.837,$298.837,$-1.148,$279.976,$-0.733,-,$-0.733,$-545.235,$-545.235,-,-,$-545.968,$-96.121,$17.098,-
2019-12-31,$254.954,$16.971,$16.944,$33.915,$114.084,$-40.275,$-40.648,$-3.279,$3.824,$292.693,$-56.84,$-3.259,-,-,$61.536,$61.536,$0.024,$1.461,$-0.728,-,$-0.728,$-222.461,$-222.461,-,-,$-223.189,$80.34,$16.466,-
2019-09-30,$298.923,$15.399,$14.716,$30.115,$25.841,$-23.442,$32.63,$-4.992,$37.246,$366.284,$-22.946,$-5.478,-,-,$-243.449,$-243.449,$-0.27,$-272.143,$-3.766,-,$-3.766,$-250.197,$-250.197,-,-,$-253.963,$-170.63,$15.991,-
2019-06-30,$292.473,$17.574,$17.026,$34.6,$-86.363,$2.499,$18.285,$-1.761,$4.316,$331.389,$-12.335,$-0.298,-,-,$-91.46,$-91.46,$1.272,$-102.821,$-8.682,-,$-8.682,$45.35,$45.35,-,-,$36.668,$269.903,$15.575,-
2019-03-31,$261.485,$14.87,$15.681,$30.551,$-113.503,$-24.004,$18.565,$-29.63,$-168.64,$123.396,$-8.301,$0.298,-,-,$57.073,$57.073,$-2.291,$46.779,$-0.393,-,$-0.393,$-187.629,$-187.629,-,-,$-188.022,$-19.169,$15.324,-
2018-12-31,$239.107,$14.51,$14.092,$28.602,$135.468,$-15.808,$-29.789,$3.655,$72.812,$340.521,$-11.793,$-6.709,-,-,$138.999,$138.999,$-1.689,$118.808,$-0.404,-,$-0.404,$-533.557,$-533.557,-,-,$-533.961,$-76.201,$14.675,-
2018-09-30,$267.732,$14.284,$13.765,$28.049,$-25.337,$12.415,$14.957,$-1.803,$24.279,$320.06,$-14.824,$-6.233,-,-,$-248.532,$-248.532,$-2.441,$-272.03,$-0.51,-,$-0.51,$10.865,$10.865,-,-,$10.355,$54.027,$14.091,-
2018-06-30,$270.115,$14.194,$14.709,$28.903,$-79.123,$-11.479,$47.3,$-1.845,$53.371,$352.389,$-21.377,$-0.322,-,-,$378.138,$378.138,$-6.135,$350.304,$-0.429,-,$-0.429,$-546.084,$-546.084,-,-,$-546.513,$148.327,$14.906,-
2018-03-31,$216.05,$13.991,$13.252,$27.243,$-69.42,$-11.274,$-22.616,$-25.13,$-94.382,$148.911,$-9.652,$0.28,-,-,$86.795,$86.795,$-1.549,$75.874,$-0.543,-,$-0.543,$-245.449,$-245.449,-,-,$-245.992,$-17.262,$13.439,-
2017-12-31,$201.322,$13.783,$78.443,$92.226,$85.798,$-42.167,$4.926,$-0.321,$-95.874,$197.674,$-15.136,$-4.556,-,-,$-28.461,$-28.461,$0.017,$-48.136,$-0.705,-,$-0.705,$-86.155,$-86.155,-,-,$-86.86,$63.063,$13.017,-
2017-09-30,$218.743,$12.329,$13.204,$25.533,$7.37,$-21.841,$15.869,$-5.652,$12.559,$256.835,$-27.139,$-5.163,-,-,$-295.839,$-295.839,$-0.584,$-328.725,$-0.544,-,$-0.544,$-241.188,$-241.188,-,-,$-241.732,$-312.096,$13.282,-
2017-06-30,$222.633,$11.592,$12.673,$24.265,$-83.12,$-17.066,$28.101,$125.622,$93.36,$340.258,$-21.103,$0.874,-,-,$-127.569,$-127.569,$-0.58,$-148.378,$-0.634,-,$-0.634,$5.234,$5.234,-,-,$4.6,$201.318,$12.841,-
2017-03-31,$177.98,$11.183,$14.736,$25.919,$6.49,$-7.793,$-19.317,$-15.822,$-10.935,$192.964,$-18.641,$-0.848,-,-,$13.239,$13.239,$-0.052,$-6.302,$-0.7,-,$-0.7,$13.557,$13.557,-,-,$12.857,$198.755,$13.142,-
2016-12-31,$172.947,$10.971,$-5.36,$5.611,$14.904,$2.52,$23.545,$-0.815,$102.095,$280.653,$-32.19,$-1.263,-,$226.204,$-182.176,$44.028,$-0.049,$10.526,$-0.628,-,$-0.628,$-244.206,$-244.206,-,-,$-244.834,$36.056,$12.113,-
2016-09-30,$191.641,$10.545,$10.455,$21,$-16.248,$6.742,$-13.21,$13.22,$-39.494,$173.147,$-49.55,$0.626,-,$-225.59,$2.737,$-222.853,$2.433,$-269.344,$-0.632,-,$-0.632,$2.261,$2.261,-,-,$1.629,$-93.243,$12.145,-
2016-06-30,$184.22,$10.305,$11.34,$21.645,$-44.813,$19.252,$-1.081,$4.481,$-67.869,$137.996,$-697.933,$-2.539,-,$-0.614,$471.958,$471.344,$-2.519,$-231.647,$-0.577,-,$-0.577,"$-1,996.149","$-1,996.149",-,-,"$-1,996.726","$-2,093.34",$11.528,-
2016-03-31,$163.877,$9.024,$10.117,$19.141,$-60.206,$-7.639,$36.086,$-9.749,$-73.459,$109.559,$-7.824,$-2.342,-,$-152.05,$396.346,$244.296,$0.142,$234.272,$-0.522,-,$-0.522,$2.062,$2.062,-,-,$1.54,$352.692,$10.062,-
