,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$828.3,$225.8,$-669.3,$-443.5,$-91.3,$-1,$-77.1,$23,$-146.4,$238.4,$-384.8,-,-,$-5.4,$-1.8,$-7.2,$-2.8,$-394.8,$-16,$-206,$-222,-,-,$-19,$8.1,$-232.9,$-350.7,$12.6,$-19
2020-09-30,$-4.6,$222.6,$-93.1,$129.5,$-105.1,$263,$19.4,$38.4,$215.7,$340.6,$-265.1,-,-,$0.9,$-2.2,$-1.3,$-0.7,$-267.1,$-14.8,$-388.9,$-403.7,-,-,$-18.9,$204.1,$-218.5,$-146.5,$7.1,$-18.9
2020-06-30,$45.9,$232.1,$271.7,$503.8,$28,$-46.2,$58.3,$223.9,$264,$813.7,$-257.2,-,-,-,$-1.3,$-1.3,$0.6,$-257.9,$-17.2,$-399.3,$-416.5,-,-,$-19,$-95.2,$-530.7,$9.7,$8.2,$-19
2020-03-31,$-204,$235.1,$-34.8,$200.3,$14.8,$-24.4,$332.7,$-129.5,$193.6,$189.9,$-263.5,-,-,$0.1,$-6.2,$-6.1,$-0.1,$-269.7,$-14.2,$972.8,$958.6,-,-,$-18.9,$-241.4,$698.3,$549.6,$-10.1,$-18.9
2019-12-31,$-950.4,$834.3,$272.7,"$1,107",$1.4,$227.2,$-144.3,$36.7,$121,$277.6,$-337.1,-,$-55.1,$-0.9,$-8.3,$-9.2,$54.6,$-346.8,$-15.4,$-42.8,$-58.2,$-32.8,$-32.8,$-19,$44.1,$-65.9,$-126.2,$2.9,$-19
2019-09-30,$-40,$226.4,$91.7,$318.1,$-134.7,$314.5,$26.5,$1.6,$207.9,$486,$-267.2,-,-,$-1.5,$-3.7,$-5.2,$-54.1,$-326.5,$-11.5,$-2.2,$-13.7,$-117.1,$-117.1,$-19.3,$255.3,$105.2,$240.5,$2.9,$-19.3
2019-06-30,$-230.3,$234.1,$381.1,$615.2,$108.9,$-109.1,$129.3,$-6.7,$122.4,$507.3,$-350,-,-,-,$-7.8,$-7.8,$-0.9,$-358.7,$-11.3,$-70.5,$-81.8,-,-,$-19.3,$-42.7,$-143.8,$15.6,$6.8,$-19.3
2019-03-31,$129.9,$233.4,$-18.3,$215.1,$59,$-304.5,$-186.7,$-88.3,$-520.5,$-175.5,$-313.9,-,-,$-10.7,$-4.6,$-15.3,$0.3,$-328.9,$-10.1,$152.3,$142.2,-,-,$-9.6,$-110.3,$22.3,$-468.6,$15.3,$-9.6
2018-12-31,$112,$244.1,$183.7,$427.8,$37.5,$-299.3,$-268,$161.2,$-368.6,$150,$-285.8,-,-,-,$3.5,$3.5,$-1.5,$-283.8,$-80.5,$-14.4,$-94.9,-,-,$-9.6,$59.3,$-45.2,$-179.9,$1.8,$-9.6
2018-09-30,$249.7,$225.7,$76.7,$302.4,$-163.8,$171.5,$-50.6,$-6.6,$-49.5,$523.8,$-231.7,-,-,-,$-7.4,$-7.4,$-4.7,$-243.8,$-408.4,$6.8,$-401.6,-,-,$-9.7,$114.9,$-296.4,$-27.6,$3,$-9.7
