,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$-738.933,$174.411,$60.354,$234.765,$42.9,$-2.202,$-32.955,$-146.729,$-152.798,$-637.617,$-73.403,-,-,-,-,-,$-0.344,$-73.747,$846.319,-,$846.319,$822.614,$822.614,-,$-16.565,"$1,652.368",$944.271,$30.288,-
2020-09-30,$-677.366,$185.833,$41.418,$227.251,$-9.995,$0.761,$-357.983,$204.665,$-140.131,$-590.246,$-147.665,-,-,-,$-31.52,$-31.52,$29.134,$-150.051,$581.498,-,$581.498,$278.616,$278.616,-,$-24.221,$835.893,$96.262,$25.862,-
2020-06-30,$-715.243,"$-1,423.617","$1,623.667",$200.05,$21.001,$2.738,$111.304,$-816.534,$-760.486,"$-1,275.679",$-115.322,-,-,-,$28.606,$28.606,$-26.955,$-113.671,"$1,928.452",-,"$1,928.452",$441.935,$441.935,-,$-81.909,"$2,288.478",$899.688,$22.389,-
2020-03-31,"$-1,880.972","$1,802.992",$47.243,"$1,850.235",$-23.109,$9.258,$258.215,$-142.776,$-21.964,$-52.701,$-610.155,-,-,-,$-28.606,$-28.606,$0.868,$-637.893,"$1,826.34",-,"$1,826.34",$4.1,$4.1,-,$-27.968,"$1,802.472","$1,107.385",$32.758,-
2019-12-31,$121.297,$164.605,$24.063,$188.668,$-1.363,$-1.474,$27.89,$42.069,$65.598,$375.563,"$-1,021.185",-,-,-,$-46.529,$-46.529,$-1.265,"$-1,068.979",$545.919,-,$545.919,$13.734,$13.734,-,$-20.619,$539.034,$-154.382,$12.985,-
2019-09-30,$450.584,$156.026,$27.677,$183.703,$2.38,$-3.339,$-4.835,$-269.638,$-228.466,$405.821,$-202.097,-,-,-,$-0.845,$-0.845,$1.281,$-201.661,$-73.739,-,$-73.739,$-142.954,$-142.954,-,$-0.134,$-216.827,$-12.667,$25.42,-
2019-06-30,$240.19,$156.757,$31.438,$188.195,$-12.942,$-0.846,$8.224,$121.119,$85.366,$513.751,$-199.329,-,-,-,$0.289,$0.289,$3.499,$-195.541,$-203.026,-,$-203.026,$3.549,$3.549,-,$-3.516,$-202.993,$115.217,$29.651,-
2019-03-31,$118.157,$169.714,$-3.062,$166.652,$-2.179,$-0.496,$-89.914,$379.531,$242.661,$527.47,$-214.559,-,-,-,-,-,$0.548,$-214.011,$46.411,-,$46.411,$-192.252,$-192.252,-,$-26.761,$-172.602,$140.857,$26.999,-
2018-12-31,$154.634,$146.818,$25.803,$172.621,$-10.237,$5.185,$103.384,$-48.516,$27.815,$355.07,$-205.118,-,-,-,$-1.719,$-1.719,$0.256,$-206.581,$-69.232,-,$-69.232,$-199.129,$-199.129,-,$-2.738,$-271.099,$-122.61,$27.186,-
2018-09-30,$470.378,$145.312,$31.393,$176.705,$-3.562,$-2.815,$-0.642,$-255.756,$-180.783,$466.3,$-110.244,-,-,-,-,-,$0.254,$-109.99,$-280.602,-,$-280.602,$7.616,$7.616,-,$-1.87,$-274.856,$81.454,$28.962,-
2018-06-30,$226.676,$140.296,$36.507,$176.803,$-3.705,$-12.785,$-9.518,$207.427,$239.561,$643.04,"$-1,107.56",-,-,-,-,-,$65.048,"$-1,042.512",$500.403,-,$500.403,$-186.935,$-186.935,-,$-10.737,$302.731,$-96.741,$31.733,-
2018-03-31,$103.155,$134.546,$30.167,$164.713,$1.618,$1.363,$13.163,$329.929,$342.893,$610.761,$-143.874,-,-,-,-,-,$0.249,$-143.625,$38.052,-,$38.052,$-257.544,$-257.544,-,$-122.086,$-341.578,$125.558,$28.102,-
2017-12-31,$98.797,$135.527,$39.614,$175.141,$14.479,$-3.206,$10.091,$-41.059,$-32.329,$241.609,$-242.7,-,-,-,$-0.439,$-0.439,$3.01,$-240.129,$-310.935,-,$-310.935,$1.969,$1.969,-,$-39.228,$-348.194,$-346.714,$23.375,-
2017-09-30,$400.692,$137.339,$32.925,$170.264,$-11.73,$-3.109,$-6.173,$-206.844,$-131.049,$439.907,$-64.249,-,-,-,-,-,-,$-64.249,$-85.291,-,$-85.291,$14.85,$14.85,-,$-1.628,$-72.069,$303.589,$21.444,-
2017-06-30,$198.473,$127.025,$28.177,$155.202,$-2.642,$-5.63,$-17.294,$165.739,$131.112,$484.787,$-947.488,-,-,-,$-35.255,$-35.255,-,$-982.743,$524.968,-,$524.968,$3.747,$3.747,-,$-31.233,$497.482,$-0.474,$24.017,-
2017-03-31,$61.91,$121.593,$20.118,$141.711,$14.943,$-5.184,$27.423,$213.462,$231.323,$434.944,$-117.777,-,-,-,-,-,-,$-117.777,$-229.237,-,$-229.237,$9.466,$9.466,-,$-5.954,$-225.725,$91.442,$18.203,-
2016-12-31,$72.232,$118.269,$42.784,$161.053,$-9.697,$-0.051,$-8.306,$-42.642,$-57.957,$175.328,$-176.155,-,-,-,$-2.654,$-2.654,$0.131,$-178.678,$10.165,-,$10.165,$1.954,$1.954,-,$-35.853,$-23.734,$-27.084,$18.125,-
2016-09-30,$342.378,$115.098,$16.062,$131.16,$5.049,$0.541,$13.416,$-168.472,$-132.817,$340.721,$-151.037,-,-,-,$-0.171,$-0.171,-,$-151.208,$-177.955,-,$-177.955,$3.036,$3.036,-,$-5.127,$-180.046,$9.467,$16.84,-
2016-06-30,$145.246,$107.582,$43.215,$150.797,$-15.293,$-5.314,$-13.615,$189.491,$121.899,$417.942,$-632.872,-,-,-,$-32.962,$-32.962,-,$-665.834,$263.415,-,$263.415,$1.031,$1.031,-,$-25.457,$238.989,$-8.903,$16.204,-
2016-03-31,$73.229,$104.686,$4.03,$108.716,$-1.042,$-4.36,$2.75,$143.231,$148.151,$330.096,$-132.027,-,-,-,$-1.167,$-1.167,-,$-133.194,$-104.248,-,$-104.248,$-46.851,$-46.851,-,$-6.873,$-157.972,$38.93,$15.245,-
2015-12-31,$38.312,$122.474,$28.299,$150.773,$-5.24,$-6.017,$5.114,$-100.157,$-118.646,$68.792,$-791.176,-,-,-,$-87.441,$-87.441,$2.832,$-875.785,$800.901,-,$800.901,$-97.231,$-97.231,-,$-10.92,$692.75,$-114.243,$14.352,-
2015-09-30,$251.787,$113.144,$8.543,$121.687,$-5.194,$4.855,$-10.799,$-94.578,$-111.783,$261.691,$-125.752,$-0.75,-,-,$1.09,$1.09,-,$-125.412,$-81.582,-,$-81.582,$4.937,$4.937,-,$-2.412,$-79.057,$57.222,$13.691,-
2015-06-30,$158.494,$110.184,$-33.327,$76.857,$-5.843,$-3.166,$-29.583,$151.602,$161.554,$396.905,$-131.925,-,-,-,-,-,-,$-131.925,$-216.674,-,$-216.674,$3.233,$3.233,-,$-0.003,$-213.444,$51.536,$2.161,-
2015-03-31,$-21.456,$104.533,$32.187,$136.72,$1.474,$-0.08,$-17.455,$251.068,$199.526,$314.79,$-73.131,-,-,-,-,-,-,$-73.131,$-253.191,-,$-253.191,$51.79,$51.79,-,$-3.66,$-205.061,$36.598,$12.005,-
2014-12-31,$-25.648,$91.571,$37.264,$128.835,$0.42,$7.287,$-12.136,$-111.646,$-168.31,$-65.123,$-99.803,-,$-826.686,-,$-5.334,$-5.334,-,$-931.823,"$1,065.14",-,"$1,065.14",$2.776,$2.776,-,$-42.015,"$1,025.901",$28.955,$5.066,-
2014-09-30,$203.278,$72.078,$-1.361,$70.717,$1.209,$1.303,$-2.871,$-104.644,$-92.379,$181.616,$-77.271,-,-,-,-,-,-,$-77.271,$-38.969,-,$-38.969,$-1.922,$-1.922,-,$-71.068,$-111.959,$-7.614,$4.472,-
2014-06-30,$113.279,$71.52,$5.016,$76.536,$-9.145,$-4.46,$23.165,$74.126,$101.159,$290.974,$-41.256,-,-,-,-,-,-,$-41.256,$-170.539,-,$-170.539,$-77.337,$-77.337,-,$-3.119,$-250.995,$-1.277,$3.244,-
2014-03-31,$51.692,$69.708,$2.787,$72.495,$0.26,$-4.391,$-7.198,$111.844,$103.947,$228.134,$-746.31,-,-,-,-,-,-,$-746.31,$526.326,-,$526.326,$0.34,$0.34,-,$-0.197,$526.469,$8.293,$1.835,-
2013-12-31,$36.407,$64.968,$-7.056,$57.912,$-0.543,$2.186,$-11.771,$-38.658,$-17.381,$76.938,$-41.517,-,-,-,$-17.569,$-17.569,-,$-59.086,$-19.314,-,$-19.314,$1.649,$1.649,-,$-0.68,$-18.345,$-0.493,$1.792,-
2013-09-30,$172.894,$64.197,$10.06,$74.257,$-1.347,$-0.472,$1.459,$-110.657,$-101.588,$145.563,$-76.745,-,-,-,-,-,-,$-76.745,$-78.244,-,$-78.244,$1.268,$1.268,-,$-17.722,$-94.698,$-25.88,$1.927,-
2013-06-30,$-8.915,$60.466,$23.461,$83.927,$-2.983,$-3.138,$29.401,$78.995,$95.673,$170.685,$-673.868,-,-,-,-,-,-,$-673.868,$537.697,-,$537.697,-,-,-,$-32.875,$504.822,$1.639,$0.603,-
2013-03-31,$-97.5,$55.48,$34.95,$90.43,$1.675,$-2.61,$-11.427,$109.834,$89.165,$82.095,$-85.152,-,-,-,-,-,-,$-85.152,$-428.135,-,$-428.135,$473.017,$473.017,-,$-6.124,$38.758,$35.701,$18.753,-
2012-12-31,$1.047,$55.349,$8.677,$48.563,$0.057,$3.494,$12.165,$-28.312,$-43.013,$22.067,$-73.985,-,-,-,-,-,-,$-73.985,$74.461,-,$74.465,-,-,-,$-45.735,$28.72,$-23.188,$4.665,-
2012-09-30,$128.188,$55.039,$-1.473,$53.566,$-3.368,$-5.389,$-1.65,$-67.667,$-61.019,$120.735,$-54.882,-,-,-,-,-,-,$-54.882,$-62.318,-,$-62.318,-,-,-,$-0.542,$-62.86,$2.993,$0.165,-
2012-06-30,$36.031,$53.272,$5.86,$59.132,$-1.453,$1.888,$-3.691,$27.346,$2.191,$97.354,$-150.64,-,-,-,-,-,-,$-150.64,$55.824,-,$55.824,-,-,-,$-0.81,$55.014,$1.728,$0.165,-
2012-03-31,$3.284,$52.47,$2.399,$54.869,$0.172,$-3.44,$-8.052,$79.445,$100.281,$158.434,$-24.333,-,-,-,-,-,-,$-24.333,$-126.771,-,$-126.771,-,-,-,$-2.283,$-129.054,$5.047,$0.165,-
2011-12-31,$-1.89,$51.52,$-1.127,$51.52,$-0.28,$-3.471,$15.928,$23.908,$-15.73,$33.45,$-67.47,-,-,-,-,-,-,$-67.47,$-166.584,-,$46.32,-,-,-,$-1.2,$45.12,$11.08,$1.211,-
2011-09-30,$110.19,$55.72,-,$55.72,-,-,-,-,$-79.35,$89.33,$-19.97,-,-,-,-,-,-,$-19.97,-,-,$-81.2,-,-,-,$-0.51,$-81.7,$-12.34,-,-
2011-06-30,$29.17,$52.05,-,$52.05,-,-,-,-,$17.21,$97.95,$-77.45,-,-,-,-,-,-,$-77.45,-,-,$-9.31,-,-,-,$-0.2,$-9.53,$10.97,-,-
2011-03-31,$-10.62,$51.75,-,$51.75,-,-,-,-,$98.07,$136.26,$-19.9,-,-,-,-,-,-,$-19.9,-,-,$-122.39,-,-,-,$0.18,$-122.2,$-5.84,-,-
2010-12-31,$22.98,$191.91,-,$191.91,-,-,-,-,$205.99,$430.42,$-977.46,-,-,-,-,-,-,$-977.46,-,-,$645.87,-,-,-,$-93.94,$551.93,$4.89,-,-
