,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$178,$28,$44,$72,$-12,-,$1,$76,$27,$293,$-2,-,-,$13,-,$13,$-4,$7,-,-,-,$-127,$-127,$-113,$-27,$-267,$37,$21,$-113
2020-09-30,$64,$39,$3,$42,$8,-,$4,$-37,$-233,$-113,$116,-,-,$18,-,$18,-,$134,-,-,-,$3,$3,$-82,$-7,$-86,$-64,$20,$-82
2020-06-30,$118,$46,$116,$162,$5,-,$-28,$16,$-134,$170,$-1,-,-,$29,-,$29,$-5,$23,"$-1,179",-,"$-1,179",$2,$2,$-105,$-23,"$-1,305","$-1,104",$25,$-105
2020-03-31,$231,$54,$-168,$-114,$46,-,$-40,$-127,"$-1,852","$-1,766",$-3,-,$346,$32,$2,$34,$11,$388,"$-1,112",-,"$-1,112",$-663,$-663,"$-7,304",$-7,"$-9,086","$-10,472",$42,"$-7,304"
2019-12-31,"$2,845",$56,"$-4,914","$-4,858",$426,-,$11,$-57,"$2,392",$399,$-10,-,"$10,572",$15,$378,$393,$-3,"$10,952",$-2,-,$-2,$-324,$-324,$-79,$2,$-403,"$10,952",$120,$-79
2019-09-30,$785,$93,$-584,$-491,$-159,-,$-11,$92,$-119,$181,$-27,-,-,$28,-,$28,-,$1,-,-,-,$51,$51,$-47,$-13,$-9,$165,$70,$-47
2019-06-30,$26,$158,$76,$234,$270,-,$-21,$-211,$64,$325,$-49,-,-,$92,-,$92,$-5,$38,-,-,-,$-522,$-522,$-51,$-52,$-625,$-259,$80,$-51
2019-03-31,$34,$158,$54,$212,$16,-,$-29,$184,$283,$547,$-54,-,$-139,$20,-,$20,$-7,$-180,$-600,-,$-600,$-223,$-223,$-48,$-9,$-880,$-518,$87,$-48
2018-12-31,$65,$152,$59,$211,$-189,-,$47,$128,$91,$377,$-32,-,$-24,$20,-,$20,$-5,$-41,-,-,-,$2,$2,$-59,$-115,$-172,$162,$55,$-59
2018-09-30,$-8,$153,$184,$337,$-35,-,$-31,$42,$-94,$240,$-51,-,$-12,$35,-,$35,$-2,$-30,-,-,-,$2,$2,$-50,$-11,$-59,$146,$97,$-50
2018-06-30,$-60,$152,$96,$248,$321,-,$19,$-72,$190,$331,$-44,-,$-5,$64,-,$64,$-5,$10,-,-,-,$4,$4,$-60,$-42,$-98,$227,$113,$-60
2018-03-31,$-59,$155,$209,$364,$-132,-,$-9,$148,$-47,$266,$-37,-,$-12,$-4,-,$-4,$-4,$-57,$-570,-,$-570,$38,$38,$-48,$-10,$-590,$-368,$162,$-48
2017-12-31,"$1,342",$157,"$-2,135","$-1,978",$-153,-,$-15,$147,$925,$294,$-33,-,$905,$-182,-,$-182,$-20,$670,$-630,-,$-630,$9,$9,$-49,$-14,$-684,$316,$125,$-49
2017-09-30,$-12,$163,$58,$221,$-73,-,$52,$-38,$-38,$177,$-25,-,$-353,$-201,-,$-201,$-1,$-580,-,-,-,$63,$63,$-48,$-90,$-75,$-480,$176,$-48
2017-06-30,$-133,$165,$84,$249,$188,-,$-32,$-19,$71,$213,$-47,-,$-8,-,-,-,$1,$-54,"$-2,010",-,"$-2,010",$11,$11,$-66,$-61,"$-2,126","$-1,941",$147,$-66
2017-03-31,$-143,$136,$63,$199,$-69,-,$5,$234,$310,$355,$-13,-,"$-2,203",-,-,-,-,"$-2,216","$1,048",-,"$1,048",$-458,$-458,$-49,$-32,$509,"$-1,328",$209,$-49
2016-12-31,$46,$151,$28,$179,$-111,-,$-6,$143,$-89,$148,$-18,-,$7,-,-,-,$-5,$-16,$-51,-,$-51,$4,$4,$-53,$-16,$-116,$-35,$97,$-53
2016-09-30,$-144,$133,$53,$186,$-19,-,$-3,$-82,$12,$58,$-17,-,"$-4,533",$1,-,$1,-,"$-4,549","$4,005",-,"$4,005",$48,$48,$-52,$-10,"$3,991",$-498,$85,$-52
2016-06-30,$135,$72,$-17,$55,$244,-,$-63,$-176,$-987,$-770,$-22,-,-,$30,-,$30,$7,$15,$977,-,$977,$1,$1,$-68,$-14,$896,$125,$49,$-68
2016-03-31,"$2,045",$72,"$-2,870","$-2,798",$12,-,$-130,$281,"$1,015",$256,$-47,-,"$6,535",$17,-,$17,$-6,"$6,499",$518,-,$518,$-998,$-998,"$-2,718",$-41,"$-3,239","$3,471",$43,"$-2,718"
2015-12-31,$170,$74,$-11,$63,$-82,-,$44,$-72,$-127,$112,$-114,-,-,$192,-,$192,$-19,$59,$-1,-,$-1,$-599,$-599,$-102,$-15,$-717,$-585,$38,$-102
2015-09-30,$156,$76,$-44,$32,$-46,-,$51,$-72,$-58,$134,$-50,-,$-4,$653,-,$653,$-21,$578,$-350,-,$-350,$-120,$-120,$-103,$-3,$-576,$116,$45,$-103
2015-06-30,$117,$77,$209,$286,$154,-,$-34,$-118,$-107,$300,$-61,-,-,$115,-,$115,$-17,$37,$-17,-,$-17,$-86,$-86,$-107,$-28,$-238,$107,$35,$-107
2015-03-31,$176,$87,$285,$372,$-59,-,$-4,$172,$-50,$488,$-54,-,-,$-70,-,$-70,$-27,$-151,$-2,-,$-2,$-87,$-87,$-102,$2,$-189,$110,$37,$-102
2014-12-31,$222,$39,$229,$268,$-244,-,$8,$187,$-137,$358,$-50,-,$-20,$-160,-,$-160,$-51,$-281,$-1,-,$-1,$-113,$-113,$-104,-,$-218,$-208,$5,$-104
2014-09-30,$244,$112,$54,$166,$-40,-,$-20,$-210,$-239,$173,$-107,-,-,$109,-,$109,-,$2,-,-,-,$-82,$-82,$-103,$-3,$-188,$-95,$46,$-103
