,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$16.648,$155.965,$218.863,$374.828,$-361.706,-,$-35.375,$488.083,$297.183,$685.525,$-134,$-6.69,$0.411,-,$-38.331,$-38.331,$2.091,$-176.519,"$2,674.408",-,"$2,674.408",$3.266,"$-1,624.424",-,"$-1,253.476",$-203.492,$327.62,$245.399,-
2020-09-30,$12.858,$145.624,$193.733,$339.357,$10.26,-,$-35.532,$-89.39,$-110.102,$241.452,$-91.656,-,$-24.699,-,$-587.762,$-587.762,$1.873,$-702.244,$-71.495,-,$-71.495,$51.444,$51.444,-,$983.429,$963.378,$510.407,$219.929,-
2020-06-30,$40.766,$142.612,$211.553,$354.165,$-8.774,-,$16.645,$-75.821,$-25.908,$368.054,$-110.464,$-6.5,-,-,$-127.095,$-127.095,$0.984,$-243.075,$-15.738,-,$-15.738,$24.148,$24.148,-,$-110.621,$-102.211,$28.555,$216.84,-
2020-03-31,$48.231,$134.289,$186.476,$320.765,$208.789,-,$20.679,$-31.341,$120.301,$491.568,$-83.207,-,$-82.948,-,$-215.259,$-215.259,$-3.62,$-385.034,-,-,-,$66.908,$66.908,-,$-127.936,$-61.028,$34.857,$188.285,-
2019-12-31,$598.724,$126.594,$-402.872,$-276.278,$-288.166,-,$-8.733,$300.16,$103.065,$421.211,$-79.003,$-35.329,$-7.414,-,$-78.679,$-78.679,$1.693,$-198.732,-,-,-,$2.641,$2.632,-,$-78.913,$-76.281,$152.451,$170.051,-
2019-09-30,$40.598,$115.072,$166.097,$281.169,$-43.023,-,$4.995,$-22.936,$-107.359,$210.178,$-88.869,$-1.2,-,-,$-31.915,$-31.915,$-0.371,$-122.355,-,-,-,$41.927,$41.927,-,$-83.183,$-41.256,$38.842,$162.934,-
2019-06-30,$-11.079,$108.571,$167.235,$275.806,$-79.751,-,$18.531,$-6.599,$-19.877,$243.735,$-49.896,$-36.16,-,-,$-116.426,$-116.426,$-0.035,$-202.517,-,-,-,$10.207,$10.207,-,$-108.126,$-97.919,$-56.494,$171.76,-
2019-03-31,$-1.545,$103.174,$155.97,$259.144,$151.105,-,$6.562,$-18.888,$102.525,$360.848,$-47.124,-,-,-,$-175.897,$-175.897,$22.148,$-200.873,-,-,-,$53.093,$53.093,-,$-139.493,$-86.4,$74.654,$157.45,-
2018-12-31,$7.015,$88.041,$116.302,$204.343,$-153.602,-,$-9.815,$186.532,$95.836,$289.612,$-88.113,$-10.8,$-12.5,-,$-135.726,$-135.726,-,$-247.139,$311.52,-,$311.52,$3.723,$-425.922,-,$-59.919,$-174.321,$-137.785,$142.644,-
2018-09-30,$8.405,$92.17,$128.961,$221.131,$-58.486,-,$7.69,$-17.078,$-90.244,$145.501,$-47.987,$-2.75,-,-,$-38.612,$-38.612,-,$-89.349,$-40.335,-,$-40.335,$39.018,$39.018,-,$-66.917,$-68.234,$-14.17,$144.408,-
2018-06-30,$-52.746,$84.59,$49.283,$133.873,$-3.562,-,$-3.507,$14.684,$40.671,$125.896,$-52.991,$-3,$-24.94,-,$307.243,$307.243,-,$226.312,$-242.579,-,$-242.579,$8.762,$8.762,-,$-69.264,$-303.081,$35.131,$135.56,-
2018-03-31,$10.622,$80.894,$69.878,$150.772,$69.502,-,$0.875,$25.45,$94.491,$250.08,$-35.371,$-7.85,-,-,$-194.025,$-194.025,-,$-237.246,$-28.606,-,$-28.606,$52.657,$52.657,-,$-85.843,$-61.792,$-42.467,$121.341,-
2017-12-31,$-17.346,$79.831,$105.958,$185.789,$-145.572,-,$5.584,$88.324,$15.691,$184.783,$-34.654,$-0.5,$-31.666,-,$-451.464,$-451.464,-,$-518.284,$-0.004,-,$-0.004,$5.819,$5.819,-,$-53.041,$-47.226,$-378.479,$105.627,-
2017-09-30,$-22.182,$71.035,$99.138,$170.173,$-9.307,-,$-3.228,$-3.479,$-6.627,$141.824,$-46.753,-,$-5,-,$-158.428,$-158.428,-,$-210.181,-,-,-,$35.856,$35.856,-,$-43.902,$-8.046,$-68.678,$100.442,-
2017-06-30,$-55.804,$59.566,$96.606,$156.172,$6.671,-,$-8.535,$22.424,$29.098,$128.725,$-35.917,$-6.17,$-6.502,-,$20.871,$20.871,-,$-27.718,$772.127,-,$772.127,$5.156,$5.156,-,$-163.488,$613.795,$733.685,$98.066,-
2017-03-31,$-21.514,$55.942,$86.578,$142.52,$48.515,-,$0.675,$37.439,$67.875,$187.608,$-33.186,-,$-15.035,-,$-79.544,$-79.544,-,$-127.765,-,-,-,$34.807,$34.807,-,$-54.438,$-19.631,$39.369,$89.869,-
2016-12-31,$4.966,$39.976,$87.631,$127.607,$-110.654,-,$5.071,$48.958,$-5.347,$131.847,$-21.45,$-8,-,-,$0.028,$0.028,$0.322,$-29.1,-,-,-,$11.315,$11.315,-,$-32.202,$-20.887,$76.384,$83.194,-
2016-09-30,$-36.258,$52.384,$82.418,$134.802,$-22.728,-,$-8.353,$14.095,$-0.437,$96.718,$-31.183,-,-,-,$-20.697,$-20.697,$0.289,$-51.591,-,-,-,$20.912,$20.912,-,$-29.919,$-9.007,$35.954,$81.087,-
2016-06-30,$-49.625,$48.481,$71.639,$120.12,$-8.844,-,$-3.659,$18.977,$-219.528,$-148.171,$-23.852,$-5,$-33.797,-,$66.662,$66.662,$-0.154,$3.859,-,-,-,$14.278,$14.278,-,$-31.446,$-17.168,$-164.337,$78.065,-
2016-03-31,$-333.332,$45.084,$75.308,$120.392,$15.811,-,$3.387,$27.024,$291.957,$78.687,$-29.077,$-5.75,$-0.5,-,$4.378,$4.378,$-0.457,$-31.406,-,-,-,$19.873,$19.873,-,$-28.563,$-8.69,$41.145,$75.308,-
2015-12-31,$-37.378,$43.542,$66.9,$110.442,$-45.552,-,$6.473,$52.068,$34.32,$106.554,$-24.893,$-1.75,-,-,$-34.286,$-34.286,$0.408,$-60.521,-,-,-,$20.001,$20.001,-,$-0.303,$19.698,$63.432,$68.182,-
2015-09-30,$-41.03,$41.481,$65.111,$106.592,$-16.642,-,$6.678,$3.03,$-0.76,$63.649,$-20.768,-,-,-,$-50.43,$-50.43,$-0.474,$-71.672,-,-,-,$31.663,$31.663,-,$-0.269,$31.394,$23.719,$65.111,-
2015-06-30,$-61.925,$40.206,$66.346,$106.552,$0.903,-,$1.628,$28.125,$37.855,$80.185,$-15.121,-,-,-,$-49.908,$-49.908,$0.035,$-64.994,-,-,-,$11.21,$11.21,-,$-11.711,$-0.501,$17.373,$66.346,-
2015-03-31,$-58.093,$38.829,$58.074,$96.903,$10.436,-,$0.006,$21.574,$30.499,$67.366,$-26.699,-,$-1.1,-,$-6.566,$-6.566,$0.031,$-34.334,-,-,-,$30.474,$30.474,-,$-0.735,$29.739,$55.526,$58.074,-
2014-12-31,$-44.663,$37.688,$45.988,$83.676,$-49.85,-,$6.331,$46.217,$13.144,$49.661,$-8.88,-,-,-,$-34.323,$-34.323,-,$-43.203,-,-,-,$14.998,$14.998,-,$-1.357,$13.641,$17.369,$45.996,-
2014-09-30,$-41.05,$34.377,$40.917,$75.294,$-4.837,-,$-7.084,$8.605,$-8.861,$25,$-18.094,-,$-99.813,-,$-23.107,$-23.107,-,$-141.014,-,-,-,$25.587,$25.587,-,$0.079,$25.666,$-94.189,$41.49,-
2014-06-30,$-50.363,$30.425,$37.927,$68.352,$-2.071,-,$-1.099,$14.215,$26.167,$42.059,$-16.437,-,-,-,$-40.591,$-40.591,-,$-57.028,-,-,-,$6.597,$6.597,-,$-0.323,$6.274,$-8.645,$37.604,-
2014-03-31,$-43.311,$27.982,$28.289,$56.271,$-0.027,-,$12.075,$20.03,$10.75,$24.217,$-10.968,-,-,-,$-64.66,$-64.66,$-0.055,$-75.683,-,-,-,$22.214,$22.214,-,$0.94,$23.154,$-28.383,$29.229,-
2013-12-31,$-24.232,$22.19,$20.784,$42.974,$-22.518,-,$0.156,$22.418,$18.203,$36.267,$-16.262,-,-,-,$-293.382,$-293.382,$-0.003,$-309.647,$562.941,-,$562.941,$92.651,$92.651,-,$-135.974,$519.618,$245.209,$20.856,-
2013-09-30,$-14.713,$15.649,$18.605,$34.254,$8.903,-,$-0.283,$-4.874,$0.856,$20.72,$-16.824,-,$-13.33,-,$-6.571,$-6.571,$-0.011,$-36.736,-,-,-,$16.003,$16.003,-,$-0.754,$15.249,$0.861,$17.851,-
2013-06-30,$-21.405,$13.108,$14.108,$27.216,$-12.953,-,$1.346,$5.241,$3.593,$9.736,$-11.82,-,-,-,$-33.418,$-33.418,$-0.163,$-45.401,-,-,-,$10.362,$10.362,-,$0.72,$11.082,$-24.549,$14.828,-
2013-03-31,$-13.358,$10.825,$10.195,$21.02,$-2.938,-,$-1.471,$20.148,$6.78,$15.023,$-10.415,-,-,-,$-0.596,$-0.596,-,$-11.011,-,-,-,$21.468,$21.468,-,$1.153,$22.621,$25.793,$12.046,-
2012-12-31,$-9.931,$9.854,$4.372,$14.226,$-22.276,-,$4.993,$6.096,$9.526,$16.671,$-9.91,-,-,-,$-57.031,$-57.031,$0.037,$-66.904,-,-,-,$0.524,$0.524,-,$51.722,$52.246,$2.013,$9.349,-
2012-09-30,$-13.053,$8.385,$11.181,$19.566,$-8.342,-,$-1.069,$9.746,$2.564,$9.077,$-11.93,-,-,-,$-117.202,$-117.202,-,$-129.133,-,-,-,$171.179,$171.179,-,$0.276,$171.455,$51.494,$8.213,-
2012-06-30,$-8.724,$5.925,$6.986,$12.911,$-4.781,-,$-0.47,$7.088,$2.752,$6.939,$-11.668,-,-,-,$-7.55,$-7.55,-,$-19.218,-,-,-,$-1.086,$-1.086,-,$-0.703,$-1.789,$-14.658,$6.457,-
2012-03-31,$-5.64,$4.389,$2.958,$7.347,$2.058,-,$1.433,$9.836,$14.372,$16.079,$-8.558,-,-,-,$-15.345,$-15.345,$0.008,$-23.894,-,-,-,$18.967,$18.967,-,$0.96,$19.927,$12.052,$3.918,-
2011-12-31,$-5.148,$-5.736,$-4.263,$-9.999,$7.768,-,$-1.866,$-22.957,$-21.294,$-36.441,$9.193,-,-,-,-,-,$-0.15,$9.043,-,-,-,$-2.766,$-2.766,-,$-0.021,$-2.787,$-30.579,$-4.224,-
2011-09-30,$0.121,$2.385,$2.391,$4.776,$-0.637,-,$0.767,$4.287,$4.787,$9.684,$-2.517,-,-,-,-,-,-,$-2.517,-,-,-,$1.782,$1.782,-,-,$1.782,$9.183,$2.391,-
2011-06-30,$5.027,$3.351,$1.872,$5.223,$-7.131,-,$1.099,$18.67,$16.507,$26.757,$-6.676,-,-,-,-,-,$0.15,$-6.526,-,-,-,$0.984,$0.984,-,$0.021,$1.005,$21.396,$1.833,-
2011-03-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-06-30,$-23.8,$1.93,-,$1.93,-,-,-,-,$13.05,$-7.69,$-1.26,-,-,-,-,-,$0.64,$-0.6,-,-,$51.24,-,$-24.27,-,-,$26.97,$18.6,-,-
2009-06-30,$-5.9,$0.62,-,$0.62,-,-,-,-,$5.25,$0.16,$-0.32,-,-,-,-,-,$-0.52,$-0.85,-,-,-,-,$3.7,-,-,$3.7,$3.01,-,-
