,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$671,$287,$39,$326,$35,$26,-,$-188,$-127,$870,$-399,-,-,$-7,-,$-7,$49,$-357,$-56,-,$-56,$-463,$-463,$-238,-,$-757,$-244,-,$-238
2020-09-30,$569,$293,$118,$411,$-62,$10,-,$81,$29,"$1,009",$-285,-,-,$-1,-,$-1,$8,$-278,$-11,-,$-11,$-264,$-264,$-240,-,$-515,$216,-,$-240
2020-06-30,$392,$282,$42,$324,$66,$8,-,$13,$87,$803,$-269,-,-,$-5,-,$-5,$-33,$-307,$470,-,$470,$-191,$-191,$-240,-,$39,$535,-,$-240
2020-03-31,$381,$292,$388,$680,$32,$-21,-,$-117,$-106,$955,$-208,-,-,-,-,-,$-25,$-233,-,-,-,$-452,$-452,$-242,-,$-694,$28,-,$-242
2019-12-31,$666,$285,$67,$352,$53,$22,-,$-198,$-123,$895,$-430,-,-,$-6,-,$-6,$-5,$-441,$350,-,$350,$-543,$-543,$-244,$23,$-414,$40,-,$-244
2019-09-30,$657,$287,$95,$382,$64,$-10,-,$-48,$6,"$1,045",$-447,-,-,-,-,-,$-24,$-471,$350,-,$350,$-497,$-497,$-247,-,$-394,$180,-,$-247
2019-06-30,$722,$284,$87,$371,$9,$-28,-,$-3,$-22,"$1,071",$-450,-,-,$-10,-,$-10,$-42,$-502,$54,-,$54,$-534,$-534,$-228,-,$-708,$-139,-,$-228
2019-03-31,$677,$283,$39,$322,$-39,$-21,-,$-58,$-118,$881,$-315,-,-,$-2,-,$-2,$-33,$-350,$250,-,$250,$-498,$-498,$-230,-,$-478,$53,-,$-230
2018-12-31,$702,$282,$-110,$172,$32,$60,-,$-124,$-32,$842,$-514,-,-,$-6,-,$-6,$3,$-517,-,-,-,$-479,$-479,$-217,-,$-696,$-371,-,$-217
2018-09-30,$702,$276,$37,$313,$-10,$-7,-,$60,$43,"$1,058",$-445,-,-,$-4,$4,-,$90,$-355,"$1,480",-,"$1,480","$-1,577","$-1,577",$-219,-,$-316,$387,-,$-219
2018-06-30,$710,$274,$38,$312,$-66,$-15,-,$69,$-12,"$1,010",$-418,-,-,$2,$-4,$-2,$5,$-415,$-650,-,$-650,$-384,$-384,$-203,-,"$-1,237",$-642,-,$-203
2018-03-31,$552,$272,$37,$309,$-26,$-23,-,$4,$-45,$816,$-370,-,-,$-2,-,$-2,$1,$-371,$443,-,$443,$-301,$-301,$-205,-,$-63,$382,-,$-205
2017-12-31,"$3,968",$268,"$-3,108","$-2,840",$18,$23,-,$-381,$-340,$788,$-343,-,-,$-3,-,$-3,$39,$-307,$-55,-,$-55,$-286,$-286,$-174,-,$-515,$-34,-,$-174
2017-09-30,$506,$266,$63,$329,$-47,$44,-,$57,$54,$889,$-355,-,-,-,-,-,$5,$-350,$-5,-,$-5,$-277,$-277,$-175,-,$-457,$82,-,$-175
2017-06-30,$497,$265,$47,$312,$41,$-8,-,$-112,$-79,$730,$-420,-,-,$-2,-,$-2,$2,$-420,$-252,-,$-252,$-194,$-194,$-177,-,$-623,$-313,-,$-177
2017-03-31,$433,$260,$47,$307,$-53,$-24,-,$183,$106,$846,$-403,-,-,$-2,-,$-2,$1,$-404,$-100,-,$-100,$-166,$-166,$-177,-,$-443,$-1,-,$-177
2016-12-31,$416,$260,$42,$302,$15,$72,-,$-83,$4,$722,$-540,-,-,$-4,-,$-4,$42,$-502,$100,-,$100,$-176,$-176,$-172,-,$-248,$-28,-,$-172
2016-09-30,$460,$259,$45,$304,$25,$5,-,$86,$116,$880,$-325,-,-,$-96,-,$-96,$3,$-418,-,-,-,$-171,$-171,$-173,-,$-344,$118,-,$-173
2016-06-30,$405,$258,$52,$310,$-2,$9,-,$-169,$-162,$553,$-506,-,-,-,-,-,$2,$-504,$594,-,$594,$-192,$-192,$-174,-,$228,$277,-,$-174
2016-03-31,$387,$253,$42,$295,$-15,$-44,-,$256,$197,$879,$-386,-,-,$-23,-,$-23,$1,$-408,$-600,-,$-600,$-207,$-207,$-176,-,$-983,$-512,-,$-176
2015-12-31,$361,$289,$254,$543,$157,$17,-,$-378,$-204,$700,$-588,-,-,-,-,-,$208,$-380,$591,-,$591,$-67,$-67,$-176,-,$348,$668,-,$-176
2015-09-30,$452,$276,$19,$295,$-48,$-11,-,$19,$-40,$707,$-880,-,-,$-2,-,$-2,$27,$-855,$100,-,$100,$-231,$-231,$-177,-,$-308,$-456,-,$-177
2015-06-30,$433,$248,$10,$258,$-23,$-9,-,$211,$179,$870,$-478,-,-,-,-,-,$4,$-474,$493,-,$493,$-345,$-345,$-179,-,$-31,$365,-,$-179
2015-03-31,$310,$246,$7,$253,$23,$-32,-,$77,$68,$631,$-376,-,-,$-3,-,$-3,$1,$-378,$-101,-,$-101,$-420,$-420,$-181,-,$-702,$-449,-,$-181
2014-12-31,$511,$241,$273,$514,$48,$13,-,$-517,$-456,$569,$-694,-,-,$-100,-,$-100,$46,$-748,$100,-,$100,$-204,$-204,$-176,-,$-280,$-459,-,$-176
2014-09-30,$559,$237,$-6,$231,$19,$2,-,$98,$119,$909,$-545,-,-,$-1,-,$-1,$-61,$-607,$-332,-,$-332,$-29,$-29,$-176,-,$-537,$-235,-,$-176
2014-06-30,$562,$240,$24,$264,$-13,$-11,-,$47,$23,$849,$-406,-,-,-,-,-,$13,$-393,$-113,-,$-113,$-30,$-30,$-168,-,$-311,$145,-,$-168
2014-03-31,$368,$238,$-10,$228,$-85,$-17,-,$94,$-8,$588,$-359,-,-,$-3,-,$-3,$108,$-254,$-100,-,$-100,$12,$12,$-167,-,$-255,$79,-,$-167
2013-12-31,$513,$235,$43,$278,$59,$1,-,$-177,$-117,$674,$-466,-,-,$-101,-,$-101,$42,$-525,$495,-,$495,$-24,$-24,$-161,-,$310,$459,-,$-161
2013-09-30,$482,$231,$71,$302,$-11,$4,-,$121,$114,$898,$-545,-,-,$-22,-,$-22,$5,$-562,$460,-,$460,$-238,$-238,$-161,-,$61,$397,-,$-161
2013-06-30,$465,$228,$69,$297,$86,$18,-,$-83,$21,$783,$-456,-,-,$-2,-,$-2,$17,$-441,$-13,-,$-13,$-256,$-256,$-158,-,$-427,$-85,-,$-158
2013-03-31,$450,$228,$-25,$203,$-49,$-30,-,$149,$70,$723,$-360,-,-,$-5,-,$-5,$-1,$-366,$-203,-,$-203,$22,$22,$-157,-,$-338,$19,-,$-157
2012-12-31,$413,$234,$85,$319,$-8,$20,-,$-155,$-143,$589,$-574,-,-,$-9,-,$-9,$41,$-542,$196,-,$196,$-126,$-126,$-157,-,$-87,$-40,-,$-157
2012-09-30,$402,$232,$139,$371,$8,$6,-,$26,$40,$813,$-522,-,-,$-2,-,$-2,$4,$-520,$473,-,$473,$-270,$-270,$-159,-,$44,$337,-,$-159
2012-06-30,$524,$230,$49,$279,$-30,$-14,-,$-131,$-175,$628,$-494,-,-,$-8,-,$-8,$6,$-496,$-18,-,$-18,$-434,$-434,$-153,-,$-605,$-473,-,$-153
2012-03-31,$410,$226,$87,$313,$-34,$-19,-,$365,$312,"$1,035",$-459,-,-,$-4,-,$-4,$27,$-436,$478,-,$478,$-369,$-369,$-155,-,$-46,$553,-,$-155
2011-12-31,$480,$223,$111,$334,$7,$3,-,$-361,$-351,$463,$-713,-,-,$-47,-,$-47,$193,$-567,$697,-,$697,$-415,$-415,$-144,-,$138,$34,-,$-144
2011-09-30,$554,$218,$141,$359,$-38,$-11,-,$200,$151,"$1,064",$-495,-,-,$-21,-,$-21,$112,$-404,$-154,-,$-154,$-793,$-793,$-149,-,"$-1,096",$-436,-,$-149
2011-06-30,$557,$215,$131,$346,$-57,$-11,-,$213,$145,"$1,048",$-435,-,-,$-63,-,$-63,$79,$-419,$366,-,$366,$-412,$-412,$-141,-,$-187,$442,-,$-141
2011-03-31,$325,$213,$112,$325,$-127,$-21,-,$150,$2,$652,$-433,-,-,$-4,-,$-4,$55,$-382,$-408,-,$-408,$-311,$-311,$-142,-,$-861,$-591,-,$-142
2010-12-31,$402,$209,$136,$345,$101,$10,-,$-272,$-161,$586,$-547,-,-,$-63,-,$-63,$160,$-450,$88,-,$88,$-396,$-396,$-130,-,$-438,$-302,-,$-130
2010-09-30,$445,$206,$91,$297,$-16,-,-,$20,$4,$746,$-278,-,-,$-181,-,$-181,$184,$-275,$241,-,$241,$-306,$-306,$-132,-,$-197,$274,-,$-132
2010-06-30,$392,$205,$4,$209,$-25,$1,-,$47,$23,$624,$-292,-,-,$-105,-,$-105,$26,$-371,$-340,-,$-340,$-93,$-93,$-126,-,$-559,$-306,-,$-126
2010-03-31,$257,$206,$39,$245,$-101,$-16,-,$373,$256,$758,$-256,-,-,$-155,-,$-155,$51,$-360,$-128,-,$-128,$21,$21,$-126,-,$-233,$165,-,$-126
2009-12-31,$307,$215,$160,$375,$89,$8,-,$-294,$-197,$485,$-357,-,-,$-147,-,$-147,$20,$-484,$88,-,$88,$34,$34,$-126,-,$-4,$-3,-,$-126
2009-09-30,$303,$212,$89,$301,$-55,$16,-,$167,$128,$732,$-319,-,-,-,-,-,$1,$-318,$-21,-,$-21,$8,$8,$-124,-,$-137,$277,-,$-124
2009-06-30,$247,$209,$57,$266,$-10,$3,-,$-217,$-224,$289,$-297,-,-,$-119,-,$-119,$11,$-405,$61,-,$61,$18,$18,$-125,-,$-46,$-162,-,$-125
