,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$261,$167,$46,$213,$-126,$25,-,-,$-95,$328,$-79,-,$-89,-,$-4,$-4,$-8,$-180,$-106,-,$-106,-,-,$-60,$-3,$-169,$23,-,$-60
2020-09-30,$47,$164,$43,$207,$-46,$2,-,-,$-86,$155,$-91,-,$-1,-,$-7,$-7,$3,$-96,$4,-,$4,-,-,$-20,$-34,$-50,$22,-,$-20
2020-06-30,$-401,$160,$375,$535,$123,$56,-,-,$174,$318,$-60,-,$-40,-,$-4,$-4,$4,$-100,$-64,-,$-64,-,-,$-58,$-9,$-131,$129,-,$-58
2020-03-31,"$-1,036",$160,"$1,123","$1,283",$68,$-50,-,-,$34,$270,$-115,-,$10,-,$15,$15,$-3,$-93,$8,-,$8,-,-,$-19,$-2,$-13,$116,-,$-19
2019-12-31,$103,$162,$75,$237,$-110,$75,-,-,$-176,$165,$-113,-,$-2,-,$-3,$-3,$2,$-116,$-153,-,$-153,-,-,$-59,$-21,$-233,$-169,-,$-59
2019-09-30,$-211,$162,$273,$435,"$-1,551",$-72,-,-,$-195,$27,$-114,-,-,-,$-5,$-5,$1,$-118,$-91,-,$-91,-,-,$-22,$18,$-95,$-202,-,$-22
2019-06-30,$-42,$165,$69,$234,$97,$16,-,-,$76,$267,$-102,-,$-50,-,$-20,$-20,$18,$-154,$-84,-,$-84,-,-,$-59,$34,$-109,$-5,-,$-59
2019-03-31,$23,$168,$-5,$163,$177,$-31,-,-,$117,$303,$-135,-,$42,-,$-5,$-5,$-16,$-114,$-144,-,$-144,-,-,$-21,$-3,$-168,$30,-,$-21
2018-12-31,$119,$163,$15,$178,$-119,$-20,-,-,$-68,$245,$-99,-,$-186,-,$-3,$-3,-,$-288,$-146,-,$-146,-,-,$-58,$-5,$-209,$-268,-,$-58
2018-09-30,$128,$163,$34,$197,$-21,$-23,-,-,$-196,$113,$-133,-,$6,-,$-10,$-10,$16,$-121,$-61,-,$-61,-,-,$-23,$-40,$-124,$-148,-,$-23
2018-06-30,$-355,$175,$79,$254,$-42,-,-,-,$57,$292,$-163,-,$-15,-,$-9,$-9,$10,$-177,$-25,-,$-25,-,-,$-59,$-80,$-164,$-78,-,$-59
2018-03-31,"$-1,110",$100,"$1,181","$1,281",$-13,$-6,-,-,$119,$261,$50,-,$-9,-,$-9,$-9,-,$32,-,-,-,-,-,$-19,$-13,$-32,$256,-,$-19
2017-12-31,$-66,$100,$212,$312,-,$8,-,-,$-69,$208,$-51,-,$1,-,$-21,$-21,$16,$-55,$-93,-,$-93,-,-,$-59,$-19,$-171,$-21,-,$-59
2017-09-30,$87,$97,$16,$113,$-73,$-16,-,-,$-195,$-4,$-62,-,$-54,-,$-12,$-12,$7,$-121,-,-,-,-,-,$-21,$-10,$-31,$-139,-,$-21
2017-06-30,$-424,$100,$464,$564,$68,$23,-,$-2,$140,$275,$-49,-,$-2,-,$-5,$-5,$-315,$-371,-,-,-,-,-,$-59,$-6,$-65,$-149,-,$-59
2017-03-31,-,$109,$58,$167,$5,$1,-,$-6,$37,$218,$113,-,$-3,-,$-54,$-54,$13,$69,-,-,-,-,-,$-16,$-15,$-31,$286,-,$-16
2016-12-31,$-219,$120,$481,$601,$-67,$7,-,-,$13,$272,$-24,-,$-59,-,$-39,$-39,$15,$-107,-,-,-,-,-,$-59,$-3,$-62,$65,-,$-59
2016-09-30,-,$120,$-23,$97,$-64,$-16,-,$-250,$-351,$-271,$-25,-,$-283,-,-,-,$297,$-11,$-23,-,$-23,-,-,$-18,$-18,$-59,$-333,-,$-18
2016-06-30,$109,$135,$62,$197,$34,$72,-,-,$32,$355,$-39,-,$-33,-,$-64,$-64,$-287,$-423,-,-,-,-,-,$-59,$5,$-54,$-140,-,$-59
2016-03-31,$-130,$126,$-185,$-59,$85,$-109,-,$258,$398,$177,$-58,-,$-385,-,$-10,$-10,$15,$-438,$342,-,$342,$-23,$-23,$-14,$-2,$303,$89,-,$-14
2015-12-31,$82,$123,$20,$143,$-3,$42,-,$11,$-56,$205,$-57,-,$-85,-,$-17,$-17,$-5,$-164,-,-,-,$-3,$-3,$-58,$-1,$-62,$-15,-,$-58
2015-09-30,$189,$121,$-163,$-42,$-94,$30,-,$-11,$-1,$141,$-61,-,$-16,-,$-14,$-14,$5,$-86,-,-,-,$-15,$-15,$-16,$-6,$-37,$-53,-,$-16
2015-06-30,$-363,$123,$214,$337,$-22,$61,-,$18,$-33,$5,$-42,-,$-2,-,$-113,$-113,$-71,$-228,-,-,-,$-30,$-30,$-1,$1,$-30,$-76,-,$-1
2015-03-31,$34,$124,$10,$134,$107,$-108,-,$-6,$125,$282,$-48,-,$-5,-,$-11,$-11,$16,$-48,-,-,-,-,-,$-12,$8,$-4,$109,-,$-12
2014-12-31,$163,$127,$38,$165,$-73,$24,-,$-6,$-45,$324,$-56,-,$-769,-,$-131,$-131,-,$-956,$-129,-,$-129,-,-,-,$-1,$-130,$-817,-,-
2014-09-30,$88,$124,$27,$151,$17,$41,-,$-6,$12,$220,$20,-,$-414,-,$-115,$-115,-,$-509,-,-,-,-,-,$-17,$-9,$-26,$-410,-,$-17
2014-06-30,$29,$131,$131,$262,$38,$56,-,$-68,$-151,$226,$-21,-,$-6,-,$-72,$-72,-,$-99,-,-,-,-,-,$-1,$-1,$-2,$-62,-,$-1
2014-03-31,$61,$142,$-31,$111,$104,$-83,-,$-14,$223,$396,$-88,-,$-13,-,$-10,$-10,-,$-111,-,-,-,-,-,$-10,$-3,$-13,$299,-,$-10
2013-12-31,$166,$138,$83,$221,$-170,$19,-,$-15,$-79,$348,$-76,-,$-24,-,$-2,$-2,-,$-102,-,-,-,-,-,$-1,-,$-1,$220,-,$-1
2013-09-30,$38,$141,$-8,$133,$-74,$32,-,$-6,$-70,$59,$29,-,$-2,-,-,-,-,$27,-,-,-,-,-,$-12,$217,$205,$307,-,$-12
2013-06-30,"$-1,113",$150,"$1,063",$328,$62,$64,-,$-93,$-96,$81,$19,-,$1,-,$-2,$-2,-,$18,-,-,-,-,-,-,$823,$823,$842,-,-
2013-03-31,$332,$144,$-42,$102,$126,$-90,-,$-44,$294,$415,$590,-,$-3,-,$-7,$-7,-,$580,-,-,-,-,-,$-9,$-189,$-198,$798,-,$-9
2012-12-31,"$1,411",$129,$-53,$76,$-163,$32,-,$3,$-245,$92,$-51,-,"$-1,926",-,$-1,$-1,-,"$-1,978",$-235,-,$-235,-,-,-,"$1,852","$1,617",$-269,-,-
2012-09-30,$-83,$125,$-83,$42,$-25,$-21,-,$-1,$-59,$-87,$-64,-,$-228,-,$-2,$-2,-,$-294,-,-,-,-,-,$-11,$255,$244,$-123,-,$-11
2012-06-30,"$-2,744",$53,-,$53,-,-,-,-,$-34,$-480,$171,-,$305,-,-,$-254,-,$222,-,-,-,-,-,$-3,"$-1,273","$-1,276","$-1,831",-,-
2011-06-30,$704,$430,-,$430,-,-,-,-,$106,"$1,331",$-475,-,$-397,-,-,$-9,-,$-881,-,-,-,-,-,$-10,$280,$270,$942,-,-
