,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$308.029,$152.648,$149.175,$301.823,$-112.926,$72.767,$118.552,$3.048,$186.088,$795.94,$-271.378,-,-,-,-,-,$-17.28,$-288.658,"$1,433.48","$-1,457.222",$-23.742,$10.106,$10.106,$-415.791,$-0.488,$-429.915,$77.367,-,$-415.791
2020-09-30,$312.316,$153.245,$114.953,$268.198,$-108.929,$-98.694,$42.032,$28.657,$-213.804,$366.71,$-380.042,-,-,-,-,-,$-46.943,$-426.985,"$-1,433.48","$1,406.119",$-27.361,$5.23,$5.23,$-415.614,$-0.583,$-438.328,$-498.603,-,$-415.614
2020-06-30,$134.321,$-501.338,$693.349,$192.011,$-113.812,$-70.842,$109.86,$-33.385,$-12.635,$313.697,$-594.282,-,-,-,-,-,$4.188,$-590.094,"$1,548.945","$-1,406.119",$142.826,$954.423,$954.423,$-387.294,$-19.456,$690.499,$414.102,-,$-387.294
2020-03-31,$-141.857,$774.107,$-89.379,$684.728,$334.37,$173.885,$-350.701,$-208.786,$-120.15,$422.721,$-949.679,-,-,-,-,-,$-15.113,$-964.792,"$1,695.832",$-220,"$1,475.832",-,-,$-386.667,$-36.422,"$1,052.743",$510.672,-,$-386.667
2019-12-31,$320.251,$125.983,$98.411,$224.394,$-119.938,$-21.381,$99.86,$48.061,$75.289,$619.934,"$-1,109.011",-,-,-,-,-,$-11.873,"$-1,120.884","$1,055.436",$-837.348,$218.088,$9.707,$9.707,$-378.249,$-0.947,$-151.401,$-652.351,-,$-378.249
2019-09-30,$309.155,$121.43,$97.135,$218.565,$-49.419,$-98.595,$105.251,$-81.266,$-168.826,$358.894,"$-1,019.174",-,-,-,-,-,$3.361,"$-1,015.813",$937.217,$503.825,"$1,441.042",$5.175,$5.175,$-367.845,$-21.541,"$1,056.831",$399.912,-,$-367.845
2019-06-30,$311.963,$114.964,$97.712,$212.676,$143.58,$58.273,$-205.588,$40.148,$89.706,$614.345,$-830.459,-,-,-,-,-,$63.227,$-767.232,"$1,251.913",$-503.825,$748.088,$14.158,$14.158,$-357.331,$-6.445,$398.47,$245.583,-,$-357.331
2019-03-31,$337.208,$114.158,$62.305,$176.463,$6.089,$53.444,$-62.469,$-109.319,$-160.065,$353.606,$-889.705,-,-,-,-,-,$24.876,$-864.829,$940.869,-,$940.869,-,-,$-354.203,$-59.604,$527.062,$15.839,-,$-354.203
2018-12-31,$292.888,$110.649,$105.077,$215.726,$266.117,$129.626,$-278.295,$-5.423,$161.655,$670.269,$-832.873,-,-,-,-,-,$7.805,$-825.068,"$1,480.738","$-1,052.65",$428.088,$8.853,$8.853,$-351.99,$-2.641,$82.31,$-72.489,$-23.963,$-351.99
2018-09-30,$313.916,$107.383,$112.395,$219.778,$-150.411,$-140.517,$240.735,$53.541,$-20.214,$513.48,$-693.907,-,-,-,-,-,$5.488,$-688.419,$315.035,$467.825,$782.86,$8.41,$8.41,$-339.575,$-207.587,$244.108,$69.169,$7.892,$-339.575
2018-06-30,$282.179,$106.288,$104.964,$211.252,$-90.446,$-100.478,$78.436,$88.922,$14.218,$507.649,$-350.469,-,-,-,-,-,$4.72,$-345.749,$501.913,$-347.825,$154.088,$4.601,$4.601,$-327.085,$4.317,$-164.079,$-2.179,$8.868,$-327.085
2018-03-31,$266.049,$104.237,$74.289,$178.526,$358.733,$149.825,$-361.008,$-59.02,$50.746,$495.321,$-264.226,-,-,-,-,-,$8.574,$-255.652,$-501.913,$-614.673,"$-1,116.586","$1,182.117","$1,182.117",$-316.408,$-8.511,$-259.388,$-19.719,$7.203,$-316.408
2017-12-31,$64.812,$83.529,$283.918,$367.447,$-297.297,$-28.027,$179.131,$70.555,$-52.843,$379.416,$-183.872,-,-,-,-,-,$10.836,$-173.036,$-1.483,$-317.577,$-319.06,$425.509,$425.509,$-285.969,$-1.343,$-180.863,$25.517,$6.574,$-285.969
2017-09-30,$166.531,$122.538,$106.905,$229.443,$-156.309,$-114.133,$216.508,$-48.935,$-102.869,$293.105,$-134.507,-,-,-,-,-,$-76.359,$-210.866,$197.203,$-338.259,$-141.056,$35.004,$35.004,$-283.687,$-13.195,$-402.934,$-320.695,$6.211,$-283.687
2017-06-30,$175.991,$100.849,$63.102,$163.951,$-14.501,$-6.794,$-11.491,$44.282,$33.859,$373.801,$-81.573,-,-,-,-,-,$7.305,$-74.268,$1.951,$-20.22,$-18.269,$7.123,$7.123,$-129.916,$-136.908,$-277.97,$21.563,$7.57,$-129.916
2017-03-31,$186.185,$99.419,$54.236,$153.655,$137.586,$-53.305,$-122.843,$-9.825,$-70.75,$269.09,$-112.441,-,-,-,-,-,$2.978,$-109.463,$-1.951,$180.452,$178.501,$3.722,$3.722,$-129.842,$-150.075,$-97.694,$61.933,$5.907,$-129.842
2016-12-31,$194.465,$99.31,$73.857,$173.167,$-140.376,$77.735,$149.434,$-31.61,$63.56,$431.192,$-126.785,-,-,-,-,-,$-4.072,$-130.857,$-451.923,$416.777,$-35.146,$7.023,$7.023,$-129.498,$-131.477,$-289.098,$11.465,$9.451,$-129.498
2016-09-30,$194.216,$98.55,$47.276,$145.826,$-59.995,$28.177,$34.222,$63.613,$50.38,$390.422,$-157.407,-,-,-,-,-,$-28.702,$-186.109,$-1.966,$117.193,$115.227,$3.847,$3.847,$-129.595,$-137.28,$-147.801,$56.556,$7.918,$-129.595
2016-06-30,$179.859,$99.247,$75.393,$174.64,$-153.761,$-89.871,$168.064,$6.864,$-53.56,$300.939,$-133.469,-,-,-,-,-,$4.937,$-128.532,$-2.003,$131.74,$129.737,$7.137,$7.137,$-129.273,$-136.09,$-128.489,$43.635,$14.962,$-129.273
