,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2021-03-31,"$3,249",$683,$-169,$514,$-142,$-182,-,$-78,$335,"$4,087",$-655,-,-,$-10,-,$-10,-,$-665,$-669,$37,$-632,"$-3,001","$-3,001","$-2,011",$369,"$-5,275","$-1,934",$144,"$-2,011"
2020-12-31,"$3,887",$671,$627,"$1,298",$363,$-80,-,$16,$169,"$5,424",$-549,-,-,-,-,-,-,$-549,"$-1,766",$150,"$-1,616","$-3,008","$-3,008","$-2,025",$208,"$-6,441","$-1,451",$165,"$-2,025"
2020-09-30,"$4,308",$671,$270,$941,$-825,$-137,-,$-30,$-550,"$4,739",$-829,-,-,-,-,-,-,$-829,$-25,"$-3,568","$-3,593","$-2,000","$-2,000","$-2,030",$893,"$-6,730","$-2,789",$89,"$-2,030"
2020-06-30,"$2,786",$814,$329,"$1,143",$499,$-104,-,$-652,$928,"$4,806",$-656,-,-,-,$-3,$-3,-,$-659,$-913,$-675,"$-1,588",-,-,"$-2,028",$217,"$-3,399",$788,$233,"$-2,028"
2020-03-31,"$2,957",$799,$108,$907,$392,-,-,$-3,$169,"$4,064",$-718,-,$-4,-,$-3,$-3,-,$-725,"$4,963","$3,088","$8,051",$-901,$-901,"$-1,906",$701,"$5,945","$9,114",$123,"$-1,906"
2019-12-31,"$3,743",$677,$118,$795,$4,$16,-,$-20,$-193,"$4,364",$-596,-,$-54,-,-,-,-,$-650,"$-1,546",$-7,"$-1,553","$-3,504","$-3,504","$-1,923",$185,"$-6,795","$-3,025",$92,"$-1,923"
2019-09-30,"$3,617",$723,$-478,$245,$-261,$-549,-,$-35,$306,"$4,169","$-1,073",-,-,"$6,151",$1,"$6,152",-,"$5,079",-,$-61,$-61,"$-3,000","$-3,000","$-1,932",$875,"$-4,118","$5,065",$110,"$-1,932"
2019-06-30,"$-5,237",$820,"$8,179","$8,999",$273,$362,-,$-436,$614,"$4,151",$-442,-,$-2,"$1,094",$-3,"$1,091",-,$647,$32,$-383,$-351,"$-1,750","$-1,750","$-1,937",$734,"$-3,304","$1,501",$216,"$-1,937"
2019-03-31,"$2,776",$711,$57,$768,$-151,$-70,-,$-167,$-88,"$3,517",$-748,-,$-95,"$1,417",$-1,"$1,416",-,$573,$-24,"$-3,038","$-3,062","$-1,250","$-1,250","$-1,858","$1,104","$-5,066",$-958,$118,"$-1,858"
2018-12-31,"$3,216",$650,$73,$723,$77,$-37,-,$-286,$-38,"$4,007",$-692,-,"$-3,611",$468,$-10,$458,-,"$-3,845","$1,390","$1,182","$2,572",$-751,$-751,"$-1,850","$1,061","$1,032","$1,151",$79,"$-1,850"
